Key,Injected Version,Opening Version,Fixed Version, Affected Version List
BOOKKEEPER-142,4.0.0,4.1.0,4.1.0,[org.example.entities.Release@7ea37dbf]
BOOKKEEPER-146,4.0.0,4.1.0,4.1.0,[org.example.entities.Release@7ea37dbf]
BOOKKEEPER-148,4.0.0,4.1.0,4.1.0,[org.example.entities.Release@7ea37dbf]
BOOKKEEPER-150,4.0.0,4.1.0,4.1.0,[org.example.entities.Release@7ea37dbf]
BOOKKEEPER-152,4.0.0,4.1.0,4.1.0,[org.example.entities.Release@7ea37dbf]
BOOKKEEPER-153,4.0.0,4.1.0,4.1.0,[org.example.entities.Release@7ea37dbf]
BOOKKEEPER-156,4.0.0,4.1.0,4.1.0,[org.example.entities.Release@7ea37dbf]
BOOKKEEPER-161,4.0.0,4.1.0,4.1.0,[org.example.entities.Release@7ea37dbf]
BOOKKEEPER-162,4.0.0,4.1.0,4.1.0,[org.example.entities.Release@7ea37dbf]
BOOKKEEPER-163,4.0.0,4.1.0,4.1.0,[org.example.entities.Release@7ea37dbf]
BOOKKEEPER-166,4.0.0,4.1.0,4.1.0,[org.example.entities.Release@7ea37dbf]
BOOKKEEPER-167,4.0.0,4.1.0,4.1.0,[org.example.entities.Release@7ea37dbf]
BOOKKEEPER-169,4.0.0,4.1.0,4.1.0,[org.example.entities.Release@7ea37dbf]
BOOKKEEPER-170,4.0.0,4.1.0,4.1.0,[org.example.entities.Release@7ea37dbf]
BOOKKEEPER-171,4.0.0,4.1.0,4.1.0,[org.example.entities.Release@7ea37dbf]
BOOKKEEPER-173,4.0.0,4.1.0,4.1.0,[org.example.entities.Release@7ea37dbf]
BOOKKEEPER-174,4.0.0,4.1.0,4.1.0,[org.example.entities.Release@7ea37dbf]
BOOKKEEPER-176,4.0.0,4.1.0,4.1.0,[org.example.entities.Release@7ea37dbf]
BOOKKEEPER-177,4.0.0,4.1.0,4.1.0,[org.example.entities.Release@7ea37dbf]
BOOKKEEPER-180,4.0.0,4.1.0,4.1.0,[org.example.entities.Release@7ea37dbf]
BOOKKEEPER-182,4.0.0,4.1.0,4.1.0,[org.example.entities.Release@7ea37dbf]
BOOKKEEPER-184,4.0.0,4.1.0,4.1.0,[org.example.entities.Release@7ea37dbf]
BOOKKEEPER-186,4.0.0,4.1.0,4.1.0,[org.example.entities.Release@7ea37dbf]
BOOKKEEPER-188,4.0.0,4.1.0,4.1.0,[org.example.entities.Release@7ea37dbf]
BOOKKEEPER-189,4.0.0,4.1.0,4.1.0,[org.example.entities.Release@7ea37dbf]
BOOKKEEPER-190,4.0.0,4.1.0,4.1.0,[org.example.entities.Release@7ea37dbf]
BOOKKEEPER-193,4.0.0,4.1.0,4.1.0,[org.example.entities.Release@7ea37dbf]
BOOKKEEPER-194,4.0.0,4.1.0,4.1.0,[org.example.entities.Release@7ea37dbf]
BOOKKEEPER-195,4.0.0,4.1.0,4.1.0,[org.example.entities.Release@7ea37dbf]
BOOKKEEPER-198,4.0.0,4.1.0,4.1.0,[org.example.entities.Release@7ea37dbf]
BOOKKEEPER-207,4.0.0,4.1.0,4.1.0,[org.example.entities.Release@7ea37dbf]
BOOKKEEPER-211,4.0.0,4.1.0,4.1.0,[org.example.entities.Release@7ea37dbf]
BOOKKEEPER-212,4.0.0,4.1.0,4.1.0,[org.example.entities.Release@7ea37dbf]
BOOKKEEPER-213,4.0.0,4.1.0,4.1.0,[org.example.entities.Release@7ea37dbf]
BOOKKEEPER-235,4.0.0,4.1.0,4.1.0,[org.example.entities.Release@7ea37dbf]
BOOKKEEPER-242,4.0.0,4.1.0,4.1.0,[org.example.entities.Release@7ea37dbf]
BOOKKEEPER-245,4.0.0,4.1.0,4.1.0,[org.example.entities.Release@7ea37dbf]
BOOKKEEPER-258,4.0.0,4.1.0,4.1.0,[org.example.entities.Release@7ea37dbf]
BOOKKEEPER-260,4.0.0,4.1.0,4.1.0,[org.example.entities.Release@7ea37dbf]
BOOKKEEPER-274,4.0.0,4.1.0,4.1.0,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-279,4.0.0,4.1.0,4.1.0,[org.example.entities.Release@7ea37dbf]
BOOKKEEPER-281,4.0.0,4.1.0,4.1.0,[org.example.entities.Release@7ea37dbf]
BOOKKEEPER-287,4.0.0,4.1.0,4.1.0,[org.example.entities.Release@7ea37dbf]
BOOKKEEPER-288,4.0.0,4.1.0,4.1.0,[org.example.entities.Release@7ea37dbf]
BOOKKEEPER-294,4.1.0,4.1.1,4.1.1,[org.example.entities.Release@70be0a2b]
BOOKKEEPER-296,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf]
BOOKKEEPER-298,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-302,4.1.0,4.1.1,4.1.1,[org.example.entities.Release@70be0a2b]
BOOKKEEPER-303,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-306,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-307,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-322,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-324,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-326,4.1.0,4.1.1,4.1.1,[org.example.entities.Release@70be0a2b]
BOOKKEEPER-327,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-329,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-330,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-336,4.1.0,4.1.1,4.1.1,[org.example.entities.Release@70be0a2b]
BOOKKEEPER-337,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf]
BOOKKEEPER-338,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-343,4.1.0,4.1.1,4.1.1,[org.example.entities.Release@70be0a2b]
BOOKKEEPER-349,4.1.0,4.1.1,4.1.1,[org.example.entities.Release@70be0a2b]
BOOKKEEPER-355,4.1.0,4.1.1,4.1.1,[org.example.entities.Release@70be0a2b, org.example.entities.Release@4c15e7fd]
BOOKKEEPER-365,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-371,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-372,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-381,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-382,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-383,4.1.0,4.1.1,4.1.1,[org.example.entities.Release@70be0a2b]
BOOKKEEPER-387,4.1.0,4.1.1,4.1.1,[org.example.entities.Release@70be0a2b]
BOOKKEEPER-392,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-395,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
