Version ID,Class Name,Version,LOC,LOC_touched,Age,Revision number,Fix number,Author Number,LOC_added,MAX_LOC_added,AVG_LOC_added,churn,MAX_churn,Buggyness
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,4.0.0,137,333,12,4,0,2,235,137,58.75,139,137,no
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,4.0.0,244,436,12,5,0,2,340,252,68.0,262,252,no
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,4.0.0,1026,1466,12,14,0,3,1246,545,89.0,1026,545,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,4.0.0,92,150,12,3,0,3,121,81,40.333333333333336,92,81,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,4.0.0,180,210,12,4,0,2,195,168,48.75,180,168,no
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,4.0.0,471,795,12,9,0,3,633,487,70.33333333333333,551,487,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,4.0.0,204,216,12,5,0,3,210,124,42.0,204,124,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,4.0.0,551,691,12,7,0,3,621,536,88.71428571428571,557,536,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,4.0.0,149,187,12,5,0,3,168,133,33.6,149,133,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,4.0.0,157,171,12,3,0,3,164,151,54.666666666666664,157,151,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,4.0.0,147,147,12,1,0,1,147,147,147.0,147,147,no
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,4.0.0,137,401,12,5,0,3,269,126,53.8,141,126,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,4.0.0,271,289,12,4,0,3,280,249,70.0,271,249,no
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,4.0.0,548,1532,12,9,0,3,1040,410,115.55555555555556,548,410,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,4.0.0,728,1134,12,6,0,2,931,714,155.16666666666666,882,714,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,4.0.0,205,219,12,4,0,2,212,204,53.0,205,204,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java,4.0.0,50,56,12,2,0,2,53,50,26.5,50,50,no
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java,4.0.0,185,229,12,5,0,3,207,184,41.4,185,184,yes
