Version ID,Class Name,Version,LOC,LOC_touched,Age,Revision number,Fix number,Author Number,LOC_added,MAX_LOC_added,AVG_LOC_added,churn,MAX_churn,Buggyness
1,openjpa-jdbc-5/src/main/java/org/apache/openjpa/jdbc/kernel/JDBC3SavepointManager.java,0.9.0,62,62,17,2,0,1,62,62,31.0,62,62,no
1,openjpa-jdbc-5/src/main/java/org/apache/openjpa/jdbc/meta/strats/EnumValueHandler.java,0.9.0,100,100,17,2,0,1,100,100,50.0,100,100,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/MappingToolTask.java,0.9.0,211,218,17,4,0,2,215,211,53.75,212,211,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/ReverseMappingToolTask.java,0.9.0,257,261,17,3,0,2,259,257,86.33333333333333,257,257,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/SchemaToolTask.java,0.9.0,147,154,17,4,0,2,151,147,37.75,148,147,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/FetchModeValue.java,0.9.0,50,50,17,3,0,1,50,49,16.666666666666668,50,49,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCConfiguration.java,0.9.0,603,633,17,3,0,2,618,609,206.0,615,609,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCConfigurationImpl.java,0.9.0,873,981,17,7,0,3,927,900,132.42857142857142,933,900,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCProductDerivation.java,0.9.0,52,62,17,3,0,2,57,50,19.0,52,50,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCSeqValue.java,0.9.0,58,58,17,2,0,1,58,58,29.0,58,58,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/MappingFactoryValue.java,0.9.0,158,158,17,2,0,1,158,158,79.0,158,158,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/MappingRepositoryValue.java,0.9.0,61,69,17,3,0,1,65,65,21.666666666666668,69,65,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractJDBCSavepointManager.java,0.9.0,135,135,17,2,0,1,135,135,67.5,135,135,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractJDBCSeq.java,0.9.0,189,189,17,2,0,1,189,189,94.5,189,189,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractUpdateManager.java,0.9.0,376,464,17,3,0,1,420,384,140.0,392,384,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ClassTableJDBCSeq.java,0.9.0,259,293,17,4,0,2,276,262,69.0,265,262,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ConnectionInfo.java,0.9.0,32,32,17,2,0,1,32,32,16.0,32,32,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/DelegatingJDBCFetchConfiguration.java,0.9.0,243,245,17,4,0,2,244,233,61.0,243,233,yes
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/EagerFetchModes.java,0.9.0,42,42,17,2,0,1,42,42,21.0,42,42,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/GenericResultObjectProvider.java,0.9.0,126,134,17,4,0,2,130,127,32.5,128,127,no
