ID,Size,Predicted,Actual
1,212,5.219206680584552E-4,no
2,274,5.219206680584552E-4,no
3,461,5.219206680584552E-4,no
4,138,5.219206680584552E-4,no
5,358,1.3058239749281798E-4,no
6,1272,5.219206680584552E-4,no
7,51,8.706251088281386E-5,no
8,45,8.706251088281386E-5,no
9,157,2.610966057441254E-4,no
10,31,1.0447137484329294E-4,no
11,1406,5.219206680584552E-4,yes
12,55,2.610966057441254E-4,no
13,204,2.610966057441254E-4,no
14,55,2.610966057441254E-4,no
15,103,2.610966057441254E-4,no
16,34,2.610966057441254E-4,no
17,83,1.740947075208914E-4,no
18,285,0.9994780793319415,no
19,83,1.740947075208914E-4,no
20,129,5.219206680584552E-4,no
21,867,2.610966057441254E-4,yes
22,380,5.219206680584552E-4,no
23,40,2.610966057441254E-4,no
24,387,5.219206680584552E-4,yes
25,390,5.219206680584552E-4,no
26,51,8.706251088281386E-5,no
27,637,2.610966057441254E-4,yes
28,32,1.3058239749281798E-4,no
29,68,2.610966057441254E-4,no
30,547,2.610966057441254E-4,yes
31,566,5.219206680584552E-4,no
32,314,5.219206680584552E-4,no
33,907,5.219206680584552E-4,yes
34,275,5.219206680584552E-4,no
35,31,1.0447137484329294E-4,no
36,50,6.52997257411519E-5,no
37,27,0.07695708085516798,no
38,175,5.219206680584552E-4,no
39,50,6.52997257411519E-5,no
40,62,6.52997257411519E-5,no
41,87,5.219206680584552E-4,no
42,52,2.610966057441254E-4,no
43,373,2.610966057441254E-4,no
44,224,2.610966057441254E-4,no
45,118,5.219206680584552E-4,no
46,83,0.9994780793319415,no
47,147,1.3058239749281798E-4,no
48,58,1.0447137484329294E-4,no
49,44,1.3058239749281798E-4,no
50,106,8.706251088281386E-5,no
51,238,5.219206680584552E-4,no
52,43,5.219206680584552E-4,no
53,185,5.219206680584552E-4,yes
54,189,5.219206680584552E-4,no
55,151,1.740947075208914E-4,no
56,364,5.219206680584552E-4,no
57,910,5.219206680584552E-4,no
58,889,5.219206680584552E-4,no
59,43,5.219206680584552E-4,no
60,325,2.610966057441254E-4,no
61,27,0.07695708085516798,no
62,55,2.610966057441254E-4,no
63,93,0.9994780793319415,no
64,191,1.3058239749281798E-4,no
65,90,7.46268656716418E-5,no
