ID,Size,Predicted,Actual
1,215,0.002430792656604425,no
2,273,0.0012183579037477585,no
3,460,0.002430792656604425,yes
4,138,0.7142109648219257,no
5,358,0.002430792656604425,no
6,1154,0.002430792656604425,yes
7,51,8.128988703409241E-4,no
8,157,0.002430792656604425,no
9,31,4.0678010625931735E-4,no
10,1009,0.002430792656604425,yes
11,193,0.9997558524847627,no
12,83,6.099220552305395E-4,yes
13,262,0.002430792656604425,no
14,638,0.002430792656604425,no
15,40,0.0012183579037477585,no
16,374,0.9997558524847627,no
17,390,0.002430792656604425,no
18,51,8.128988703409241E-4,no
19,579,0.9997558524847627,yes
20,32,4.8805671480625705E-4,no
21,66,4.8805671480625705E-4,no
22,260,0.002430792656604425,no
23,596,0.002430792656604425,no
24,198,0.002430792656604425,no
25,50,4.0678010625931735E-4,no
26,27,1.8782694594356264E-4,no
27,926,0.002430792656604425,no
28,60,8.128988703409241E-4,no
29,62,3.051471435882348E-4,no
30,87,0.002430792656604425,no
31,52,0.002430792656604425,no
32,297,0.9997558524847627,no
33,163,0.0012183579037477585,no
34,118,0.9997558524847627,no
35,83,6.099220552305395E-4,no
36,147,6.099220552305395E-4,no
37,58,0.555540481449899,no
38,44,0.0012183579037477585,no
39,106,0.002430792656604425,no
40,192,0.002430792656604425,no
41,151,0.002430792656604425,no
42,352,0.9997558524847627,no
43,752,0.002430792656604425,yes
44,877,0.9997558524847627,yes
45,319,0.9997558524847627,no
46,27,0.002430792656604425,no
47,55,0.0012183579037477585,no
48,94,0.002430792656604425,no
49,191,0.0012183579037477585,no
50,90,8.128988703409241E-4,no
51,90,0.9997558524847627,no
52,271,0.002430792656604425,no
53,138,0.9997558524847627,no
54,79,8.128988703409241E-4,no
55,82,0.002430792656604425,no
56,147,6.099220552305395E-4,no
57,422,0.002430792656604425,no
58,1026,0.9997558524847627,yes
59,530,0.002430792656604425,no
60,189,0.002430792656604425,yes
61,167,0.002430792656604425,yes
62,86,0.0012183579037477585,no
63,195,0.9997558524847627,yes
64,374,0.002430792656604425,no
65,573,0.002430792656604425,no
66,126,0.002430792656604425,no
67,106,0.002430792656604425,yes
68,109,8.128988703409241E-4,no
69,85,6.099220552305395E-4,no
70,237,0.002430792656604425,no
71,345,0.9997558524847627,no
72,47,8.128988703409241E-4,no
73,781,0.002430792656604425,yes
74,27,1.8782694594356264E-4,no
75,89,8.128988703409241E-4,no
76,300,0.9997558524847627,yes
77,166,0.9997558524847627,no
78,92,0.6666124028310269,no
79,497,0.9997558524847627,yes
80,93,0.002430792656604425,no
81,244,0.002430792656604425,no
82,183,0.002430792656604425,yes
83,252,0.002430792656604425,no
84,109,8.128988703409241E-4,yes
85,607,0.002430792656604425,yes
86,565,0.002430792656604425,yes
87,69,0.9089093037039798,no
88,77,4.8805671480625705E-4,no
89,97,0.9997558524847627,no
90,343,0.002430792656604425,no
91,214,0.0012183579037477585,no
92,79,8.128988703409241E-4,no
93,25,0.002430792656604425,no
94,84,0.7142109648219257,no
95,34,8.128988703409241E-4,no
96,33,0.002430792656604425,no
97,104,0.002430792656604425,no
98,172,0.002430792656604425,no
99,70,8.128988703409241E-4,no
100,140,0.0012183579037477585,no
101,156,0.002430792656604425,no
102,142,0.002430792656604425,no
103,152,0.9997558524847627,no
104,31,0.002430792656604425,no
105,60,0.002430792656604425,no
106,60,0.002430792656604425,no
107,876,0.002430792656604425,no
108,61,0.002430792656604425,no
109,185,0.002430792656604425,no
110,264,0.002430792656604425,no
111,248,0.002430792656604425,no
112,286,0.9997558524847627,yes
113,185,0.9997558524847627,no
114,194,0.002430792656604425,no
115,346,0.0012183579037477585,no
116,309,0.002430792656604425,no
117,363,0.9997558524847627,yes
118,84,0.7142109648219257,no
119,53,8.128988703409241E-4,no
120,132,4.0678010625931735E-4,yes
121,4088,0.002430792656604425,no
122,721,0.9997558524847627,yes
123,47,3.4870919049700456E-4,no
124,101,0.8331976847854495,no
125,517,0.9997558524847627,yes
126,327,0.002430792656604425,yes
127,274,0.002430792656604425,yes
128,136,0.002430792656604425,yes
129,56,6.099220552305395E-4,no
130,74,1.744154155068539E-4,yes
131,361,0.9997558524847627,yes
132,174,8.128988703409241E-4,no
133,148,0.769129631644492,no
134,92,0.6666124028310269,no
135,45,0.7142109648219257,no
136,168,0.002430792656604425,no
137,77,4.8805671480625705E-4,no
138,666,0.9997558524847627,no
139,88,0.0012183579037477585,no
140,263,0.002430792656604425,no
141,54,4.8805671480625705E-4,no
142,51,0.002430792656604425,no
143,132,0.002430792656604425,no
144,160,0.9997558524847627,no
145,152,0.002430792656604425,no
146,39,3.4870919049700456E-4,no
147,677,0.002430792656604425,no
148,131,0.002430792656604425,no
