ID,Size,Predicted,Actual
1,215,8.058017727639E-4,no
2,273,0.9991941982272361,yes
3,460,8.058017727639E-4,yes
4,138,8.058017727639E-4,no
5,358,0.9991941982272361,no
6,1248,0.9991941982272361,yes
7,51,8.058017727639E-4,no
8,157,8.058017727639E-4,no
9,31,2.0169423154497784E-4,no
10,981,8.058017727639E-4,yes
11,180,4.032258064516129E-4,no
12,262,0.9991941982272361,no
13,553,8.058017727639E-4,yes
14,40,8.058017727639E-4,no
15,369,0.9991941982272361,no
16,390,0.9991941982272361,no
17,51,8.058017727639E-4,no
18,577,8.058017727639E-4,yes
19,32,2.688894864210809E-4,no
20,66,2.688894864210809E-4,no
21,188,8.058017727639E-4,yes
22,582,8.058017727639E-4,yes
23,160,8.058017727639E-4,yes
24,50,4.032258064516129E-4,no
25,27,1.1527377521613833E-4,no
26,923,0.9991941982272361,yes
27,60,4.032258064516129E-4,no
28,62,2.0169423154497784E-4,no
29,87,8.058017727639E-4,no
30,52,2.688894864210809E-4,no
31,268,8.058017727639E-4,no
32,163,8.058017727639E-4,no
33,109,4.032258064516129E-4,no
34,147,4.032258064516129E-4,no
35,58,1.1527377521613833E-4,no
36,44,0.9991941982272361,no
37,106,0.9995967741935483,yes
38,139,8.058017727639E-4,no
39,326,8.058017727639E-4,no
40,648,8.058017727639E-4,no
41,792,8.058017727639E-4,yes
42,319,8.058017727639E-4,yes
43,55,8.058017727639E-4,no
44,191,4.032258064516129E-4,no
45,90,0.3334229631621404,no
46,273,8.058017727639E-4,yes
47,137,4.032258064516129E-4,no
48,79,8.058017727639E-4,no
49,82,2.688894864210809E-4,no
50,147,4.032258064516129E-4,no
51,422,8.058017727639E-4,no
52,979,8.058017727639E-4,yes
53,495,0.9991941982272361,yes
54,189,4.032258064516129E-4,no
55,167,8.058017727639E-4,yes
56,86,8.058017727639E-4,no
57,182,4.032258064516129E-4,yes
58,361,8.058017727639E-4,yes
59,126,8.058017727639E-4,no
60,106,0.9995967741935483,no
61,109,4.032258064516129E-4,no
62,85,4.032258064516129E-4,no
63,236,4.032258064516129E-4,no
64,315,0.9991941982272361,yes
65,695,8.058017727639E-4,yes
66,27,1.1527377521613833E-4,no
67,89,8.058017727639E-4,no
68,301,0.9991941982272361,yes
69,153,4.032258064516129E-4,yes
70,92,0.5,no
71,466,8.058017727639E-4,yes
72,93,0.9991941982272361,no
73,244,4.032258064516129E-4,no
74,192,4.032258064516129E-4,yes
75,252,0.9991941982272361,no
76,109,4.032258064516129E-4,no
77,601,8.058017727639E-4,yes
78,565,8.058017727639E-4,yes
79,69,0.9991941982272361,no
80,77,4.032258064516129E-4,no
81,94,0.5,yes
82,337,8.058017727639E-4,no
83,214,8.058017727639E-4,no
84,79,8.058017727639E-4,no
85,25,1.1527377521613833E-4,no
86,84,2.688894864210809E-4,no
87,34,2.688894864210809E-4,no
88,33,2.688894864210809E-4,no
89,104,0.9995967741935483,no
90,172,4.032258064516129E-4,no
91,70,8.058017727639E-4,no
92,140,8.058017727639E-4,no
93,156,8.058017727639E-4,no
94,248,4.032258064516129E-4,no
95,277,0.9991941982272361,yes
96,189,8.058017727639E-4,no
97,194,8.058017727639E-4,no
98,346,8.058017727639E-4,no
99,304,8.058017727639E-4,no
100,356,8.058017727639E-4,yes
101,84,0.9991941982272361,no
102,53,8.058017727639E-4,no
103,132,2.688894864210809E-4,no
104,4088,8.058017727639E-4,no
105,691,0.9991941982272361,yes
106,47,8.058017727639E-4,no
107,101,8.058017727639E-4,no
108,510,8.058017727639E-4,yes
109,328,0.9991941982272361,yes
110,273,8.058017727639E-4,yes
111,136,4.032258064516129E-4,no
112,56,8.058017727639E-4,no
113,74,1.1527377521613833E-4,no
114,359,0.9991941982272361,yes
115,174,4.032258064516129E-4,no
116,148,0.3334229631621404,no
117,92,0.5,no
118,45,0.5,no
119,168,8.058017727639E-4,no
120,77,4.032258064516129E-4,no
121,666,8.058017727639E-4,no
122,88,8.058017727639E-4,no
123,262,0.9991941982272361,no
124,54,4.032258064516129E-4,no
125,48,1.6136840406648378E-4,yes
126,140,8.058017727639E-4,no
127,152,4.032258064516129E-4,no
128,39,1.6136840406648378E-4,no
129,131,2.688894864210809E-4,no
130,47,4.032258064516129E-4,no
131,129,2.688894864210809E-4,no
132,43,4.032258064516129E-4,no
133,243,4.032258064516129E-4,yes
134,62,2.0169423154497784E-4,no
135,45,0.5,no
136,97,8.058017727639E-4,no
137,476,8.058017727639E-4,no
138,77,0.3334229631621404,no
139,69,2.688894864210809E-4,no
140,104,8.058017727639E-4,no
141,115,8.058017727639E-4,no
142,421,8.058017727639E-4,no
143,61,8.058017727639E-4,no
144,2009,8.058017727639E-4,no
145,179,8.058017727639E-4,no
146,106,8.058017727639E-4,no
147,33,8.058017727639E-4,no
148,657,8.058017727639E-4,no
149,295,8.058017727639E-4,no
150,872,8.058017727639E-4,no
151,444,8.058017727639E-4,no
152,168,8.058017727639E-4,no
153,752,8.058017727639E-4,no
154,135,8.058017727639E-4,no
155,1126,8.058017727639E-4,no
156,163,8.058017727639E-4,no
157,184,8.058017727639E-4,no
158,51,8.058017727639E-4,no
159,25,8.058017727639E-4,no
160,180,8.058017727639E-4,no
161,64,0.9991941982272361,no
162,101,8.058017727639E-4,no
163,512,8.058017727639E-4,no
164,187,8.058017727639E-4,no
165,56,8.058017727639E-4,no
166,39,8.058017727639E-4,no
167,261,0.9991941982272361,no
168,73,8.058017727639E-4,no
169,65,0.9991941982272361,no
170,329,8.058017727639E-4,no
171,64,0.9991941982272361,no
172,164,8.058017727639E-4,no
173,624,8.058017727639E-4,no
174,74,8.058017727639E-4,no
175,117,8.058017727639E-4,no
176,84,2.688894864210809E-4,no
177,226,8.058017727639E-4,no
178,76,0.3334229631621404,no
179,323,8.058017727639E-4,no
180,72,2.688894864210809E-4,no
181,42,2.0169423154497784E-4,no
182,48,1.6136840406648378E-4,no
183,89,8.058017727639E-4,no
184,380,8.058017727639E-4,no
185,141,8.058017727639E-4,no
186,148,8.058017727639E-4,no
187,191,4.032258064516129E-4,no
188,46,4.032258064516129E-4,no
189,165,8.058017727639E-4,no
190,171,4.032258064516129E-4,no
191,56,8.058017727639E-4,no
192,179,4.032258064516129E-4,no
193,74,1.1527377521613833E-4,no
194,36,4.032258064516129E-4,no
195,37,1.3448090371167296E-4,no
196,34,2.688894864210809E-4,no
197,34,2.688894864210809E-4,no
198,38,0.3334229631621404,no
199,39,1.6136840406648378E-4,no
200,156,4.032258064516129E-4,no
201,84,2.688894864210809E-4,no
202,117,4.032258064516129E-4,no
203,94,0.5,no
204,71,8.058017727639E-4,no
205,183,4.032258064516129E-4,no
206,85,4.032258064516129E-4,no
207,183,4.032258064516129E-4,no
208,70,8.058017727639E-4,no
209,54,4.032258064516129E-4,no
210,160,0.9991941982272361,no
211,125,8.058017727639E-4,no
212,151,4.032258064516129E-4,no
213,422,8.058017727639E-4,no
214,221,8.058017727639E-4,no
