ID,Size,Predicted,Actual
1,212,0.0011903147430733813,no
2,274,0.0011903147430733813,no
3,461,0.0011903147430733813,no
4,138,0.0011903147430733813,no
5,358,2.9811095456478055E-4,no
6,1272,0.0011903147430733813,no
7,51,1.9878014206845408E-4,no
8,45,1.9878014206845408E-4,no
9,157,5.958666403836449E-4,no
10,31,2.3851720548854775E-4,no
11,1406,0.0011903147430733813,yes
12,55,5.958666403836449E-4,no
13,204,5.958666403836449E-4,no
14,55,5.958666403836449E-4,no
15,103,5.958666403836449E-4,no
16,34,5.958666403836449E-4,no
17,83,3.9740229276847845E-4,no
18,285,0.9998807129452407,no
19,83,3.9740229276847845E-4,no
20,129,0.0011903147430733813,no
21,867,5.958666403836449E-4,yes
22,380,0.0011903147430733813,no
23,40,5.958666403836449E-4,no
24,387,0.0011903147430733813,yes
25,390,0.0011903147430733813,no
26,51,1.9878014206845408E-4,no
27,637,5.958666403836449E-4,yes
28,32,2.9811095456478055E-4,no
29,68,5.958666403836449E-4,no
30,547,5.958666403836449E-4,yes
31,566,0.0011903147430733813,no
32,314,0.0011903147430733813,no
33,907,0.0011903147430733813,yes
34,275,0.0011903147430733813,no
35,31,2.3851720548854775E-4,no
36,50,1.4909992560353748E-4,no
37,27,0.4545503844041224,no
38,175,0.0011903147430733813,no
39,50,1.4909992560353748E-4,no
40,62,1.4909992560353748E-4,no
41,87,0.0011903147430733813,no
42,52,5.958666403836449E-4,no
43,373,5.958666403836449E-4,no
44,224,5.958666403836449E-4,no
45,118,0.0011903147430733813,no
46,83,0.0011903147430733813,no
47,147,2.9811095456478055E-4,no
48,58,2.3851720548854775E-4,no
49,44,2.9811095456478055E-4,no
50,106,1.9878014206845408E-4,no
51,238,0.0011903147430733813,no
52,43,0.0011903147430733813,no
53,185,0.0011903147430733813,yes
54,189,0.0011903147430733813,no
55,151,3.9740229276847845E-4,no
56,364,0.0011903147430733813,no
57,910,0.0011903147430733813,no
58,889,0.0011903147430733813,no
59,43,0.0011903147430733813,no
60,325,0.0011903147430733813,no
61,27,0.4545503844041224,no
62,55,5.958666403836449E-4,no
63,93,0.0011903147430733813,no
64,191,2.9811095456478055E-4,no
65,90,1.7039265625193697E-4,no
66,89,0.0011903147430733813,no
67,272,5.958666403836449E-4,no
68,152,0.0011903147430733813,no
69,90,1.7039265625193697E-4,no
70,82,0.0011903147430733813,no
71,148,0.0011903147430733813,no
72,421,0.0011903147430733813,yes
73,1190,0.0011903147430733813,yes
74,528,0.0011903147430733813,yes
75,205,0.0011903147430733813,no
76,190,2.3851720548854775E-4,no
77,86,2.3851720548854775E-4,no
78,212,5.958666403836449E-4,yes
79,404,0.0011903147430733813,no
80,572,0.0011903147430733813,no
81,132,0.0011903147430733813,no
82,168,0.9998807129452407,no
83,109,2.9811095456478055E-4,yes
84,85,2.9811095456478055E-4,no
85,107,0.0011903147430733813,no
86,237,0.0011903147430733813,no
87,511,0.0011903147430733813,yes
88,47,9.17643250283575E-5,no
89,1328,0.0011903147430733813,yes
90,27,0.4545503844041224,no
91,89,1.9878014206845408E-4,no
92,482,0.0011903147430733813,no
93,226,0.0011903147430733813,no
94,166,0.0011903147430733813,no
95,92,0.0011903147430733813,yes
96,476,5.958666403836449E-4,no
97,93,0.0011903147430733813,yes
98,244,5.958666403836449E-4,no
99,204,5.958666403836449E-4,no
100,252,5.958666403836449E-4,no
101,119,0.0011903147430733813,no
102,733,0.0011903147430733813,no
103,630,0.0011903147430733813,no
104,69,2.9811095456478055E-4,no
105,77,1.7039265625193697E-4,no
106,97,3.9740229276847845E-4,no
107,380,0.0011903147430733813,no
108,214,2.9811095456478055E-4,no
109,38,0.0011903147430733813,no
110,79,3.9740229276847845E-4,no
111,25,2.9811095456478055E-4,no
112,84,1.4909992560353748E-4,no
113,34,1.9878014206845408E-4,no
114,33,2.9811095456478055E-4,no
