ID,Size,Predicted,Actual
1,215,4.965820483332337E-5,no
2,271,4.965820483332337E-5,yes
3,458,0.004039476704154235,yes
4,137,4.965820483332337E-5,yes
5,357,0.004039476704154235,yes
6,1242,0.004039476704154235,yes
7,51,4.965820483332337E-5,no
8,154,0.004039476704154235,yes
9,31,4.965820483332337E-5,no
10,928,0.004039476704154235,no
11,180,4.965820483332337E-5,no
12,260,0.004039476704154235,yes
13,551,0.004039476704154235,yes
14,40,4.965820483332337E-5,no
15,361,0.004039476704154235,yes
16,388,0.004039476704154235,yes
17,51,0.002027930128589206,no
18,577,0.9995930936901779,no
19,32,4.965820483332337E-5,no
20,66,4.965820483332337E-5,no
21,188,0.004039476704154235,yes
22,582,0.004039476704154235,no
23,158,0.002027930128589206,yes
24,50,0.001016025493003279,no
25,27,4.965820483332337E-5,no
26,928,0.004039476704154235,yes
27,60,4.965820483332337E-5,no
28,62,0.002027930128589206,no
29,87,0.004039476704154235,no
30,52,5.810920568677819E-4,no
31,268,0.004039476704154235,no
32,163,4.965820483332337E-5,no
33,109,0.004039476704154235,no
34,147,4.965820483332337E-5,no
35,58,0.004039476704154235,no
36,44,0.002027930128589206,no
37,106,0.004039476704154235,no
38,139,4.965820483332337E-5,no
39,326,0.004039476704154235,no
40,648,0.004039476704154235,no
41,778,0.004039476704154235,yes
42,314,0.004039476704154235,yes
43,55,4.965820483332337E-5,no
44,191,0.004039476704154235,no
45,90,0.004039476704154235,no
46,273,0.004039476704154235,no
47,137,0.004039476704154235,no
48,79,0.004039476704154235,no
49,82,0.004039476704154235,no
50,147,0.004039476704154235,no
51,422,0.004039476704154235,no
52,978,0.004039476704154235,yes
53,467,0.004039476704154235,yes
54,189,0.004039476704154235,no
55,153,0.004039476704154235,no
56,84,4.965820483332337E-5,yes
57,182,0.004039476704154235,no
58,358,0.004039476704154235,no
59,126,0.004039476704154235,no
60,106,0.004039476704154235,no
61,109,0.004039476704154235,no
62,85,4.965820483332337E-5,no
63,236,0.004039476704154235,no
64,314,0.004039476704154235,yes
65,694,0.004039476704154235,yes
66,27,4.965820483332337E-5,no
67,89,0.004039476704154235,no
68,301,0.9995930936901779,yes
69,153,0.004039476704154235,no
70,92,0.004039476704154235,no
71,466,0.004039476704154235,no
72,93,0.004039476704154235,no
73,244,0.004039476704154235,no
74,192,0.004039476704154235,no
75,250,0.004039476704154235,yes
76,109,0.004039476704154235,no
77,601,0.004039476704154235,no
78,565,0.004039476704154235,yes
79,69,0.004039476704154235,no
80,77,0.004039476704154235,no
81,94,0.002027930128589206,no
82,337,0.9995930936901779,no
83,214,0.002027930128589206,no
84,79,0.9995930936901779,no
85,25,0.001353783671522853,no
86,84,0.004039476704154235,no
87,34,0.004039476704154235,no
88,33,0.002027930128589206,no
89,104,0.002027930128589206,no
90,172,0.004039476704154235,no
91,70,0.004039476704154235,no
92,140,0.004039476704154235,no
93,154,0.004039476704154235,yes
