ID,Size,Predicted,Actual
1,215,2.5405213149738326E-5,no
2,271,2.5405213149738326E-5,yes
3,458,0.002074688796680498,yes
4,137,2.5405213149738326E-5,yes
5,357,0.002074688796680498,yes
6,1242,0.002074688796680498,yes
7,51,2.5405213149738326E-5,no
8,154,0.002074688796680498,yes
9,31,2.5405213149738326E-5,no
10,928,0.002074688796680498,no
11,180,2.5405213149738326E-5,no
12,260,0.002074688796680498,yes
13,551,0.002074688796680498,yes
14,40,2.5405213149738326E-5,no
15,361,0.002074688796680498,yes
16,388,0.002074688796680498,yes
17,51,0.0010395010395010396,no
18,577,0.9979253112033196,no
19,32,2.5405213149738326E-5,no
20,66,2.5405213149738326E-5,no
21,188,0.002074688796680498,yes
22,582,0.002074688796680498,no
23,158,0.0010395010395010396,yes
24,50,5.202913631633715E-4,no
25,27,2.5405213149738326E-5,no
26,928,0.002074688796680498,yes
27,60,2.5405213149738326E-5,no
28,62,0.0010395010395010396,no
29,87,0.002074688796680498,no
30,52,2.97441998810232E-4,no
31,268,0.002074688796680498,no
32,163,2.5405213149738326E-5,no
33,109,0.002074688796680498,no
34,147,2.5405213149738326E-5,no
35,58,0.002074688796680498,no
36,44,0.0010395010395010396,no
37,106,0.002074688796680498,no
38,139,2.5405213149738326E-5,no
39,326,0.002074688796680498,no
40,648,0.002074688796680498,no
41,778,0.002074688796680498,yes
42,314,0.002074688796680498,yes
43,55,2.5405213149738326E-5,no
44,191,0.002074688796680498,no
45,90,0.002074688796680498,no
46,273,0.9979253112033196,no
47,137,0.002074688796680498,no
48,79,0.002074688796680498,no
49,82,0.002074688796680498,no
50,147,0.002074688796680498,no
51,422,0.9979253112033196,no
52,978,0.002074688796680498,yes
53,467,0.002074688796680498,yes
54,189,0.002074688796680498,no
55,153,0.002074688796680498,no
56,84,2.5405213149738326E-5,yes
57,182,0.002074688796680498,no
58,358,0.002074688796680498,no
59,126,0.002074688796680498,no
60,106,0.002074688796680498,no
61,109,0.002074688796680498,no
62,85,2.5405213149738326E-5,no
63,236,0.002074688796680498,no
64,314,0.002074688796680498,yes
65,694,0.002074688796680498,yes
66,27,2.5405213149738326E-5,no
67,89,0.002074688796680498,no
68,301,0.9979253112033196,yes
69,153,0.002074688796680498,no
70,92,0.002074688796680498,no
71,466,0.002074688796680498,no
72,93,0.002074688796680498,no
73,244,0.002074688796680498,no
74,192,0.002074688796680498,no
75,250,0.002074688796680498,yes
76,109,0.002074688796680498,no
77,601,0.002074688796680498,no
78,565,0.9979253112033196,yes
79,69,0.002074688796680498,no
80,77,0.002074688796680498,no
81,94,0.0010395010395010396,no
82,337,0.9979253112033196,no
83,214,0.0010395010395010396,no
84,79,0.9979253112033196,no
85,25,6.934812760055479E-4,no
86,84,0.002074688796680498,no
87,34,0.002074688796680498,no
88,33,0.0010395010395010396,no
89,104,0.0010395010395010396,no
90,172,0.002074688796680498,no
91,70,0.002074688796680498,no
92,140,0.002074688796680498,no
93,154,0.002074688796680498,yes
94,248,0.002074688796680498,no
95,275,0.002074688796680498,yes
96,176,5.202913631633715E-4,no
97,624,0.002074688796680498,yes
98,91,0.002074688796680498,yes
99,58,2.5405213149738326E-5,yes
100,132,2.97441998810232E-4,no
101,4088,0.9979253112033196,no
102,558,0.002074688796680498,no
103,727,0.9979253112033196,yes
104,150,0.002074688796680498,yes
105,503,0.9979253112033196,yes
106,325,0.002074688796680498,no
107,273,0.002074688796680498,yes
