ID,Size,Predicted,Actual
1,215,0.0020784176375165907,no
2,271,0.0020784176375165907,yes
3,458,0.0020784176375165907,yes
4,137,0.0020784176375165907,yes
5,357,0.0020784176375165907,yes
6,1242,0.0020784176375165907,yes
7,51,0.0020784176375165907,no
8,154,0.0020784176375165907,yes
9,31,0.0020784176375165907,no
10,928,0.0020784176375165907,no
11,180,0.0020784176375165907,no
12,260,0.0020784176375165907,yes
13,551,0.0020784176375165907,yes
14,40,4.1707048213717645E-4,no
15,361,0.0020784176375165907,yes
16,388,0.0020784176375165907,yes
17,51,0.0010413732272410306,no
18,577,0.0020784176375165907,no
19,32,0.0020784176375165907,no
20,66,0.0020784176375165907,no
21,188,0.0020784176375165907,yes
22,582,0.0020784176375165907,no
23,158,0.0020784176375165907,yes
24,50,0.0020784176375165907,no
25,27,0.0010413732272410306,no
26,928,0.0020784176375165907,yes
27,60,0.0020784176375165907,no
28,62,0.0020784176375165907,no
29,87,0.0020784176375165907,no
30,52,0.0020784176375165907,no
31,268,0.0020784176375165907,no
32,163,0.0020784176375165907,no
33,109,0.0020784176375165907,no
34,147,0.0020784176375165907,no
35,58,0.0020784176375165907,no
36,44,5.212294079712272E-4,no
37,106,0.0020784176375165907,no
38,139,0.0020784176375165907,no
39,326,0.0020784176375165907,no
40,648,0.0020784176375165907,no
41,778,0.9799653502731998,yes
42,314,0.0020784176375165907,yes
43,55,0.0020784176375165907,no
44,191,0.0020784176375165907,no
45,90,0.0020784176375165907,no
46,273,0.0020784176375165907,no
47,137,0.0020784176375165907,no
48,79,0.0020784176375165907,no
49,82,0.0020784176375165907,no
50,147,0.0020784176375165907,no
51,422,0.0020784176375165907,no
52,978,0.0020784176375165907,yes
53,467,0.0020784176375165907,yes
54,189,0.0020784176375165907,no
55,153,0.0020784176375165907,no
56,84,0.0010413732272410306,yes
57,182,0.0020784176375165907,no
58,358,0.0020784176375165907,no
59,126,0.0020784176375165907,no
60,106,0.0020784176375165907,no
61,109,0.0020784176375165907,no
62,85,0.0020784176375165907,no
63,236,0.0020784176375165907,no
64,314,0.0020784176375165907,yes
65,694,0.0020784176375165907,yes
66,27,0.0010413732272410306,no
67,89,0.0020784176375165907,no
68,301,0.0020784176375165907,yes
69,153,0.0020784176375165907,no
70,92,0.0020784176375165907,no
71,466,0.0020784176375165907,no
72,93,0.0020784176375165907,no
73,244,0.0020784176375165907,no
74,192,0.0020784176375165907,no
75,250,0.0020784176375165907,yes
76,109,0.0020784176375165907,no
77,601,0.0020784176375165907,no
78,565,0.9799653502731998,yes
79,69,0.0020784176375165907,no
80,77,0.0020784176375165907,no
81,94,0.0010413732272410306,no
82,337,0.9799653502731998,no
83,214,0.0010413732272410306,no
84,79,0.09245560580215506,no
85,25,6.947311344297044E-4,no
86,84,0.0010413732272410306,no
87,34,0.0020784176375165907,no
88,33,0.0010413732272410306,no
89,104,0.0010413732272410306,no
90,172,0.0020784176375165907,no
91,70,0.0020784176375165907,no
92,140,0.0020784176375165907,no
93,154,0.0020784176375165907,yes
94,248,0.0020784176375165907,no
95,275,0.0020784176375165907,yes
96,176,0.0020784176375165907,no
97,624,0.0020784176375165907,yes
98,91,0.0020784176375165907,yes
99,58,5.212294079712272E-4,yes
100,132,0.0020784176375165907,no
101,4088,0.9799653502731998,no
