ID,Size,Predicted,Actual
1,215,0.0012987012987012985,no
2,273,0.9987012987012985,yes
3,460,0.0012987012987012985,yes
4,138,0.0012987012987012985,no
5,358,0.9987012987012985,no
6,1248,0.9987012987012985,yes
7,51,0.0012987012987012985,no
8,157,0.0012987012987012985,no
9,31,3.253090435914118E-4,no
10,981,0.0012987012987012985,yes
11,180,6.501950585175552E-4,no
12,262,0.9987012987012985,no
13,553,0.0012987012987012985,yes
14,40,0.0012987012987012985,no
15,369,0.9987012987012985,no
16,390,0.9987012987012985,no
17,51,0.0012987012987012985,no
18,577,0.0012987012987012985,yes
19,32,4.336513443191673E-4,no
20,66,4.336513443191673E-4,no
21,188,0.0012987012987012985,yes
22,582,0.0012987012987012985,yes
23,160,0.0012987012987012985,yes
24,50,6.501950585175552E-4,no
25,27,1.859427296392711E-4,no
26,923,0.9987012987012985,yes
27,60,6.501950585175552E-4,no
28,62,3.253090435914118E-4,no
29,87,0.0012987012987012985,no
30,52,4.336513443191673E-4,no
31,268,0.0012987012987012985,no
32,163,0.0012987012987012985,no
33,109,6.501950585175552E-4,no
34,147,6.501950585175552E-4,no
35,58,1.859427296392711E-4,no
36,44,0.25016265452179565,no
37,106,0.9993498049414822,yes
38,139,0.0012987012987012985,no
39,326,0.0012987012987012985,no
40,648,0.0012987012987012985,no
41,792,0.0012987012987012985,yes
42,319,0.0012987012987012985,yes
43,55,0.0012987012987012985,no
44,191,6.501950585175552E-4,no
45,90,0.33347788378143967,no
46,273,0.0012987012987012985,yes
47,137,6.501950585175552E-4,no
48,79,0.0012987012987012985,no
49,82,4.336513443191673E-4,no
50,147,6.501950585175552E-4,no
51,422,0.0012987012987012985,no
52,979,0.0012987012987012985,yes
53,495,0.9987012987012985,yes
54,189,6.501950585175552E-4,no
55,167,0.0012987012987012985,yes
56,86,0.0012987012987012985,no
57,182,6.501950585175552E-4,yes
58,361,0.0012987012987012985,yes
59,126,0.0012987012987012985,no
60,106,0.9993498049414822,no
61,109,6.501950585175552E-4,no
62,85,6.501950585175552E-4,no
63,236,6.501950585175552E-4,no
64,315,0.9987012987012985,yes
65,695,0.0012987012987012985,yes
66,27,1.859427296392711E-4,no
67,89,0.0012987012987012985,no
68,301,0.9987012987012985,yes
69,153,6.501950585175552E-4,yes
70,92,0.4999999999999999,no
71,466,0.0012987012987012985,yes
72,93,0.4999999999999999,no
73,244,6.501950585175552E-4,no
74,192,6.501950585175552E-4,yes
75,252,0.9987012987012985,no
76,109,6.501950585175552E-4,no
77,601,0.0012987012987012985,yes
78,565,0.0012987012987012985,yes
79,69,0.9987012987012985,no
80,77,6.501950585175552E-4,no
81,94,0.4999999999999999,yes
82,337,0.0012987012987012985,no
83,214,0.0012987012987012985,no
84,79,0.0012987012987012985,no
85,25,1.859427296392711E-4,no
86,84,4.336513443191673E-4,no
87,34,4.336513443191673E-4,no
88,33,4.336513443191673E-4,no
89,104,0.9993498049414822,no
90,172,6.501950585175552E-4,no
91,70,0.0012987012987012985,no
92,140,0.0012987012987012985,no
93,156,0.0012987012987012985,no
94,248,6.501950585175552E-4,no
95,277,0.9987012987012985,yes
96,189,0.0012987012987012985,no
97,194,0.0012987012987012985,no
98,346,0.0012987012987012985,no
99,304,0.0012987012987012985,no
100,356,0.0012987012987012985,yes
101,84,0.9987012987012985,no
102,53,0.0012987012987012985,no
103,132,4.336513443191673E-4,no
104,4088,0.0012987012987012985,no
105,691,0.9987012987012985,yes
106,47,0.0012987012987012985,no
107,101,0.0012987012987012985,no
108,510,0.0012987012987012985,yes
109,328,0.9987012987012985,yes
110,273,0.0012987012987012985,yes
111,136,6.501950585175552E-4,no
112,56,0.0012987012987012985,no
113,74,1.859427296392711E-4,no
114,359,0.9987012987012985,yes
115,174,6.501950585175552E-4,no
116,148,0.33347788378143967,no
117,92,0.4999999999999999,no
118,45,0.4999999999999999,no
119,168,0.0012987012987012985,no
120,77,6.501950585175552E-4,no
121,666,0.0012987012987012985,no
122,88,0.0012987012987012985,no
123,262,0.9987012987012985,no
124,54,6.501950585175552E-4,no
125,48,2.602811035918792E-4,yes
126,140,0.0012987012987012985,no
127,152,6.501950585175552E-4,no
128,39,2.602811035918792E-4,no
129,131,4.336513443191673E-4,no
130,47,6.501950585175552E-4,no
131,129,4.336513443191673E-4,no
132,43,6.501950585175552E-4,no
133,243,6.501950585175552E-4,yes
134,62,3.253090435914118E-4,no
135,45,0.4999999999999999,no
136,97,0.0012987012987012985,no
137,476,0.0012987012987012985,no
138,77,0.33347788378143967,no
139,69,4.336513443191673E-4,no
140,104,0.0012987012987012985,no
141,115,0.0012987012987012985,no
142,421,0.0012987012987012985,no
143,61,0.0012987012987012985,no
144,2009,0.0012987012987012985,no
145,179,0.0012987012987012985,no
146,106,0.0012987012987012985,no
147,33,0.0012987012987012985,no
148,657,0.0012987012987012985,no
149,295,0.0012987012987012985,no
150,872,0.0012987012987012985,no
151,444,0.0012987012987012985,no
152,168,0.0012987012987012985,no
153,752,0.0012987012987012985,no
154,135,0.0012987012987012985,no
155,1126,0.0012987012987012985,no
156,163,0.0012987012987012985,no
157,184,0.0012987012987012985,no
158,51,0.0012987012987012985,no
159,25,0.0012987012987012985,no
160,180,0.0012987012987012985,no
161,64,0.9987012987012985,no
162,101,0.0012987012987012985,no
163,512,0.0012987012987012985,no
164,187,0.0012987012987012985,no
165,56,0.0012987012987012985,no
166,39,0.0012987012987012985,no
167,261,0.9987012987012985,no
168,73,0.0012987012987012985,no
169,65,0.9987012987012985,no
170,329,0.0012987012987012985,no
171,64,0.9987012987012985,no
172,164,0.0012987012987012985,no
173,624,0.0012987012987012985,no
174,74,0.0012987012987012985,no
175,117,0.0012987012987012985,no
176,84,4.336513443191673E-4,no
177,226,0.0012987012987012985,no
178,76,0.33347788378143967,no
179,323,0.0012987012987012985,no
180,72,4.336513443191673E-4,no
181,42,3.253090435914118E-4,no
182,48,2.602811035918792E-4,no
183,89,0.0012987012987012985,no
184,380,0.0012987012987012985,no
185,141,0.0012987012987012985,no
186,148,0.0012987012987012985,no
187,191,6.501950585175552E-4,no
188,46,6.501950585175552E-4,no
189,165,0.0012987012987012985,no
190,171,6.501950585175552E-4,no
191,56,0.0012987012987012985,no
192,179,6.501950585175552E-4,no
193,74,1.859427296392711E-4,no
194,36,6.501950585175552E-4,no
195,37,2.1691973969631235E-4,no
196,34,4.336513443191673E-4,no
197,34,4.336513443191673E-4,no
198,38,0.33347788378143967,no
199,39,2.602811035918792E-4,no
200,156,6.501950585175552E-4,no
201,84,4.336513443191673E-4,no
202,117,6.501950585175552E-4,no
203,94,0.4999999999999999,no
204,71,0.0012987012987012985,no
205,183,6.501950585175552E-4,no
206,85,6.501950585175552E-4,no
207,183,6.501950585175552E-4,no
208,70,0.0012987012987012985,no
209,54,6.501950585175552E-4,no
210,160,0.9987012987012985,no
211,125,0.0012987012987012985,no
212,151,6.501950585175552E-4,no
213,422,0.0012987012987012985,no
214,221,0.0012987012987012985,no
215,50,6.501950585175552E-4,no
216,42,3.253090435914118E-4,no
217,624,0.0012987012987012985,no
218,377,0.0012987012987012985,no
219,383,0.0012987012987012985,yes
220,72,4.336513443191673E-4,no
221,92,0.4999999999999999,no
222,282,0.9987012987012985,no
223,371,0.0012987012987012985,no
