ID,Size,Predicted,Actual
1,215,0.0017634651579230183,no
2,274,0.008756813755527776,no
3,461,0.009238584034945863,no
4,138,0.0016885000775601017,no
5,358,0.0016239323092052925,no
6,1248,0.9779213104373302,yes
7,51,0.0014067482155560268,no
8,45,0.0015966110687326155,no
9,157,0.0015179963425352475,no
10,31,0.0014067482155560268,no
11,1008,0.0033935281083803236,yes
12,55,0.003218152513983271,no
13,204,0.0036603825504581376,no
14,55,0.0015966110687326155,no
15,103,0.0016578841065072608,no
16,83,0.003995003636839423,no
17,262,0.0017956308368329529,no
18,83,0.0016578841065072608,no
19,867,0.03890019415258636,yes
20,40,0.0014067482155560268,no
21,387,0.0037912959032451333,yes
22,390,0.0018682620491859534,no
23,51,0.0014067482155560268,no
24,637,0.8048498509562796,yes
25,32,0.0014067482155560268,no
26,68,0.0016416119299956927,yes
27,547,0.024853461635496527,yes
28,566,0.040414316108995894,no
29,314,0.17036991137783966,yes
30,839,0.01522775953519359,yes
31,211,0.0035439553734293613,yes
32,31,0.0015966110687326155,no
33,50,0.0014067482155560268,no
34,27,0.0014067482155560268,no
35,175,0.012528113850490467,no
36,50,0.001601083298088745,no
37,62,0.0014067482155560268,no
38,87,0.0016462100023578498,no
39,52,0.0014067482155560268,no
40,373,0.08200280430856223,no
41,224,0.0018164192093744773,no
42,118,0.0014835703535460577,yes
43,83,0.00144640549988769,no
44,147,0.0014835703535460577,no
45,58,0.001601083298088745,no
46,44,0.0014067482155560268,no
47,106,0.00144640549988769,no
48,189,0.0034818590408355766,no
49,151,0.0015179963425352475,no
50,352,0.0016239323092052925,no
51,849,0.0018048146085358151,yes
52,877,0.001792107740454464,yes
53,41,0.0015966110687326155,no
54,319,0.0016026047312270887,yes
55,27,0.0014067482155560268,yes
56,55,0.0014067482155560268,no
57,94,0.00144640549988769,no
58,191,0.0015179963425352475,no
59,90,0.00144640549988769,no
60,90,0.00144640549988769,no
61,271,0.0017956308368329529,yes
62,152,0.0017228479801312882,no
63,90,0.0016462100023578498,yes
64,82,0.0016462100023578498,no
65,147,0.0014835703535460577,no
66,422,0.0018839456106757198,yes
67,1059,0.1239257516744174,yes
68,530,0.0016710275887375585,yes
69,205,0.008577167901140076,yes
70,190,0.004180529927435171,no
71,86,0.0016462100023578498,no
72,207,0.008601024757101236,no
73,397,0.003754162974134182,no
74,573,0.001672823619287286,no
75,126,0.0014835703535460577,no
76,167,0.00422186223746972,yes
77,109,0.0014835703535460577,yes
78,85,0.00144640549988769,no
79,237,0.0015777194251372392,no
80,424,0.0045576564973404165,yes
81,47,0.0014067482155560268,no
82,1118,0.7364502420049389,yes
83,27,0.0014067482155560268,no
84,89,0.00144640549988769,no
85,474,0.009513864695718932,yes
86,166,0.0015179963425352475,no
87,92,0.00144640549988769,no
88,476,0.00459749899957,yes
89,93,0.00144640549988769,no
90,244,0.0015777194251372392,no
91,204,0.004278840086396815,yes
92,252,0.0015777194251372392,no
93,109,0.0014835703535460577,yes
94,618,0.00926817829358872,yes
95,565,0.001672823619287286,yes
96,69,0.00144640549988769,no
97,77,0.00144640549988769,no
98,97,0.00144640549988769,no
99,343,0.0016239323092052925,no
100,214,0.001549451200147012,no
101,79,0.00144640549988769,no
102,25,0.0014067482155560268,no
103,84,0.00144640549988769,no
104,34,0.0014067482155560268,no
105,33,0.0014067482155560268,no
106,104,0.00144640549988769,no
107,172,0.0015179963425352475,no
108,70,0.00144640549988769,no
109,140,0.0014835703535460577,no
110,156,0.0015179963425352475,no
111,142,0.0014835703535460577,no
112,152,0.0015179963425352475,no
113,31,0.0014067482155560268,no
114,60,0.0014067482155560268,no
115,60,0.0014067482155560268,no
116,876,0.0015746232048408238,no
117,61,0.0014067482155560268,no
118,185,0.0015179963425352475,no
119,264,0.0015777194251372392,no
120,43,0.0015966110687326155,no
121,248,0.0015777194251372392,no
122,310,0.13921206232582387,no
123,199,0.0035439553734293613,no
124,194,0.0017634651579230183,no
125,346,0.0016239323092052925,no
126,90,0.0035395836957649433,no
127,335,0.002197416120444809,yes
128,372,0.03191988923352189,no
129,84,0.00144640549988769,no
130,53,0.0014067482155560268,no
131,148,0.004097385068690382,yes
132,4088,4.6405035958453623E-7,no
133,860,0.9909520776560364,yes
134,47,0.0014067482155560268,no
135,101,0.00144640549988769,no
136,517,0.0016710275887375585,yes
137,327,0.0016239323092052925,yes
138,275,0.0017956308368329529,yes
139,136,0.004097385068690382,yes
140,56,0.0014067482155560268,no
141,74,0.00144640549988769,yes
142,362,0.003724335317320833,yes
143,174,0.0017276731968218586,no
144,148,0.0016885000775601017,no
145,92,0.0016462100023578498,no
146,45,0.0014067482155560268,yes
147,39,0.0015966110687326155,no
148,182,0.0017228479801312882,no
149,77,0.0016462100023578498,no
150,666,0.001653941502258234,no
151,88,0.00144640549988769,yes
152,263,0.0015777194251372392,yes
153,54,0.0014067482155560268,no
154,76,0.0016462100023578498,yes
155,132,0.0016885000775601017,no
156,160,0.0015179963425352475,no
157,152,0.0015179963425352475,no
158,39,0.0014067482155560268,no
159,677,0.001653941502258234,no
160,131,0.0014835703535460577,no
161,47,0.0014067482155560268,no
162,129,0.0014835703535460577,no
163,43,0.0014067482155560268,no
164,73,0.0016416119299956927,no
165,257,0.0015777194251372392,no
166,356,0.0016239323092052925,no
167,62,0.0014067482155560268,no
168,45,0.0014067482155560268,no
169,97,0.00144640549988769,no
170,131,0.008483508590574533,yes
171,68,0.0016416119299956927,yes
172,99,0.0016578841065072608,no
173,53,0.0015966110687326155,no
174,81,0.0016416119299956927,no
175,78,0.0016416119299956927,yes
176,69,0.0016416119299956927,no
177,69,0.0016416119299956927,no
178,77,0.0016416119299956927,no
179,72,0.0016416119299956927,no
180,72,0.0016416119299956927,no
181,63,0.0015966110687326155,no
182,50,0.0015966110687326155,no
183,28,0.0015966110687326155,no
184,96,0.0016578841065072608,no
185,40,0.0015966110687326155,no
186,76,0.0016416119299956927,no
187,49,0.0015966110687326155,no
188,63,0.0015966110687326155,no
189,55,0.0015966110687326155,no
190,45,0.0015966110687326155,no
191,476,0.0016651837194204442,no
192,77,0.00144640549988769,no
193,69,0.00144640549988769,no
194,104,0.00144640549988769,no
195,115,0.0014835703535460577,no
196,421,0.0016553344032495104,no
197,61,0.0014067482155560268,no
198,2009,4.0846589626824864E-4,no
199,179,0.0015179963425352475,no
200,106,0.00144640549988769,no
201,33,0.0014067482155560268,no
202,657,0.0016642494720153329,no
203,295,0.0016026047312270887,no
204,872,0.0015746232048408238,no
205,444,0.0016553344032495104,no
206,168,0.0015179963425352475,no
207,752,0.0016216554125249361,no
208,135,0.0014835703535460577,no
209,1126,0.0013598851774084945,no
210,163,0.0015179963425352475,no
211,184,0.0015179963425352475,no
212,51,0.0014067482155560268,no
