ID,Size,Predicted,Actual
1,215,6.722086405385026E-4,no
2,273,0.0016564060162837422,yes
3,460,0.0017473027578871474,yes
4,138,0.0016002635722321423,no
5,358,0.0016857848266078415,no
6,1248,0.010980086254897766,yes
7,51,6.389454835956501E-4,no
8,157,0.0016002635722321423,no
9,31,6.389454835956501E-4,no
10,981,0.001458164836565554,yes
11,180,6.607826458889605E-4,no
12,262,0.0016564060162837422,no
13,553,0.0018127081183360717,yes
14,40,6.389454835956501E-4,no
15,369,0.008026130707538747,no
16,390,0.0017160736886063124,no
17,51,6.389454835956501E-4,no
18,577,7.485990045663408E-4,yes
19,32,6.389454835956501E-4,no
20,66,6.389454835956501E-4,no
21,188,0.0016002635722321423,yes
22,582,7.62755679003908E-4,yes
23,160,0.0016002635722321423,yes
24,50,6.389454835956501E-4,no
25,27,6.285132704501444E-4,no
26,923,0.00962809714950197,yes
27,60,6.389454835956501E-4,no
28,62,6.389454835956501E-4,no
29,87,6.496985014925216E-4,no
30,52,6.389454835956501E-4,no
31,268,6.839876278409287E-4,no
32,163,6.607826458889605E-4,no
33,109,6.496985014925216E-4,no
34,147,6.607826458889605E-4,no
35,58,6.389454835956501E-4,no
36,44,6.389454835956501E-4,no
37,106,6.496985014925216E-4,yes
38,139,6.607826458889605E-4,no
39,326,6.96131186244792E-4,no
40,648,7.773566324372229E-4,no
41,792,0.0024363745917786845,yes
42,319,0.004738859824348334,yes
43,55,6.389454835956501E-4,no
44,191,6.607826458889605E-4,no
45,90,6.496985014925216E-4,no
46,273,6.839876278409287E-4,yes
47,137,6.496985014925216E-4,no
48,79,6.389454835956501E-4,no
49,82,6.389454835956501E-4,no
50,147,6.607826458889605E-4,no
51,422,7.215606204371799E-4,no
52,979,0.0021188550150509416,yes
53,495,0.007426070522498389,yes
54,189,6.607826458889605E-4,no
55,167,0.0013217090001275795,yes
56,86,0.0015734451366080282,no
57,182,6.607826458889605E-4,yes
58,361,0.0015333697304425636,yes
59,126,6.496985014925216E-4,no
60,106,6.496985014925216E-4,no
61,109,6.496985014925216E-4,no
62,85,6.496985014925216E-4,no
63,236,6.722086405385026E-4,no
64,315,0.007885348471079289,yes
65,695,0.22491985770247847,yes
66,27,6.285132704501444E-4,no
67,89,6.496985014925216E-4,no
68,301,0.0016564060162837422,yes
69,153,6.607826458889605E-4,yes
70,92,6.496985014925216E-4,no
71,466,0.0017473027578871474,yes
72,93,6.496985014925216E-4,no
73,244,6.722086405385026E-4,no
74,192,6.607826458889605E-4,yes
75,252,0.0016564060162837422,no
76,109,6.496985014925216E-4,no
77,601,7.62755679003908E-4,yes
78,565,0.0018127081183360717,yes
79,69,6.389454835956501E-4,no
80,77,6.389454835956501E-4,no
81,94,6.496985014925216E-4,yes
82,337,6.96131186244792E-4,no
83,214,6.722086405385026E-4,no
84,79,6.389454835956501E-4,no
85,25,6.285132704501444E-4,no
86,84,6.496985014925216E-4,no
87,34,6.389454835956501E-4,no
88,33,6.389454835956501E-4,no
89,104,6.496985014925216E-4,no
90,172,6.607826458889605E-4,no
91,70,6.389454835956501E-4,no
92,140,6.607826458889605E-4,no
93,156,0.0016002635722321423,no
94,248,6.839876278409287E-4,no
95,277,0.0016564060162837422,yes
96,189,0.005710847358739754,no
97,194,0.004279738440611785,no
98,346,0.004798707066220419,no
99,304,0.031132918874567688,no
100,356,0.010406802436786622,yes
101,84,0.004423966645631471,no
102,53,0.0015474270636251922,no
103,132,6.496985014925216E-4,no
104,4088,0.003919734985728713,no
105,691,0.008089405687617917,yes
106,47,0.0031325887668057495,no
107,101,0.0014895933079674714,no
108,510,0.003694131362819488,yes
109,328,0.0016857848266078415,yes
110,273,6.839876278409287E-4,yes
111,136,6.496985014925216E-4,no
112,56,6.389454835956501E-4,no
113,74,6.389454835956501E-4,no
114,359,0.0017160736886063124,yes
115,174,6.607826458889605E-4,no
116,148,6.607826458889605E-4,no
117,92,6.496985014925216E-4,no
118,45,6.389454835956501E-4,no
119,168,6.607826458889605E-4,no
120,77,6.389454835956501E-4,no
121,666,0.0018822667769945035,no
122,88,6.496985014925216E-4,no
123,262,0.0016564060162837422,no
124,54,6.389454835956501E-4,no
125,48,6.389454835956501E-4,yes
126,140,6.607826458889605E-4,no
127,152,6.607826458889605E-4,no
128,39,6.389454835956501E-4,no
129,131,6.496985014925216E-4,no
130,47,6.389454835956501E-4,no
131,129,6.496985014925216E-4,no
132,43,6.389454835956501E-4,no
133,243,6.722086405385026E-4,yes
134,62,6.389454835956501E-4,no
135,45,6.389454835956501E-4,no
136,97,0.0015734451366080282,no
137,476,0.9994697758754078,no
138,77,0.0011357828296750928,no
