ID,Size,Predicted,Actual
1,215,0.06109610320895764,no
2,273,0.11960836722311319,yes
3,460,0.12535922076608524,yes
4,138,0.11601894475085751,no
5,358,0.12147524427237438,no
6,1248,0.3525830659879199,yes
7,51,0.058247136238441306,no
8,157,0.11601894475085751,no
9,31,0.058247136238441306,no
10,981,0.14685001747586526,yes
11,180,0.06011939870100012,no
12,262,0.11960836722311319,no
13,553,0.12945166075581765,yes
14,40,0.058247136238441306,no
15,369,0.2841298815390746,no
16,390,0.12339179381610355,no
17,51,0.058247136238441306,no
18,577,0.06757479380418646,yes
19,32,0.058247136238441306,no
20,66,0.058247136238441306,no
21,188,0.11601894475085751,yes
22,582,0.0687657260852336,yes
23,160,0.11601894475085751,yes
24,50,0.058247136238441306,no
25,27,0.057350098535486116,no
26,923,0.3229018130209665,yes
27,60,0.058247136238441306,no
28,62,0.058247136238441306,no
29,87,0.0591699935431171,no
30,52,0.058247136238441306,no
31,268,0.06210088245313316,no
32,163,0.06011939870100012,no
33,109,0.0591699935431171,no
34,147,0.06011939870100012,no
35,58,0.058247136238441306,no
36,44,0.058247136238441306,no
37,106,0.0591699935431171,yes
38,139,0.06011939870100012,no
39,326,0.06313453636367121,no
40,648,0.06999088588080656,no
41,792,0.16665782523753025,yes
42,319,0.28051563277554015,yes
43,55,0.058247136238441306,no
44,191,0.06011939870100012,no
45,90,0.0591699935431171,no
46,273,0.06210088245313316,yes
47,137,0.0591699935431171,no
48,79,0.058247136238441306,no
49,82,0.058247136238441306,no
50,147,0.06011939870100012,no
51,422,0.06529179462328859,no
52,979,0.1481159425252575,yes
53,495,0.2895075634087547,yes
54,189,0.06011939870100012,no
55,167,0.11499031819170004,yes
56,86,0.11429412293784642,no
57,182,0.06011939870100012,yes
58,361,0.12260440419036121,yes
59,126,0.0591699935431171,no
60,106,0.0591699935431171,no
61,109,0.0591699935431171,no
62,85,0.0591699935431171,no
63,236,0.06109610320895764,no
64,315,0.28051563277554015,yes
65,695,0.6356576290675464,yes
66,27,0.057350098535486116,no
67,89,0.0591699935431171,no
68,301,0.11960836722311319,yes
69,153,0.06011939870100012,yes
70,92,0.0591699935431171,no
71,466,0.12535922076608524,yes
72,93,0.0591699935431171,no
73,244,0.06109610320895764,no
74,192,0.06011939870100012,yes
75,252,0.11960836722311319,no
76,109,0.0591699935431171,no
77,601,0.0687657260852336,yes
78,565,0.12945166075581765,yes
79,69,0.058247136238441306,no
80,77,0.058247136238441306,no
81,94,0.0591699935431171,yes
82,337,0.06313453636367121,no
83,214,0.06109610320895764,no
84,79,0.058247136238441306,no
85,25,0.057350098535486116,no
86,84,0.0591699935431171,no
87,34,0.058247136238441306,no
88,33,0.058247136238441306,no
89,104,0.0591699935431171,no
90,172,0.06011939870100012,no
91,70,0.058247136238441306,no
92,140,0.06011939870100012,no
93,156,0.11601894475085751,no
94,248,0.06210088245313316,no
95,277,0.11960836722311319,yes
96,189,0.27426664493120173,no
97,194,0.27769449125385154,no
98,346,0.28476775873494486,no
99,304,0.30729332310842217,no
100,356,0.2886840674462742,yes
101,84,0.26678780874127894,no
102,53,0.1126144205137925,no
103,132,0.0591699935431171,no
104,4088,0.27571854565296694,no
105,691,0.30756031017854724,yes
106,47,0.2615843520771858,no
107,101,0.11355726707419618,no
108,510,0.15389382394117798,yes
109,328,0.12147524427237438,yes
110,273,0.06210088245313316,yes
111,136,0.0591699935431171,no
112,56,0.058247136238441306,no
113,74,0.058247136238441306,no
114,359,0.12339179381610355,yes
115,174,0.06011939870100012,no
116,148,0.06011939870100012,no
117,92,0.0591699935431171,no
118,45,0.058247136238441306,no
119,168,0.06011939870100012,no
120,77,0.058247136238441306,no
121,666,0.13376274027805216,no
122,88,0.0591699935431171,no
123,262,0.11960836722311319,no
124,54,0.058247136238441306,no
125,48,0.058247136238441306,yes
126,140,0.06011939870100012,no
127,152,0.06011939870100012,no
128,39,0.058247136238441306,no
129,131,0.0591699935431171,no
130,47,0.058247136238441306,no
131,129,0.0591699935431171,no
132,43,0.058247136238441306,no
133,243,0.06109610320895764,yes
134,62,0.058247136238441306,no
135,45,0.058247136238441306,no
136,97,0.11429412293784642,no
137,476,0.17311879144073347,no
138,77,0.11184947862873594,no
139,69,0.11184947862873594,no
140,104,0.11355570698768859,no
141,115,0.11431804433245316,no
142,421,0.15816005419245416,no
143,61,0.11161216741202057,no
144,2009,0.9997405038374114,no
145,179,0.11818718442073566,no
146,106,0.11355570698768859,no
147,33,0.11161216741202057,no
148,657,0.2504574264235332,no
149,295,0.1306487909523551,no
150,872,0.4097262214825743,no
151,444,0.1640619933800912,no
152,168,0.11818718442073566,no
153,752,0.30228264592136633,no
154,135,0.11431804433245316,no
155,1126,0.69245236645707,no
156,163,0.11818718442073566,no
157,184,0.11818718442073566,no
158,51,0.11161216741202057,no
159,25,0.11070585979155775,no
160,180,0.11818718442073566,no
161,64,0.11161216741202057,no
162,101,0.11355570698768859,no
163,512,0.18022104890055582,no
164,187,0.11818718442073566,no
165,56,0.11161216741202057,no
166,39,0.11161216741202057,no
167,261,0.12801971206240187,no
168,73,0.11184947862873594,no
169,65,0.11161216741202057,no
170,329,0.13593958234555695,no
171,64,0.11161216741202057,no
172,164,0.11818718442073566,no
173,624,0.463106802720458,no
174,74,0.11184947862873594,no
175,117,0.11431804433245316,no
176,84,0.11351923111468526,no
177,226,0.28447546737566615,no
178,76,0.11184947862873594,no
179,323,0.13593958234555695,no
180,72,0.058247136238441306,no
181,42,0.058247136238441306,no
182,48,0.058247136238441306,no
183,89,0.0591699935431171,no
184,380,0.064197890079624,no
185,141,0.11601894475085751,no
186,148,0.11601894475085751,no
187,191,0.06011939870100012,no
188,46,0.058247136238441306,no
189,165,0.06011939870100012,no
190,171,0.06011939870100012,no
191,56,0.058247136238441306,no
192,179,0.06011939870100012,no
193,74,0.058247136238441306,no
194,36,0.058247136238441306,no
195,37,0.058247136238441306,no
196,34,0.058247136238441306,no
197,34,0.058247136238441306,no
198,38,0.058247136238441306,no
199,39,0.058247136238441306,no
200,156,0.06011939870100012,no
201,84,0.0591699935431171,no
202,117,0.0591699935431171,no
203,94,0.0591699935431171,no
204,71,0.058247136238441306,no
205,183,0.06011939870100012,no
206,85,0.0591699935431171,no
207,183,0.06011939870100012,no
208,70,0.058247136238441306,no
209,54,0.058247136238441306,no
210,160,0.06011939870100012,no
211,125,0.0591699935431171,no
212,151,0.06011939870100012,no
213,422,0.12535922076608524,no
214,221,0.11778998453568343,no
215,50,0.058247136238441306,no
216,42,0.058247136238441306,no
217,624,0.0687657260852336,no
218,377,0.064197890079624,no
219,383,0.064197890079624,yes
220,72,0.058247136238441306,no
221,92,0.0591699935431171,no
222,282,0.11960836722311319,no
223,371,0.064197890079624,no
224,47,0.058247136238441306,no
225,108,0.0591699935431171,no
226,111,0.0591699935431171,no
227,319,0.06313453636367121,no
228,129,0.0591699935431171,no
229,49,0.058247136238441306,no
230,358,0.06313453636367121,no
231,277,0.06210088245313316,no
232,49,0.058247136238441306,no
233,89,0.0591699935431171,no
234,41,0.058247136238441306,no
235,66,0.058247136238441306,no
236,63,0.058247136238441306,no
237,24,0.057350098535486116,no
238,50,0.058247136238441306,no
239,72,0.058247136238441306,no
240,47,0.058247136238441306,no
241,47,0.058247136238441306,no
242,183,0.06011939870100012,no
243,49,0.058247136238441306,no
244,50,0.058247136238441306,no
245,98,0.0591699935431171,no
246,143,0.06011939870100012,no
247,43,0.058247136238441306,no
248,42,0.058247136238441306,no
249,56,0.058247136238441306,no
250,44,0.058247136238441306,no
251,26,0.057350098535486116,no
252,254,0.06210088245313316,no
253,16883,0.06311858864331109,no
254,74,0.058247136238441306,no
255,153,0.06011939870100012,no
256,68,0.058247136238441306,no
257,100,0.0591699935431171,no
258,550,0.12945166075581765,no
259,437,0.06529179462328859,no
260,1038,0.33353106583534115,no
261,104,0.11429412293784642,no
262,332,0.12147524427237438,no
263,123,0.0591699935431171,no
264,106,0.0591699935431171,no
265,106,0.0591699935431171,no
266,94,0.11429412293784642,no
267,101,0.11429412293784642,no
268,38,0.058247136238441306,no
269,628,0.2972333163748265,no
270,32,0.058247136238441306,no
271,111,0.0591699935431171,no
272,35,0.058247136238441306,no
273,90,0.0591699935431171,no
274,27,0.057350098535486116,no
275,28,0.058247136238441306,no
276,92,0.0591699935431171,no
277,956,0.19139762676684158,yes
278,67,0.058247136238441306,no
279,29,0.058247136238441306,no
280,105,0.0591699935431171,no
281,72,0.058247136238441306,no
282,37,0.058247136238441306,no
283,47,0.058247136238441306,no
284,31,0.058247136238441306,no
285,90,0.0591699935431171,no
286,223,0.06109610320895764,no
287,214,0.06109610320895764,no
288,107,0.0591699935431171,no
289,37,0.058247136238441306,no
290,27,0.057350098535486116,no
291,48,0.058247136238441306,no
292,167,0.11601894475085751,no
293,213,0.06109610320895764,no
294,867,0.14308365173260792,no
295,159,0.06011939870100012,no
296,100,0.0591699935431171,no
297,96,0.0591699935431171,no
298,842,0.3157939638928945,no
299,525,0.12945166075581765,no
300,83,0.0591699935431171,no
301,63,0.058247136238441306,no
302,76,0.058247136238441306,no
303,202,0.06109610320895764,no
304,155,0.11601894475085751,no
305,1263,0.16187639934105635,no
306,74,0.058247136238441306,no
307,101,0.0591699935431171,no
308,27,0.057350098535486116,no
309,22,0.057350098535486116,no
310,491,0.12737875687582806,no
311,62,0.058247136238441306,no
312,59,0.058247136238441306,no
313,99,0.0591699935431171,no
314,27,0.057350098535486116,no
315,77,0.058247136238441306,no
316,846,0.07388178957878569,yes
317,64,0.058247136238441306,no
318,45,0.058247136238441306,no
319,63,0.058247136238441306,no
320,54,0.058247136238441306,no
321,64,0.058247136238441306,no
322,132,0.0591699935431171,no
323,177,0.06011939870100012,no
324,70,0.058247136238441306,no
325,36,0.058247136238441306,no
326,58,0.058247136238441306,no
327,62,0.058247136238441306,no
328,132,0.0591699935431171,no
329,74,0.058247136238441306,no
330,86,0.11429412293784642,no
331,74,0.058247136238441306,no
332,48,0.058247136238441306,no
333,74,0.058247136238441306,no
334,86,0.0591699935431171,no
335,355,0.06313453636367121,no
336,53,0.058247136238441306,no
337,804,0.14066261854919618,no
338,75,0.058247136238441306,no
339,125,0.0591699935431171,no
340,200,0.06109610320895764,no
341,134,0.0591699935431171,no
342,57,0.058247136238441306,no
343,123,0.0591699935431171,no
344,266,0.11884022445360165,no
345,162,0.06011939870100012,no
346,130,0.0591699935431171,no
347,108,0.0591699935431171,no
348,354,0.12147524427237438,no
349,88,0.11429412293784642,no
350,28,0.058247136238441306,no
351,58,0.1126144205137925,no
352,308,0.12147524427237438,no
353,343,0.28051563277554015,no
354,103,0.0591699935431171,no
355,35,0.058247136238441306,no
356,98,0.0591699935431171,no
357,117,0.11429412293784642,no
358,558,0.06757479380418646,no
