ID,Size,Predicted,Actual
1,215,0.0010463866664503375,no
2,273,0.0038111620992041877,yes
3,460,0.0037645142151878706,yes
4,138,0.0034250204450570567,no
5,358,0.0038767343542847506,no
6,1248,0.0124763072326978,yes
7,51,9.588032185005601E-4,no
8,157,0.0036228573212893633,no
9,31,9.457639231073233E-4,no
10,981,0.0026008510862547763,yes
11,180,0.0010275507197063988,no
12,262,0.0036116041684328298,no
13,553,0.003771707191832438,yes
14,40,9.588032185005601E-4,no
15,369,0.01749546740568976,no
16,390,0.00390907661397439,no
17,51,9.588032185005601E-4,no
18,577,0.0011057128608115462,yes
19,32,9.457639231073233E-4,no
20,66,9.714248848030412E-4,no
21,188,0.003693617039231699,yes
22,582,0.0011057128608115462,yes
23,160,0.0036228573212893633,yes
24,50,9.588032185005601E-4,no
25,27,9.457639231073233E-4,no
26,923,0.020795329003395563,yes
27,60,9.714248848030412E-4,no
28,62,9.714248848030412E-4,no
29,87,9.836078285313226E-4,no
30,52,9.588032185005601E-4,no
31,268,0.0010629513654268022,no
32,163,0.0010275507197063988,no
33,109,9.953314994178924E-4,no
34,147,0.0010173218815003715,no
35,58,9.714248848030412E-4,no
36,44,9.588032185005601E-4,no
37,106,9.953314994178924E-4,yes
38,139,0.0010065759479081795,no
39,326,0.0010832864285406972,no
40,648,0.0010961302992302303,no
41,792,0.004474869391299638,yes
42,319,0.013079592835564773,yes
43,55,9.714248848030412E-4,no
44,191,0.0010372446474159953,no
45,90,9.836078285313226E-4,no
46,273,0.0010703445681939526,yes
47,137,0.0010065759479081795,no
48,79,9.836078285313226E-4,no
49,82,9.836078285313226E-4,no
50,147,0.0010173218815003715,no
51,422,0.001101488251883337,no
52,979,0.00328690322552525,yes
53,495,0.016676066324999184,yes
54,189,0.0010372446474159953,no
55,167,0.003194559269562997,yes
56,86,0.0035030986006503264,no
57,182,0.0010275507197063988,yes
58,361,0.0034966484666040217,yes
59,126,0.0010065759479081795,no
60,106,9.953314994178924E-4,no
61,109,9.953314994178924E-4,no
62,85,9.836078285313226E-4,no
63,236,0.001054960645097248,no
64,315,0.017866759357892514,yes
65,695,0.21864349982398015,yes
66,27,9.457639231073233E-4,no
67,89,9.836078285313226E-4,no
68,301,0.003835245518703837,yes
69,153,0.0010173218815003715,yes
