ID,Size,Predicted,Actual
1,215,0.08870301321599768,no
2,273,0.0317416595354998,no
3,460,0.03308781473005825,yes
4,138,0.030081727889066195,no
5,358,0.03257647867213056,no
6,1154,0.9999999967485267,yes
7,51,0.028481426728135546,no
8,157,0.030081727889066195,no
9,31,0.027890336826976794,no
10,1009,0.7439182432214956,yes
11,193,0.08870301321599768,no
12,83,0.08346027123949978,yes
13,262,0.0317416595354998,no
14,638,0.38650589591861817,no
15,40,0.027890336826976794,no
16,374,0.0934926936066186,no
17,390,0.032770295648283605,no
18,51,0.028481426728135546,no
19,579,0.5889372814782278,yes
20,32,0.027890336826976794,no
21,66,0.028481426728135546,no
22,260,0.38060658458266877,no
23,596,0.9771363271569653,no
24,198,0.6032379790520183,no
25,50,0.028481426728135546,no
26,27,0.027890336826976794,no
27,926,0.9798299151609157,no
28,60,0.028481426728135546,no
29,62,0.028481426728135546,no
30,87,0.0290450382534113,no
31,52,0.028481426728135546,no
32,297,0.7797504105550849,no
33,163,0.0305509802128886,no
34,118,0.08490745955382313,no
35,83,0.08346027123949978,no
36,147,0.030081727889066195,no
37,58,0.028481426728135546,no
38,44,0.028481426728135546,no
39,106,0.1905238439632998,no
40,192,0.7736370817929997,no
41,151,0.08626661551030634,no
42,352,0.09297426125445056,no
43,752,0.960795553209735,yes
44,877,0.9224978521270889,yes
45,319,0.27231081887892394,no
46,27,0.18136342726809718,no
47,55,0.028481426728135546,no
48,94,0.08346027123949978,no
49,191,0.030985125026455555,no
50,90,0.0290450382534113,no
51,90,0.08346027123949978,no
52,271,0.20200370300335857,no
53,138,0.08626661551030634,no
54,79,0.0290450382534113,no
55,82,0.0290450382534113,no
56,147,0.030081727889066195,no
57,422,0.03292048735224362,no
58,1026,0.9999519637639359,yes
59,530,0.9827592138612841,no
60,189,0.0305509802128886,yes
61,167,0.08753321265042249,yes
62,86,0.0290450382534113,no
63,195,0.26364282325955224,yes
64,374,0.13009555597626676,no
65,573,0.3892622620654479,no
66,126,0.02957912564166335,no
67,106,0.08490745955382313,yes
68,109,0.02957912564166335,no
69,85,0.0290450382534113,no
70,237,0.08977208753918735,no
71,345,0.09297426125445056,no
72,47,0.08192984477800443,no
73,781,0.3738763828889283,yes
74,27,0.027890336826976794,no
75,89,0.0290450382534113,no
76,300,0.8525567442909247,yes
77,166,0.9251851186371721,no
78,92,0.0290450382534113,no
79,497,0.9999910197697602,yes
80,93,0.0290450382534113,no
81,244,0.031382522343578224,no
82,183,0.19571721179745136,yes
83,252,0.0317416595354998,no
84,109,0.02957912564166335,yes
85,607,0.9825702275646254,yes
86,565,0.6187243006890611,yes
87,69,0.028481426728135546,no
88,77,0.0290450382534113,no
89,97,0.18764563209012064,no
90,343,0.09297426125445056,no
91,214,0.030985125026455555,no
92,79,0.0290450382534113,no
93,25,0.027890336826976794,no
94,84,0.0290450382534113,no
95,34,0.027890336826976794,no
96,33,0.027890336826976794,no
97,104,0.02957912564166335,no
98,172,0.0305509802128886,no
99,70,0.028481426728135546,no
100,140,0.030081727889066195,no
101,156,0.030081727889066195,no
102,142,0.08626661551030634,no
103,152,0.08626661551030634,no
104,31,0.08032121969356727,no
105,60,0.08192984477800443,no
106,60,0.08192984477800443,no
107,876,0.0845300051119104,no
108,61,0.08192984477800443,no
109,185,0.08753321265042249,no
110,264,0.09073683182045483,no
111,248,0.0317416595354998,no
112,286,0.38304845045946573,yes
