ID,Size,Predicted,Actual
1,215,8.300272134305159E-5,no
2,273,3.320362946309608E-5,no
3,460,3.4709830414435826E-5,yes
4,138,3.1394977590769984E-5,no
5,358,3.4095731155632225E-5,no
6,1154,0.9998673579264447,yes
7,51,2.9918565466104127E-5,no
8,157,3.1394977590769984E-5,no
9,31,2.9918565466104127E-5,no
10,1009,9.287843649886313E-4,yes
11,193,7.447466147047913E-5,no
12,83,8.327041704154495E-5,yes
13,262,3.320362946309608E-5,no
14,638,5.638812270465346E-4,no
15,40,2.9918565466104127E-5,no
16,374,7.871067862353761E-5,no
17,390,3.4095731155632225E-5,no
18,51,2.9918565466104127E-5,no
19,579,5.341433225025385E-4,yes
20,32,2.9918565466104127E-5,no
21,66,2.9918565466104127E-5,no
22,260,5.087163767940288E-4,no
23,596,0.015132161520974638,no
24,198,9.243992888732189E-4,no
25,50,2.9918565466104127E-5,no
26,27,2.9918565466104127E-5,no
27,926,0.011273144927673224,no
28,60,2.9918565466104127E-5,no
29,62,2.9918565466104127E-5,no
30,87,3.068108557706379E-5,no
31,52,2.9918565466104127E-5,no
32,297,9.574633360714001E-4,no
33,163,3.1394977590769984E-5,no
34,118,7.459065028670015E-5,no
35,83,8.327041704154495E-5,no
36,147,3.1394977590769984E-5,no
37,58,2.9918565466104127E-5,no
38,44,2.9918565466104127E-5,no
39,106,1.4887597386313358E-4,no
40,192,0.0024734112038970295,no
41,151,7.447166617403854E-5,no
42,352,7.867360075711469E-5,no
43,752,0.007529234673745964,yes
44,877,0.0032125253963810577,yes
45,319,2.8355425523289606E-4,no
46,27,1.414917705610872E-4,no
47,55,2.9918565466104127E-5,no
48,94,8.7692324380413E-5,no
49,191,3.2055985587231034E-5,no
50,90,3.068108557706379E-5,no
51,90,8.587800490262329E-5,no
52,271,1.72339163907819E-4,no
53,138,7.97876661402177E-5,no
54,79,3.068108557706379E-5,no
55,82,3.068108557706379E-5,no
56,147,3.1394977590769984E-5,no
57,422,3.4438679844729955E-5,no
58,1026,0.7562799794207801,yes
59,530,0.01127483032161808,no
60,189,3.2055985587231034E-5,yes
61,167,8.146747875118019E-5,yes
62,86,3.068108557706379E-5,no
63,195,2.767889809735214E-4,yes
64,374,1.407477157525584E-4,no
65,573,0.9729832898473114,no
66,126,3.1394977590769984E-5,no
67,106,7.797345609214481E-5,yes
68,109,3.068108557706379E-5,no
69,85,3.068108557706379E-5,no
70,237,8.300272134305159E-5,no
71,345,7.772169858194054E-5,no
72,47,6.871454717770467E-5,no
73,781,4.93100380013261E-4,yes
74,27,2.9918565466104127E-5,no
75,89,3.068108557706379E-5,no
76,300,0.003356712831969876,yes
77,166,0.0029647850781098686,no
78,92,3.068108557706379E-5,no
79,497,0.9193686472968388,yes
80,93,3.068108557706379E-5,no
81,244,3.266010631006559E-5,no
82,183,1.663832662968783E-4,yes
83,252,3.266010631006559E-5,no
84,109,3.068108557706379E-5,yes
85,607,0.012146857012704446,yes
86,565,0.0010903810342932686,yes
87,69,2.9918565466104127E-5,no
88,77,3.068108557706379E-5,no
89,97,1.5924790800297885E-4,no
90,343,8.560262492028349E-5,no
91,214,3.266010631006559E-5,no
92,79,3.068108557706379E-5,no
93,25,2.9918565466104127E-5,no
94,84,3.068108557706379E-5,no
95,34,2.9918565466104127E-5,no
96,33,2.9918565466104127E-5,no
97,104,3.068108557706379E-5,no
98,172,3.2055985587231034E-5,no
99,70,2.9918565466104127E-5,no
100,140,3.1394977590769984E-5,no
101,156,3.1394977590769984E-5,no
102,142,1.6216967695054622E-4,no
103,152,1.952287620133773E-4,no
104,31,6.903544961192544E-5,no
105,60,7.079496815182321E-5,no
106,60,7.079496815182321E-5,no
107,876,1.0,no
108,61,7.079496815182321E-5,no
109,185,3.1632879303403324E-4,no
110,264,0.0030252914048419766,no
111,248,3.266010631006559E-5,no
112,286,5.063043381425597E-4,yes
113,185,4.888125255829552E-4,no
114,194,3.2055985587231034E-5,no
115,346,3.3683175612788515E-5,no
116,309,8.560262492028349E-5,no
117,363,0.45318488439944243,yes
118,84,3.068108557706379E-5,no
119,53,2.9918565466104127E-5,no
120,132,3.1394977590769984E-5,yes
121,4088,8.0982870410897E-8,no
122,721,0.7055955615229479,yes
123,47,2.9918565466104127E-5,no
124,101,3.068108557706379E-5,no
125,517,2.924948730215782E-4,yes
126,327,1.7482783513427853E-4,yes
127,274,0.0010335815094791776,yes
128,136,3.1394977590769984E-5,yes
129,56,2.9918565466104127E-5,no
130,74,3.068108557706379E-5,yes
131,361,0.011810917074108947,yes
132,174,3.2055985587231034E-5,no
133,148,3.1394977590769984E-5,no
134,92,3.068108557706379E-5,no
135,45,2.9918565466104127E-5,no
136,168,3.2055985587231034E-5,no
137,77,3.068108557706379E-5,no
138,666,3.5048673602736904E-5,no
139,88,3.068108557706379E-5,no
140,263,8.438396583028391E-5,no
141,54,2.9918565466104127E-5,no
142,51,1.5529059991401092E-4,no
143,132,1.3144790665502753E-4,no
144,160,7.416701069193736E-5,no
145,152,3.1394977590769984E-5,no
146,39,2.9918565466104127E-5,no
147,677,0.9999999988517074,no
148,131,3.1394977590769984E-5,no
149,47,2.9918565466104127E-5,no
150,129,3.1394977590769984E-5,no
151,43,2.9918565466104127E-5,no
152,257,1.550199899239015E-4,no
153,356,0.10451150397307123,no
154,62,2.9918565466104127E-5,no
155,45,2.9918565466104127E-5,no
156,97,3.068108557706379E-5,no
157,476,3.4709830414435826E-5,no
158,77,3.068108557706379E-5,no
159,69,2.9918565466104127E-5,no
160,104,3.068108557706379E-5,no
161,115,3.068108557706379E-5,no
162,421,3.4438679844729955E-5,no
163,61,2.9918565466104127E-5,no
164,2009,1.334230311248389E-5,no
165,179,3.2055985587231034E-5,no
166,106,3.068108557706379E-5,no
167,33,2.9918565466104127E-5,no
168,657,3.5048673602736904E-5,no
169,295,3.320362946309608E-5,no
170,872,3.3789708927202096E-5,no
171,444,3.4709830414435826E-5,no
172,168,3.2055985587231034E-5,no
173,752,3.4764677264278935E-5,no
174,135,3.1394977590769984E-5,no
175,1126,3.085922377326403E-5,no
176,163,3.1394977590769984E-5,no
177,184,3.2055985587231034E-5,no
178,51,2.9918565466104127E-5,no
179,25,2.9918565466104127E-5,no
180,180,3.2055985587231034E-5,no
181,64,2.9918565466104127E-5,no
182,101,3.068108557706379E-5,no
183,512,3.490743989511188E-5,no
184,187,3.2055985587231034E-5,no
185,56,2.9918565466104127E-5,no
186,39,2.9918565466104127E-5,no
187,261,3.320362946309608E-5,no
188,73,3.068108557706379E-5,no
189,65,2.9918565466104127E-5,no
190,329,3.3683175612788515E-5,no
191,64,2.9918565466104127E-5,no
192,164,3.2055985587231034E-5,no
193,624,3.507741220206579E-5,no
194,74,3.068108557706379E-5,no
195,117,3.1394977590769984E-5,no
196,84,3.068108557706379E-5,no
197,226,3.266010631006559E-5,no
198,76,3.068108557706379E-5,no
199,323,3.3683175612788515E-5,no
200,72,3.068108557706379E-5,no
201,42,2.9918565466104127E-5,no
202,48,2.9918565466104127E-5,no
203,89,3.068108557706379E-5,no
204,380,3.4095731155632225E-5,no
205,141,3.1394977590769984E-5,no
206,148,3.1394977590769984E-5,no
207,191,3.2055985587231034E-5,no
208,46,2.9918565466104127E-5,no
209,165,3.2055985587231034E-5,no
210,171,3.2055985587231034E-5,no
211,56,2.9918565466104127E-5,no
212,179,3.2055985587231034E-5,no
213,74,3.068108557706379E-5,no
214,36,2.9918565466104127E-5,no
215,37,2.9918565466104127E-5,no
216,34,2.9918565466104127E-5,no
217,34,2.9918565466104127E-5,no
218,38,2.9918565466104127E-5,no
219,39,2.9918565466104127E-5,no
220,156,3.1394977590769984E-5,no
221,84,3.068108557706379E-5,no
222,117,3.1394977590769984E-5,no
223,94,3.068108557706379E-5,no
224,71,3.068108557706379E-5,no
225,183,3.2055985587231034E-5,no
226,85,3.068108557706379E-5,no
227,183,3.2055985587231034E-5,no
228,70,2.9918565466104127E-5,no
229,54,2.9918565466104127E-5,no
230,160,3.1394977590769984E-5,no
231,128,7.97876661402177E-5,no
232,151,3.1394977590769984E-5,no
233,422,3.4438679844729955E-5,no
234,221,3.266010631006559E-5,no
