ID,Size,Predicted,Actual
1,212,6.8152519275786705E-6,no
2,274,6.014346824640905E-6,no
3,461,6.26233922507846E-6,no
4,138,5.5423232408926E-6,no
5,358,6.168876700083709E-6,no
6,1272,0.0014102394878362924,no
7,51,5.238571176447525E-6,no
8,45,5.238571176447525E-6,no
9,157,5.678696761901195E-6,no
10,31,5.238571176447525E-6,no
11,1406,3.6507880260871383E-4,yes
12,55,5.238571176447525E-6,no
13,204,5.803416274722559E-6,no
14,55,5.238571176447525E-6,no
15,103,5.5423232408926E-6,no
16,34,6.126216848973485E-6,no
17,83,5.395270724289165E-6,no
18,285,1.6559958196634934E-5,no
19,83,5.395270724289165E-6,no
20,129,1.2701188047858463E-5,no
21,867,5.7820556744434455E-6,yes
22,380,0.01405578077516604,no
23,40,5.238571176447525E-6,no
24,387,6.223464688320975E-6,yes
25,390,6.223464688320975E-6,no
26,51,5.238571176447525E-6,no
27,637,6.214864795351881E-6,yes
28,32,5.238571176447525E-6,no
29,68,5.395270724289165E-6,no
30,547,6.29187328914362E-6,yes
31,566,6.282304564416019E-6,no
32,314,7.435457577112201E-6,no
33,907,1.5962951948442417E-5,yes
34,275,1.6976742008429355E-5,no
35,31,5.238571176447525E-6,no
36,50,5.238571176447525E-6,no
37,27,5.238571176447525E-6,no
38,175,5.678696761901195E-6,no
39,50,5.238571176447525E-6,no
40,62,5.395270724289165E-6,no
41,87,5.395270724289165E-6,no
42,52,5.238571176447525E-6,no
43,373,6.168876700083709E-6,no
44,224,5.91557529591408E-6,no
45,118,5.5423232408926E-6,no
46,83,6.335945946232943E-6,no
47,147,5.678696761901195E-6,no
48,58,5.238571176447525E-6,no
49,44,5.238571176447525E-6,no
50,106,5.5423232408926E-6,no
51,238,8.787710378088697E-5,no
52,43,6.30676006923552E-6,no
53,185,2.915816622430925E-5,yes
54,189,5.803416274722559E-6,no
55,151,5.678696761901195E-6,no
56,364,2.2669582043328274E-5,no
57,910,0.0021798440672145024,no
58,889,0.0021264411934411014,no
59,43,6.38649330773676E-6,no
60,325,5.254837650006514E-5,no
61,27,5.238571176447525E-6,no
62,55,5.238571176447525E-6,no
63,93,6.335945946232943E-6,no
64,191,5.803416274722559E-6,no
65,90,5.395270724289165E-6,no
66,89,6.5775300230438775E-6,no
67,272,5.379482564818641E-5,no
68,152,6.9230624434096015E-6,no
69,90,5.395270724289165E-6,no
70,82,5.395270724289165E-6,no
71,148,6.9230624434096015E-6,no
72,421,5.3620758283539765E-5,yes
73,1190,0.0078102875078520755,yes
74,528,7.357993616541466E-6,yes
75,205,2.21397492808732E-5,no
76,190,5.803416274722559E-6,no
77,86,5.395270724289165E-6,no
78,212,5.190826184764007E-5,yes
79,404,5.3620758283539765E-5,no
80,572,7.34680354050523E-6,no
81,132,2.1143707665123967E-5,no
82,168,6.9230624434096015E-6,no
83,109,5.5423232408926E-6,yes
84,85,5.395270724289165E-6,no
85,107,1.0448823467284557E-5,no
86,237,5.91557529591408E-6,no
87,511,1.0088134820251084E-5,yes
88,47,5.238571176447525E-6,no
89,1328,0.4893032439669065,yes
90,27,5.238571176447525E-6,no
91,89,5.395270724289165E-6,no
92,482,7.381035992378603E-6,no
93,226,2.749415891055327E-4,no
94,166,5.678696761901195E-6,no
95,92,6.5775300230438775E-6,yes
96,476,6.285200966280484E-6,no
97,93,6.5775300230438775E-6,yes
98,244,5.91557529591408E-6,no
99,204,5.803416274722559E-6,no
100,252,5.91557529591408E-6,no
101,119,2.0367137827023798E-5,no
102,733,1.1471827115877902E-5,no
103,630,0.002326657130222637,no
104,69,5.395270724289165E-6,no
105,77,5.395270724289165E-6,no
106,97,5.395270724289165E-6,no
107,380,7.214156140868121E-6,no
108,214,5.803416274722559E-6,no
109,38,6.126216848973485E-6,no
110,79,5.395270724289165E-6,no
111,25,5.238571176447525E-6,no
112,84,5.395270724289165E-6,no
113,34,5.238571176447525E-6,no
114,33,5.238571176447525E-6,no
115,104,5.5423232408926E-6,no
116,193,6.8152519275786705E-6,no
117,70,5.395270724289165E-6,no
118,140,5.5423232408926E-6,no
119,22,6.151925716509434E-6,no
120,156,5.678696761901195E-6,no
121,142,5.5423232408926E-6,no
122,100,8.650563258597604E-6,yes
123,152,5.678696761901195E-6,no
124,31,5.238571176447525E-6,no
125,60,5.238571176447525E-6,no
126,60,5.238571176447525E-6,no
127,876,5.655187930932914E-6,no
128,61,5.395270724289165E-6,no
129,185,5.803416274722559E-6,no
130,264,5.91557529591408E-6,no
131,43,5.238571176447525E-6,no
132,248,5.91557529591408E-6,no
133,361,5.798917912386663E-5,yes
134,199,7.075111392902161E-6,yes
135,194,5.803416274722559E-6,yes
136,346,6.168876700083709E-6,yes
137,91,6.5775300230438775E-6,no
138,335,5.4551904008170276E-5,yes
139,370,1.7633070300864636E-5,no
140,82,6.5775300230438775E-6,no
141,53,5.238571176447525E-6,no
142,148,6.9230624434096015E-6,no
143,4088,2.795181148602068E-10,no
144,88,7.605583222494944E-6,no
145,878,0.009509672037892524,yes
146,37,6.126216848973485E-6,no
147,48,6.30676006923552E-6,no
