ID,Size,Predicted,Actual
1,215,3.84664495182906E-4,no
2,273,4.263528837010022E-4,yes
3,460,4.263528837010022E-4,yes
4,138,4.263528837010022E-4,no
5,358,4.263528837010022E-4,no
6,1248,5.315216882965663E-4,yes
7,51,3.84664495182906E-4,no
8,157,4.263528837010022E-4,no
9,31,3.84664495182906E-4,no
10,981,4.263528837010022E-4,yes
11,180,3.84664495182906E-4,no
12,262,4.263528837010022E-4,no
13,553,4.263528837010022E-4,yes
14,40,3.84664495182906E-4,no
15,369,5.315216882965663E-4,no
16,390,4.263528837010022E-4,no
17,51,3.84664495182906E-4,no
18,577,3.84664495182906E-4,yes
19,32,3.84664495182906E-4,no
20,66,3.84664495182906E-4,no
21,188,4.263528837010022E-4,yes
22,582,3.84664495182906E-4,yes
23,160,4.263528837010022E-4,yes
24,50,3.84664495182906E-4,no
25,27,3.84664495182906E-4,no
26,923,5.315216882965663E-4,yes
27,60,3.84664495182906E-4,no
28,62,3.84664495182906E-4,no
29,87,3.84664495182906E-4,no
30,52,3.84664495182906E-4,no
31,268,3.84664495182906E-4,no
32,163,3.84664495182906E-4,no
33,109,3.84664495182906E-4,no
34,147,3.84664495182906E-4,no
35,58,3.84664495182906E-4,no
36,44,3.84664495182906E-4,no
37,106,3.84664495182906E-4,yes
38,139,3.84664495182906E-4,no
39,326,3.84664495182906E-4,no
40,648,3.84664495182906E-4,no
41,792,5.315216882965663E-4,yes
42,319,5.315216882965663E-4,yes
43,55,3.84664495182906E-4,no
44,191,3.84664495182906E-4,no
45,90,3.84664495182906E-4,no
46,273,3.84664495182906E-4,yes
47,137,3.84664495182906E-4,no
48,79,3.84664495182906E-4,no
49,82,3.84664495182906E-4,no
50,147,3.84664495182906E-4,no
51,422,3.84664495182906E-4,no
52,979,4.263528837010022E-4,yes
53,495,5.315216882965663E-4,yes
54,189,3.84664495182906E-4,no
55,167,4.263528837010022E-4,yes
56,86,4.263528837010022E-4,no
57,182,3.84664495182906E-4,yes
58,361,4.263528837010022E-4,yes
59,126,3.84664495182906E-4,no
60,106,3.84664495182906E-4,no
61,109,3.84664495182906E-4,no
62,85,3.84664495182906E-4,no
63,236,3.84664495182906E-4,no
64,315,5.315216882965663E-4,yes
65,695,7.452842759705985E-4,yes
