ID,Size,Predicted,Actual
1,215,3.562974554125785E-4,no
2,273,3.4728175499015173E-4,no
3,460,3.6509597812153544E-4,yes
4,138,3.312539260046248E-4,no
5,358,3.566182474984189E-4,no
6,1154,0.9999791172063422,yes
7,51,3.168845623046562E-4,no
8,157,3.312539260046248E-4,no
9,31,3.117052180781722E-4,no
10,1009,0.0024964691231246635,yes
11,193,3.562974554125785E-4,no
12,83,3.3664659560848735E-4,yes
13,262,3.4728175499015173E-4,no
14,638,5.880725846927173E-4,no
15,40,3.117052180781722E-4,no
16,374,3.756566201465894E-4,no
17,390,3.5917585889782037E-4,no
18,51,3.168845623046562E-4,no
19,579,0.0011382465796480733,yes
20,32,3.117052180781722E-4,no
21,66,3.168845623046562E-4,no
22,260,5.539366641470648E-4,no
23,596,0.035758649122669094,no
24,198,0.0012816807573491384,no
25,50,3.168845623046562E-4,no
26,27,3.117052180781722E-4,no
27,926,0.045825085396591525,no
28,60,3.168845623046562E-4,no
29,62,3.168845623046562E-4,no
30,87,3.218767262997018E-4,no
31,52,3.168845623046562E-4,no
32,297,0.0025811986585463614,no
33,163,3.3561704469692105E-4,no
34,118,3.4150849963634995E-4,no
35,83,3.3664659560848735E-4,no
36,147,3.312539260046248E-4,no
37,58,3.168845623046562E-4,no
38,44,3.168845623046562E-4,no
39,106,8.177159413299132E-4,no
40,192,0.002855637996207571,no
41,151,3.4738850867511767E-4,no
42,352,3.728163322363999E-4,no
43,752,0.003393717433469041,yes
44,877,0.0467777357790936,yes
45,319,0.0013507468914891782,no
46,27,7.8027331017608E-4,no
47,55,3.168845623046562E-4,no
48,94,3.380041094161498E-4,no
49,191,3.397492341766122E-4,no
50,90,3.218767262997018E-4,no
51,90,3.380041094161498E-4,no
52,271,8.720135742665171E-4,no
53,138,3.4738850867511767E-4,no
54,79,3.218767262997018E-4,no
55,82,3.218767262997018E-4,no
56,147,3.312539260046248E-4,no
57,422,3.6144501919292655E-4,no
58,1026,0.9886914774597244,yes
59,530,0.04801079220616304,no
60,189,3.3561704469692105E-4,yes
61,167,3.519640695703819E-4,yes
62,86,3.218767262997018E-4,no
63,195,0.0012816807573491384,yes
64,374,5.660309323063076E-4,no
65,573,8.992319554254663E-4,no
66,126,3.26670229789854E-4,no
67,106,3.425816281436074E-4,yes
68,109,3.26670229789854E-4,no
69,85,3.218767262997018E-4,no
70,237,3.6037829252813107E-4,no
71,345,3.728163322363999E-4,no
72,47,3.3127848723265446E-4,no
73,781,5.725229828797476E-4,yes
74,27,3.117052180781722E-4,no
75,89,3.218767262997018E-4,no
76,300,0.024025288433123997,yes
77,166,0.04400499341377001,no
78,92,3.218767262997018E-4,no
79,497,0.9894474583131588,yes
80,93,3.218767262997018E-4,no
81,244,3.436406021285072E-4,no
82,183,8.401001701110774E-4,yes
83,252,3.4728175499015173E-4,no
84,109,3.26670229789854E-4,yes
85,607,0.048156324753324674,yes
86,565,0.001393602414047289,yes
87,69,3.168845623046562E-4,no
88,77,3.218767262997018E-4,no
89,97,8.082533820726254E-4,no
90,343,3.739878031228836E-4,no
91,214,3.397492341766122E-4,no
92,79,3.218767262997018E-4,no
93,25,3.117052180781722E-4,no
94,84,3.218767262997018E-4,no
95,34,3.117052180781722E-4,no
96,33,3.117052180781722E-4,no
97,104,3.26670229789854E-4,no
98,172,3.3561704469692105E-4,no
99,70,3.168845623046562E-4,no
100,140,3.312539260046248E-4,no
101,156,3.312539260046248E-4,no
102,142,3.505065233475902E-4,no
103,152,3.505065233475902E-4,no
104,31,3.2586395707532E-4,no
105,60,3.3142543349493737E-4,no
106,60,3.3142543349493737E-4,no
107,876,0.0010108772311784567,no
108,61,3.3142543349493737E-4,no
109,185,3.5911780567756687E-4,no
110,264,3.926255930106642E-4,no
111,248,3.4728175499015173E-4,no
112,286,5.543555483099423E-4,yes
113,185,5.289114021740358E-4,no
114,194,3.397492341766122E-4,no
115,346,3.566182474984189E-4,no
116,309,3.7100985565347803E-4,no
117,363,0.38650459444253976,yes
118,84,3.218767262997018E-4,no
119,53,3.168845623046562E-4,no
120,132,3.312539260046248E-4,yes
121,4088,8.990798299213355E-7,no
122,721,0.9564157190247622,yes
123,47,3.168845623046562E-4,no
124,101,3.218767262997018E-4,no
125,517,0.001387005868572651,yes
126,327,8.883181228144957E-4,yes
127,274,0.0013141819631538984,yes
128,136,3.312539260046248E-4,yes
129,56,3.168845623046562E-4,no
130,74,3.218767262997018E-4,yes
131,361,0.04677085853126381,yes
132,174,3.3561704469692105E-4,no
133,148,3.312539260046248E-4,no
134,92,3.218767262997018E-4,no
135,45,3.168845623046562E-4,no
136,168,3.3561704469692105E-4,no
137,77,3.218767262997018E-4,no
138,666,3.681944627012997E-4,no
139,88,3.218767262997018E-4,no
140,263,3.641967302784204E-4,no
141,54,3.168845623046562E-4,no
142,51,7.957237382472437E-4,no
143,132,3.505065233475902E-4,no
144,160,3.463003279492421E-4,no
145,152,3.312539260046248E-4,no
146,39,3.117052180781722E-4,no
147,677,7.159892825345472E-4,no
148,131,3.26670229789854E-4,no
149,47,3.168845623046562E-4,no
150,129,3.26670229789854E-4,no
151,43,3.117052180781722E-4,no
152,257,8.73173865683547E-4,no
153,356,4.258046262846195E-4,no
154,62,3.168845623046562E-4,no
155,45,3.168845623046562E-4,no
156,97,3.218767262997018E-4,no
157,476,3.6509597812153544E-4,no
158,77,3.218767262997018E-4,no
