ID,Size,Predicted,Actual
1,215,2.1179585037133383E-7,no
2,274,4.18792879389614E-6,no
3,461,4.4173077663439534E-6,no
4,138,2.028039507473134E-7,no
5,358,7.894168418118715E-8,no
6,1248,0.02733310297745031,yes
7,51,6.840492884019031E-8,no
8,45,1.8154562657548638E-7,no
9,157,7.381383654376747E-8,no
10,31,6.840492884019031E-8,no
11,1008,1.6149891981704116E-6,yes
12,55,3.713548829515529E-7,no
13,204,1.6724470875471232E-6,no
14,55,1.8522643414502732E-7,no
15,103,2.979323758844346E-7,no
16,83,4.787208612597859E-7,no
17,262,2.156461404726593E-7,no
18,83,2.3759973494524078E-7,no
19,867,1.2896508306259105E-4,yes
20,40,6.840492884019031E-8,no
21,387,1.7239521912017612E-6,yes
22,390,2.2430002312474457E-7,no
23,51,6.840492884019031E-8,no
24,637,0.0021579756344163726,yes
25,32,6.840492884019031E-8,no
26,68,1.8591569136420866E-7,yes
27,547,0.7778105340176004,yes
28,566,0.7087302233407922,no
29,314,9.343258607146222E-5,yes
30,839,6.077404454334844E-5,yes
31,211,1.5679601813495052E-6,yes
32,31,1.782810215885891E-7,no
33,50,6.840492884019031E-8,no
34,27,6.840492884019031E-8,no
35,175,0.2989479642097229,no
36,50,1.9229971544889657E-7,no
37,62,6.840492884019031E-8,no
38,87,1.9772410485203305E-7,no
39,52,6.840492884019031E-8,no
40,373,4.533230536179509E-5,no
41,224,2.9296555369988657E-7,no
42,118,7.214149995428629E-8,yes
43,83,7.033449497358478E-8,no
44,147,7.214149995428629E-8,no
45,58,1.9229971544889657E-7,no
46,44,6.840492884019031E-8,no
47,106,7.033449497358478E-8,no
48,189,1.6644273941146037E-6,no
49,151,7.381383654376747E-8,no
50,352,7.894168418118715E-8,no
51,849,3.041175303160028E-7,yes
52,877,2.145565815416811E-7,yes
53,41,1.7838714025741133E-7,no
54,319,7.791310470833442E-8,yes
55,27,6.840492884019031E-8,yes
56,55,6.840492884019031E-8,no
57,94,7.033449497358478E-8,no
58,191,7.381383654376747E-8,no
