ID,Size,Predicted,Actual
1,215,1.4213759730711737E-4,no
2,273,1.3676303597821298E-4,no
3,460,1.429662829552828E-4,yes
4,138,1.2931407622957287E-4,no
5,358,1.404371391728333E-4,no
6,1154,0.9983821890268503,yes
7,51,1.232333885398583E-4,no
8,157,1.2931407622957287E-4,no
9,31,1.232333885398583E-4,no
10,1009,4.971028009015346E-4,yes
11,193,1.395087313709484E-4,no
12,83,1.3305675915355224E-4,yes
13,262,1.3676303597821298E-4,no
14,638,2.707083536791063E-4,no
15,40,1.232333885398583E-4,no
16,374,1.47863601041669E-4,no
17,390,1.404371391728333E-4,no
18,51,1.232333885398583E-4,no
19,579,2.6569948307406897E-4,yes
20,32,1.232333885398583E-4,no
21,66,1.232333885398583E-4,no
22,260,2.564608145724127E-4,no
23,596,0.007720166748650658,no
24,198,4.947548166746736E-4,no
25,50,1.232333885398583E-4,no
26,27,1.232333885398583E-4,no
27,926,0.00575585511009827,no
28,60,1.232333885398583E-4,no
29,62,1.232333885398583E-4,no
30,87,1.2637387817595344E-4,no
31,52,1.232333885398583E-4,no
32,297,5.124591609201888E-4,no
33,163,1.2931407622957287E-4,no
34,118,1.3663230500587497E-4,no
35,83,1.3305675915355224E-4,no
36,147,1.2931407622957287E-4,no
37,58,1.232333885398583E-4,no
38,44,1.232333885398583E-4,no
39,106,2.726884741532562E-4,no
40,192,5.611336759791125E-4,no
41,151,1.3663230500587497E-4,no
42,352,1.47863601041669E-4,no
43,752,7.604197084248823E-4,yes
44,877,0.005870660768230823,yes
45,319,5.230106560896743E-4,no
46,27,2.6591291944978024E-4,no
47,55,1.232333885398583E-4,no
48,94,1.338643003459778E-4,no
49,191,1.320364572800778E-4,no
50,90,1.2637387817595344E-4,no
51,90,1.338643003459778E-4,no
52,271,2.9510255997481266E-4,no
53,138,1.3663230500587497E-4,no
54,79,1.2637387817595344E-4,no
55,82,1.2637387817595344E-4,no
56,147,1.2931407622957287E-4,no
57,422,1.4184956113206338E-4,no
58,1026,0.8509658470375366,yes
59,530,0.00606368575763345,no
60,189,1.320364572800778E-4,yes
61,167,1.395087313709484E-4,yes
62,86,1.2637387817595344E-4,no
63,195,4.964980132229066E-4,yes
64,374,2.577048108991663E-4,no
65,573,3.945403162173827E-4,no
66,126,1.2931407622957287E-4,no
67,106,1.335257355162845E-4,yes
68,109,1.2637387817595344E-4,no
69,85,1.2637387817595344E-4,no
70,237,1.4213759730711737E-4,no
71,345,1.4607466472042058E-4,no
72,47,1.2975021625334058E-4,no
73,781,2.6242765790087096E-4,yes
74,27,1.232333885398583E-4,no
75,89,1.2637387817595344E-4,no
76,300,0.005734809565416581,yes
77,166,0.0055376840515768645,no
78,92,1.2637387817595344E-4,no
79,497,0.8590057376566095,yes
80,93,1.2637387817595344E-4,no
81,244,1.3452453658795206E-4,no
82,183,2.849052708440584E-4,yes
83,252,1.3452453658795206E-4,no
84,109,1.2637387817595344E-4,yes
85,607,0.006077713692877787,yes
86,565,5.425411490316382E-4,yes
87,69,1.232333885398583E-4,no
88,77,1.2637387817595344E-4,no
