ID,Size,Predicted,Actual
1,215,6.777084939895464E-5,no
2,273,1.6714385137721875E-4,yes
3,460,1.7633045213446131E-4,yes
4,138,1.6147049151756895E-4,no
5,358,1.701128956297405E-4,no
6,1248,0.0011173556260326578,yes
7,51,6.44153906335183E-5,no
8,157,1.6147049151756895E-4,no
9,31,6.44153906335183E-5,no
10,981,1.4711355759347474E-4,yes
11,180,6.661821655407661E-5,no
12,262,1.6714385137721875E-4,no
13,553,1.829416629778653E-4,yes
14,40,6.44153906335183E-5,no
15,369,8.14569839556911E-4,no
16,390,1.7317407487088183E-4,no
17,51,6.44153906335183E-5,no
18,577,7.547757455952096E-5,yes
19,32,6.44153906335183E-5,no
20,66,6.44153906335183E-5,no
21,188,1.6147049151756895E-4,yes
22,582,7.690590246484296E-5,yes
23,160,1.6147049151756895E-4,yes
24,50,6.44153906335183E-5,no
25,27,6.336307064816016E-5,no
26,923,9.785729195685349E-4,yes
27,60,6.44153906335183E-5,no
28,62,6.44153906335183E-5,no
29,87,6.550009156648398E-5,no
30,52,6.44153906335183E-5,no
31,268,6.895911628878495E-5,no
32,163,6.661821655407661E-5,no
33,109,6.550009156648398E-5,no
34,147,6.661821655407661E-5,no
35,58,6.44153906335183E-5,no
36,44,6.44153906335183E-5,no
37,106,6.550009156648398E-5,yes
38,139,6.661821655407661E-5,no
39,326,7.0184187563261E-5,no
40,648,7.837909371560022E-5,no
41,792,2.4602137141428737E-4,yes
42,319,4.7951781893869436E-4,yes
43,55,6.44153906335183E-5,no
44,191,6.661821655407661E-5,no
45,90,6.550009156648398E-5,no
46,273,6.895911628878495E-5,yes
47,137,6.550009156648398E-5,no
48,79,6.44153906335183E-5,no
49,82,6.44153906335183E-5,no
50,147,6.661821655407661E-5,no
51,422,7.274965656107145E-5,no
52,979,2.1389752364433536E-4,yes
53,495,7.532604791998428E-4,yes
54,189,6.661821655407661E-5,no
55,167,1.3333021106393076E-4,yes
56,86,1.5876061181927418E-4,no
57,182,6.661821655407661E-5,yes
58,361,1.5471142008431074E-4,yes
59,126,6.550009156648398E-5,no
60,106,6.550009156648398E-5,no
61,109,6.550009156648398E-5,no
62,85,6.550009156648398E-5,no
63,236,6.777084939895464E-5,no
64,315,8.00179851228667E-4,yes
65,695,0.02840804434717195,yes
66,27,6.336307064816016E-5,no
67,89,6.550009156648398E-5,no
68,301,1.6714385137721875E-4,yes
69,153,6.661821655407661E-5,yes
70,92,6.550009156648398E-5,no
71,466,1.7633045213446131E-4,yes
72,93,6.550009156648398E-5,no
73,244,6.777084939895464E-5,no
74,192,6.661821655407661E-5,yes
75,252,1.6714385137721875E-4,no
76,109,6.550009156648398E-5,no
77,601,7.690590246484296E-5,yes
78,565,1.829416629778653E-4,yes
79,69,6.44153906335183E-5,no
80,77,6.44153906335183E-5,no
81,94,6.550009156648398E-5,yes
82,337,7.0184187563261E-5,no
83,214,6.777084939895464E-5,no
84,79,6.44153906335183E-5,no
85,25,6.336307064816016E-5,no
86,84,6.550009156648398E-5,no
87,34,6.44153906335183E-5,no
88,33,6.44153906335183E-5,no
89,104,6.550009156648398E-5,no
90,172,6.661821655407661E-5,no
91,70,6.44153906335183E-5,no
92,140,6.661821655407661E-5,no
93,156,1.6147049151756895E-4,no
94,248,6.895911628878495E-5,no
95,277,1.6714385137721875E-4,yes
96,189,5.783794159775994E-4,no
97,194,4.3288055910454447E-4,no
98,346,4.855999132737764E-4,no
99,304,0.0032272161054842006,no
100,356,0.0010584660102456011,yes
101,84,4.475270038518737E-4,no
102,53,1.56131730174143E-4,no
103,132,6.550009156648398E-5,no
104,4088,3.9633866746650805E-4,no
105,691,8.210386565810769E-4,yes
106,47,3.1652261055499135E-4,no
107,101,1.5028861414901275E-4,no
108,510,3.73451033321539E-4,yes
109,328,1.701128956297405E-4,yes
110,273,6.895911628878495E-5,yes
