ID,Size,Predicted,Actual
1,215,0.37,no
2,273,0.45,no
3,460,0.0,yes
4,138,0.44212301587301583,no
5,358,0.0,no
6,1154,0.97,yes
7,51,0.0,no
8,157,0.145,no
9,31,0.0,no
10,1009,0.52,yes
11,193,0.86,no
12,83,0.09316666666666666,yes
13,262,0.35,no
14,638,0.68,no
15,40,0.0,no
16,374,0.81,no
17,390,0.0,no
18,51,0.0,no
19,579,0.45,yes
20,32,0.0,no
21,66,0.01,no
22,260,0.89,no
23,596,0.65,no
24,198,0.66,no
25,50,0.0,no
26,27,0.0,no
27,926,0.34,no
28,60,0.006666666666666666,no
29,62,0.02,no
30,87,0.0,no
31,52,0.0,no
32,297,0.91,no
33,163,0.4320833333333334,no
34,118,0.82,no
35,83,0.09316666666666666,no
36,147,0.20576984126984127,no
37,58,0.543655316905317,no
38,44,0.3731785714285715,no
39,106,0.14,no
40,192,0.72,no
41,151,0.77,no
42,352,0.86,no
43,752,0.92,yes
44,877,0.83,yes
45,319,0.86,no
46,27,0.02,no
47,55,0.0,no
48,94,0.8277976190476191,no
49,191,0.0,no
50,90,0.0913015873015873,no
51,90,1.0,no
52,271,0.03,no
53,138,0.83,no
54,79,0.29,no
55,82,0.5243095238095237,no
56,147,0.20576984126984127,no
57,422,0.0,no
58,1026,0.79,yes
59,530,0.77,no
60,189,0.0,yes
61,167,0.42,yes
62,86,0.0375,no
63,195,0.79,yes
64,374,0.72,no
65,573,0.76,no
66,126,0.0075,no
67,106,0.1,yes
68,109,0.0,no
69,85,0.08933333333333333,no
70,237,0.23,no
71,345,0.82,no
72,47,0.06299999999999999,no
73,781,0.74,yes
74,27,0.0,no
75,89,0.034666666666666665,no
76,300,0.58,yes
77,166,0.78,no
78,92,0.6540970695970697,no
79,497,0.87,yes
80,93,0.5679126984126984,no
81,244,0.02,no
82,183,0.71,yes
83,252,0.08,no
84,109,0.0,yes
85,607,0.51,yes
86,565,0.59,yes
87,69,0.879,no
88,77,0.14,no
89,97,0.36,no
90,343,0.97,no
91,214,0.0,no
92,79,0.29,no
93,25,0.0,no
94,84,0.7091771284271284,no
95,34,0.0,no
96,33,0.0,no
97,104,0.5877406204906204,no
98,172,0.0,no
99,70,0.1668333333333333,no
100,140,0.09457142857142857,no
101,156,0.08,no
102,142,0.95,no
103,152,0.6205,no
104,31,0.01,no
105,60,0.036000000000000004,no
106,60,0.036000000000000004,no
107,876,0.65,no
108,61,0.05266666666666667,no
109,185,0.09,no
110,264,0.42,no
111,248,0.04,no
112,286,0.94,yes
113,185,0.64,no
114,194,0.0,no
115,346,0.01,no
116,309,0.54,no
117,363,0.72,yes
118,84,0.7091771284271284,no
119,53,0.0,no
120,132,0.0075,yes
121,4088,0.5,no
122,721,0.84,yes
123,47,0.0,no
124,101,0.8376349206349206,no
125,517,0.79,yes
126,327,0.07,yes
127,274,0.27,yes
128,136,0.6193849206349206,yes
129,56,0.016285714285714282,no
130,74,0.0,yes
131,361,0.73,yes
132,174,0.0,no
133,148,0.7950198412698412,no
134,92,0.6540970695970697,no
135,45,0.7497532467532467,no
136,168,0.01375,no
137,77,0.14,no
138,666,0.98,no
139,88,0.0,no
140,263,0.25,no
141,54,0.0,no
142,51,0.03,no
143,132,0.05,no
144,160,0.72,no
145,152,0.052892857142857144,no
146,39,0.02327272727272727,no
147,677,0.05,no
148,131,0.0075,no
149,47,0.0,no
150,129,0.0075,no
151,43,0.0075,no
152,257,0.75,no
153,356,0.98,no
154,62,0.02,no
155,45,0.7497532467532467,no
156,97,0.6171406926406927,no
157,476,0.0,no
158,77,0.14,no
159,69,0.879,no
160,104,0.5877406204906204,no
161,115,0.0,no
162,421,0.0,no
163,61,0.0,no
164,2009,0.7,no
165,179,0.0,no
166,106,0.21515404040404043,no
167,33,0.0,no
168,657,0.98,no
169,295,0.26,no
170,872,0.7,no
171,444,0.0,no
172,168,0.01375,no
173,752,0.98,no
174,135,0.41953571428571423,no
175,1126,0.7,no
176,163,0.4320833333333334,no
177,184,0.0,no
178,51,0.0,no
179,25,0.0,no
180,180,0.0,no
181,64,0.16241666666666668,no
182,101,0.8376349206349206,no
183,512,0.0,no
184,187,0.0,no
185,56,0.016285714285714282,no
186,39,0.02327272727272727,no
187,261,0.35,no
188,73,0.0,no
189,65,0.013809523809523811,no
190,329,0.01,no
191,64,0.16241666666666668,no
192,164,0.22375,no
193,624,0.32,no
194,74,0.0,no
195,117,0.0175,no
196,84,0.7091771284271284,no
197,226,0.0,no
198,76,0.02,no
199,323,0.05,no
200,72,0.0,no
201,42,0.0,no
202,48,0.0,no
203,89,0.034666666666666665,no
204,380,0.0,no
205,141,0.09457142857142857,no
206,148,0.7950198412698412,no
207,191,0.0,no
208,46,0.01425,no
209,165,0.15708333333333335,no
210,171,0.0,no
211,56,0.016285714285714282,no
212,179,0.0,no
213,74,0.0,no
214,36,0.0,no
215,37,0.024571428571428574,no
216,34,0.0,no
217,34,0.0,no
218,38,0.7170342712842713,no
219,39,0.02327272727272727,no
220,156,0.08,no
221,84,0.7091771284271284,no
222,117,0.0175,no
223,94,0.7557896825396825,no
224,71,0.01,no
225,183,0.0,no
226,85,0.08933333333333333,no
227,183,0.0,no
228,70,0.1668333333333333,no
229,54,0.0,no
230,160,0.3998809523809524,no
231,128,0.52,no
232,151,0.06889285714285713,no
233,422,0.0,no
234,221,0.0,no
235,50,0.0,no
236,42,0.0,no
237,624,0.32,no
238,377,0.0,no
239,382,0.22,no
240,72,0.0,no
241,92,0.6540970695970697,no
242,282,0.33,no
243,371,0.01,no
244,47,0.0,no
245,108,0.0,no
246,111,0.0,no
247,319,0.08,no
248,129,0.0075,no
249,49,0.0,no
250,358,0.0,no
251,277,0.33,no
252,49,0.0,no
253,89,0.034666666666666665,no
254,41,0.0,no
255,66,0.01,no
256,63,0.6029265873015871,no
257,24,0.0,no
258,50,0.0,no
259,72,0.0,no
260,47,0.0,no
261,47,0.0,no
262,183,0.0,no
263,49,0.0,no
264,50,0.0,no
265,98,0.6171406926406927,no
266,143,0.02914285714285714,no
267,43,0.0075,no
268,42,0.0,no
269,56,0.016285714285714282,no
270,44,0.3731785714285715,no
271,26,0.0,no
272,254,0.12,no
273,16883,0.34,no
274,74,0.0,no
275,153,0.052892857142857144,no
276,68,0.6326666666666666,no
277,100,0.34717063492063494,no
278,550,0.03,no
279,437,0.0,no
280,1038,0.7,no
281,104,0.5877406204906204,no
282,332,0.01,no
283,123,0.0175,no
284,106,0.21515404040404043,no
285,106,0.1,no
286,94,0.7557896825396825,no
287,101,0.8376349206349206,no
288,38,0.7170342712842713,no
289,628,0.32,no
290,32,0.0,no
291,111,0.0,no
292,35,0.0,no
293,90,0.0913015873015873,no
294,27,0.0,no
295,28,0.0,no
296,92,0.6540970695970697,no
297,979,0.35,no
298,67,0.06066666666666667,no
299,29,0.0,no
300,105,0.9487518037518038,no
301,72,0.0,no
302,37,0.024571428571428574,no
303,47,0.0,no
304,31,0.0,no
305,90,0.0913015873015873,no
306,223,0.0,no
307,214,0.0,no
308,107,0.039,no
309,37,0.024571428571428574,no
310,27,0.0,no
311,48,0.0,no
312,167,0.07041666666666666,no
313,213,0.0,no
314,867,0.7,no
315,159,0.3998809523809524,no
316,100,0.34717063492063494,no
317,96,0.9302222222222223,no
318,842,0.7,no
319,535,0.81,no
320,83,0.8127380952380953,no
321,63,0.6029265873015871,no
322,76,0.02,no
323,202,0.0,no
324,155,0.05,no
325,1263,0.7,no
326,74,0.0,no
327,101,0.8376349206349206,no
328,27,0.0,no
329,22,0.0,no
330,491,0.0,no
331,62,0.02,no
332,59,0.14991541791541793,no
333,99,0.14762698412698413,no
334,27,0.0,no
335,77,0.14,no
336,863,0.48,no
337,64,0.16241666666666668,no
338,45,0.7497532467532467,no
339,63,0.6029265873015871,no
340,54,0.0,no
341,64,0.16241666666666668,no
342,132,0.0075,no
343,182,0.34,no
344,70,0.1668333333333333,no
345,36,0.0,no
346,58,0.543655316905317,no
347,62,0.02,no
348,132,0.0075,no
349,74,0.0,no
350,86,0.0375,no
351,74,0.0,no
352,48,0.0,no
353,74,0.0,no
354,86,0.0375,no
355,355,0.0,no
356,53,0.0,no
357,804,0.7,no
358,75,0.0,no
359,125,0.0075,no
360,200,0.0,no
361,134,0.06916666666666665,no
362,57,0.11572566322566324,no
363,123,0.0175,no
364,266,0.6,no
365,162,0.8979642857142858,no
366,130,0.0075,no
367,108,0.0,no
368,354,0.0,no
369,88,0.0,no
370,28,0.0,no
371,58,0.543655316905317,no
372,308,0.1,no
373,343,0.01,no
374,103,0.21021031746031746,no
375,35,0.0,no
376,98,0.6171406926406927,no
377,117,0.0175,no
