ID,Size,Predicted,Actual
1,215,0.0,no
2,273,0.17,yes
3,460,0.47,yes
4,138,0.05,no
5,358,0.64,no
6,1248,0.45,yes
7,51,0.0,no
8,157,0.03,no
9,31,0.0,no
10,981,0.38,yes
11,180,0.0,no
12,262,0.48,no
13,553,0.52,yes
14,40,0.0,no
15,369,0.29,no
16,390,0.75,no
17,51,0.0,no
18,577,0.2,yes
19,32,0.0,no
20,66,0.01,no
21,188,0.12,yes
22,582,0.2,yes
23,160,0.22,yes
24,50,0.0,no
25,27,0.0,no
26,923,0.37,yes
27,60,0.12,no
28,62,0.0077142857142857135,no
29,87,0.0,no
30,52,0.0,no
31,268,0.04,no
32,163,0.21,no
33,109,0.08,no
34,147,0.01,no
35,58,0.01,no
36,44,0.30983333333333335,no
37,106,0.7,yes
38,139,0.01,no
39,326,0.14,no
40,648,0.18,no
41,792,0.58,yes
42,319,0.59,yes
43,55,0.0,no
44,191,0.0,no
45,90,0.4008333333333334,no
46,273,0.04,yes
47,137,0.01,no
48,79,0.1,no
49,82,0.0,no
50,147,0.01,no
51,422,0.21,no
52,979,0.53,yes
53,495,0.39,yes
54,189,0.0,no
55,167,0.315,yes
56,86,0.37,no
57,182,0.0,yes
58,361,0.16,yes
59,126,0.0,no
60,106,0.7,no
61,109,0.08,no
62,85,0.0,no
63,236,0.03,no
64,315,0.61,yes
65,695,0.36,yes
66,27,0.0,no
67,89,0.11983333333333332,no
68,301,0.57,yes
69,153,0.03,yes
70,92,0.5073333333333334,no
71,466,0.7,yes
72,93,0.9276666666666666,no
73,244,0.03,no
74,192,0.01,yes
75,252,0.2,no
76,109,0.08,no
77,601,0.18,yes
78,565,0.72,yes
79,69,0.6,no
80,77,0.07,no
81,94,0.6073809523809525,yes
82,337,0.15,no
83,214,0.0,no
84,79,0.1,no
85,25,0.0,no
86,84,0.0,no
87,34,0.0,no
88,33,0.0,no
89,104,0.86,no
90,172,0.0,no
91,70,0.28,no
92,140,0.01,no
93,156,0.29,no
94,248,0.03,no
95,277,0.27,yes
96,189,0.44,no
97,194,0.49,no
98,346,0.42,no
99,304,0.14,no
100,356,0.37,yes
101,84,0.47,no
102,53,0.02,no
103,132,0.0,no
104,4088,0.22,no
105,691,0.66,yes
106,47,0.17,no
107,101,0.09,no
108,510,0.72,yes
109,328,0.74,yes
110,273,0.04,yes
111,136,0.0,no
112,56,0.0,no
113,74,0.0,no
114,359,0.68,yes
115,174,0.0,no
116,148,0.3294761904761904,no
117,92,0.5073333333333334,no
118,45,0.34983333333333333,no
119,168,0.01,no
120,77,0.07,no
121,666,0.71,no
122,88,0.0,no
123,262,0.16,no
124,54,0.0,no
125,48,0.0,yes
126,140,0.01,no
127,152,0.03,no
128,39,0.0,no
129,131,0.0,no
130,47,0.0,no
131,129,0.0,no
132,43,0.0,no
133,243,0.03,yes
134,62,0.0077142857142857135,no
135,45,0.34983333333333333,no
136,97,0.12,no
137,476,0.21,no
