ID,Size,Predicted,Actual
1,76,4.914632827781436E-6,no
2,72,4.368567284673319E-6,no
3,196,2.358935648235516E-5,no
4,170,4.914632827781436E-6,no
5,120,6.938277087033748E-6,no
6,242,5.896921806816842E-5,no
7,312,2.9486347820958896E-5,no
8,151,9.073092835885898E-6,yes
9,53,0.09091084556458183,no
10,626,1.1792452830188678E-4,no
11,884,1.1792452830188678E-4,no
12,51,0.019610065220407973,no
13,61,2.8768699654775603E-6,no
14,162,0.058829651420959146,no
15,68,3.024400866188408E-6,no
16,86,7.863366149781399E-6,no
17,146,2.9486347820958896E-5,no
18,214,5.896921806816842E-5,yes
19,363,3.931435760339676E-5,no
20,72,4.368567284673319E-6,no
21,74,3.93171399139741E-6,no
22,327,0.5,yes
23,265,1.1792452830188678E-4,no
24,35,3.8048854729472645E-6,no
25,546,2.9486347820958896E-5,yes
26,297,2.9486347820958896E-5,no
27,45,1.4384391209410844E-6,no
28,129,7.371913011426465E-6,no
29,61,2.8768699654775603E-6,no
30,65,1.6382216776045266E-6,no
31,161,1.1794956476610602E-5,no
32,244,1.1792452830188678E-4,no
33,382,5.896921806816842E-5,no
34,49,2.8083734462673906E-6,no
35,41,1.0722917663004433E-6,no
36,97,5.8975477996249165E-6,no
37,1687,2.9486347820958896E-5,yes
38,960,1.1792452830188678E-4,yes
39,46,0.01587482868889904,no
40,465,1.1792452830188678E-4,no
41,383,1.1792452830188678E-4,yes
42,221,2.9486347820958896E-5,no
43,460,1.1794956476610602E-5,no
44,213,0.2500147431739105,no
45,47,2.2683040797717178E-6,no
46,162,0.058829651420959146,yes
47,82,3.5742880018300353E-6,no
48,131,7.371913011426465E-6,no
49,395,1.1792452830188678E-4,yes
50,159,6.552822300564853E-6,no
51,898,2.9486347820958896E-5,yes
52,43,0.038462934343083025,no
53,206,5.896921806816842E-5,no
54,58,3.370044349783643E-6,no
55,88,6.938277087033748E-6,no
56,166,2.358935648235516E-5,no
57,36,0.12820737711859279,no
58,84,0.06667007415212588,no
59,36,0.12820737711859279,no
60,201,0.07143579287916828,no
61,43,0.038462934343083025,no
62,49,2.8083734462673906E-6,no
63,73,3.1878809517737367E-6,no
64,75,2.9487912904500443E-6,no
65,131,7.371913011426465E-6,no
66,94,2.8768699654775603E-6,no
67,160,9.829169042049186E-6,no
68,193,1.3105472845460265E-5,no
69,109,1.0722710701265281E-5,no
70,70,2.6211495313384638E-6,no
71,220,2.9486347820958896E-5,no
72,63,3.469162613528346E-6,no
73,46,0.01587482868889904,no
74,54,0.04000217031294969,no
75,70,2.6211495313384638E-6,no
76,44,6.938277087033748E-6,no
77,51,0.019610065220407973,no
78,207,1.1794956476610602E-5,no
79,78,4.914632827781436E-6,no
80,59,2.4071791711600676E-6,no
81,56,0.1111131497829688,no
82,44,6.938277087033748E-6,no
83,224,9.829169042049186E-6,no
84,119,0.11112130425665759,no
85,113,5.8975477996249165E-6,no
86,83,4.368567284673319E-6,no
87,213,0.2500147431739105,no
88,175,1.1794956476610602E-5,no
89,47,2.2683040797717178E-6,no
90,224,9.829169042049186E-6,no
91,47,2.2683040797717178E-6,no
92,93,3.93171399139741E-6,no
93,47,2.2683040797717178E-6,no
94,155,1.1794956476610602E-5,no
95,167,6.552822300564853E-6,no
96,65,1.6382216776045266E-6,no
97,65,1.6382216776045266E-6,no
98,45,1.4384391209410844E-6,no
99,403,1.4743608645652112E-5,no
100,47,2.2683040797717178E-6,no
101,32,3.276432620163166E-6,no
102,56,0.1111131497829688,no
103,61,2.8768699654775603E-6,no
104,104,1.0722710701265281E-5,no
105,155,1.1794956476610602E-5,no
106,161,1.1794956476610602E-5,no
107,43,0.038462934343083025,no
108,43,0.038462934343083025,no
109,95,4.718049369668604E-6,no
110,79,0.03226162392511985,no
111,81,4.53658757882321E-6,no
112,51,0.019610065220407973,no
113,103,4.21254833899219E-6,no
114,831,1.1792452830188678E-4,yes
115,131,7.371913011426465E-6,no
116,36,0.12820737711859279,no
117,71,0.02222472687621883,no
118,41,1.0722917663004433E-6,no
119,39,1.2961762799740765E-6,no
120,345,0.16667977196776096,no
121,57,3.5742880018300353E-6,no
122,47,2.2683040797717178E-6,no
123,282,1.4743608645652112E-5,no
124,118,1.1794956476610602E-5,no
125,68,3.024400866188408E-6,no
126,207,1.1794956476610602E-5,no
127,152,0.333336609723014,no
128,54,0.04000217031294969,no
129,57,3.5742880018300353E-6,no
130,57,3.5742880018300353E-6,no
131,214,2.9486347820958896E-5,no
132,157,1.1792452830188678E-4,no
133,163,1.0722710701265281E-5,no
134,177,0.142869178405338,no
135,1080,1.1792452830188678E-4,yes
