ID,Size,Predicted,Actual
1,56,1.0109243426235362E-5,no
2,45,3.79101419019486E-6,no
3,45,3.79101419019486E-6,no
4,97,1.5163711845698745E-5,no
5,43,4.85248786177323E-6,no
6,76,1.7329881313562408E-5,no
7,76,1.7329881313562408E-5,no
8,72,1.1028245285490183E-5,no
9,196,6.064932936906987E-5,no
10,170,0.7142820006753622,no
11,120,2.4261497479889918E-5,no
12,88,4.043452113043986E-5,no
13,72,1.1028245285490183E-5,no
14,242,6.064932936906987E-5,no
15,312,6.064932936906987E-5,no
16,158,6.064932936906987E-5,no
17,53,7.1359789710770216E-6,no
18,626,1.21283947158023E-4,no
19,929,1.21283947158023E-4,no
20,87,1.21283947158023E-4,no
21,61,7.5819708936712285E-6,no
22,162,2.0218078073525006E-5,no
23,68,6.384832881918004E-6,no
24,39,1.21283947158023E-4,no
25,911,1.21283947158023E-4,no
26,56,1.21283947158023E-4,no
27,213,1.21283947158023E-4,no
28,478,1.21283947158023E-4,no
29,81,1.21283947158023E-4,no
30,311,1.21283947158023E-4,no
31,359,1.21283947158023E-4,no
32,146,6.064932936906987E-5,no
33,215,1.21283947158023E-4,no
34,437,4.043452113043986E-5,no
35,72,1.1028245285490183E-5,no
36,74,0.35714409502370076,no
37,327,1.21283947158023E-4,yes
38,265,1.21283947158023E-4,no
39,35,1.3478900393990346E-5,no
40,555,1.21283947158023E-4,no
41,297,6.064932936906987E-5,no
42,45,3.79101419019486E-6,no
43,420,6.064932936906987E-5,no
44,181,1.21283947158023E-4,no
45,128,1.21283947158023E-4,no
46,61,7.5819708936712285E-6,no
47,65,4.183184790867521E-6,no
48,161,6.064932936906987E-5,no
49,244,1.21283947158023E-4,no
50,448,1.21283947158023E-4,no
51,54,1.21283947158023E-4,no
52,41,2.6958382178937757E-6,no
53,107,2.4261497479889918E-5,no
54,1635,0.9999878689569428,no
55,1069,1.21283947158023E-4,no
56,46,4.85248786177323E-6,no
57,465,4.043452113043986E-5,no
58,136,1.21283947158023E-4,no
59,424,1.21283947158023E-4,no
60,221,6.064932936906987E-5,no
61,460,6.064932936906987E-5,no
62,209,1.21283947158023E-4,no
63,57,5.514183454512776E-6,no
64,418,6.064932936906987E-5,no
65,382,1.21283947158023E-4,yes
66,53,7.1359789710770216E-6,no
67,163,2.0218078073525006E-5,no
68,47,0.3125014216303212,no
69,315,1.21283947158023E-4,no
70,82,9.331623829702928E-6,no
71,131,4.043452113043986E-5,no
72,407,1.21283947158023E-4,no
73,158,1.21283947158023E-4,no
74,967,0.9999878689569428,no
75,43,4.85248786177323E-6,no
76,206,1.21283947158023E-4,no
77,58,8.087427444097379E-6,no
78,121,4.043452113043986E-5,no
79,167,1.7329881313562408E-5,no
80,36,7.5819708936712285E-6,no
81,84,9.331623829702928E-6,no
82,36,7.5819708936712285E-6,no
83,214,3.032650396666262E-5,no
