ID,Size,Predicted,Actual
1,56,0.5213269961274061,no
2,45,0.21126778759664394,no
3,45,0.21126778759664394,no
4,97,1.5980354171505017E-6,no
5,43,0.24691376665642117,no
6,76,0.15873112826169078,no
7,76,0.15873112826169078,no
8,72,1.118625864567601E-6,no
9,196,6.883772101263748E-6,no
10,170,0.1666676610000269,no
11,120,0.18181921723941663,no
12,242,8.13534666444901E-6,no
13,312,0.47619067911452745,no
14,158,8.13534666444901E-6,no
15,53,0.39408876333029624,no
16,632,4.47411307929871E-5,no
17,937,8.947425522726274E-5,no
18,87,0.09708807877080315,no
19,61,0.14492799674622045,no
20,162,0.45454557780995386,no
21,68,9.13164346316544E-7,no
22,39,0.32786893663418126,no
23,911,4.47411307929871E-5,no
24,56,0.5213269961274061,no
25,213,0.6249995339065847,no
26,484,0.9090842528981836,no
27,86,2.2946117612004806E-6,no
28,311,4.47411307929871E-5,no
29,359,2.237156632566857E-5,no
30,146,5.965946772620035E-6,no
31,215,1.4914599992421013E-5,no
32,437,3.8908509996113E-6,no
33,72,1.118625864567601E-6,no
34,74,0.4371585314065566,no
35,358,8.947425522726274E-5,no
36,265,0.5555550031519779,no
37,35,0.4444445180988893,no
38,555,1.1186033411922681E-5,no
39,297,6.392080379976993E-6,no
40,45,0.21126778759664394,no
41,378,0.45454582433694746,no
42,180,4.47411307929871E-5,no
43,128,0.24390355698242291,no
44,61,0.14492799674622045,no
45,65,0.0938970548569197,no
46,161,3.1960606194648735E-6,no
47,244,8.948866770467224E-6,no
48,448,4.47411307929871E-5,no
49,54,0.3864735281112514,no
50,41,0.06369451621079787,no
51,107,1.988664743230686E-6,no
52,1721,8.947425522726274E-5,no
53,1068,8.947425522726274E-5,no
54,46,0.3875969772013701,no
55,465,6.883772101263748E-6,no
56,136,0.18868029660694777,no
57,423,4.47411307929871E-5,no
58,221,6.392080379976993E-6,no
59,460,4.709969809722841E-6,no
60,215,8.947425522726274E-5,no
61,57,0.3428573035741967,no
62,418,0.7142829748226943,no
63,440,0.9999910511332295,no
64,53,0.39408876333029624,no
65,163,2.4186442293897506E-6,no
66,47,0.35555567045655045,no
67,307,6.392080379976993E-6,no
68,82,1.0653580797536299E-6,no
69,130,8.13534666444901E-6,no
70,406,1.7897413217801598E-5,no
71,158,8.13534666444901E-6,no
72,966,8.947425522726274E-5,no
73,43,0.24691376665642117,no
74,206,4.261405079480527E-6,no
75,58,9.520223296191333E-7,no
76,121,0.47619054383221077,no
77,167,0.493827174133527,no
78,36,0.33783803394483797,no
79,84,0.20000053694065512,no
80,36,0.33783803394483797,no
81,214,3.0858523127640883E-6,no
82,43,0.24691376665642117,no
83,49,6.937220559296176E-7,no
84,73,9.83407619415851E-7,no
85,75,0.2836882178411297,no
86,192,2.130711619565581E-6,no
87,192,2.130711619565581E-6,no
88,142,4.067706424426395E-6,no
89,95,0.2325586961254493,no
90,160,2.4858284572986517E-6,no
91,193,0.5714282061640334,no
92,109,1.6572217179117055E-6,no
93,70,0.16528975129438533,no
94,235,2.3549959968214667E-6,no
95,62,2.7965552765218113E-6,no
96,46,0.3875969772013701,no
97,95,0.2325586961254493,no
98,85,9.943343490130055E-7,no
99,62,6.991417519132856E-7,no
100,62,6.991417519132856E-7,no
101,51,0.3076924842015525,no
102,211,0.7142850294133924,no
103,78,0.3333336647781161,no
104,59,0.21126796955925595,no
105,56,0.5213269961274061,no
106,44,0.24390299800462653,no
107,224,3.4419097439541423E-6,no
108,125,0.6896545871641345,no
109,117,2.0338614853646274E-6,no
110,211,0.7142850294133924,no
111,83,1.2784291509104257E-6,no
112,213,0.6249995339065847,no
113,174,1.7897413217801598E-5,no
114,47,0.35555567045655045,no
115,230,2.1826799687910064E-6,no
116,47,0.35555567045655045,no
117,93,0.28571465098006854,no
118,47,0.35555567045655045,no
119,57,0.3428573035741967,no
120,155,0.5263157274999591,no
121,167,0.493827174133527,no
122,65,0.0938970548569197,no
123,65,0.0938970548569197,no
124,45,0.21126778759664394,no
125,518,8.947425522726274E-5,no
126,47,0.35555567045655045,no
127,32,7.990189854358884E-7,no
128,56,0.5213269961274061,no
129,61,0.14492799674622045,no
130,146,5.965946772620035E-6,no
131,166,7.457411220515842E-6,no
132,134,4.4744734267001744E-6,no
133,162,0.45454557780995386,no
134,161,3.1960606194648735E-6,no
135,43,0.24691376665642117,no
136,43,0.24691376665642117,no
137,99,0.45454557780995386,no
138,79,0.12048274609882605,no
139,81,1.2258910954386203E-6,no
140,51,0.3076924842015525,no
141,177,0.35714377030303396,no
142,103,0.25641081535542937,no
143,1157,0.9999910511332295,no
144,156,2.556851764313192E-6,no
145,36,0.33783803394483797,no
146,71,0.38461549808560586,no
147,41,0.06369451621079787,no
148,39,0.32786893663418126,no
149,418,0.5263155415805362,no
150,245,4.067706424426395E-6,no
151,57,0.3428573035741967,no
152,47,0.35555567045655045,no
153,289,0.8333283617258529,no
154,118,2.3549959968214667E-6,no
155,68,9.13164346316544E-7,no
156,250,0.8108093073292626,no
157,152,0.7142852577036799,no
158,54,0.3864735281112514,no
159,61,0.14492799674622045,no
160,61,0.14492799674622045,no
161,214,3.0858523127640883E-6,no
162,97,1.5980354171505017E-6,no
163,127,2.4858284572986517E-6,no
164,165,0.952379024594249,no
165,189,8.948866770467224E-6,no
166,184,0.6976735958203096,no
167,93,0.28571465098006854,no
168,89,9.943343490130055E-7,no
169,1104,4.47411307929871E-5,no
170,581,4.47411307929871E-5,no
171,115,0.32608729485858307,no
172,129,0.3703708000204452,no
173,436,8.13534666444901E-6,no
174,166,7.457411220515842E-6,no
175,78,0.3333336647781161,no
176,85,9.943343490130055E-7,no
177,1357,0.833328361725853,no
178,458,1.4914599992421013E-5,no
179,257,3.5795851480635884E-6,no
180,96,0.15625096131856459,no
181,50,0.5063291067545128,no
182,83,1.2784291509104257E-6,yes
183,74,0.4371585314065566,no
184,163,1.4914599992421013E-5,no
185,91,1.1048156992241843E-6,no
186,410,8.948866770467224E-6,no
187,886,4.47411307929871E-5,no
188,1908,4.47411307929871E-5,no
189,1571,4.47411307929871E-5,yes
190,74,0.4371585314065566,no
191,1146,4.47411307929871E-5,no
192,142,4.067706424426395E-6,no
193,221,6.392080379976993E-6,no
194,63,0.41379320985750145,no
195,230,2.1826799687910064E-6,no
196,629,1.4914599992421013E-5,no
197,138,0.27397315690967317,no
198,37,0.24000037227898743,no
199,163,2.4186442293897506E-6,no
200,2218,8.947425522726274E-5,no
201,112,0.9999910511332295,no
202,282,6.392080379976993E-6,no
203,136,0.18868029660694777,no
204,69,0.20202074073220552,no
205,104,3.1960606194648735E-6,no
206,278,4.971632197347715E-6,no
207,568,4.47411307929871E-5,no
208,390,9.943165527171674E-6,no
209,379,0.9999910511332295,yes
210,169,4.709969809722841E-6,no
211,87,0.9999910511332295,yes
212,82,1.0653580797536299E-6,no
213,96,0.15625096131856459,no
214,184,0.6976735958203096,no
215,81,1.2258910954386203E-6,no
216,61,0.14492799674622045,no
217,77,1.68848994661939E-6,no
218,63,0.41379320985750145,no
219,74,0.4371585314065566,no
220,95,0.2325586961254493,no
221,78,0.3333336647781161,no
222,130,0.508474550563057,no
223,63,0.41379320985750145,no
224,359,2.237156632566857E-5,no
225,138,0.27397315690967317,no
226,191,5.264078071184637E-6,no
227,1651,2.237156632566857E-5,no
228,303,6.883772101263748E-6,no
229,99,0.45454557780995386,no
230,120,0.18181921723941663,no
231,69,0.20202074073220552,no
232,141,5.593079270332934E-6,no
233,281,0.6666646780177424,no
234,418,0.5263155415805362,no
235,248,0.8695623415449132,no
236,450,4.47411307929871E-5,no
237,277,8.13534666444901E-6,no
238,86,4.067706424426395E-6,no
239,110,8.522868269991669E-7,no
240,178,4.47411307929871E-5,no
241,99,0.45454557780995386,no
242,152,0.7142852577036799,no
243,231,6.883772101263748E-6,no
244,422,6.883772101263748E-6,no
245,224,3.4419097439541423E-6,no
246,333,0.7692298425595715,no
247,108,0.410959122418962,no
248,97,1.5980354171505017E-6,no
249,114,5.264078071184637E-6,no
250,84,0.20000053694065512,no
251,269,6.883772101263748E-6,no
252,109,6.392080379976993E-6,no
253,41,0.06369451621079787,no
254,89,9.943343490130055E-7,no
255,58,9.520223296191333E-7,no
256,54,0.3864735281112514,no
257,55,0.30927870242681,no
258,75,0.9090842528981836,yes
259,49,6.937220559296176E-7,no
260,178,4.47411307929871E-5,no
261,410,8.948866770467224E-6,no
262,87,0.09708807877080315,no
263,97,1.5980354171505017E-6,no
264,115,0.32608729485858307,no
265,1094,8.947425522726274E-5,no
266,290,0.5555553714198088,no
267,201,0.22727383665171913,no
268,200,7.457411220515842E-6,no
269,538,4.47411307929871E-5,no
270,228,0.47619067911452745,yes
271,374,0.7692270625842532,yes
272,286,5.264078071184637E-6,no
273,333,0.7692298425595715,no
274,604,4.47411307929871E-5,yes
275,264,1.2783997327276995E-5,no
276,169,4.709969809722841E-6,no
277,77,1.68848994661939E-6,no
278,57,0.3428573035741967,no
279,60,0.5376343723880629,no
280,136,0.18868029660694777,no
281,133,3.7287334169563413E-6,no
282,155,0.5263157274999591,no
283,111,0.2222233270359683,no
284,886,8.947425522726274E-5,no
285,309,0.7142843445454485,no
286,243,0.9302307673736154,no
287,333,0.7692298425595715,no
288,110,8.522868269991669E-7,no
289,227,8.948866770467224E-6,no
290,106,0.5555553714198089,no
291,952,1.4914599992421013E-5,no
292,102,0.8823509284301421,no
293,215,1.4914599992421013E-5,no
294,192,2.130711619565581E-6,no
295,111,0.2222233270359683,no
296,93,0.28571465098006854,no
297,45,0.21126778759664394,no
298,340,4.47411307929871E-5,no
299,42,0.3358210051673316,no
300,1076,4.47411307929871E-5,yes
301,582,8.947425522726274E-5,no
302,65,0.0938970548569197,no
303,81,1.2258910954386203E-6,no
304,1536,4.47411307929871E-5,no
305,242,8.13534666444901E-6,no
306,263,0.731706811329147,no
307,227,8.948866770467224E-6,yes
308,910,4.47411307929871E-5,no
309,508,0.9999910511332295,no
310,87,0.09708807877080315,no
311,618,4.47411307929871E-5,no
312,446,7.457411220515842E-6,no
313,122,4.4744734267001744E-6,no
314,908,2.9828310230210962E-5,no
315,157,0.6666646780177423,no
316,84,0.20000053694065512,no
317,45,0.21126778759664394,no
318,38,0.2857143952941511,no
319,1028,0.9999910511332295,no
320,5397,0.9999910511332295,yes
321,661,4.47411307929871E-5,no
322,155,8.947425522726274E-5,no
323,175,3.1960606194648735E-6,no
324,495,8.947425522726274E-5,no
325,186,4.47411307929871E-5,no
326,235,2.3549959968214667E-6,no
327,326,0.5555550031519779,no
328,392,0.9999910511332295,no
329,325,0.7692270625842532,no
330,140,0.3225809866080708,no
331,118,2.3549959968214667E-6,no
332,213,0.6249995339065847,no
333,406,6.883772101263748E-6,no
334,42,0.3358210051673316,no
335,105,5.965946772620035E-6,no
336,988,8.947425522726274E-5,no
337,561,4.47411307929871E-5,no
338,458,8.947425522726274E-5,no
339,1288,0.9999910511332295,no
340,140,0.3225809866080708,no
341,857,0.833328361725853,no
342,462,4.47411307929871E-5,no
343,38,0.2857143952941511,no
344,612,4.47411307929871E-5,no
345,519,8.947425522726274E-5,no
346,523,6.392080379976993E-6,no
347,977,8.947425522726274E-5,no
348,74,0.4371585314065566,no
349,294,1.4914599992421013E-5,no
350,728,8.947425522726274E-5,no
351,155,0.5263157274999591,no
352,160,8.947425522726274E-5,no
353,46,0.3875969772013701,no
354,63,0.41379320985750145,no
355,325,8.947425522726274E-5,no
356,191,5.264078071184637E-6,no
357,740,0.7692270625842532,no
358,154,4.261405079480527E-6,no
359,3264,0.9999910511332295,yes
360,36,0.33783803394483797,no
