ID,Size,Predicted,Actual
1,24,3.9258793969849254E-5,no
2,47,3.9258793969849254E-5,no
3,48,3.9258793969849254E-5,no
4,72,1.963016764163166E-5,no
5,26,9.815276496338901E-6,no
6,90,1.963016764163166E-5,no
7,32,9.815276496338901E-6,no
8,81,3.9258793969849254E-5,no
9,94,3.9258793969849254E-5,no
10,105,3.9258793969849254E-5,no
11,91,3.9258793969849254E-5,no
12,58,3.9258793969849254E-5,no
13,41,3.9258793969849254E-5,no
14,74,3.9258793969849254E-5,no
15,257,3.9258793969849254E-5,no
16,204,3.9258793969849254E-5,no
17,141,3.9258793969849254E-5,no
18,83,3.9258793969849254E-5,no
19,236,3.9258793969849254E-5,no
20,60,3.9258793969849254E-5,no
21,131,3.9258793969849254E-5,no
22,73,3.9258793969849254E-5,no
23,125,3.9258793969849254E-5,no
24,68,3.9258793969849254E-5,no
25,27,3.9258793969849254E-5,no
26,18,3.9258793969849254E-5,no
27,281,3.9258793969849254E-5,no
28,151,3.9258793969849254E-5,no
29,180,3.9258793969849254E-5,no
30,232,3.9258793969849254E-5,no
31,36,3.9258793969849254E-5,no
32,29,1.3086949693765377E-5,no
33,76,3.9258793969849254E-5,no
34,101,1.963016764163166E-5,no
35,76,3.9258793969849254E-5,no
36,128,3.9258793969849254E-5,no
37,156,3.9258793969849254E-5,no
38,144,3.9258793969849254E-5,no
39,39,3.9258793969849254E-5,no
40,464,3.9258793969849254E-5,no
41,167,3.9258793969849254E-5,no
42,683,0.9999607412060303,no
43,48,1.963016764163166E-5,no
44,105,3.9258793969849254E-5,no
45,67,3.9258793969849254E-5,no
46,130,3.9258793969849254E-5,no
47,137,3.9258793969849254E-5,no
48,79,3.9258793969849254E-5,no
49,159,3.9258793969849254E-5,no
50,88,3.9258793969849254E-5,no
51,131,1.963016764163166E-5,no
52,146,3.9258793969849254E-5,no
53,227,3.9258793969849254E-5,no
54,148,3.9258793969849254E-5,no
55,140,3.9258793969849254E-5,no
56,45,1.963016764163166E-5,no
57,187,3.9258793969849254E-5,no
58,436,3.9258793969849254E-5,no
59,188,3.9258793969849254E-5,no
60,29,1.3086949693765377E-5,no
61,51,3.9258793969849254E-5,no
62,55,3.9258793969849254E-5,no
63,359,3.9258793969849254E-5,no
64,239,3.9258793969849254E-5,no
65,308,3.9258793969849254E-5,no
66,73,1.963016764163166E-5,no
67,51,1.963016764163166E-5,no
68,136,3.9258793969849254E-5,no
69,75,3.9258793969849254E-5,no
70,193,3.9258793969849254E-5,no
71,103,3.9258793969849254E-5,no
72,4766,0.9999607412060303,no
73,20088,0.9999607412060303,no
74,57,3.9258793969849254E-5,no
75,149,1.963016764163166E-5,no
76,104,3.9258793969849254E-5,no
77,307,3.9258793969849254E-5,no
78,114,3.9258793969849254E-5,no
79,97,3.9258793969849254E-5,no
80,138,1.963016764163166E-5,no
81,165,3.9258793969849254E-5,no
82,158,3.9258793969849254E-5,no
83,42,3.9258793969849254E-5,no
84,311,3.9258793969849254E-5,no
85,159,3.9258793969849254E-5,no
86,109,3.9258793969849254E-5,no
87,316,3.9258793969849254E-5,no
88,106,3.9258793969849254E-5,no
89,71,1.963016764163166E-5,no
90,264,3.9258793969849254E-5,no
91,134,3.9258793969849254E-5,no
92,47,9.815276496338901E-6,no
93,120,3.9258793969849254E-5,no
94,63,3.9258793969849254E-5,no
95,38,9.815276496338901E-6,no
96,94,3.9258793969849254E-5,no
97,85,3.9258793969849254E-5,no
98,92,3.9258793969849254E-5,no
99,298,3.9258793969849254E-5,no
100,79,3.9258793969849254E-5,no
101,79,3.9258793969849254E-5,no
102,67,3.9258793969849254E-5,no
103,86,3.9258793969849254E-5,no
104,31,3.9258793969849254E-5,no
105,124,3.9258793969849254E-5,no
106,228,3.9258793969849254E-5,no
107,140,1.963016764163166E-5,no
108,87,3.9258793969849254E-5,no
109,72,1.963016764163166E-5,no
110,147,1.963016764163166E-5,no
111,67,3.9258793969849254E-5,no
112,172,3.9258793969849254E-5,no
113,241,1.963016764163166E-5,no
114,261,3.9258793969849254E-5,no
115,65,1.963016764163166E-5,no
116,175,3.9258793969849254E-5,no
117,216,3.9258793969849254E-5,no
118,38,9.815276496338901E-6,no
119,164,3.9258793969849254E-5,no
120,56,1.963016764163166E-5,no
121,56,1.963016764163166E-5,no
122,45,1.963016764163166E-5,no
123,45,1.963016764163166E-5,no
124,97,3.9258793969849254E-5,no
125,43,3.9258793969849254E-5,no
126,76,3.9258793969849254E-5,no
127,76,3.9258793969849254E-5,no
128,72,1.963016764163166E-5,no
129,64,1.963016764163166E-5,no
130,64,1.963016764163166E-5,no
131,196,3.9258793969849254E-5,no
132,170,3.9258793969849254E-5,no
133,120,3.9258793969849254E-5,no
134,251,3.9258793969849254E-5,no
135,312,5.608776613645032E-6,no
136,158,0.07692563241440963,no
137,53,5.234911414829037E-7,no
138,632,3.9258793969849254E-5,no
139,996,3.9258793969849254E-5,no
140,87,7.270707338034088E-7,no
141,61,5.305653385908821E-7,no
142,162,1.9630861284407993E-6,no
143,68,7.852363011601082E-7,no
144,39,2.7077141693599394E-7,no
145,938,3.9258793969849254E-5,no
146,56,5.859974731788956E-7,no
147,213,2.4538552519863956E-6,no
148,485,3.9258793969849254E-5,no
149,86,1.5100676208280607E-6,no
150,311,9.815276496338901E-6,no
151,360,3.9258793969849254E-5,no
152,146,3.2718016502967525E-6,no
153,215,3.569236040717845E-6,no
154,437,4.907686418468606E-6,no
155,72,8.012615061152278E-7,no
156,74,0.012346151758154829,no
157,358,5.608776613645032E-6,yes
158,265,6.543560482129537E-6,no
159,35,1.0067127606882695E-6,no
160,555,4.3623926851399455E-6,no
161,297,5.608776613645032E-6,no
162,45,2.74558427680761E-7,no
163,389,3.9258793969849254E-5,no
164,180,3.9258793969849254E-5,no
165,128,1.7070322902228018E-6,no
166,61,5.305653385908821E-7,no
167,65,3.6353563121782253E-7,no
168,166,3.9258793969849254E-5,no
169,244,4.3623926851399455E-6,no
170,448,9.815276496338901E-6,no
171,54,4.847140574832095E-7,no
172,41,2.379506547450216E-7,no
173,107,2.4538552519863956E-6,no
174,1869,3.9258793969849254E-5,yes
175,1116,3.9258793969849254E-5,no
176,46,4.362426940254818E-7,no
177,465,3.020126120466791E-6,no
178,131,3.9258793969849254E-5,no
179,423,0.16667102904032144,no
180,221,3.569236040717845E-6,no
181,460,5.608776613645032E-6,no
182,213,3.9258793969849254E-5,no
183,57,0.10000034899415522,no
184,460,3.9258793969849254E-5,yes
185,448,3.9258793969849254E-5,yes
186,53,5.234911414829037E-7,no
187,166,3.9258793969849254E-5,no
188,47,0.010753101263471456,no
189,307,4.907686418468606E-6,no
190,82,1.0067127606882695E-6,no
191,130,0.08695793189623975,no
192,406,5.608776613645032E-6,no
