ID,Size,Predicted,Actual
1,76,6.436580373579124E-6,no
2,72,5.851443551124062E-6,no
3,196,3.218124477054772E-5,no
4,170,6.775343171131617E-6,no
5,120,9.195064089596703E-6,no
6,242,1.2870012870012872E-4,no
7,312,4.290740581824423E-5,no
8,151,1.1702750146284376E-5,no
9,53,2.738990627174074E-6,no
10,626,4.290740581824423E-5,no
11,884,6.435834727764191E-5,no
12,51,3.1398160067820027E-6,no
13,61,4.02288215369019E-6,no
14,162,0.07143645291207679,no
15,68,4.02288215369019E-6,no
16,86,1.0727541891051084E-5,no
17,146,4.290740581824423E-5,no
18,202,1.8389789988598327E-5,no
19,363,1.2870012870012872E-4,no
20,72,1.609114021819586E-5,no
21,74,8.045699573577922E-6,no
22,327,1.2870012870012872E-4,yes
23,265,2.5745327223109003E-5,no
24,35,4.951230380749616E-6,no
25,546,4.290740581824423E-5,yes
26,297,6.435834727764191E-5,no
27,45,1.9805039194172567E-6,no
28,129,1.0727541891051084E-5,no
29,61,4.02288215369019E-6,no
30,65,2.2195291934674817E-6,no
31,161,1.609114021819586E-5,no
32,244,6.435834727764191E-5,no
33,382,1.2870012870012872E-4,no
34,49,3.7862438189569657E-6,no
35,41,1.4796883184526012E-6,no
36,97,7.572430295779127E-6,no
37,1687,1.2870012870012872E-4,yes
38,957,1.2870012870012872E-4,yes
39,46,0.020002471665954348,no
40,465,1.2870012870012872E-4,no
41,374,6.435834727764191E-5,yes
42,221,4.290740581824423E-5,no
43,460,1.609114021819586E-5,no
44,213,1.2870012870012872E-4,no
45,47,3.1398160067820027E-6,no
46,162,0.07143645291207679,yes
47,82,9.902362703741112E-6,no
48,131,9.902362703741112E-6,no
49,395,1.2870012870012872E-4,no
50,159,8.045699573577922E-6,no
51,898,1.2870012870012872E-4,no
52,43,1.9805039194172567E-6,no
53,206,1.2870012870012872E-4,no
54,58,1.2870012870012872E-4,no
55,88,1.2870012870012872E-4,no
56,166,3.218124477054772E-5,no
57,36,6.435834727764191E-5,no
58,84,5.149277556358842E-6,no
59,36,6.435834727764191E-5,no
60,201,6.435834727764191E-5,no
61,43,1.9805039194172567E-6,no
62,49,3.7862438189569657E-6,no
63,73,4.291071995605942E-6,no
64,75,4.152651467962294E-6,no
65,131,9.902362703741112E-6,no
66,94,3.900977584982797E-6,no
67,160,1.2870012870012872E-4,no
68,193,1.8389789988598327E-5,no
69,109,1.4303286895328546E-5,no
70,70,3.575898444484177E-6,no
71,220,4.290740581824423E-5,no
72,63,4.767853226406278E-6,no
73,46,0.020002471665954348,no
74,54,3.1398160067820027E-6,no
75,70,3.575898444484177E-6,no
76,44,6.435834727764191E-5,no
77,51,3.1398160067820027E-6,no
78,207,1.609114021819586E-5,no
79,78,6.775343171131617E-6,no
80,59,3.3008311492833897E-6,no
81,56,0.02703031821249887,no
82,44,9.195064089596703E-6,no
83,224,1.2872995031023917E-5,no
84,119,0.14287027842142042,no
85,113,7.572430295779127E-6,no
86,83,6.130080304051983E-6,no
87,213,1.2870012870012872E-4,no
88,175,1.609114021819586E-5,no
89,47,3.1398160067820027E-6,no
90,224,1.2872995031023917E-5,no
91,47,3.1398160067820027E-6,no
92,93,5.363828486220325E-6,no
93,47,3.1398160067820027E-6,no
94,155,1.2870012870012872E-4,no
95,167,8.582070338648495E-6,no
96,65,2.2195291934674817E-6,no
97,65,2.2195291934674817E-6,no
98,45,1.9805039194172567E-6,no
99,403,2.1454623471358076E-5,no
100,47,3.1398160067820027E-6,no
101,32,4.439038681783073E-6,no
102,56,0.02703031821249887,no
103,61,4.02288215369019E-6,no
104,104,1.4303286895328546E-5,no
105,155,1.8389789988598327E-5,yes
106,161,1.2870012870012872E-4,no
107,43,1.9805039194172567E-6,no
108,43,1.9805039194172567E-6,no
109,95,6.436580373579124E-6,no
110,79,0.04000473733535185,no
111,81,6.130080304051983E-6,no
112,51,6.435834727764191E-5,no
113,103,5.851443551124062E-6,no
114,826,1.2870012870012872E-4,yes
115,131,9.902362703741112E-6,no
116,36,0.03030669485773135,no
117,71,0.02778115501519757,no
118,41,1.4796883184526012E-6,no
119,39,1.8390398740625495E-6,no
120,345,0.20001544719633385,no
121,57,4.951230380749616E-6,no
122,47,6.435834727764191E-5,no
123,282,1.8389789988598327E-5,no
124,118,1.609114021819586E-5,no
125,68,1.2870012870012872E-4,no
126,207,1.609114021819586E-5,no
127,152,1.2870012870012872E-4,no
128,54,3.1398160067820027E-6,no
129,57,1.2870012870012872E-4,yes
130,57,1.2870012870012872E-4,yes
131,214,1.2870012870012872E-4,no
132,157,0.9998712998712999,no
133,163,1.2870012870012872E-4,no
134,177,0.1666809697489809,no
135,989,4.290740581824423E-5,yes
136,473,0.9998712998712999,no
137,115,7.572430295779127E-6,no
138,128,2.1454623471358076E-5,no
139,436,4.290740581824423E-5,no
140,170,6.775343171131617E-6,no
141,78,6.775343171131617E-6,no
142,85,5.363828486220325E-6,no
143,1050,0.9998712998712999,yes
144,397,0.9998712998712999,yes
145,247,2.5745327223109003E-5,no
146,87,4.291071995605942E-6,no
147,46,0.020002471665954348,no
148,72,5.851443551124062E-6,no
149,67,3.6780662199042233E-6,no
150,164,3.218124477054772E-5,no
151,91,5.149277556358842E-6,no
152,307,2.5745327223109003E-5,no
153,775,3.218124477054772E-5,no
154,1785,0.9998712998712999,yes
155,1259,1.2870012870012872E-4,no
156,71,0.02778115501519757,no
157,1143,1.2870012870012872E-4,no
158,142,3.218124477054772E-5,no
159,167,8.582070338648495E-6,no
160,63,4.767853226406278E-6,no
161,230,1.0727541891051084E-5,no
162,611,4.290740581824423E-5,no
163,138,6.436580373579124E-6,no
164,37,5.363828486220325E-6,no
165,163,1.609114021819586E-5,no
166,2217,1.2870012870012872E-4,no
167,96,5.597035809835111E-6,no
168,173,1.2870012870012872E-4,no
169,136,0.08334227295157587,no
170,69,0.0689693439988636,no
171,104,1.4303286895328546E-5,no
172,269,2.5745327223109003E-5,no
173,544,3.218124477054772E-5,no
174,321,3.218124477054772E-5,no
175,379,1.2870012870012872E-4,yes
176,89,4.597574319788879E-6,no
177,87,6.435834727764191E-5,yes
178,82,4.767853226406278E-6,no
179,96,5.597035809835111E-6,no
180,176,1.609114021819586E-5,no
181,81,6.130080304051983E-6,no
182,61,4.02288215369019E-6,no
183,77,1.2870012870012872E-4,yes
184,51,3.1398160067820027E-6,no
185,62,3.3008311492833897E-6,no
186,83,6.130080304051983E-6,no
187,66,5.363828486220325E-6,no
188,127,1.0727541891051084E-5,no
189,51,3.1398160067820027E-6,no
190,270,6.435834727764191E-5,yes
191,133,1.2872995031023917E-5,no
192,183,6.435834727764191E-5,yes
193,1584,6.435834727764191E-5,no
194,172,1.2872995031023917E-5,no
195,95,6.436580373579124E-6,no
196,103,5.851443551124062E-6,no
197,68,4.02288215369019E-6,no
198,137,2.1454623471358076E-5,no
199,250,6.435834727764191E-5,yes
200,405,4.290740581824423E-5,yes
201,246,0.2500160906223852,yes
202,315,0.9998712998712999,yes
203,260,2.5745327223109003E-5,yes
204,87,4.291071995605942E-6,no
205,98,3.218124477054772E-5,no
206,163,1.609114021819586E-5,no
207,99,2.5745327223109003E-5,no
208,152,1.2872995031023917E-5,no
209,231,3.218124477054772E-5,no
210,422,3.218124477054772E-5,no
211,219,1.2870012870012872E-4,yes
212,176,1.609114021819586E-5,no
213,107,7.15174574113541E-6,no
214,96,5.597035809835111E-6,no
215,113,7.572430295779127E-6,no
216,83,6.130080304051983E-6,no
217,262,1.2870012870012872E-4,no
218,41,1.4796883184526012E-6,yes
219,89,4.597574319788879E-6,no
220,58,4.439038681783073E-6,no
221,54,3.1398160067820027E-6,no
222,55,5.597035809835111E-6,no
223,75,4.152651467962294E-6,no
224,49,3.7862438189569657E-6,no
225,84,5.149277556358842E-6,no
226,403,2.1454623471358076E-5,yes
227,87,4.291071995605942E-6,no
228,97,7.572430295779127E-6,no
229,96,5.597035809835111E-6,yes
230,951,1.2870012870012872E-4,yes
231,290,2.1454623471358076E-5,yes
232,170,6.775343171131617E-6,no
233,170,6.775343171131617E-6,no
234,375,6.435834727764191E-5,yes
235,218,0.20001544719633385,no
236,349,6.435834727764191E-5,no
237,270,3.218124477054772E-5,no
238,330,3.218124477054772E-5,no
239,668,1.2870012870012872E-4,yes
240,259,1.2872995031023917E-5,no
241,169,1.8389789988598327E-5,no
242,77,9.902362703741112E-6,no
