ID,Size,Predicted,Actual
1,56,4.964243851695341E-6,no
2,45,2.0606414899615466E-6,no
3,45,2.0606414899615466E-6,no
4,97,7.800910366239742E-6,no
5,43,2.7303463171268624E-6,no
6,76,9.9283891295013E-6,no
7,76,9.9283891295013E-6,no
8,72,6.067395765391141E-6,no
9,196,3.640216592887277E-5,no
10,170,0.6249982935475293,no
11,120,1.2134644279403654E-5,no
12,88,1.8201745547398E-5,no
13,72,6.067395765391141E-6,no
14,242,3.640216592887277E-5,no
15,312,3.640216592887277E-5,no
16,158,3.640216592887277E-5,no
17,53,4.044946871789773E-6,no
18,626,3.640216592887277E-5,no
19,929,3.640216592887277E-5,no
20,87,5.748062817293922E-6,no
21,61,4.2005204444830696E-6,no
22,162,1.3651433400507055E-5,no
23,68,4.368539794251135E-6,no
24,39,1.8510855040855093E-6,no
25,911,1.0919059868945285E-4,no
26,56,4.964243851695341E-6,no
27,213,2.7302121374830827E-5,no
28,484,1.0919059868945285E-4,no
29,86,1.0919059868945285E-4,no
30,311,3.640216592887277E-5,no
31,359,5.460126128913578E-5,no
32,146,2.7302121374830827E-5,no
33,215,5.460126128913578E-5,no
34,437,2.7302121374830827E-5,no
35,72,6.067395765391141E-6,no
36,74,0.26315925612796615,no
37,327,5.460126128913578E-5,no
38,265,5.460126128913578E-5,no
39,35,7.280857248132396E-6,no
40,555,3.640216592887277E-5,no
41,297,3.640216592887277E-5,no
42,45,2.0606414899615466E-6,no
43,420,3.640216592887277E-5,no
44,181,5.460126128913578E-5,no
45,128,1.5601577319467E-5,no
46,61,4.2005204444830696E-6,no
47,65,2.4269759766649707E-6,no
48,161,2.7302121374830827E-5,no
49,244,5.460126128913578E-5,no
50,448,5.460126128913578E-5,no
51,54,3.7659871196963843E-6,no
52,41,1.582813091876702E-6,no
53,107,1.5601577319467E-5,no
54,1639,1.0919059868945285E-4,yes
55,1069,2.7302121374830827E-5,no
56,46,2.8740479288549944E-6,no
57,465,2.184193563233574E-5,no
58,136,1.5601577319467E-5,no
59,424,1.0919059868945285E-4,no
60,221,3.640216592887277E-5,no
61,460,3.640216592887277E-5,no
62,209,1.8201745547398E-5,yes
63,57,0.5633800867036265,no
64,418,2.7302121374830827E-5,no
65,382,2.7302121374830827E-5,no
66,53,4.044946871789773E-6,no
67,163,1.2134644279403654E-5,no
68,47,0.21739264629593194,no
69,307,1.0919059868945285E-4,no
70,82,6.067395765391141E-6,no
71,131,2.7302121374830827E-5,no
72,407,5.460126128913578E-5,no
73,158,3.640216592887277E-5,no
74,967,1.0919059868945285E-4,no
75,43,2.7303463171268624E-6,no
76,206,1.5601577319467E-5,no
77,58,4.748409212253042E-6,no
78,121,2.184193563233574E-5,no
79,167,1.0921206356454137E-5,no
80,36,4.550560629069499E-6,no
81,84,6.067395765391141E-6,no
82,36,4.550560629069499E-6,no
83,214,1.3651433400507055E-5,no
84,43,2.7303463171268624E-6,no
