ID,Size,Predicted,Actual
1,76,2.7191456158097787E-5,no
2,72,2.2659752182300828E-5,no
3,196,1.3592771221107087E-4,no
4,170,3.0212546503856724E-5,no
5,120,3.398885809434987E-5,no
6,65,8.497647761603329E-6,no
7,103,2.471962780966632E-5,no
8,96,2.0916767240394936E-5,no
9,242,2.717815391364697E-4,no
10,312,2.717815391364697E-4,no
11,151,5.437995497587237E-5,no
12,53,1.0876937374958035E-5,no
13,605,6.797309553290314E-5,no
14,858,2.717815391364697E-4,no
15,51,1.2948681316094508E-5,no
16,61,1.6995006688045563E-5,no
17,162,0.526315036228348,no
18,68,1.5106729664700875E-5,no
19,146,1.3592771221107087E-4,no
20,219,1.3592771221107087E-4,no
21,369,1.3592771221107087E-4,no
22,58,3.0212546503856724E-5,no
23,48,1.812796605592802E-5,no
24,302,2.717815391364697E-4,yes
25,268,2.717815391364697E-4,no
26,35,1.6995006688045563E-5,no
27,546,2.717815391364697E-4,no
28,263,5.437995497587237E-5,yes
29,45,8.771760622343306E-6,no
30,129,3.884403203231626E-5,no
31,61,1.6995006688045563E-5,no
32,161,2.717815391364697E-4,no
33,210,6.797309553290314E-5,yes
34,348,9.062668725955689E-5,yes
35,49,1.5106729664700875E-5,no
36,41,6.323858386176045E-6,no
37,97,3.0212546503856724E-5,no
38,1422,0.9999728085438419,no
39,670,2.717815391364697E-4,yes
40,46,0.30303354914902625,no
41,458,1.3592771221107087E-4,no
42,377,0.9999728085438419,yes
43,221,2.717815391364697E-4,no
44,460,6.797309553290314E-5,no
45,213,0.9090706839408831,no
46,47,1.359609777674551E-5,no
47,150,6.797309553290314E-5,no
48,80,1.9422770474876612E-5,no
49,131,3.398885809434987E-5,no
50,385,2.717815391364697E-4,yes
51,159,2.7191456158097787E-5,no
52,743,2.717815391364697E-4,yes
53,43,7.55347894071483E-6,no
54,209,1.3592771221107087E-4,no
55,54,1.2948681316094508E-5,yes
56,84,2.0916767240394936E-5,yes
57,166,1.3592771221107087E-4,no
58,36,0.38461779813901087,yes
59,84,2.0916767240394936E-5,no
60,36,0.38461779813901087,yes
61,197,6.797309553290314E-5,yes
62,43,7.55347894071483E-6,no
63,49,1.5106729664700875E-5,no
64,73,1.6995006688045563E-5,no
65,75,1.9422770474876612E-5,no
66,131,3.398885809434987E-5,no
67,94,1.599533239354653E-5,no
68,148,5.437995497587237E-5,yes
69,193,6.797309553290314E-5,no
70,109,5.437995497587237E-5,no
71,70,1.5106729664700875E-5,no
72,220,2.717815391364697E-4,no
73,63,1.9422770474876612E-5,no
74,46,0.30303354914902625,no
75,54,1.2948681316094508E-5,no
76,70,1.5106729664700875E-5,no
77,43,7.55347894071483E-6,yes
78,51,1.2948681316094508E-5,no
79,207,6.797309553290314E-5,no
80,78,2.7191456158097787E-5,no
81,59,1.431166138786395E-5,no
82,56,0.35714563187824666,no
83,44,3.398885809434987E-5,no
84,224,4.53174506002014E-5,no
85,119,0.8333182268318785,no
86,113,2.471962780966632E-5,no
87,83,2.7191456158097787E-5,no
88,210,6.797309553290314E-5,yes
89,175,6.797309553290314E-5,no
90,47,1.359609777674551E-5,no
91,224,4.53174506002014E-5,no
92,47,1.359609777674551E-5,no
93,93,2.0916767240394936E-5,no
94,47,1.359609777674551E-5,no
95,144,9.062668725955689E-5,yes
96,167,3.0212546503856724E-5,no
97,65,8.497647761603329E-6,no
98,65,8.497647761603329E-6,no
99,45,8.771760622343306E-6,no
100,401,1.3592771221107087E-4,yes
101,47,1.359609777674551E-5,no
102,32,1.812796605592802E-5,no
103,56,0.35714563187824666,no
104,61,1.6995006688045563E-5,no
105,104,5.437995497587237E-5,no
106,155,1.3592771221107087E-4,no
107,145,3.398885809434987E-5,yes
108,43,7.55347894071483E-6,no
109,43,7.55347894071483E-6,no
110,95,2.2659752182300828E-5,no
111,79,0.4545465781926765,no
112,81,2.471962780966632E-5,no
113,51,1.2948681316094508E-5,no
114,103,2.471962780966632E-5,no
115,826,2.717815391364697E-4,yes
116,131,0.7692195063561013,no
117,36,0.38461779813901087,no
118,71,0.370372981436362,no
119,41,6.323858386176045E-6,no
120,39,9.711573863108402E-6,no
121,345,0.9999728085438419,no
122,57,2.0916767240394936E-5,no
123,43,7.55347894071483E-6,yes
124,282,9.062668725955689E-5,no
125,118,6.797309553290314E-5,no
126,64,1.812796605592802E-5,yes
127,207,6.797309553290314E-5,no
128,140,2.7191456158097787E-5,yes
129,54,1.2948681316094508E-5,no
130,53,1.0876937374958035E-5,yes
131,53,1.0876937374958035E-5,yes
132,198,3.398885809434987E-5,yes
133,150,0.7692195063561013,yes
134,147,4.53174506002014E-5,yes
135,177,0.7692195063561013,no
136,989,2.717815391364697E-4,yes
137,418,2.717815391364697E-4,yes
138,115,2.7191456158097787E-5,no
139,128,9.062668725955689E-5,no
140,436,2.717815391364697E-4,no
141,170,3.0212546503856724E-5,no
142,78,2.7191456158097787E-5,no
143,85,2.2659752182300828E-5,no
144,1028,0.9999728085438419,yes
145,333,9.062668725955689E-5,yes
146,247,1.3592771221107087E-4,no
147,87,1.6995006688045563E-5,no
148,46,0.30303354914902625,no
149,72,2.2659752182300828E-5,no
150,67,1.2948681316094508E-5,no
151,164,1.3592771221107087E-4,no
152,91,2.0916767240394936E-5,no
153,307,9.062668725955689E-5,no
154,775,2.717815391364697E-4,no
155,1780,2.717815391364697E-4,yes
156,1254,2.717815391364697E-4,no
157,71,0.370372981436362,no
158,1146,2.717815391364697E-4,no
159,142,1.3592771221107087E-4,no
160,167,3.0212546503856724E-5,no
161,63,1.9422770474876612E-5,no
162,230,3.398885809434987E-5,no
163,611,2.717815391364697E-4,no
164,138,2.2659752182300828E-5,no
165,37,2.2659752182300828E-5,no
166,163,9.062668725955689E-5,no
167,2220,2.717815391364697E-4,no
168,96,2.0916767240394936E-5,no
169,152,6.797309553290314E-5,yes
170,136,0.5882324714119305,no
171,69,0.5882338827422138,no
172,104,5.437995497587237E-5,no
173,269,9.062668725955689E-5,no
174,544,1.3592771221107087E-4,no
175,321,1.3592771221107087E-4,no
176,379,2.717815391364697E-4,yes
177,89,1.812796605592802E-5,no
178,87,1.6995006688045563E-5,yes
179,82,1.812796605592802E-5,no
180,96,2.0916767240394936E-5,no
181,176,6.797309553290314E-5,no
182,81,2.471962780966632E-5,no
183,61,1.6995006688045563E-5,no
184,76,2.7191456158097787E-5,no
185,51,1.2948681316094508E-5,no
186,62,1.2360119442385458E-5,no
187,83,2.7191456158097787E-5,no
188,66,2.2659752182300828E-5,no
189,127,3.398885809434987E-5,no
190,51,1.2948681316094508E-5,no
191,266,2.717815391364697E-4,no
192,133,4.53174506002014E-5,no
193,183,2.717815391364697E-4,no
194,1579,0.9999728085438419,yes
195,172,4.53174506002014E-5,no
196,95,2.2659752182300828E-5,no
197,68,1.5106729664700875E-5,no
198,137,5.437995497587237E-5,no
199,250,2.717815391364697E-4,no
200,404,1.3592771221107087E-4,no
201,243,0.8333182268318785,no
202,313,2.717815391364697E-4,no
203,260,1.3592771221107087E-4,no
204,87,1.6995006688045563E-5,no
205,98,1.3592771221107087E-4,no
206,163,9.062668725955689E-5,no
207,99,1.3592771221107087E-4,no
208,152,6.797309553290314E-5,no
209,231,1.3592771221107087E-4,no
210,422,1.3592771221107087E-4,no
211,194,9.062668725955689E-5,no
212,176,6.797309553290314E-5,no
213,107,2.7191456158097787E-5,yes
214,96,2.0916767240394936E-5,yes
215,113,2.471962780966632E-5,no
216,83,2.7191456158097787E-5,yes
217,261,6.797309553290314E-5,yes
218,89,1.812796605592802E-5,no
219,58,1.599533239354653E-5,no
220,54,1.2948681316094508E-5,no
221,55,2.0916767240394936E-5,no
222,75,1.9422770474876612E-5,yes
223,49,1.5106729664700875E-5,no
224,84,2.0916767240394936E-5,no
225,403,6.797309553290314E-5,no
226,87,1.6995006688045563E-5,no
227,97,3.0212546503856724E-5,no
228,96,2.0916767240394936E-5,no
229,862,1.3592771221107087E-4,yes
230,290,2.717815391364697E-4,no
231,170,3.0212546503856724E-5,no
232,170,3.0212546503856724E-5,no
233,375,9.062668725955689E-5,no
234,218,0.8333182268318784,no
235,342,1.3592771221107087E-4,no
236,270,1.3592771221107087E-4,no
237,330,1.3592771221107087E-4,no
238,521,1.3592771221107087E-4,yes
239,259,5.437995497587237E-5,no
240,169,5.437995497587237E-5,no
241,77,3.884403203231626E-5,no
242,57,2.0916767240394936E-5,no
243,59,1.431166138786395E-5,no
244,124,9.062668725955689E-5,no
245,133,4.53174506002014E-5,no
246,154,3.398885809434987E-5,no
247,749,2.717815391364697E-4,no
248,308,0.8333182268318784,no
249,188,5.437995497587237E-5,no
250,298,9.062668725955689E-5,yes
251,110,1.599533239354653E-5,no
252,151,5.437995497587237E-5,no
253,106,1.3592771221107087E-4,no
254,741,2.717815391364697E-4,no
255,85,2.2659752182300828E-5,no
256,194,9.062668725955689E-5,no
257,187,0.7692195063561014,no
258,80,1.9422770474876612E-5,no
259,85,2.2659752182300828E-5,no
260,45,8.771760622343306E-6,no
261,263,5.437995497587237E-5,no
262,42,9.711573863108402E-6,yes
263,939,2.717815391364697E-4,no
264,468,2.717815391364697E-4,no
265,65,8.497647761603329E-6,no
266,81,2.471962780966632E-5,no
267,1524,2.717815391364697E-4,yes
268,235,5.437995497587237E-5,no
269,209,9.062668725955689E-5,no
270,185,6.797309553290314E-5,no
271,705,2.717815391364697E-4,yes
272,502,2.717815391364697E-4,no
273,56,0.35714563187824666,yes
274,605,6.797309553290314E-5,no
275,446,1.3592771221107087E-4,no
276,125,5.437995497587237E-5,no
277,853,9.062668725955689E-5,yes
278,155,2.717815391364697E-4,no
279,80,3.398885809434987E-5,no
280,45,8.771760622343306E-6,no
281,38,0.1818213280770695,no
282,817,2.717815391364697E-4,no
283,4379,0.9999728085438419,yes
284,615,2.717815391364697E-4,yes
285,125,2.717815391364697E-4,no
286,174,6.797309553290314E-5,no
287,61,1.6995006688045563E-5,no
288,162,0.526315036228348,no
289,212,2.717815391364697E-4,no
290,300,1.3592771221107087E-4,no
291,262,9.062668725955689E-5,yes
292,118,6.797309553290314E-5,no
293,115,2.7191456158097787E-5,no
294,192,4.53174506002014E-5,no
295,406,9.062668725955689E-5,no
296,42,9.711573863108402E-6,no
297,80,1.9422770474876612E-5,no
298,939,2.717815391364697E-4,no
299,536,9.062668725955689E-5,no
300,202,2.717815391364697E-4,no
301,1102,2.717815391364697E-4,yes
302,127,3.398885809434987E-5,no
303,397,2.717815391364697E-4,yes
304,437,6.797309553290314E-5,no
305,38,0.1818213280770695,no
306,575,1.3592771221107087E-4,no
307,501,2.717815391364697E-4,yes
308,523,1.3592771221107087E-4,no
309,960,2.717815391364697E-4,no
310,74,2.471962780966632E-5,no
311,257,6.797309553290314E-5,no
312,652,2.717815391364697E-4,yes
313,148,2.717815391364697E-4,no
314,46,0.30303354914902625,no
315,63,1.9422770474876612E-5,no
316,241,0.8333182268318785,yes
317,191,9.062668725955689E-5,no
318,697,2.717815391364697E-4,no
319,138,2.2659752182300828E-5,no
320,2962,2.717815391364697E-4,no
321,36,0.38461779813901087,no
322,302,9.062668725955689E-5,yes
323,65,8.497647761603329E-6,no
324,152,6.797309553290314E-5,no
325,123,6.797309553290314E-5,no
326,302,2.717815391364697E-4,no
