ID,Size,Predicted,Actual
1,56,0.1392411386863617,no
2,45,0.03636402546770023,no
3,45,0.03636402546770023,no
4,97,1.822037912964893E-6,no
5,43,0.042253967510975626,no
6,76,0.02381109382006172,no
7,76,0.02381109382006172,no
8,72,1.2146934174549013E-6,no
9,196,6.923673424171929E-6,no
10,170,0.022223692450191325,no
11,120,2.1636685432885164E-6,no
12,88,2.472762520833024E-6,no
13,72,1.2146934174549013E-6,no
14,242,1.1539349180706208E-5,no
15,312,0.11111709452338274,no
16,158,1.7308824038494823E-5,no
17,53,0.08247482285525846,no
18,626,2.30781657473864E-5,no
19,929,0.9999307718933887,no
20,87,4.072772295373737E-6,no
21,61,0.023256581595684733,no
22,162,0.09677599472902498,no
23,68,8.654696644227923E-7,no
24,39,1.4424477761782634E-6,no
25,911,6.922810661128418E-5,no
26,56,0.045457406498231295,no
27,213,0.2857185246728584,no
28,478,3.461644973691498E-5,no
29,81,4.072772295373737E-6,no
30,311,0.9999307718933887,no
31,359,1.7308824038494823E-5,no
32,146,7.69295863496142E-6,no
33,215,6.922810661128418E-5,no
34,437,3.4618606808787585E-6,no
35,72,1.2146934174549013E-6,no
36,74,0.10666739289179464,no
37,327,0.3333410260552491,yes
38,265,2.30781657473864E-5,no
39,35,0.09523898491171115,no
40,555,3.461644973691498E-5,no
41,297,6.294256490952006E-6,no
42,45,0.03636402546770023,no
43,420,3.461644973691498E-5,no
44,181,6.922810661128418E-5,no
45,128,0.3750021636404549,no
46,61,0.023256581595684733,no
47,65,0.013793567776712952,no
48,161,3.846508908514632E-6,no
49,244,6.922810661128418E-5,no
50,448,6.922810661128418E-5,no
51,54,3.4618606808787585E-6,no
52,41,0.008928875005641015,no
53,107,1.7753191580016297E-6,no
54,1635,0.9999307718933887,no
55,1069,6.922810661128418E-5,no
56,46,0.07751983335739655,no
57,465,9.890903336201695E-6,no
58,136,3.461644973691498E-5,no
59,424,1.7308824038494823E-5,no
60,221,7.69295863496142E-6,no
61,460,4.327318360811805E-6,no
62,209,1.1539349180706208E-5,no
63,57,8.341876805494962E-7,no
64,418,0.2500086544120192,no
65,382,6.922810661128418E-5,yes
66,53,0.08247482285525846,no
67,163,2.6629740093736684E-6,no
68,47,0.07207260592262231,no
69,315,0.3333410260552491,no
70,82,1.0181992941842494E-6,no
71,131,2.6629740093736684E-6,no
72,407,6.922810661128418E-5,no
73,158,9.890903336201695E-6,no
74,967,6.922810661128418E-5,no
75,43,0.042253967510975626,no
76,206,9.890903336201695E-6,no
77,58,9.891079433280714E-7,no
78,121,0.10714480002769494,no
79,167,0.08571592480420646,no
80,36,0.06329190472559573,no
81,84,0.03278794585851707,no
82,36,0.06329190472559573,no
83,214,4.615803588325709E-6,no
84,43,0.042253967510975626,no
85,49,7.608526114363756E-7,no
86,73,9.616327755222147E-7,no
87,75,0.05333415802966507,no
88,192,2.6629740093736684E-6,no
89,192,2.6629740093736684E-6,no
90,142,3.461644973691498E-5,no
91,95,0.0392169373943619,no
92,160,2.5643458481958544E-6,no
93,193,0.1428606753575597,no
94,109,2.769492379741717E-6,no
95,70,8.145597671010714E-7,no
96,235,2.3874952548531807E-6,no
97,63,0.08955308711633873,no
98,46,0.07751983335739655,no
99,71,0.04348100941927987,no
100,85,0.9999307718933887,yes
101,62,6.855207729932236E-7,no
102,44,1.7309363326998105E-6,no
103,51,0.05714344118793262,no
104,211,5.76974116941114E-6,no
105,78,0.06818317718184594,no
106,59,0.03296774365353816,no
107,56,0.1392411386863617,no
108,44,1.7309363326998105E-6,no
109,224,3.846508908514632E-6,no
110,125,0.1250032454887706,no
111,117,2.8848872297581883E-6,no
112,211,5.76974116941114E-6,no
113,83,1.2363843177013142E-6,no
114,213,0.23077209857212094,no
115,175,3.4618606808787585E-6,no
116,47,0.07207260592262231,no
117,230,2.3874952548531807E-6,no
118,47,0.07207260592262231,no
119,93,0.04918135126699016,no
120,47,0.07207260592262231,no
121,57,8.341876805494962E-7,no
122,155,0.13793276335863283,no
123,167,0.08571592480420646,no
124,65,0.013793567776712952,no
125,65,0.013793567776712952,no
126,45,0.03636402546770023,no
