ID,Size,Predicted,Actual
1,56,0.17886205331881538,no
2,45,0.050847650579713695,no
3,45,0.050847650579713695,no
4,97,9.052116656437775E-7,no
5,43,0.061538689502119576,no
6,76,0.01851942248840659,no
7,76,0.01851942248840659,no
8,72,6.336485101022582E-7,no
9,196,3.899349978358607E-6,no
10,170,0.01960879811625131,no
11,120,0.02174018451827331,no
12,242,4.608316167355609E-6,no
13,312,0.0833368535775538,no
14,158,4.608316167355609E-6,no
15,53,0.11510819440164402,no
16,632,2.5344687753446875E-5,no
17,937,5.068680622433981E-5,no
18,87,0.01063882567382465,no
19,61,0.02479378659714475,no
20,162,0.10000101383633135,no
21,68,5.172642102823849E-7,no
22,39,0.08888904325936318,no
23,911,2.5344687753446875E-5,no
24,56,0.17886205331881538,no
25,213,0.14285886706463674,no
26,484,0.5,no
27,86,1.2997900839014501E-6,no
28,311,2.5344687753446875E-5,no
29,359,1.2672665061462426E-5,no
30,146,3.3794401619427723E-6,no
31,215,8.448514751106756E-6,no
32,437,2.2039878956984767E-6,no
33,72,6.336485101022582E-7,no
34,74,0.134454092945093,no
35,358,0.9999493131937758,no
36,265,0.11111549184713734,no
37,35,0.13793145641284404,no
38,555,6.336412829968697E-6,no
39,297,3.6208269968860886E-6,no
40,45,0.050847650579713695,no
41,378,0.07692637637305862,no
42,180,2.5344687753446875E-5,no
43,128,0.031251485110872446,no
44,61,0.02479378659714475,no
45,65,0.010256664882484435,no
46,161,1.8104200536608503E-6,no
47,244,5.069143112048339E-6,no
48,448,2.5344687753446875E-5,no
49,54,0.11188838705080499,no
50,41,0.006756925698992019,no
51,107,1.1264851298330437E-6,no
52,1721,5.068680622433981E-5,no
53,1068,5.068680622433981E-5,no
54,46,0.11235977135097944,no
55,465,3.899349978358607E-6,no
56,136,0.022728372446687177,no
57,423,2.5344687753446875E-5,no
58,221,3.6208269968860886E-6,no
59,460,2.6679828715499644E-6,no
60,215,5.068680622433981E-5,no
61,57,0.09448851269552806,no
62,418,0.2000060829100642,no
63,440,0.9999493131937758,no
64,53,0.11510819440164402,no
65,163,1.370048814839273E-6,no
66,47,0.09937913426398648,no
67,307,3.6208269968860886E-6,no
68,82,6.034748079441424E-7,no
69,130,4.608316167355609E-6,no
70,406,1.0138183440291169E-5,no
71,158,4.608316167355609E-6,no
72,966,5.068680622433981E-5,no
73,43,0.061538689502119576,no
74,206,2.413890491443965E-6,no
75,58,5.392754295328796E-7,no
76,121,0.15384705370082735,no
77,167,0.10869651460586,no
78,36,0.08411254359147827,no
79,84,0.03614514490855001,no
80,36,0.08411254359147827,no
81,214,1.7479919941966667E-6,no
82,43,0.061538689502119576,no
83,49,3.929605055043943E-7,no
84,73,5.570537205896525E-7,no
85,75,0.06481522334005158,no
86,192,1.2069481591626677E-6,no
87,192,1.2069481591626677E-6,no
88,142,2.3041687020156867E-6,no
89,95,0.04347893165046119,no
90,160,1.408105619186284E-6,no
91,193,0.16666854413553822,no
92,109,9.387379606856543E-7,no
93,70,0.01941794876968802,no
94,235,1.3339949948507795E-6,no
95,62,1.5841182639331123E-6,no
96,46,0.11235977135097944,no
97,95,0.04347893165046119,no
98,85,5.632431994016105E-7,no
99,62,3.9603050702201695E-7,no
100,62,3.9603050702201695E-7,no
101,51,0.08163294160326443,no
102,211,0.3043486885170027,no
103,78,0.04761977562011035,no
104,59,0.026087374322657033,no
105,56,0.17886205331881538,no
106,44,0.03125074255661252,no
107,224,1.9496825916740754E-6,no
108,125,0.2500010560777273,no
109,117,1.1520870056106639E-6,no
110,211,0.3043486885170027,no
111,83,7.24169594725728E-7,no
112,213,0.14285886706463674,no
113,174,1.0138183440291169E-5,no
114,47,0.09937913426398648,no
115,230,1.2363858463493855E-6,no
116,47,0.09937913426398648,no
117,93,0.03846213836543386,no
118,47,0.09937913426398648,no
119,57,0.09448851269552806,no
120,155,0.16279149273279633,no
121,167,0.10869651460586,no
122,65,0.010256664882484435,no
123,65,0.010256664882484435,no
124,45,0.050847650579713695,no
125,518,5.068680622433981E-5,no
126,47,0.09937913426398648,no
127,32,4.5260624252633945E-7,no
128,56,0.17886205331881538,no
129,61,0.02479378659714475,no
130,146,3.3794401619427723E-6,no
131,166,4.224293064555647E-6,no
132,134,2.534584404195244E-6,no
133,162,0.10000101383633135,no
134,161,1.8104200536608503E-6,no
135,43,0.061538689502119576,no
136,43,0.061538689502119576,no
137,99,0.10000101383633135,no
138,79,0.013514180024660915,no
139,81,6.944092417537167E-7,no
140,51,0.08163294160326443,no
141,177,0.05263396608993771,no
142,103,0.03333412187336836,no
143,1157,0.9999493131937758,no
144,156,1.4483370917680867E-6,no
145,36,0.08411254359147827,no
146,71,0.11111142402410039,no
147,41,0.006756925698992019,no
148,39,0.08888904325936318,no
149,418,0.10000405531448964,no
150,245,2.3041687020156867E-6,no
151,57,0.09448851269552806,no
152,47,0.09937913426398648,no
153,289,0.33333896558133247,no
154,118,1.3339949948507795E-6,no
155,68,5.172642102823849E-7,no
156,250,0.41666737071551074,no
157,152,0.3333338027018731,no
158,54,0.11188838705080499,no
159,61,0.02479378659714475,no
160,61,0.02479378659714475,no
161,214,1.7479919941966667E-6,no
162,97,9.052116656437775E-7,no
163,127,1.408105619186284E-6,no
164,165,0.7142826107421918,no
165,189,5.069143112048339E-6,no
166,184,0.27777902942369215,no
167,93,0.03846213836543386,no
168,89,5.632431994016105E-7,no
169,1104,2.5344687753446875E-5,no
170,581,2.5344687753446875E-5,no
171,115,0.06060673556664292,no
172,129,0.08108222895981784,no
173,436,4.608316167355609E-6,no
174,166,4.224293064555647E-6,no
175,78,0.04761977562011035,no
176,85,5.632431994016105E-7,no
177,1357,0.33333896558133247,no
178,458,8.448514751106756E-6,no
179,257,2.027669579076072E-6,no
180,96,0.01818270633657362,no
181,50,0.1702131216497514,no
182,83,7.24169594725728E-7,yes
183,74,0.134454092945093,no
184,163,8.448514751106756E-6,no
185,91,6.258256987813296E-7,no
186,410,5.069143112048339E-6,no
187,886,2.5344687753446875E-5,no
188,1908,2.5344687753446875E-5,no
189,1571,2.5344687753446875E-5,yes
190,74,0.134454092945093,no
191,1146,2.5344687753446875E-5,no
192,142,2.3041687020156867E-6,no
193,221,3.6208269968860886E-6,no
194,63,0.12371173350070369,no
195,230,1.2363858463493855E-6,no
196,629,8.448514751106756E-6,no
197,138,0.053572236796130046,no
198,37,0.04040451106644991,no
199,163,1.370048814839273E-6,no
