ID,Size,Predicted,Actual
1,76,1.2420047071161559E-5,no
2,72,9.032822699799198E-6,no
3,196,4.967648637885132E-5,no
4,170,9.936087019596642E-6,no
5,120,1.4194289140259136E-5,no
6,242,9.934310272512393E-5,no
7,312,9.934310272512393E-5,no
8,151,2.4839477127372832E-5,no
9,53,6.210100665323359E-6,no
10,626,4.967648637885132E-5,no
11,884,4.967648637885132E-5,no
12,51,4.731519260822993E-6,no
13,61,5.22956871063487E-6,no
14,162,1.6559925644844745E-5,no
15,68,4.967648637885132E-5,no
16,86,1.6559925644844745E-5,no
17,146,4.967648637885132E-5,no
18,214,3.311875440146882E-5,no
19,386,9.934310272512393E-5,no
20,72,9.032822699799198E-6,no
21,74,5.844804896401606E-6,no
22,327,9.934310272512393E-5,no
23,265,3.311875440146882E-5,no
24,35,9.936087019596642E-6,no
25,552,9.934310272512393E-5,no
26,297,2.4839477127372832E-5,no
27,45,2.9224195291727763E-6,no
28,129,1.2420047071161559E-5,no
29,61,5.22956871063487E-6,no
30,65,3.5486478408650486E-6,no
31,161,1.9871779143739673E-5,no
32,244,4.967648637885132E-5,no
33,382,4.967648637885132E-5,no
34,49,6.210100665323359E-6,no
35,41,2.1600525107344735E-6,no
36,97,1.6559925644844745E-5,no
37,1765,9.934310272512393E-5,yes
38,961,9.934310272512393E-5,no
39,46,3.821618665304079E-6,no
40,465,9.934310272512393E-5,no
41,404,9.934310272512393E-5,no
42,221,4.967648637885132E-5,no
43,460,2.4839477127372832E-5,no
44,213,0.019626561282907486,yes
45,47,4.320086358242178E-6,no
46,259,9.934310272512393E-5,no
47,82,7.643178911977775E-6,no
48,131,1.6559925644844745E-5,no
49,416,0.9990083422312215,no
50,159,2.4839477127372832E-5,no
51,898,9.934310272512393E-5,no
52,43,3.821618665304079E-6,no
53,206,3.311875440146882E-5,no
54,58,7.643178911977775E-6,no
55,112,9.934310272512393E-5,no
56,167,9.934310272512393E-5,no
57,36,7.097245310481603E-6,no
58,84,9.936087019596642E-6,no
59,36,7.097245310481603E-6,no
60,201,1.9871779143739673E-5,no
61,43,3.821618665304079E-6,no
62,49,6.210100665323359E-6,no
63,73,7.097245310481603E-6,no
64,75,5.5200970981449106E-6,no
65,174,9.934310272512393E-5,no
66,131,1.6559925644844745E-5,no
67,95,9.934310272512393E-5,no
68,160,9.934310272512393E-5,no
69,193,9.934310272512393E-5,no
70,109,2.4839477127372832E-5,no
71,70,5.5200970981449106E-6,no
72,220,4.967648637885132E-5,no
73,63,7.097245310481603E-6,no
74,46,3.821618665304079E-6,no
75,54,5.5200970981449106E-6,no
76,70,5.5200970981449106E-6,no
77,44,1.4194289140259136E-5,no
78,51,4.731519260822993E-6,no
79,207,2.4839477127372832E-5,no
80,78,9.936087019596642E-6,no
81,59,4.96809287320143E-6,no
82,56,6.210100665323359E-6,no
83,44,1.4194289140259136E-5,no
84,224,9.934310272512393E-5,no
85,119,0.04766185295721894,no
86,113,1.6559925644844745E-5,no
87,192,9.934310272512393E-5,no
88,83,7.643178911977775E-6,no
89,213,9.934310272512393E-5,no
90,175,2.4839477127372832E-5,no
91,47,4.320086358242178E-6,no
92,228,9.934310272512393E-5,no
93,47,4.320086358242178E-6,no
94,93,8.280099940261714E-6,no
95,47,4.320086358242178E-6,no
96,57,4.967648637885132E-5,no
97,155,9.934310272512393E-5,no
98,167,1.6559925644844745E-5,no
99,65,3.5486478408650486E-6,no
100,65,3.5486478408650486E-6,no
101,45,2.9224195291727763E-6,no
102,496,9.934310272512393E-5,no
103,47,4.320086358242178E-6,no
104,32,7.097245310481603E-6,no
105,56,6.210100665323359E-6,no
106,61,5.22956871063487E-6,no
107,104,2.4839477127372832E-5,no
108,155,1.4194289140259136E-5,no
109,161,9.934310272512393E-5,no
110,43,3.821618665304079E-6,no
111,43,3.821618665304079E-6,no
112,95,9.936087019596642E-6,no
113,79,8.280099940261714E-6,no
114,81,9.936087019596642E-6,no
115,51,4.731519260822993E-6,no
116,158,9.934310272512393E-5,no
117,103,8.280099940261714E-6,no
118,929,9.934310272512393E-5,yes
119,153,9.934310272512393E-5,no
120,36,7.097245310481603E-6,no
121,71,5.5200970981449106E-6,no
122,41,2.1600525107344735E-6,no
123,39,2.365770824101717E-6,no
124,345,4.967648637885132E-5,no
125,227,9.934310272512393E-5,no
126,57,6.210100665323359E-6,no
127,47,4.320086358242178E-6,no
128,282,4.967648637885132E-5,no
129,118,9.934310272512393E-5,no
130,68,6.624101891499641E-6,no
131,207,9.934310272512393E-5,no
132,152,9.934310272512393E-5,no
133,54,5.5200970981449106E-6,no
134,57,6.210100665323359E-6,no
135,57,6.210100665323359E-6,no
136,214,9.934310272512393E-5,no
137,84,4.967648637885132E-5,no
138,127,4.967648637885132E-5,no
139,157,9.934310272512393E-5,no
140,183,9.934310272512393E-5,no
141,177,4.967648637885132E-5,no
142,93,4.967648637885132E-5,no
143,89,4.967648637885132E-5,no
144,1105,9.934310272512393E-5,yes
145,494,9.934310272512393E-5,no
146,115,1.2420047071161559E-5,no
147,128,1.9871779143739673E-5,no
148,436,4.967648637885132E-5,no
149,170,9.936087019596642E-6,no
150,78,9.936087019596642E-6,no
151,85,8.280099940261714E-6,no
152,1157,9.934310272512393E-5,no
153,425,0.9990083422312215,yes
154,257,9.934310272512393E-5,no
155,87,7.643178911977775E-6,no
156,46,3.821618665304079E-6,no
157,72,9.032822699799198E-6,no
158,67,8.280099940261714E-6,no
159,164,4.967648637885132E-5,no
160,91,7.097245310481603E-6,no
161,307,4.967648637885132E-5,no
162,775,4.967648637885132E-5,no
163,1856,9.934310272512393E-5,no
164,1357,9.934310272512393E-5,yes
165,71,5.5200970981449106E-6,no
166,1143,4.967648637885132E-5,no
167,142,4.967648637885132E-5,no
168,167,1.6559925644844745E-5,no
169,63,7.097245310481603E-6,no
170,230,2.4839477127372832E-5,no
171,629,9.934310272512393E-5,no
172,138,1.2420047071161559E-5,no
173,37,8.280099940261714E-6,no
174,163,1.4194289140259136E-5,no
175,2217,9.934310272512393E-5,no
176,96,1.104007231174756E-5,no
177,173,3.311875440146882E-5,no
178,136,1.6559925644844745E-5,no
179,69,8.280099940261714E-6,no
180,104,2.4839477127372832E-5,no
181,269,4.967648637885132E-5,no
182,544,4.967648637885132E-5,no
183,334,9.934310272512393E-5,yes
184,379,9.934310272512393E-5,yes
185,168,9.934310272512393E-5,no
186,87,7.643178911977775E-6,yes
187,82,7.643178911977775E-6,no
188,96,1.104007231174756E-5,no
189,184,9.934310272512393E-5,yes
190,81,9.936087019596642E-6,no
191,61,5.22956871063487E-6,no
192,77,1.4194289140259136E-5,no
193,51,4.731519260822993E-6,no
194,62,5.22956871063487E-6,no
195,83,7.643178911977775E-6,no
196,66,8.280099940261714E-6,no
197,127,2.4839477127372832E-5,no
198,51,4.731519260822993E-6,no
199,344,9.934310272512393E-5,no
200,138,9.934310272512393E-5,no
201,183,4.967648637885132E-5,no
202,1625,9.934310272512393E-5,no
203,239,9.934310272512393E-5,no
204,95,9.936087019596642E-6,no
205,103,8.280099940261714E-6,no
206,68,6.624101891499641E-6,no
207,137,2.4839477127372832E-5,no
208,250,9.934310272512393E-5,no
209,418,9.934310272512393E-5,no
210,251,9.934310272512393E-5,no
211,350,9.934310272512393E-5,yes
212,275,0.9990083422312215,no
213,87,7.643178911977775E-6,no
214,98,4.967648637885132E-5,no
215,163,1.4194289140259136E-5,no
216,99,2.4839477127372832E-5,no
217,152,1.9871779143739673E-5,no
218,231,4.967648637885132E-5,no
219,422,4.967648637885132E-5,no
220,219,3.311875440146882E-5,no
221,304,9.934310272512393E-5,yes
222,107,1.2420047071161559E-5,no
223,96,1.104007231174756E-5,no
224,113,1.6559925644844745E-5,no
225,83,7.643178911977775E-6,no
226,262,3.311875440146882E-5,no
227,110,9.934310272512393E-5,no
228,41,2.1600525107344735E-6,no
229,89,7.097245310481603E-6,no
230,58,7.643178911977775E-6,no
231,54,5.5200970981449106E-6,no
232,55,9.936087019596642E-6,no
233,76,9.934310272512393E-5,yes
234,49,6.210100665323359E-6,no
235,84,9.936087019596642E-6,no
236,405,9.934310272512393E-5,no
237,87,7.643178911977775E-6,no
238,97,1.6559925644844745E-5,no
239,115,1.2420047071161559E-5,no
240,1052,9.934310272512393E-5,yes
241,290,1.6559925644844745E-5,no
242,170,9.936087019596642E-6,no
243,170,9.936087019596642E-6,no
244,403,9.934310272512393E-5,yes
245,218,4.967648637885132E-5,no
246,349,9.934310272512393E-5,yes
247,270,9.934310272512393E-5,yes
248,330,4.967648637885132E-5,no
249,603,9.934310272512393E-5,no
250,259,2.4839477127372832E-5,no
251,169,4.967648637885132E-5,no
252,77,1.4194289140259136E-5,no
253,57,6.210100665323359E-6,no
254,60,9.934310272512393E-5,no
255,124,3.311875440146882E-5,no
256,133,2.4839477127372832E-5,no
257,154,4.967648637885132E-5,no
258,97,9.934310272512393E-5,no
259,829,9.934310272512393E-5,yes
260,308,4.967648637885132E-5,no
261,188,4.967648637885132E-5,no
262,313,9.934310272512393E-5,no
263,110,7.097245310481603E-6,no
264,151,2.4839477127372832E-5,no
265,106,9.934310272512393E-5,no
266,741,4.967648637885132E-5,no
267,85,8.280099940261714E-6,no
268,194,4.967648637885132E-5,no
269,187,2.4839477127372832E-5,no
270,80,9.936087019596642E-6,no
271,85,8.280099940261714E-6,no
272,45,2.9224195291727763E-6,no
273,263,1.6559925644844745E-5,no
274,42,3.5486478408650486E-6,no
275,947,9.934310272512393E-5,no
276,468,2.4839477127372832E-5,no
277,65,3.5486478408650486E-6,no
278,81,9.936087019596642E-6,no
279,1527,4.967648637885132E-5,no
280,235,1.6559925644844745E-5,no
281,227,9.934310272512393E-5,no
282,198,1.9871779143739673E-5,no
283,739,9.934310272512393E-5,no
284,499,4.967648637885132E-5,no
285,74,9.934310272512393E-5,no
286,618,9.934310272512393E-5,no
287,446,4.967648637885132E-5,no
288,125,9.934310272512393E-5,no
289,888,4.967648637885132E-5,no
290,155,1.4194289140259136E-5,no
291,80,9.936087019596642E-6,no
292,45,2.9224195291727763E-6,no
293,38,2.484058777635425E-6,no
294,835,9.934310272512393E-5,yes
295,4567,9.934310272512393E-5,yes
296,647,0.9990083422312215,yes
