ID,Size,Predicted,Actual
1,76,4.442172089330052E-6,no
2,72,1.7382506525656275E-6,no
3,196,9.994776204702882E-6,no
4,170,1.9989872080282253E-6,no
5,120,2.9614568297539495E-6,no
6,242,1.9989152835187548E-5,no
7,312,0.016406120679914635,no
8,158,3.9976707469344194E-5,no
9,53,0.006623561596961217,no
10,605,8.884265247789871E-6,no
11,889,0.047653494799718636,no
12,59,1.0384369082073271E-6,no
13,61,1.1422803617908423E-6,no
14,162,0.013456403940136658,no
15,68,1.310813088092952E-6,no
16,146,1.1422568757940889E-5,no
17,215,7.994702290119324E-5,no
18,437,7.994702290119324E-5,no
19,72,6.6632285347872565E-6,no
20,74,1.4278496367362527E-6,no
21,327,7.994702290119324E-5,no
22,265,1.5991450130366323E-5,no
23,35,1.4807328000032404E-6,no
24,555,7.994702290119324E-5,no
25,297,8.884265247789871E-6,no
26,45,6.012008410119407E-7,no
27,420,7.994702290119324E-5,no
28,181,3.9976707469344194E-5,no
29,129,3.075358314933649E-6,no
30,61,1.1422803617908423E-6,no
31,65,6.893077393497142E-7,no
32,165,0.047653494799718636,no
33,244,1.9989152835187548E-5,no
34,425,3.9976707469344194E-5,no
35,49,1.1588351112743447E-6,no
36,41,4.4670243889336877E-7,no
37,97,2.6653127254202694E-6,no
38,1603,0.9992016785925454,yes
39,964,7.994702290119324E-5,no
40,46,9.707061549276724E-4,no
41,465,1.9989152835187548E-5,no
42,98,1.3326279477483164E-5,no
43,406,7.994702290119324E-5,no
44,221,1.1422568757940889E-5,no
45,460,5.711349617254146E-6,no
46,198,0.01961160899642247,yes
47,346,7.994702290119324E-5,no
48,354,7.994702290119324E-5,yes
49,53,3.9976707469344194E-5,no
50,148,7.994702290119324E-5,no
51,47,9.086325305708004E-7,no
52,286,0.9992016785925454,no
53,82,1.453810463737903E-6,no
54,131,3.476489219111944E-6,no
55,410,3.9976707469344194E-5,yes
56,159,3.476489219111944E-6,no
57,918,0.9992016785925454,yes
58,43,0.002625367803676184,no
59,206,9.994776204702882E-6,no
60,58,1.453810463737903E-6,no
61,117,9.994776204702882E-6,no
62,167,2.855691118477449E-6,no
63,36,0.00854835201297141,no
64,84,0.004330720070149521,no
65,36,0.00854835201297141,no
66,201,0.004979062863590905,no
67,43,0.002625367803676184,no
68,49,1.1588351112743447E-6,no
69,73,1.3786135781214094E-6,no
70,75,1.2692000798159742E-6,no
71,193,7.995852930466546E-6,no
72,192,1.3326279477483164E-5,no
73,131,3.476489219111944E-6,no
74,95,1.95023161263671E-6,no
75,160,3.8075809091199423E-6,no
76,193,6.6632285347872565E-6,no
77,109,4.442172089330052E-6,no
78,70,1.1422803617908423E-6,no
79,220,1.1422568757940889E-5,no
80,63,0.005239744600526383,no
81,46,9.707061549276724E-4,no
82,54,0.0025585620286923466,no
83,70,1.1422803617908423E-6,yes
84,44,2.6653127254202694E-6,no
85,51,0.0011900091498477084,no
86,207,5.330597035424314E-6,no
87,78,9.994776204702882E-6,no
88,59,1.0384369082073271E-6,no
89,56,0.00800125888399601,no
90,44,2.6653127254202694E-6,no
91,224,5.330597035424314E-6,no
92,119,0.019615374796548356,no
93,113,2.855691118477449E-6,no
94,211,1.9989152835187548E-5,no
95,83,1.7382506525656275E-6,no
96,213,0.00990875002024754,no
97,175,4.997438050626352E-6,no
98,47,9.086325305708004E-7,no
99,230,3.997958432320919E-6,no
100,47,9.086325305708004E-7,no
101,93,1.6658237833436664E-6,no
102,47,9.086325305708004E-7,no
103,57,1.310813088092952E-6,no
104,155,3.8075809091199423E-6,no
105,167,2.855691118477449E-6,no
106,65,6.893077393497142E-7,no
107,65,6.893077393497142E-7,no
108,45,6.012008410119407E-7,no
109,503,7.994702290119324E-5,yes
110,47,9.086325305708004E-7,no
111,32,1.3786135781214094E-6,no
112,56,0.00800125888399601,no
113,61,1.1422803617908423E-6,no
114,128,0.03847573207378845,no
115,166,7.994702290119324E-5,no
116,134,7.994702290119324E-5,no
117,155,3.8075809091199423E-6,yes
118,161,4.997438050626352E-6,no
119,43,0.002625367803676184,no
120,43,0.002625367803676184,no
121,95,1.95023161263671E-6,no
122,79,0.0021248326965089084,no
123,81,1.903797703423763E-6,no
124,51,0.0011900091498477084,no
125,178,7.994702290119324E-5,no
126,103,1.903797703423763E-6,no
127,999,0.9992016785925454,yes
128,156,1.1422568757940889E-5,no
129,36,0.00854835201297141,no
130,71,0.0014276709200486907,no
131,41,4.4670243889336877E-7,no
132,39,5.158691967793016E-7,no
133,345,0.012355306660753297,yes
134,245,0.02440879423487742,no
135,57,1.310813088092952E-6,no
136,47,9.086325305708004E-7,no
137,282,7.268967777078188E-6,no
138,118,4.997438050626352E-6,no
139,68,1.310813088092952E-6,no
140,224,3.9976707469344194E-5,no
141,152,0.024394881621213234,no
142,54,0.0025585620286923466,no
143,57,1.310813088092952E-6,yes
144,57,1.310813088092952E-6,yes
145,214,7.268967777078188E-6,no
146,97,7.995852930466546E-6,no
147,127,7.994702290119324E-5,no
148,157,1.3326279477483164E-5,no
149,183,1.1422568757940889E-5,no
150,184,1.5991450130366323E-5,no
151,93,1.6658237833436664E-6,no
152,89,1.5086710704207076E-6,no
153,1102,7.994702290119324E-5,no
154,495,1.9989152835187548E-5,no
155,115,0.002851267915507927,no
156,128,4.703473871803543E-6,no
157,436,1.1422568757940889E-5,no
158,170,1.9989872080282253E-6,no
159,78,2.1610665513908822E-6,no
160,85,1.6318274905544912E-6,no
161,1246,0.9992016785925454,no
162,426,3.9976707469344194E-5,yes
163,257,5.330597035424314E-6,no
164,87,0.0017839514174540615,no
165,46,9.707061549276724E-4,no
166,74,3.997958432320919E-6,no
167,67,1.332659914665566E-6,no
168,164,8.884265247789871E-6,no
169,91,1.5086710704207076E-6,no
170,307,8.884265247789871E-6,no
171,788,7.994702290119324E-5,yes
172,1861,7.994702290119324E-5,no
173,1360,0.9992016785925454,yes
174,71,0.0014276709200486907,no
175,1143,1.9989152835187548E-5,yes
176,142,8.884265247789871E-6,no
177,167,2.855691118477449E-6,no
178,63,1.453810463737903E-6,no
179,230,3.997958432320919E-6,no
180,629,7.994702290119324E-5,no
181,138,2.2845555043759057E-6,no
182,37,1.6318274905544912E-6,no
183,163,3.997958432320919E-6,no
184,2218,2.665184861499986E-5,no
185,96,0.0026267595731657785,no
186,189,2.665184861499986E-5,no
187,136,0.0041526678719894985,no
188,69,0.003985643873015156,no
189,104,4.703473871803543E-6,no
190,269,8.884265247789871E-6,no
191,553,7.994702290119324E-5,no
192,334,7.994702290119324E-5,yes
193,379,0.019622906219680592,yes
194,169,2.665184861499986E-5,no
195,87,0.0017839514174540615,yes
196,82,1.453810463737903E-6,no
197,96,0.0026267595731657785,no
198,184,0.027788266099882566,yes
199,81,1.903797703423763E-6,no
200,61,1.1422803617908423E-6,no
201,77,2.7572195539621847E-6,no
202,51,0.0011900091498477084,no
203,62,1.0121474194451789E-6,no
204,83,1.7382506525656275E-6,no
205,66,1.4807328000032404E-6,no
206,130,4.997438050626352E-6,no
207,51,0.0011900091498477084,no
208,347,3.9976707469344194E-5,no
209,138,2.2845555043759057E-6,no
210,179,7.994702290119324E-5,no
211,1651,7.994702290119324E-5,no
212,287,3.9976707469344194E-5,yes
213,99,9.994776204702882E-6,no
214,103,1.903797703423763E-6,no
215,68,1.310813088092952E-6,no
216,137,5.711349617254146E-6,no
217,281,7.994702290119324E-5,no
218,418,0.09096855650124995,no
219,247,0.9992016785925454,no
220,360,7.994702290119324E-5,yes
221,275,1.1422568757940889E-5,no
222,87,0.0017839514174540615,no
223,98,9.994776204702882E-6,no
224,163,3.997958432320919E-6,no
225,99,6.150678798784926E-6,no
226,152,0.024394881621213234,no
227,231,9.994776204702882E-6,no
228,422,9.994776204702882E-6,no
229,219,7.994702290119324E-5,no
230,311,3.9976707469344194E-5,yes
231,107,2.35174799728703E-6,no
232,96,0.0026267595731657785,no
233,113,2.855691118477449E-6,no
234,83,1.7382506525656275E-6,no
235,266,0.047653494799718636,no
236,110,7.994702290119324E-5,no
237,41,3.9976707469344194E-5,no
238,89,1.5086710704207076E-6,no
239,58,1.453810463737903E-6,no
240,54,0.0025585620286923466,no
241,55,1.817261758695298E-6,no
242,76,0.0029348824182618494,yes
243,49,1.1588351112743447E-6,no
244,84,0.004330720070149521,no
245,405,0.09096855650124995,no
