ID,Size,Predicted,Actual
1,24,4.757373929590866E-5,no
2,47,4.757373929590866E-5,no
3,48,4.757373929590866E-5,no
4,72,2.3788001332128072E-5,no
5,26,1.5858919056077135E-5,no
6,90,2.3788001332128072E-5,no
7,32,1.1894283607298333E-5,no
8,81,4.757373929590866E-5,no
9,94,4.757373929590866E-5,no
10,105,4.757373929590866E-5,no
11,91,4.757373929590866E-5,no
12,58,4.757373929590866E-5,no
13,41,4.757373929590866E-5,no
14,74,4.757373929590866E-5,no
15,257,4.757373929590866E-5,no
16,204,4.757373929590866E-5,no
17,141,4.757373929590866E-5,no
18,83,4.757373929590866E-5,no
19,236,4.757373929590866E-5,no
20,60,4.757373929590866E-5,no
21,131,4.757373929590866E-5,no
22,73,4.757373929590866E-5,no
23,125,2.3788001332128072E-5,no
24,68,4.757373929590866E-5,no
25,27,4.757373929590866E-5,no
26,18,4.757373929590866E-5,no
27,281,4.757373929590866E-5,no
28,151,4.757373929590866E-5,no
29,180,4.757373929590866E-5,no
30,232,4.757373929590866E-5,no
31,36,4.757373929590866E-5,no
32,29,2.3788001332128072E-5,no
33,76,4.757373929590866E-5,no
34,101,2.3788001332128072E-5,no
35,76,4.757373929590866E-5,no
36,128,4.757373929590866E-5,no
37,156,4.757373929590866E-5,no
38,144,4.757373929590866E-5,no
39,39,4.757373929590866E-5,no
40,464,0.9999524262607039,no
41,167,4.757373929590866E-5,no
42,683,4.757373929590866E-5,no
43,48,2.3788001332128072E-5,no
44,105,4.757373929590866E-5,no
45,67,4.757373929590866E-5,no
46,130,4.757373929590866E-5,no
47,137,4.757373929590866E-5,no
48,79,4.757373929590866E-5,no
49,159,4.757373929590866E-5,no
50,88,4.757373929590866E-5,no
51,131,2.3788001332128072E-5,no
52,146,4.757373929590866E-5,no
53,227,4.757373929590866E-5,no
54,148,4.757373929590866E-5,no
55,140,4.757373929590866E-5,no
56,45,2.3788001332128072E-5,no
57,187,4.757373929590866E-5,no
58,436,4.757373929590866E-5,no
59,188,4.757373929590866E-5,no
60,29,2.3788001332128072E-5,no
61,51,4.757373929590866E-5,no
62,55,4.757373929590866E-5,no
63,359,4.757373929590866E-5,no
64,239,4.757373929590866E-5,no
65,308,4.757373929590866E-5,no
66,73,2.3788001332128072E-5,no
67,51,2.3788001332128072E-5,no
68,136,4.757373929590866E-5,no
69,75,4.757373929590866E-5,no
