ID,Size,Predicted,Actual
1,76,0.0017559207246361948,no
2,72,0.0017628340473529946,no
3,196,0.00175577528187787,no
4,170,0.0017349249617553757,no
5,120,0.0017262553198864414,no
6,242,0.0018307864000174168,no
7,312,0.002038760355129324,no
8,151,0.0017246069627007918,no
9,53,0.0017877428006700224,no
10,626,0.0060414033768147295,no
11,884,0.0326235488988621,no
12,51,0.0017877428006700224,no
13,61,0.0017787360224584985,no
14,162,0.0017284654346567147,no
15,68,0.0017704362625576644,no
16,86,0.0017496884472563117,no
17,146,0.0017246069627007918,no
18,202,0.0017626734322018919,no
19,363,0.003657792082115909,no
20,72,0.0028580427196157497,no
21,74,0.0028580427196157497,no
22,327,0.999999999375735,yes
23,265,0.0018863296314430664,no
24,35,0.0018191126910255201,no
25,546,0.004191184144539484,yes
26,297,0.0019746660871705797,no
27,45,0.001797466910166402,no
28,129,0.0017236615365317882,no
29,61,0.0017787360224584985,no
30,65,0.0017704362625576644,no
31,161,0.0017284654346567147,no
32,244,0.0018307864000174168,no
33,382,0.0023589477765494004,no
34,49,0.001797466910166402,no
35,41,0.0018079195228838543,no
36,97,0.001739239577961311,no
37,1687,0.9989697678654526,yes
38,957,1.0,yes
39,46,0.001797466910166402,no
40,465,0.004911445556190942,no
41,374,0.0023235315984712324,yes
42,221,0.0017875355006949447,no
43,460,0.003031760537130293,no
44,213,0.00177854449689832,no
45,47,0.001797466910166402,no
46,162,0.0017284654346567147,yes
47,82,0.0028367532662208895,no
48,131,0.0017236615365317882,no
49,395,0.0024739992696986473,no
50,159,0.0017284654346567147,no
51,898,0.944992312392417,no
52,43,0.0018079195228838543,no
53,206,0.0017702602924757418,no
54,58,0.14909927080606578,no
55,88,0.14661948272344094,no
56,166,0.0017313685283349253,no
57,36,0.15197464314438902,no
58,84,0.0017496884472563117,no
59,36,0.15197464314438902,no
60,201,0.14795003047073388,no
61,43,0.0018079195228838543,no
62,49,0.001797466910166402,no
63,73,0.0017628340473529946,no
64,75,0.0017559207246361948,no
65,131,0.0017236615365317882,no
66,94,0.001739239577961311,no
67,160,0.1454922779122784,no
