ID,Size,Predicted,Actual
1,56,2.2801151509940523E-5,no
2,45,2.296040065944349E-5,no
3,45,2.296040065944349E-5,no
4,97,2.233668675711725E-5,no
5,43,2.3047941217459282E-5,no
6,76,2.254457710634413E-5,no
7,76,2.254457710634413E-5,no
8,72,2.2601092377230407E-5,no
9,196,2.2795212788625625E-5,no
10,170,2.2443067215725568E-5,no
11,120,2.225851051540466E-5,no
12,88,2.2405024346670184E-5,no
13,72,2.2601092377230407E-5,no
14,242,2.3678046188786136E-5,no
15,312,2.6230684962441057E-5,no
16,158,2.233435947491371E-5,no
17,53,2.2878155621816825E-5,no
18,626,7.520296742615815E-5,no
19,929,5.105075395664046E-4,no
20,87,2.2446575221357164E-5,no
21,61,2.27293373244111E-5,no
22,162,2.2365683843069665E-5,no
23,68,2.266266560476953E-5,no
24,39,2.3140835546130994E-5,no
25,911,4.4129390860668337E-4,no
26,56,2.2801151509940523E-5,no
27,213,2.304073780753248E-5,no
28,484,1.0171828476168844E-4,no
29,86,3.406213552514683E-5,no
30,311,2.6230684962441057E-5,no
31,359,2.8855586245786454E-5,no
32,146,2.2286343095667053E-5,no
33,215,2.31332013675776E-5,no
34,437,3.566711998032434E-5,no
35,72,2.2601092377230407E-5,no
36,74,2.254457710634413E-5,no
37,327,2.6930622069705407E-5,no
38,265,2.4367532704821158E-5,no
39,35,2.323914561594225E-5,no
40,555,5.4586173717769216E-5,no
41,297,2.5598874757461915E-5,no
42,45,2.296040065944349E-5,no
43,420,3.374133740749342E-5,no
44,181,2.2540270899580127E-5,no
45,128,2.224846796425271E-5,no
46,61,2.27293373244111E-5,no
47,65,2.266266560476953E-5,no
48,161,2.2365683843069665E-5,no
49,244,2.3804033723749173E-5,no
50,448,3.6718609866576094E-5,no
51,54,2.2878155621816825E-5,no
52,41,2.3047941217459282E-5,no
53,107,2.228789125472705E-5,no
54,1639,0.6904075049974083,yes
55,1069,0.0016276441176575544,no
56,46,2.296040065944349E-5,no
57,465,3.8416708312522865E-5,no
58,136,2.2257737442848527E-5,no
59,424,3.4201677022708064E-5,no
60,221,2.3231075569833735E-5,no
61,460,3.783391574763427E-5,no
62,209,2.2953623219473765E-5,yes
63,57,2.2801151509940523E-5,no
64,418,3.374133740749342E-5,no
65,382,3.0512186888764242E-5,no
66,53,2.2878155621816825E-5,no
67,163,2.2401911864441402E-5,no
68,47,2.296040065944349E-5,no
69,307,3.9478551820748035E-5,no
70,82,2.2493082650522852E-5,no
71,131,2.225068836993898E-5,no
72,407,3.24393604844983E-5,no
73,158,2.233435947491371E-5,no
74,967,6.903279129134357E-4,no
75,43,2.3047941217459282E-5,no
76,206,2.2953623219473765E-5,no
77,58,2.2801151509940523E-5,no
78,121,2.2251074780448175E-5,no
79,167,2.2401911864441402E-5,no
80,36,2.3140835546130994E-5,no
81,84,2.2446575221357164E-5,no
82,36,2.3140835546130994E-5,no
83,214,2.304073780753248E-5,no
84,43,2.3047941217459282E-5,no
85,49,2.296040065944349E-5,no
86,73,2.2601092377230407E-5,no
87,75,2.254457710634413E-5,no
88,192,2.272381192702598E-5,no
89,192,2.272381192702598E-5,no
90,142,2.226961977212118E-5,no
91,95,2.236840283723249E-5,no
92,160,2.2365683843069665E-5,no
93,193,2.272381192702598E-5,no
94,109,2.228789125472705E-5,no
95,70,2.2601092377230407E-5,no
96,235,2.355783592566316E-5,no
97,63,2.27293373244111E-5,no
98,46,2.296040065944349E-5,no
99,71,2.2601092377230407E-5,no
100,85,2.2446575221357164E-5,no
101,62,2.27293373244111E-5,no
102,44,2.3047941217459282E-5,no
103,51,2.2878155621816825E-5,no
104,211,2.304073780753248E-5,no
105,78,2.2493082650522852E-5,no
106,59,2.2801151509940523E-5,no
107,56,2.2801151509940523E-5,no
108,44,2.3047941217459282E-5,no
109,224,2.3231075569833735E-5,no
110,125,2.2251074780448175E-5,no
111,117,2.225851051540466E-5,no
112,211,2.304073780753248E-5,no
113,83,2.2446575221357164E-5,no
114,213,2.304073780753248E-5,no
115,175,2.248917682469848E-5,no
116,47,2.296040065944349E-5,no
117,230,2.344332157195463E-5,no
118,47,2.296040065944349E-5,no
119,93,2.236840283723249E-5,no
120,47,2.296040065944349E-5,no
121,57,2.2801151509940523E-5,no
122,155,2.233435947491371E-5,no
123,167,2.2401911864441402E-5,no
124,65,2.266266560476953E-5,no
125,65,2.266266560476953E-5,no
126,45,2.296040065944349E-5,no
127,517,4.693916403768137E-5,no
128,47,2.296040065944349E-5,no
129,32,2.323914561594225E-5,no
130,56,2.2801151509940523E-5,no
131,61,2.27293373244111E-5,no
132,146,2.2286343095667053E-5,no
133,166,2.2401911864441402E-5,no
134,134,2.225068836993898E-5,no
135,162,2.2365683843069665E-5,no
136,161,2.2365683843069665E-5,no
137,43,2.3047941217459282E-5,no
138,43,2.3047941217459282E-5,no
139,99,2.233668675711725E-5,no
140,79,2.2493082650522852E-5,no
141,81,2.2493082650522852E-5,no
142,51,2.2878155621816825E-5,no
143,177,2.248917682469848E-5,no
144,103,2.2309855397619903E-5,no
145,1137,0.003181918409285648,no
146,156,2.233435947491371E-5,no
147,36,2.3140835546130994E-5,no
148,71,2.2601092377230407E-5,no
149,41,2.3047941217459282E-5,no
150,39,2.3140835546130994E-5,no
151,382,3.0512186888764242E-5,no
152,245,2.3804033723749173E-5,no
153,57,2.2801151509940523E-5,no
154,47,2.296040065944349E-5,no
155,290,2.5213481395779153E-5,no
156,118,2.225851051540466E-5,no
157,68,2.266266560476953E-5,no
158,250,2.3935884087425162E-5,no
159,152,2.230791830856903E-5,no
160,54,2.2878155621816825E-5,no
161,61,2.27293373244111E-5,no
162,61,2.27293373244111E-5,no
163,214,2.304073780753248E-5,no
164,97,2.233668675711725E-5,no
165,127,2.224846796425271E-5,no
166,161,3.460030039155019E-5,no
167,189,2.265754988377289E-5,no
168,184,2.2596382962025856E-5,no
169,93,2.236840283723249E-5,no
170,89,2.2405024346670184E-5,no
