ID,Size,Predicted,Actual
1,76,1.2470086954201439E-5,no
2,72,1.2470086954201439E-5,no
3,196,1.2453524800315607E-5,no
4,170,1.2311498351464158E-5,no
5,120,1.2263636188219792E-5,no
6,65,1.2520889330234631E-5,no
7,103,1.2320591927612678E-5,no
8,96,1.2350010297782584E-5,no
9,221,1.4456884929361829E-5,no
10,312,1.4094091286481208E-5,no
11,151,1.3975658494639463E-5,no
12,53,1.2639038259206466E-5,no
13,605,3.3142465062122075E-5,no
14,852,3.7709168054527185E-4,yes
15,51,1.2639038259206466E-5,no
16,61,1.2577182395577806E-5,no
17,162,1.2289148288123209E-5,no
18,68,1.2520889330234631E-5,no
19,138,1.2251525019905215E-5,no
20,219,1.438221259637762E-5,yes
21,369,1.5806696427972712E-5,no
22,262,1.3198355879712878E-5,no
23,35,1.2858815315908175E-5,no
24,546,2.66532150228397E-5,no
25,263,1.3198355879712878E-5,yes
26,45,1.2706536399987594E-5,no
27,129,1.225500410724569E-5,no
28,61,1.2577182395577806E-5,no
29,172,1.2311498351464158E-5,no
30,210,1.2556768931614663E-5,yes
31,348,1.4958261788335572E-5,yes
32,49,1.2706536399987594E-5,no
33,41,1.2779763836882841E-5,no
34,97,1.2350010297782584E-5,no
35,1387,0.015783591477749687,no
36,653,4.233486382998909E-5,yes
37,46,1.2706536399987594E-5,no
38,458,1.9809595582135618E-5,no
39,371,1.5806696427972712E-5,yes
40,221,1.2682166876861894E-5,no
41,460,1.9809595582135618E-5,no
42,171,1.2311498351464158E-5,no
43,47,1.2706536399987594E-5,no
44,131,1.396994665802777E-5,no
45,80,1.2424710374446844E-5,no
46,131,1.225500410724569E-5,no
47,323,1.6432679967133876E-5,yes
48,159,1.2271994315093848E-5,no
49,701,5.639115696976923E-5,yes
50,43,1.2779763836882841E-5,no
51,203,1.2502413331624446E-5,no
52,54,1.2639038259206466E-5,no
53,84,1.2424710374446844E-5,no
54,166,1.2311498351464158E-5,no
55,36,1.2858815315908175E-5,no
56,84,1.2424710374446844E-5,no
57,36,1.2858815315908175E-5,no
58,197,1.2453524800315607E-5,no
59,43,1.2779763836882841E-5,no
60,49,1.2706536399987594E-5,no
61,73,1.2470086954201439E-5,no
62,75,1.2470086954201439E-5,no
63,131,1.225500410724569E-5,no
64,94,1.2350010297782584E-5,no
65,148,1.2260014770703755E-5,no
66,193,1.2453524800315607E-5,no
67,109,1.2296409406359302E-5,no
68,70,1.2520889330234631E-5,no
69,220,1.2682166876861894E-5,no
70,63,1.2577182395577806E-5,no
71,46,1.2706536399987594E-5,no
72,54,1.2639038259206466E-5,no
73,70,1.2520889330234631E-5,no
74,43,1.2779763836882841E-5,no
75,51,1.2639038259206466E-5,no
76,207,1.2556768931614663E-5,no
77,78,1.2424710374446844E-5,no
78,59,1.2577182395577806E-5,no
79,56,1.2639038259206466E-5,no
80,44,1.2706536399987594E-5,no
81,224,1.2682166876861894E-5,no
82,119,1.2263636188219792E-5,no
83,113,1.2277432150668545E-5,no
84,83,1.2424710374446844E-5,no
85,210,1.2556768931614663E-5,no
86,175,1.2339072758495826E-5,no
87,47,1.2706536399987594E-5,no
88,224,1.2682166876861894E-5,no
89,47,1.2706536399987594E-5,no
90,93,1.2350010297782584E-5,no
91,47,1.2706536399987594E-5,no
92,144,1.225319453938867E-5,no
93,167,1.2311498351464158E-5,no
94,65,1.2520889330234631E-5,no
95,65,1.2520889330234631E-5,no
96,45,1.2706536399987594E-5,no
97,401,1.9169106389227457E-5,no
98,47,1.2706536399987594E-5,no
99,32,1.2858815315908175E-5,no
100,56,1.2639038259206466E-5,no
101,61,1.2577182395577806E-5,no
102,104,1.2320591927612678E-5,no
103,155,1.2271994315093848E-5,no
104,145,1.225319453938867E-5,no
105,43,1.2779763836882841E-5,no
