ID,Size,Predicted,Actual
1,24,1.2884769686657305E-6,no
2,47,2.7741816913888176E-6,no
3,48,2.8515364954037044E-6,no
4,72,4.127287109248782E-6,no
5,26,1.3124681235469531E-6,no
6,90,9.530148628297465E-6,no
7,32,1.4196961035988384E-6,no
8,81,6.179741370815541E-6,no
9,94,1.2322167423569559E-5,no
10,105,2.331485198792467E-5,no
11,91,9.251183617462003E-5,no
12,58,3.5968178712317823E-6,no
13,41,2.759110094125466E-6,no
14,74,6.15931175261415E-6,no
15,257,0.7335103779416012,no
16,204,0.011023621863511824,no
17,141,1.0967292081817403E-4,no
18,83,7.49988091593517E-6,no
19,236,0.14559156370040896,no
20,60,4.40647640678513E-5,no
21,131,9.772635017247435E-4,no
22,73,5.335992225592787E-6,no
23,125,9.617937931722119E-5,no
24,68,4.654053716539013E-6,no
25,27,2.4054993170453557E-6,no
26,18,2.3094444639318564E-6,no
27,281,0.9773466322983566,no
28,151,1.9842712864687553E-4,no
29,180,0.0015865194812894755,no
30,232,0.6569903979947281,no
31,36,2.606537021893913E-6,no
32,29,1.3434731274455348E-6,no
33,76,5.887437962798762E-6,no
34,101,1.8973982914054896E-5,no
35,76,5.887437962798762E-6,no
36,128,0.1083957862801909,no
37,156,2.6506489618364636E-4,no
38,144,1.225227910371112E-4,no
39,39,2.706159049275702E-6,no
40,464,1.0,no
41,167,0.01607966782910731,no
42,683,1.0,no
43,48,1.908836973149412E-6,no
44,105,0.0010125660310638456,no
45,67,4.609079999431656E-6,no
46,130,4.7102197858728105E-4,no
47,137,8.211897030516596E-5,no
48,79,5.844279880479323E-6,no
49,159,2.0133006767074262E-4,no
50,88,7.045042863084682E-6,no
51,131,1.614926329701139E-4,no
52,146,1.975804488384472E-4,no
53,227,0.7563320408453803,no
54,148,1.611800030490187E-4,no
55,140,9.739877074770064E-5,no
56,45,1.7848766099008498E-6,no
57,187,0.0018144457592584847,no
58,436,0.9999999999547928,no
59,188,0.05619741038116203,no
60,29,1.3434731274455348E-6,no
61,51,9.24736819950617E-6,no
62,55,3.2225134181067294E-6,no
63,359,0.9999999636636702,no
64,239,0.1934486875659887,no
65,308,0.9978254490765064,no
66,73,4.342102686949457E-6,no
67,51,2.061896765884187E-6,no
68,136,2.087981008163251E-4,no
69,75,1.394324617018179E-5,no
70,193,0.04663632820618135,no
71,103,2.042321070287473E-5,no
72,4766,1.0,no
73,20088,0.004042603062025528,no
74,57,2.3680705265305914E-6,no
75,149,7.308088114726277E-4,no
76,104,4.3161755830801005E-5,no
77,307,0.9946967786315609,no
78,114,2.1560326790432034E-4,no
79,97,1.4331405400690552E-5,no
80,138,2.875476004750063E-4,no
81,165,0.004275929378417675,no
82,158,3.2557867717302884E-4,no
83,42,1.646848723873343E-6,no
84,311,0.9999999759183804,no
85,159,0.002001713679530146,no
86,109,3.167859669510575E-5,no
87,316,0.9999999905659969,no
88,106,2.714314755910662E-5,no
89,71,4.127287109248782E-6,no
90,264,0.9998174354221733,no
91,134,5.900513467075079E-5,no
92,47,1.8317290182871941E-6,no
93,120,2.980478083827389E-5,no
94,63,3.051020123873186E-6,no
95,38,1.5432399548230613E-6,no
96,94,1.2322167423569559E-5,no
97,85,7.429442133787162E-6,no
98,92,1.111920141197617E-5,no
99,298,0.9999996837481525,no
100,79,5.844279880479323E-6,no
101,79,5.844279880479323E-6,no
102,67,3.4340134914583897E-6,no
103,86,8.15308505359289E-6,no
104,31,1.3825144369044577E-6,no
105,124,9.387618675847783E-5,no
106,228,0.9392449672168266,no
107,140,3.5269800756053334E-4,no
108,87,8.383362719774307E-6,no
109,72,4.127287109248782E-6,no
110,147,6.942241300642332E-4,no
111,67,3.4340134914583897E-6,no
112,172,0.00916210965060074,no
113,241,0.9918507867302783,no
114,261,0.9996452502026405,no
115,65,3.2166404582200357E-6,no
116,175,0.012432040153985949,no
117,216,0.7239144146444708,no
118,38,1.5432399548230613E-6,no
119,164,0.003652069771414893,no
120,56,2.371619267752838E-6,no
121,56,2.371619267752838E-6,no
122,45,1.7848766099008498E-6,no
123,45,1.7848766099008498E-6,no
124,97,1.4331405400690552E-5,no
125,43,1.7065258723062875E-6,no
126,76,4.9917274394248075E-6,no
127,76,5.102323689306733E-6,no
128,72,4.127287109248782E-6,no
129,64,3.046920465575091E-6,no
130,64,3.046920465575091E-6,no
131,196,0.14944847589025917,no
132,170,0.007156738756127793,no
133,120,6.580472909009724E-5,no
134,251,1.2586750085612177E-6,no
135,312,6.125520341764969E-7,no
136,158,5.287617421319406E-7,no
137,53,5.394060165037807E-7,no
138,632,1.6209993931826627E-6,no
139,996,0.8551590124283004,no
140,87,5.302917535992317E-7,no
141,61,5.369882342642038E-7,no
142,162,5.29128525470674E-7,no
143,68,5.348264815664376E-7,no
144,39,5.450235459906707E-7,no
145,938,2.3136177983025087E-5,no
146,56,5.385714406017489E-7,no
147,213,5.442328814193845E-7,no
148,485,2.13512357166347E-6,no
149,86,5.302917535992317E-7,no
150,311,6.101657052936373E-7,no
151,360,1.564974225558032E-6,no
152,146,5.273345033919983E-7,no
153,215,5.442328814193845E-7,no
154,437,8.049795920376905E-7,no
155,72,5.335260506055306E-7,no
156,74,5.329177486768063E-7,no
157,358,6.661252410804625E-7,yes
158,265,5.72062388981286E-7,no
159,35,5.46062841777304E-7,no
160,555,1.1812364704776296E-6,no
161,297,5.988302738308308E-7,no
162,45,5.420832039373203E-7,no
163,389,1.588216881171452E-6,no
164,180,5.330488036198559E-7,no
165,128,5.264518875421375E-7,no
166,61,5.369882342642038E-7,no
167,65,5.355188113070128E-7,no
168,166,1.0,no
169,244,5.598115512923838E-7,no
170,448,8.267790515172526E-7,no
171,54,5.394060165037807E-7,no
172,41,5.440139454849815E-7,no
173,107,5.272873542377439E-7,no
174,1869,0.9999998282043607,yes
175,1116,0.9696098197955957,no
176,46,5.420832039373203E-7,no
177,465,8.680593459664191E-7,no
178,131,1.1861496662280076E-6,no
179,423,7.745363564031111E-7,no
180,221,5.473705394896261E-7,no
181,460,8.558409808104875E-7,no
182,213,1.2527857033317341E-6,no
183,57,5.377655548524827E-7,no
184,460,0.017449963462844484,yes
185,448,1.0,yes
186,53,5.394060165037807E-7,no
187,166,1.1971439461197356E-6,no
188,47,5.41161761663753E-7,no
189,307,6.078196409708343E-7,no
190,82,5.312593847955042E-7,no
191,130,5.26468241390061E-7,no
192,406,7.421899052431459E-7,no
193,158,5.287617421319406E-7,no
194,967,0.09511396202755103,no
195,43,5.430338824656854E-7,no
196,206,5.413613973960189E-7,no
197,58,5.377655548524827E-7,no
198,121,5.265637775181929E-7,no
199,167,5.299438525971943E-7,no
200,36,5.46062841777304E-7,no
201,84,5.307618271502254E-7,no
202,36,5.46062841777304E-7,no
203,214,5.442328814193845E-7,yes
204,43,5.430338824656854E-7,no
205,49,5.41161761663753E-7,no
206,73,5.335260506055306E-7,no
207,75,5.329177486768063E-7,no
208,192,5.364012055677799E-7,no
209,199,0.11548923740067155,no
210,142,5.269525942377255E-7,no
211,95,5.28684919536888E-7,no
212,160,5.29128525470674E-7,no
213,193,5.364012055677799E-7,no
214,109,5.272873542377439E-7,no
215,70,5.341622621845322E-7,no
216,235,5.544624622073736E-7,no
217,62,5.362393583919932E-7,no
218,46,5.420832039373203E-7,no
219,95,5.28684919536888E-7,no
220,84,1.2408329423351422E-6,no
221,62,5.362393583919932E-7,yes
222,62,5.362393583919932E-7,no
223,51,5.402694121297798E-7,no
224,211,5.432463521933734E-7,no
225,78,5.32337262624034E-7,no
226,141,1.0,no
227,59,5.369882342642038E-7,no
228,61,0.11562543296176507,no
229,44,5.430338824656854E-7,no
230,224,5.484763280274979E-7,no
231,125,5.264623571972278E-7,no
232,117,5.266547436880048E-7,no
233,211,5.432463521933734E-7,no
234,83,5.307618271502254E-7,no
235,213,1.2723260054753143E-6,no
236,174,5.313722145065448E-7,no
237,47,5.41161761663753E-7,no
238,230,5.519758309309737E-7,no
239,47,5.41161761663753E-7,no
240,93,5.290457365196255E-7,no
241,47,5.41161761663753E-7,no
242,57,5.377655548524827E-7,no
243,155,5.281096546817736E-7,no
244,167,5.299438525971943E-7,no
245,65,5.355188113070128E-7,no
246,65,5.355188113070128E-7,no
247,45,5.420832039373203E-7,no
248,587,0.59346643258896,no
249,47,5.41161761663753E-7,no
250,32,5.482311746158914E-7,no
251,56,5.385714406017489E-7,no
252,61,5.369882342642038E-7,no
253,146,5.273345033919983E-7,no
254,166,1.2389206551285578E-6,no
255,134,5.26581433694844E-7,no
256,165,1.1971439461197356E-6,no
257,161,5.29128525470674E-7,no
258,43,5.430338824656854E-7,no
259,43,5.430338824656854E-7,no
260,99,5.283512678705276E-7,no
261,79,5.317845030267403E-7,no
262,151,1.0,no
263,81,5.312593847955042E-7,no
264,51,5.402694121297798E-7,no
265,177,5.324622235617675E-7,no
266,103,5.277652601262408E-7,no
267,1159,0.9344261695633934,no
