ID,Size,Predicted,Actual
1,76,3.339199014905194E-4,no
2,72,1.818990668474982E-4,no
3,196,1.8435519986547365E-4,no
4,170,1.8148890062467962E-4,no
5,120,1.7951879518570833E-4,no
6,242,1.9263018627149885E-4,no
7,312,2.1532763651266012E-4,no
8,158,1.8053574776971044E-4,no
9,53,1.8409740674535784E-4,no
10,605,5.824275490612804E-4,no
11,889,0.006356694577471824,no
12,59,1.8328319136126688E-4,no
13,61,1.8290680311885786E-4,no
14,162,1.8097294587969803E-4,no
15,68,1.8221485320386318E-4,no
16,146,1.8002641289373465E-4,no
17,215,0.9963887065285909,no
18,437,0.0051681530653813245,no
19,72,3.344637144094492E-4,no
20,74,1.8160326754167777E-4,no
21,327,4.0627208036848227E-4,no
22,265,1.9846131369253615E-4,no
23,35,1.8649785897455973E-4,no
24,555,0.9860036308080198,no
25,297,2.0899197200908385E-4,no
26,45,1.8499443709421977E-4,no
27,420,0.9773366633273474,no
28,181,0.9656360360400236,no
29,129,1.79564755535546E-4,no
30,61,1.8290680311885786E-4,no
31,65,1.8255072896348356E-4,no
32,165,3.33217192896643E-4,no
33,244,1.9339048022972934E-4,no
34,425,5.207119165481502E-4,no
35,49,1.8453549934560216E-4,no
36,41,1.854743701911731E-4,no
37,97,1.800850826706459E-4,no
38,1603,0.9949958580253698,yes
39,964,0.011611280974018895,no
40,46,1.8499443709421977E-4,no
41,465,3.2495337690640924E-4,no
42,98,3.311287867505729E-4,no
43,406,0.976473913439186,no
44,221,1.8855417697294445E-4,no
45,460,3.177784687024597E-4,no
46,198,1.8480566015795685E-4,yes
47,346,0.9725504372194878,no
48,354,0.9999368671359032,no
49,53,0.9658772310756084,no
50,148,0.9651323699221136,no
51,47,1.8499443709421977E-4,no
52,286,0.14182671690888987,no
53,82,1.810712535418755E-4,no
54,131,1.79564755535546E-4,no
55,410,5.009688336876065E-4,yes
56,159,1.8074453990245878E-4,no
57,918,0.07166145924589477,yes
58,43,1.854743701911731E-4,no
59,206,1.85769535779361E-4,no
60,58,1.8328319136126688E-4,no
61,117,3.3013019406658077E-4,no
62,167,1.8122103940990917E-4,no
63,36,1.8649785897455973E-4,no
64,84,1.8083486686211613E-4,no
65,36,1.8649785897455973E-4,no
66,201,1.8527705398681984E-4,no
67,43,1.854743701911731E-4,no
68,49,1.8453549934560216E-4,no
69,73,1.818990668474982E-4,no
70,75,1.8160326754167777E-4,no
71,193,3.381892552702081E-4,no
72,192,3.381892552702081E-4,no
73,131,1.79564755535546E-4,no
74,95,1.802432914586293E-4,no
75,160,1.8074453990245878E-4,no
76,193,1.8392552578015128E-4,no
77,109,1.797266922041237E-4,no
78,70,1.8221485320386318E-4,no
79,220,1.8855417697294445E-4,no
80,63,3.363163874657674E-4,no
81,46,1.8499443709421977E-4,no
82,54,1.836800161433214E-4,no
83,70,1.8221485320386318E-4,yes
84,44,1.8499443709421977E-4,no
85,51,1.8409740674535784E-4,no
86,207,1.8628326714504055E-4,no
87,78,3.334126575024822E-4,no
88,59,1.8328319136126688E-4,no
89,56,1.836800161433214E-4,no
90,44,1.8499443709421977E-4,no
91,224,1.891768381442503E-4,no
92,119,1.7951879518570833E-4,no
93,113,1.7958425986793652E-4,no
94,211,3.435076654591464E-4,no
95,83,1.810712535418755E-4,no
96,213,1.8681841696403993E-4,no
97,175,1.8208427901250746E-4,no
98,47,1.8499443709421977E-4,no
99,230,1.9048950097808455E-4,no
100,47,1.8499443709421977E-4,no
101,93,1.802432914586293E-4,no
102,47,1.8499443709421977E-4,no
103,57,1.836800161433214E-4,no
104,155,1.8053574776971044E-4,no
105,167,1.8122103940990917E-4,no
106,65,1.8255072896348356E-4,no
107,65,1.8255072896348356E-4,no
108,45,1.8499443709421977E-4,no
109,503,0.22942416713637234,yes
110,47,1.8499443709421977E-4,no
111,32,1.8704175106726737E-4,no
112,56,1.836800161433214E-4,no
113,61,1.8290680311885786E-4,no
114,128,3.301086839206572E-4,no
115,166,0.9653542973034547,no
116,134,0.9962333150560722,no
117,155,1.8053574776971044E-4,yes
118,161,1.8074453990245878E-4,no
119,43,1.854743701911731E-4,no
120,43,1.854743701911731E-4,no
121,95,1.802432914586293E-4,no
122,79,1.8132735951823764E-4,no
123,81,1.810712535418755E-4,no
124,51,1.8409740674535784E-4,no
125,178,3.35406696634644E-4,no
126,103,1.7982682457618263E-4,no
127,999,0.13307320294774663,yes
128,156,3.3195731504855947E-4,no
129,36,1.8649785897455973E-4,no
130,71,1.818990668474982E-4,no
131,41,1.854743701911731E-4,no
132,39,1.859754559681991E-4,no
133,345,2.304234031338226E-4,no
134,245,3.555899210605241E-4,no
135,57,1.836800161433214E-4,no
136,47,1.8499443709421977E-4,no
137,282,2.0445147370441003E-4,no
138,118,1.7954191414308493E-4,no
139,68,1.8221485320386318E-4,no
140,224,0.003321334987916648,no
141,152,1.8034650215658553E-4,no
142,54,1.836800161433214E-4,no
143,57,1.836800161433214E-4,yes
144,57,1.836800161433214E-4,yes
145,214,1.8737516147957032E-4,no
146,97,3.311287867505729E-4,no
147,127,0.9650393525972376,no
148,157,1.8053574776971044E-4,no
149,183,1.8275985228658406E-4,no
150,184,3.360462258583093E-4,no
151,93,1.802432914586293E-4,no
152,89,1.8061812316873762E-4,no
153,1102,0.021938410800638738,no
154,495,6.640624981417965E-4,no
155,115,1.7958425986793652E-4,no
156,128,1.7953021404850406E-4,no
157,436,2.948833237652824E-4,no
158,170,1.8148890062467962E-4,no
159,78,1.8132735951823764E-4,no
160,85,1.8083486686211613E-4,no
161,1246,0.6432793080030806,no
162,426,5.259087010704203E-4,yes
163,257,1.9667220185160417E-4,no
164,87,1.8061812316873762E-4,no
165,46,1.8499443709421977E-4,no
166,74,3.339199014905194E-4,no
167,67,1.8221485320386318E-4,no
168,164,1.8097294587969803E-4,no
169,91,1.804209525507066E-4,no
170,307,2.1270232844699827E-4,no
171,788,0.028690691722601355,yes
172,1861,0.9999228213438565,no
173,1360,0.8749502633429498,yes
174,71,1.818990668474982E-4,no
175,1143,0.03323681021108642,yes
176,142,1.798954662035643E-4,no
177,167,1.8122103940990917E-4,no
178,63,1.8290680311885786E-4,no
179,230,1.9048950097808455E-4,no
180,629,6.525619745565656E-4,no
181,138,1.7969155809218078E-4,no
182,37,1.8649785897455973E-4,no
183,163,1.8097294587969803E-4,no
184,2218,0.9999992761326297,no
185,96,1.802432914586293E-4,no
186,189,3.3743727893272897E-4,no
187,136,1.7969155809218078E-4,no
188,69,1.8221485320386318E-4,no
189,104,1.7982682457618263E-4,no
190,269,2.0035246991787707E-4,no
191,553,8.420387109764957E-4,no
192,334,2.2553318122658174E-4,yes
193,379,2.4923086392118396E-4,yes
194,169,3.3370964329471596E-4,no
195,87,1.8061812316873762E-4,yes
196,82,1.810712535418755E-4,no
197,96,1.802432914586293E-4,no
198,184,1.8275985228658406E-4,yes
199,81,1.810712535418755E-4,no
200,61,1.8290680311885786E-4,no
201,77,1.8132735951823764E-4,no
202,51,1.8409740674535784E-4,no
203,62,1.8290680311885786E-4,no
204,83,1.810712535418755E-4,no
205,66,1.8255072896348356E-4,no
206,130,1.79564755535546E-4,no
207,51,1.8409740674535784E-4,no
208,347,4.2680075043189243E-4,no
209,138,1.7969155809218078E-4,no
210,179,0.9962907944487953,no
211,1651,0.9775728492115446,no
212,287,3.779334011404543E-4,yes
213,99,3.311287867505729E-4,no
214,103,1.7982682457618263E-4,no
215,68,1.8221485320386318E-4,no
216,137,1.7969155809218078E-4,no
217,281,0.9999268516363827,no
218,418,2.77733058270784E-4,no
219,247,0.9965147458471576,no
220,360,0.9733428460033313,yes
221,275,2.0133712080893878E-4,no
222,87,1.8061812316873762E-4,no
223,98,1.800850826706459E-4,no
224,163,1.8097294587969803E-4,no
225,99,1.800850826706459E-4,no
226,152,1.8034650215658553E-4,no
227,231,1.9048950097808455E-4,no
228,422,2.832147639482322E-4,no
229,219,0.9665540427144123,no
230,311,3.934772323898081E-4,yes
231,107,1.797266922041237E-4,no
232,96,1.802432914586293E-4,no
233,113,1.7958425986793652E-4,no
234,83,1.810712535418755E-4,no
235,266,1.9939397747937215E-4,no
236,110,0.9650610732447592,no
237,41,0.9661220216619967,no
238,89,1.8061812316873762E-4,no
239,58,1.8328319136126688E-4,no
240,54,1.836800161433214E-4,no
241,55,1.836800161433214E-4,no
242,76,1.8160326754167777E-4,yes
243,49,1.8453549934560216E-4,no
244,84,1.8083486686211613E-4,no
245,405,2.6742910351218577E-4,no
246,87,1.8061812316873762E-4,no
247,97,1.800850826706459E-4,no
248,115,1.7958425986793652E-4,no
249,1035,0.17502788542329317,yes
250,290,0.9694903826035642,no
251,201,3.406739635507125E-4,no
252,200,3.3980733325813893E-4,no
253,406,0.976473913439186,yes
254,218,1.879536843946244E-4,no
255,353,4.300009086801857E-4,yes
256,273,3.7019905815965416E-4,yes
257,330,2.2244984650044664E-4,no
258,602,5.732885434741487E-4,no
259,259,1.9667220185160417E-4,no
260,169,1.8148890062467962E-4,no
261,77,1.8132735951823764E-4,no
262,57,1.836800161433214E-4,no
263,60,1.8328319136126688E-4,no
264,124,1.7951489557159768E-4,no
265,133,1.7961853112577713E-4,no
266,154,1.8034650215658553E-4,no
267,97,1.800850826706459E-4,no
268,786,0.028088814570416114,yes
269,308,2.1399950331403616E-4,no
270,188,1.8351649759047392E-4,yes
271,337,0.003957252591642063,no
272,110,1.796458459604636E-4,no
273,166,3.33217192896643E-4,yes
274,106,1.797266922041237E-4,no
275,741,0.0012211763312414687,no
276,85,1.8083486686211613E-4,no
277,194,1.8435519986547365E-4,no
278,187,1.8312798192632405E-4,yes
279,100,3.308735952050207E-4,yes
280,85,1.8083486686211613E-4,no
