ID,Size,Predicted,Actual
1,76,5.8033370875936014E-8,no
2,72,1.6487465072179552E-8,no
3,196,1.6695513955326936E-8,no
4,170,1.6443619541824013E-8,no
5,120,1.6271442560043874E-8,no
6,242,1.7447616490950658E-8,no
7,312,1.9500093890147966E-8,no
8,158,1.6374281530882497E-8,no
9,53,1.6699078164681652E-8,no
10,605,5.243458212079908E-8,no
11,889,6.182516455220653E-7,no
12,59,1.658414054024186E-8,no
13,61,1.658414054024186E-8,no
14,162,1.6406739426236123E-8,no
15,68,1.6533540863901784E-8,no
16,146,1.6303199440366984E-8,no
17,215,3.282680165846141E-5,no
18,437,6.287635282994112E-7,no
19,72,3.180118492720362E-8,no
20,74,1.6487465072179552E-8,no
21,327,3.8780338255807314E-8,no
22,265,1.804663789595736E-8,no
23,35,1.6906555247159652E-8,no
24,555,0.9999999584903856,no
25,297,1.89577691433319E-8,no
26,45,1.6763508896447555E-8,no
27,420,0.9984028811584282,no
28,181,4.834259713284816E-4,no
29,129,1.6271194468609036E-8,no
30,61,1.658414054024186E-8,no
31,65,1.6533540863901784E-8,no
32,165,3.092980188142065E-8,no
33,244,1.7556499263251747E-8,no
34,425,5.222733858575962E-8,no
35,49,1.6699078164681652E-8,no
36,41,1.6832649205005988E-8,no
37,97,1.6323776590407603E-8,no
38,1603,0.025098596666840337,yes
39,964,1.1069663427910325E-6,no
40,46,1.6763508896447555E-8,no
41,465,2.9478932574749842E-8,no
42,98,1.3765935923324787E-7,no
43,406,3.6556818969323613E-6,no
44,221,1.7063965347578748E-8,no
45,460,2.896410620535392E-8,no
46,198,1.6759675395717674E-8,yes
47,346,0.7838412065835278,no
48,354,0.9978467546016361,yes
49,53,2.9586387206358437E-6,no
50,148,2.861773815889038E-5,no
51,47,1.6763508896447555E-8,no
52,286,4.076408480087608E-5,no
53,82,1.6408740798045146E-8,no
54,131,1.627754079533037E-8,no
55,410,4.752963340279024E-8,yes
56,159,1.6374281530882497E-8,no
57,918,8.899867501943082E-6,yes
58,43,1.6832649205005988E-8,no
59,206,1.682854330369197E-8,no
60,58,1.663930481418397E-8,no
61,117,3.004636952554026E-8,no
62,167,1.6443619541824013E-8,no
63,36,1.6906555247159652E-8,no
64,84,1.6408740798045146E-8,no
65,36,1.6906555247159652E-8,no
66,201,1.6759675395717674E-8,no
67,43,1.6832649205005988E-8,no
68,49,1.6699078164681652E-8,no
69,73,1.6487465072179552E-8,no
70,75,1.6445876163476E-8,no
71,193,2.951497218191359E-8,no
72,192,3.1715258495471386E-8,no
73,131,1.627754079533037E-8,no
74,95,1.6323776590407603E-8,no
75,160,1.6374281530882497E-8,no
76,193,1.6695513955326936E-8,no
77,109,1.628895135422403E-8,no
78,70,1.6487465072179552E-8,no
79,220,1.7063965347578748E-8,no
80,63,3.19876535187644E-8,no
81,46,1.6763508896447555E-8,no
82,54,1.663930481418397E-8,no
83,70,1.6487465072179552E-8,yes
84,44,1.6763508896447555E-8,no
85,51,1.6699078164681652E-8,no
86,207,1.682854330369197E-8,no
87,78,3.172096783193701E-8,no
88,59,1.658414054024186E-8,no
89,56,1.663930481418397E-8,no
90,44,1.6763508896447555E-8,no
91,224,1.7152259135507603E-8,no
92,119,1.6271442560043874E-8,no
93,113,1.627803717551038E-8,no
94,211,5.9149544794380946E-8,no
95,83,1.6408740798045146E-8,no
96,213,1.6980626262857622E-8,no
97,175,1.648495139325668E-8,no
98,47,1.6763508896447555E-8,no
99,230,1.7245580196352378E-8,no
100,47,1.6763508896447555E-8,no
101,93,1.634771538488615E-8,no
102,47,1.6763508896447555E-8,no
103,57,1.663930481418397E-8,no
104,155,1.6346219915674654E-8,no
105,167,1.6443619541824013E-8,no
106,65,1.6533540863901784E-8,no
107,65,1.6533540863901784E-8,no
108,45,1.6763508896447555E-8,no
109,503,4.631454563212637E-4,yes
110,47,1.6763508896447555E-8,no
111,32,1.6985287217005968E-8,no
112,56,1.663930481418397E-8,no
113,61,1.658414054024186E-8,no
114,128,2.902361733601316E-8,no
115,166,4.741664714742015E-5,no
116,134,0.0016544888301375704,no
117,155,1.6346219915674654E-8,yes
118,161,1.6374281530882497E-8,no
119,43,1.6832649205005988E-8,no
120,43,1.6832649205005988E-8,no
121,95,1.6323776590407603E-8,no
122,79,1.6445876163476E-8,no
123,81,1.6408740798045146E-8,no
124,51,1.6699078164681652E-8,no
125,178,2.9223728140994213E-8,no
126,103,1.6304193780798713E-8,no
127,999,0.998593749948188,yes
128,156,2.997704005375294E-8,no
129,36,1.6906555247159652E-8,no
130,71,1.6487465072179552E-8,no
131,41,1.6832649205005988E-8,no
132,39,1.6832649205005988E-8,no
133,345,2.0779910112854143E-8,yes
134,245,6.143937236134751E-8,no
135,57,1.663930481418397E-8,no
136,47,1.6763508896447555E-8,no
137,282,1.8474545559977735E-8,no
138,118,1.6271442560043874E-8,no
139,68,1.6533540863901784E-8,no
140,224,3.9513085875281277E-7,no
141,152,1.6346219915674654E-8,no
142,54,1.663930481418397E-8,no
143,57,1.663930481418397E-8,yes
144,57,1.663930481418397E-8,yes
145,214,1.6980626262857622E-8,no
146,97,2.9079650883616082E-8,no
147,127,2.523887361094272E-5,no
148,157,1.6374281530882497E-8,no
149,183,1.6581106484822957E-8,no
150,184,6.064343564180678E-8,no
151,93,1.634771538488615E-8,no
152,89,1.6376029253443676E-8,no
153,1102,2.043753047878355E-6,no
154,495,6.004482380167544E-8,no
155,115,1.627803717551038E-8,no
156,128,1.6271194468609036E-8,no
157,436,2.6627395899263342E-8,no
158,170,1.6443619541824013E-8,no
159,78,1.6445876163476E-8,no
160,85,1.6376029253443676E-8,no
161,1246,2.2087227891984438E-4,no
162,426,4.8626919443421443E-8,yes
163,257,1.779044821567744E-8,no
164,87,1.6376029253443676E-8,no
165,46,1.6763508896447555E-8,no
166,74,3.1432074798442595E-8,no
167,67,1.6533540863901784E-8,no
168,164,1.6406739426236123E-8,no
169,91,1.634771538488615E-8,no
170,307,1.931249717767073E-8,no
171,788,3.505930411194163E-6,yes
172,1861,0.6101535559896307,no
173,1360,8.550874818280675E-4,yes
174,71,1.6487465072179552E-8,no
175,1143,3.090123654112569E-6,yes
176,142,1.6303199440366984E-8,no
177,167,1.6443619541824013E-8,no
178,63,1.658414054024186E-8,no
179,230,1.7245580196352378E-8,no
180,629,5.9585788289248557E-8,no
181,138,1.6288206290410503E-8,no
182,37,1.6906555247159652E-8,no
183,163,1.6406739426236123E-8,no
184,2218,0.9925286836477035,no
185,96,1.6323776590407603E-8,no
186,189,5.996094799311436E-8,no
187,136,1.6288206290410503E-8,no
188,69,1.6533540863901784E-8,no
189,104,1.6304193780798713E-8,no
190,269,1.8183340828968055E-8,no
191,553,7.495846842670234E-8,no
192,334,2.032267615962549E-8,yes
193,379,2.2651103949482464E-8,yes
194,169,3.0999327862315414E-8,no
195,87,1.6376029253443676E-8,yes
196,82,1.6408740798045146E-8,no
197,96,1.6323776590407603E-8,no
198,184,1.6581106484822957E-8,yes
199,81,1.6408740798045146E-8,no
200,61,1.658414054024186E-8,no
201,77,1.6445876163476E-8,no
202,51,1.6699078164681652E-8,no
203,62,1.658414054024186E-8,no
204,83,1.6408740798045146E-8,no
205,66,1.6533540863901784E-8,no
206,130,1.6271194468609036E-8,no
207,51,1.6699078164681652E-8,no
208,347,3.8307557241678216E-8,no
209,138,1.6288206290410503E-8,no
210,179,5.565721578557382E-4,no
211,1651,0.0040566457414194295,no
212,287,3.511974317019686E-8,yes
213,99,3.0773401272380966E-8,no
214,103,1.6304193780798713E-8,no
215,68,1.6533540863901784E-8,no
216,137,1.6288206290410503E-8,no
217,281,0.828342288370729,no
218,418,2.539751206531564E-8,no
219,247,0.006618753913572978,no
220,360,0.9999684892204387,yes
221,275,1.8325936015305956E-8,no
222,87,1.6376029253443676E-8,no
223,98,1.6323776590407603E-8,no
224,163,1.6406739426236123E-8,no
225,99,1.6323776590407603E-8,no
226,152,1.6346219915674654E-8,no
227,231,1.7245580196352378E-8,no
228,422,2.539751206531564E-8,no
229,219,0.007718253920070438,no
230,311,3.608646989563314E-8,yes
231,107,1.628895135422403E-8,no
232,96,1.6323776590407603E-8,no
233,113,1.627803717551038E-8,no
234,83,1.6408740798045146E-8,no
235,266,1.804663789595736E-8,no
236,110,1.0827726633644998E-5,no
237,41,2.682779867393614E-6,no
238,89,1.6376029253443676E-8,no
239,58,1.663930481418397E-8,no
240,54,1.663930481418397E-8,no
241,55,1.663930481418397E-8,no
242,76,1.6445876163476E-8,yes
243,49,1.6699078164681652E-8,no
244,84,1.6408740798045146E-8,no
245,405,2.428229109749825E-8,no
246,87,1.6376029253443676E-8,no
247,97,1.6323776590407603E-8,no
248,115,1.627803717551038E-8,no
249,1035,2.555786328059345E-5,yes
250,290,0.8679715062295723,no
251,201,5.8440803255748364E-8,no
252,200,5.8440803255748364E-8,no
253,406,0.9999999763275685,yes
254,218,1.7063965347578748E-8,no
255,353,4.0097909862322296E-8,yes
256,273,6.710892070913239E-8,yes
257,330,2.010583807151877E-8,no
258,602,5.243458212079908E-8,no
259,259,1.791571071346446E-8,no
260,169,1.6443619541824013E-8,no
261,77,1.6445876163476E-8,no
262,57,1.663930481418397E-8,no
263,60,1.658414054024186E-8,no
264,124,1.6269162262240703E-8,no
265,133,1.627754079533037E-8,no
266,154,1.6346219915674654E-8,no
267,97,1.6323776590407603E-8,no
268,786,3.644643090168121E-6,yes
269,308,1.931249717767073E-8,no
270,188,1.663600701266924E-8,yes
271,337,4.64433905605577E-7,no
272,110,1.628895135422403E-8,no
273,166,3.1645480509049825E-8,yes
274,106,1.628895135422403E-8,no
275,741,1.1314629629452117E-7,no
276,85,1.6376029253443676E-8,no
277,194,1.6695513955326936E-8,no
278,187,1.663600701266924E-8,yes
279,100,2.9038523427605584E-8,yes
280,85,1.6376029253443676E-8,no
281,45,1.6763508896447555E-8,no
282,281,1.8474545559977735E-8,yes
283,42,1.6832649205005988E-8,no
284,960,1.947144485901321E-6,no
285,468,5.619930042005324E-8,no
286,65,1.6533540863901784E-8,no
287,81,1.6408740798045146E-8,no
288,1537,0.009017064538290043,yes
289,235,1.734400549373638E-8,no
290,227,1.7152259135507603E-8,no
291,227,3.897177179700201E-7,no
292,770,2.3676467886383235E-7,yes
293,502,3.3596670568509774E-8,no
294,74,1.6487465072179552E-8,yes
295,618,5.6570159434424416E-8,no
296,446,2.751667373660087E-8,no
297,125,1.6269162262240703E-8,yes
298,888,3.080846740419E-7,no
299,155,1.6346219915674654E-8,yes
300,80,1.6408740798045146E-8,no
301,45,1.6763508896447555E-8,no
302,38,1.6906555247159652E-8,no
303,914,1.0,yes
304,5013,1.0,yes
305,647,9.716616884233323E-6,yes
306,139,1.014042767187019E-5,yes
307,174,1.648495139325668E-8,no
308,477,0.999999999938948,yes
309,162,1.6406739426236123E-8,no
310,211,1.6902173606173332E-8,yes
311,300,1.9131775495903386E-8,no
312,351,0.00383888735270042,yes
313,118,1.6271442560043874E-8,no
314,115,1.627803717551038E-8,no
315,192,1.663600701266924E-8,no
316,406,2.428229109749825E-8,no
317,42,1.6832649205005988E-8,no
318,80,1.6408740798045146E-8,no
319,963,5.739118968037349E-7,no
320,557,4.23569882045692E-8,no
321,318,1.0,yes
322,1167,0.5255413514026295,yes
323,127,1.6271194468609036E-8,no
324,734,0.6156899994038991,no
325,462,5.5866252512512174E-8,yes
326,38,1.6906555247159652E-8,no
327,607,9.996246520186046E-8,no
328,512,3.495878949557467E-8,no
329,523,7.023706963749503E-8,no
330,972,6.263620999637909E-7,no
331,74,1.6487465072179552E-8,no
332,294,1.8790325207953728E-8,no
333,709,0.9999970839223005,yes
334,155,4.854697885852119E-5,no
335,137,3.141685263331849E-8,no
336,46,1.6763508896447555E-8,no
337,63,1.658414054024186E-8,no
338,273,8.414388248975181E-7,yes
339,191,1.663600701266924E-8,no
340,704,1.7029880316020853E-7,no
341,154,1.6346219915674654E-8,no
342,3109,1.0,no
343,36,1.6906555247159652E-8,no
344,355,4.86301884599602E-7,yes
345,65,1.6533540863901784E-8,no
346,148,1.6322532181488078E-8,no
347,520,3.5674601150796914E-8,no
348,112,1.627803717551038E-8,no
349,90,1.634771538488615E-8,no
350,91,1.634771538488615E-8,no
351,88,1.6376029253443676E-8,no
352,87,1.6376029253443676E-8,no
353,83,1.6408740798045146E-8,no
354,93,7.5001549834290015E-6,no
355,253,0.13150239784613682,no
356,121,9.679057505254538E-5,no
357,67,1.6533540863901784E-8,no
358,357,3.895799217530079E-8,yes
359,160,1.6374281530882497E-8,no
360,202,0.0018406861948852612,no
361,74,4.43140584037607E-6,no
362,48,2.7980586399453535E-6,no
363,1703,0.9986724907550814,no
364,1631,0.9963052808821613,no
365,43,2.682779867393614E-6,no
366,142,1.6303199440366984E-8,no
367,66,3.7038459782941404E-6,no
368,95,7.6401355885492E-6,no
369,140,1.6288206290410503E-8,no
370,49,1.6699078164681652E-8,no
371,147,7.230322233607914E-5,no
372,117,1.6460523918642385E-5,no
373,539,0.9999944442782841,no
374,409,0.9955051986347861,no
375,233,9.692544662519298E-4,no
376,58,1.663930481418397E-8,no
377,164,1.6406739426236123E-8,yes
378,147,1.6322532181488078E-8,no
379,272,1.8183340828968055E-8,no
380,77,1.6445876163476E-8,no
381,90,1.634771538488615E-8,no
382,35,1.6906555247159652E-8,no
383,255,1.779044821567744E-8,no
384,210,3.2601078817237604E-8,no
385,249,0.1022593444749622,no
386,743,1.1314629629452117E-7,yes
387,352,2.126997010850829E-8,no
388,219,1.7063965347578748E-8,no
389,65,1.6533540863901784E-8,no
390,33,1.6985287217005968E-8,no
391,138,1.6288206290410503E-8,no
392,707,1.0,no
393,480,3.112843536356797E-8,no
394,84,1.6408740798045146E-8,no
395,52,1.6699078164681652E-8,no
396,33,1.6985287217005968E-8,no
397,108,1.628895135422403E-8,no
398,314,1.9500093890147966E-8,no
399,94,1.634771538488615E-8,no
400,79,1.6445876163476E-8,no
401,91,1.634771538488615E-8,no
402,206,1.682854330369197E-8,no
403,61,1.658414054024186E-8,no
404,398,2.393422558296123E-8,no
405,74,1.6487465072179552E-8,no
406,82,1.6408740798045146E-8,no
407,1485,0.004728777181045397,no
408,31,2.504781290769054E-6,no
409,143,2.6201741431196093E-5,no
410,620,5.6570159434424416E-8,no
411,28,2.4746777456361898E-6,no
412,141,1.6303199440366984E-8,no
413,536,3.8790127312219735E-8,no
414,75,1.6445876163476E-8,no
415,27,1.7068909427640078E-8,no
416,75,1.6445876163476E-8,no
417,307,2.6050792469982427E-5,no
418,331,0.7518499412479704,no
419,28,2.4746777456361898E-6,no
420,228,1.7245580196352378E-8,no
421,1077,1.0,no
422,4627,1.0,yes
423,193,7.49467685429422E-8,no
424,288,0.8669820824219243,no
425,287,0.07986909555194938,no
426,94,1.634771538488615E-8,no
427,237,0.03810751760131067,no
428,390,0.966202728118528,yes
429,1016,7.137771155625835E-6,no
430,31,4.7697024405139514E-6,no
431,31,2.504781290769054E-6,no
432,286,1.8629297344108865E-8,no
433,108,1.628895135422403E-8,no
434,70,1.6487465072179552E-8,no
435,73,1.6487465072179552E-8,no
436,37,1.6906555247159652E-8,no
437,100,1.6304193780798713E-8,no
438,36,1.6906555247159652E-8,no
439,56,3.137425757988345E-6,no
440,53,2.9586387206358437E-6,no
441,35,2.5694006571115763E-6,no
442,53,1.6699078164681652E-8,no
443,38,1.6906555247159652E-8,no
444,38,1.6906555247159652E-8,no
445,37,1.6906555247159652E-8,no
446,48,1.6763508896447555E-8,no
447,73,1.6487465072179552E-8,no
448,42,1.6832649205005988E-8,no
449,43,1.6832649205005988E-8,no
450,284,3.563388526632433E-8,no
451,42,1.6832649205005988E-8,no
452,217,1.6980626262857622E-8,no
453,648,6.45414855177217E-8,no
454,31,1.6985287217005968E-8,no
455,38,1.6906555247159652E-8,no
456,109,3.105362378054195E-8,no
457,160,1.6374281530882497E-8,no
458,37,1.6906555247159652E-8,no
459,43,1.6832649205005988E-8,no
460,37,1.6906555247159652E-8,no
461,33,2.504781290769054E-6,no
462,33,2.504781290769054E-6,no
463,198,1.6759675395717674E-8,no
464,253,0.13150239784613682,no
465,61,3.19876535187644E-8,no
466,62,1.658414054024186E-8,no
467,65,3.7038459782941404E-6,no
468,38,1.6906555247159652E-8,no
469,948,1.0,no
470,156,1.6346219915674654E-8,no
471,129,2.8381982005140824E-5,no
472,32,1.6985287217005968E-8,no
473,42,2.682779867393614E-6,no
474,883,1.0,no
475,112,1.627803717551038E-8,no
476,124,4.375196502047356E-7,no
477,82,1.6408740798045146E-8,no
478,421,2.539751206531564E-8,yes
479,172,1.648495139325668E-8,no
480,190,9.715158051599314E-4,no
481,366,2.179468224705051E-8,yes
482,512,3.495878949557467E-8,no
483,38,1.6906555247159652E-8,no
484,46,1.6763508896447555E-8,no
485,163,1.6406739426236123E-8,no
486,756,1.2471939203978584E-7,no
487,139,1.6288206290410503E-8,no
488,4919,1.0,no
489,78,1.6445876163476E-8,no
490,45,1.6763508896447555E-8,no
491,1414,7.337165899119352E-5,no
492,230,1.7245580196352378E-8,no
493,185,1.6581106484822957E-8,no
494,533,6.963529513147845E-8,no
495,650,6.631848603244385E-8,no
496,461,5.3116755261000547E-8,no
497,134,1.627754079533037E-8,no
498,202,1.6759675395717674E-8,no
499,868,6.159973024184341E-6,yes
500,50,1.6699078164681652E-8,no
501,197,1.6695513955326936E-8,no
502,952,1.0,yes
503,596,4.99129963952315E-8,no
504,85,1.6376029253443676E-8,no
505,83,1.6408740798045146E-8,no
506,73,1.6487465072179552E-8,no
507,89,1.6376029253443676E-8,no
508,76,1.6445876163476E-8,no
509,807,1.755476640745262E-7,no
510,91,1.634771538488615E-8,no
511,353,0.9999546714473176,no
512,410,5.699605730509297E-7,no
513,68,5.316072046956905E-8,no
514,890,8.928241313235563E-6,yes
515,914,3.765743076408998E-7,yes
516,41,1.6832649205005988E-8,no
517,43,1.6832649205005988E-8,no
518,144,2.0503332061564447E-5,no
519,65,3.7038459782941404E-6,no
520,82,1.6408740798045146E-8,no
521,65,3.189005636646428E-8,no
522,420,2.539751206531564E-8,no
523,214,1.6980626262857622E-8,no
524,43,1.6832649205005988E-8,no
525,118,1.6271442560043874E-8,no
526,309,0.9830806946427905,no
527,307,1.931249717767073E-8,no
528,56,7.02892728253572E-8,no
529,48,1.6763508896447555E-8,no
530,743,2.157046290096861E-7,no
531,55,1.663930481418397E-8,no
532,128,1.6271194468609036E-8,no
533,501,3.3596670568509774E-8,no
534,110,1.628895135422403E-8,no
535,107,1.628895135422403E-8,no
536,322,1.989658657820828E-8,no
537,42,1.6832649205005988E-8,no
538,495,3.294874187440474E-8,no
539,84,1.6408740798045146E-8,no
540,39,1.6832649205005988E-8,no
541,94,1.634771538488615E-8,no
542,93,1.634771538488615E-8,no
543,91,1.634771538488615E-8,no
544,38,1.6906555247159652E-8,no
545,94,1.634771538488615E-8,no
546,93,1.634771538488615E-8,no
547,93,1.634771538488615E-8,no
548,79,1.6445876163476E-8,no
549,68,1.6533540863901784E-8,no
550,62,1.658414054024186E-8,no
551,121,1.6269162262240703E-8,no
552,110,1.0827726633644998E-5,no
553,193,9.409409453903248E-5,no
554,192,1.663600701266924E-8,no
555,284,1.8474545559977735E-8,no
556,57,1.663930481418397E-8,no
557,95,1.6323776590407603E-8,no
558,2223,1.0,yes
559,71,1.6487465072179552E-8,no
560,51,1.6699078164681652E-8,no
561,237,0.001342394917484414,no
562,80,1.6408740798045146E-8,no
563,43,1.6832649205005988E-8,no
564,357,2.1527874586586488E-8,no
565,245,1.7556499263251747E-8,no
566,246,1.7556499263251747E-8,no
567,39,1.6832649205005988E-8,no
568,73,1.6487465072179552E-8,no
569,872,4.901281450014476E-7,yes
570,3328,1.0,yes
571,461,2.896410620535392E-8,no
572,426,2.579419053820576E-8,no
573,339,0.38180973876988594,no
574,62,1.658414054024186E-8,no
575,73,1.6487465072179552E-8,no
576,40,1.6832649205005988E-8,no
577,67,1.6533540863901784E-8,no
578,138,1.6288206290410503E-8,no
579,39,1.6832649205005988E-8,no
580,66,1.6533540863901784E-8,no
581,66,1.6533540863901784E-8,no
582,66,3.189005636646428E-8,no
583,67,6.31625461917653E-8,no
584,389,2.327148798090616E-8,yes
585,150,1.6322532181488078E-8,no
586,70,1.6487465072179552E-8,no
587,524,8.189647232385756E-5,no
588,42,1.6832649205005988E-8,no
589,41,1.6832649205005988E-8,no
590,97,1.6323776590407603E-8,no
591,72,1.6487465072179552E-8,no
592,93,1.634771538488615E-8,no
593,58,1.663930481418397E-8,no
594,70,1.6487465072179552E-8,no
595,58,1.663930481418397E-8,no
596,83,1.6408740798045146E-8,no
597,33,1.6985287217005968E-8,no
598,65,1.6533540863901784E-8,no
599,46,1.6763508896447555E-8,no
600,46,1.6763508896447555E-8,no
601,79,1.6445876163476E-8,no
602,92,1.634771538488615E-8,no
603,84,1.6408740798045146E-8,no
604,199,1.6759675395717674E-8,no
605,76,1.6445876163476E-8,no
606,96,1.6323776590407603E-8,no
607,68,1.6533540863901784E-8,no
608,85,1.6376029253443676E-8,no
609,71,1.6487465072179552E-8,no
610,32,1.6985287217005968E-8,no
611,85,1.6376029253443676E-8,no
612,45,1.6763508896447555E-8,no
613,45,1.6763508896447555E-8,no
614,52,1.6699078164681652E-8,no
615,44,1.6763508896447555E-8,yes
616,71,1.6487465072179552E-8,no
617,41,1.6832649205005988E-8,no
618,41,1.6832649205005988E-8,no
619,40,1.6832649205005988E-8,no
620,82,1.6408740798045146E-8,no
621,36,1.6906555247159652E-8,no
622,484,3.112843536356797E-8,yes
623,64,1.658414054024186E-8,no
624,49,1.6699078164681652E-8,no
625,92,1.634771538488615E-8,no
626,89,1.6376029253443676E-8,no
627,94,1.634771538488615E-8,no
628,60,1.658414054024186E-8,no
629,57,1.663930481418397E-8,no
630,41,1.6832649205005988E-8,no
631,41,1.6832649205005988E-8,no
632,791,1.526262685956282E-7,yes
633,47,1.6763508896447555E-8,no
634,71,1.6487465072179552E-8,no
635,69,1.6533540863901784E-8,no
636,75,1.6445876163476E-8,no
637,41,1.6832649205005988E-8,no
638,41,1.6832649205005988E-8,no
639,72,1.6487465072179552E-8,no
640,52,3.2209346336725254E-8,no
641,79,1.6445876163476E-8,no
642,71,1.6487465072179552E-8,no
643,53,1.6699078164681652E-8,no
644,53,1.6699078164681652E-8,no
645,41,1.6832649205005988E-8,no
646,41,1.6832649205005988E-8,no
647,40,1.6832649205005988E-8,no
648,57,1.663930481418397E-8,no
649,42,1.6832649205005988E-8,no
650,103,1.6304193780798713E-8,no
651,62,1.658414054024186E-8,no
652,68,1.6533540863901784E-8,no
653,39,1.6832649205005988E-8,no
654,70,1.6487465072179552E-8,no
655,130,1.6271194468609036E-8,no
656,62,1.658414054024186E-8,no
657,91,1.634771538488615E-8,no
658,49,1.6699078164681652E-8,no
659,43,1.6832649205005988E-8,no
660,41,1.6832649205005988E-8,no
661,62,1.658414054024186E-8,no
