ID,Size,Predicted,Actual
1,56,0.053278106812442334,no
2,45,0.053615116384033046,no
3,45,0.053615116384033046,no
4,97,0.052253871982889305,no
5,43,0.053799002788037016,no
6,76,0.05261118681865555,no
7,76,0.05261118681865555,no
8,72,0.052724794418078244,no
9,196,0.053013952155196976,no
10,170,0.052347508454861025,no
11,120,0.05202264931519501,no
12,242,0.054932885386431596,no
13,312,0.06036095101297227,no
14,158,0.05220291382507875,no
15,53,0.053278106812442334,no
16,632,0.1504638160711464,no
17,937,0.529744491596587,yes
18,87,0.05241320617849028,no
19,61,0.053124808011127914,no
20,162,0.05227041784171931,no
21,68,0.05284822362414859,no
22,39,0.053799002788037016,no
23,911,0.4878408613199763,no
24,56,0.053278106812442334,no
25,213,0.053656941689300054,no
26,484,0.09020858654768134,no
27,86,0.05241320617849028,no
28,311,0.06036095101297227,no
29,359,0.06551288816534791,no
30,146,0.052057597666589975,no
31,215,0.053656941689300054,no
32,437,0.07833454314946002,no
33,72,0.052724794418078244,no
34,74,0.052724794418078244,no
35,358,0.06551288816534791,no
36,265,0.05629723142235246,no
37,35,0.05399326980797158,no
38,555,0.11268660735208627,no
39,297,0.05870401540871498,no
40,45,0.053615116384033046,no
41,378,0.06802535876069202,no
42,180,0.05263672302108743,no
43,128,0.05199650450395616,no
44,61,0.053124808011127914,no
45,65,0.05298153842649423,no
46,161,0.05220291382507875,yes
47,244,0.05518325648719989,no
48,448,0.08125137384449022,no
49,54,0.053278106812442334,no
50,41,0.053799002788037016,no
51,107,0.05208663427316592,no
52,1746,0.9999931656047146,yes
53,1068,0.7661351066084857,yes
54,46,0.053615116384033046,no
55,465,0.08440004743833839,no
56,136,0.05200814595761928,no
57,423,0.07563429044031171,no
58,221,0.054039926847613544,no
59,460,0.08332373522145352,no
60,215,0.053656941689300054,no
61,57,0.053124808011127914,no
62,429,0.13009992461045608,no
63,440,0.07928202745813331,yes
64,53,0.053278106812442334,no
65,163,0.05227041784171931,no
66,47,0.053615116384033046,no
67,307,0.059926466462114476,no
68,82,0.052507341984553334,no
69,130,0.05199760227310626,no
70,406,0.07234670958008667,no
71,158,0.05220291382507875,no
72,966,0.5895333597243995,yes
73,43,0.053799002788037016,no
74,206,0.05331518771780459,no
75,58,0.053124808011127914,no
76,121,0.05200485208473366,no
77,167,0.052347508454861025,no
78,36,0.05399326980797158,no
79,84,0.05241320617849028,no
80,36,0.05399326980797158,no
81,214,0.053656941689300054,no
82,43,0.053799002788037016,yes
83,49,0.05344151456912648,no
84,73,0.052724794418078244,no
85,75,0.05261118681865555,no
86,192,0.052878329627704494,no
87,192,0.052878329627704494,yes
88,142,0.05202814098852925,no
89,95,0.052253871982889305,no
90,160,0.05220291382507875,no
91,193,0.053013952155196976,no
92,109,0.05208663427316592,no
93,70,0.05284822362414859,no
94,235,0.05469348997545809,no
95,62,0.05298153842649423,no
96,46,0.053615116384033046,no
97,95,0.052253871982889305,no
98,85,0.05241320617849028,no
99,62,0.05298153842649423,no
100,62,0.05298153842649423,no
101,51,0.05344151456912648,no
102,211,0.05348095739536931,no
103,78,0.05261118681865555,no
104,59,0.053124808011127914,no
105,56,0.053278106812442334,yes
106,44,0.053615116384033046,no
107,224,0.054039926847613544,no
108,125,0.05199650450395616,no
109,117,0.05202264931519501,no
110,211,0.05348095739536931,no
111,83,0.052507341984553334,no
112,213,0.053656941689300054,no
113,174,0.052434225475172194,no
114,47,0.053615116384033046,no
115,230,0.05446494420042313,no
116,47,0.053615116384033046,no
117,93,0.052328730726812996,no
118,47,0.053615116384033046,no
119,57,0.053124808011127914,no
120,155,0.05214496156578733,no
121,167,0.052347508454861025,no
122,65,0.05298153842649423,no
123,65,0.05298153842649423,no
124,45,0.053615116384033046,no
125,518,0.09966483337928422,yes
126,47,0.053615116384033046,no
127,32,0.054198019038592796,no
128,56,0.053278106812442334,no
129,61,0.053124808011127914,no
130,146,0.052057597666589975,no
131,166,0.052347508454861025,no
132,134,0.05200814595761928,no
133,162,0.05227041784171931,no
134,161,0.05220291382507875,no
135,43,0.053799002788037016,yes
136,43,0.053799002788037016,yes
137,99,0.05218859129426329,no
138,79,0.05261118681865555,no
139,81,0.052507341984553334,no
140,51,0.05344151456912648,no
141,177,0.05253061371480201,no
142,103,0.05213285497356967,no
143,1157,0.8825398950947951,yes
144,156,0.05214496156578733,yes
145,36,0.05399326980797158,no
146,71,0.052724794418078244,no
147,41,0.053799002788037016,no
148,39,0.053799002788037016,no
149,418,0.07477987079366721,yes
150,245,0.05518325648719989,no
151,57,0.053124808011127914,no
152,47,0.053615116384033046,no
153,289,0.05832279615695134,no
154,118,0.05202264931519501,no
155,68,0.05284822362414859,no
156,250,0.05544473534465702,no
157,152,0.05209653116997961,no
158,54,0.053278106812442334,yes
159,61,0.053124808011127914,no
160,61,0.053124808011127914,no
161,214,0.053656941689300054,no
162,97,0.052253871982889305,yes
163,127,0.05199650450395616,no
164,165,0.05227041784171931,yes
165,189,0.052878329627704494,no
166,184,0.05275260831404806,no
167,93,0.052328730726812996,no
168,89,0.052328730726812996,no
169,1104,0.8189802891567355,no
170,581,0.12427934059790965,no
171,115,0.05204990536350576,no
172,129,0.05199650450395616,no
173,436,0.07833454314946002,no
174,166,0.052347508454861025,no
175,78,0.05261118681865555,no
176,85,0.05241320617849028,no
177,1357,0.9838996385413795,yes
178,458,0.08332373522145352,no
179,257,0.05600157525815998,no
180,96,0.052253871982889305,no
181,50,0.05344151456912648,no
182,109,0.7079241233593337,no
183,74,0.052724794418078244,no
184,163,0.05227041784171931,no
185,91,0.052328730726812996,no
186,410,0.07313655251582095,no
187,886,0.4393892962324495,no
188,1908,0.9999924148056797,no
189,1571,0.9988436289681047,yes
190,74,0.052724794418078244,no
191,1146,0.8732767955299117,no
192,142,0.05202814098852925,no
193,221,0.054039926847613544,no
194,63,0.05298153842649423,no
195,230,0.05446494420042313,no
196,629,0.1504638160711464,no
