ID,Size,Predicted,Actual
1,56,0.007533022747775299,no
2,45,0.007585787406294905,no
3,45,0.007585787406294905,no
4,97,0.007377799683908812,no
5,43,0.0076147505433156615,no
6,76,0.0074476842348200605,no
7,76,0.0074476842348200605,no
8,72,0.007466531487469782,no
9,196,0.00751800017049283,no
10,170,0.007406013310975224,no
11,120,0.0073477748153700975,no
12,88,0.0074009221187515736,no
13,72,0.007466531487469782,no
14,242,0.007841445393447147,no
15,312,0.00869424366089173,no
16,158,0.007381680563744045,no
17,53,0.007558550705517,no
18,626,0.03528833727994708,no
19,929,0.9972624097067601,no
20,87,0.010688373670663803,no
21,61,0.007509186985930492,no
22,162,0.0073930458926696856,no
23,68,0.007466531487469782,no
24,39,0.01104032437688017,no
25,911,0.17652195487490616,no
26,56,0.010878509626637627,no
27,213,0.010969913587938604,no
28,478,0.01919074388456287,no
29,81,0.010730910601136304,no
30,311,0.012444653303601245,no
31,359,0.01380063121190351,no
32,146,0.007357129542797036,no
33,215,0.007626153640761426,no
34,437,0.011646758205312758,no
35,72,0.007466531487469782,no
36,74,0.0074476842348200605,no
37,327,0.00892688179299396,yes
38,265,0.011655179810907315,no
39,35,0.007677932743540792,no
40,555,0.017643632424909485,no
41,297,0.008418542112031665,no
42,45,0.007585787406294905,no
43,420,0.01117841548336528,no
44,181,0.007454616348376174,no
45,128,0.01061003542579548,no
46,61,0.007509186985930492,no
47,65,0.007487028001332998,no
48,161,0.007381680563744045,no
49,244,0.011322343064271288,no
50,448,0.017520883305280534,no
51,54,0.010878509626637627,no
52,41,0.0076147505433156615,no
53,107,0.007361047630381729,no
54,1635,0.9999868126583651,no
55,1069,0.4517516077683911,no
56,46,0.007585787406294905,no
57,465,0.012715238179920355,no
58,136,0.04508489434215879,no
59,424,0.016116565851151156,no
60,221,0.007657527037822139,no
61,460,0.012523998334591405,no
62,209,0.010969913587938604,no
63,57,0.007533022747775299,no
64,418,0.01103118042888027,no
65,382,0.2515523556922461,yes
66,53,0.007558550705517,no
67,163,0.0073930458926696856,no
68,47,0.007585787406294905,no
69,315,0.012548919051420785,no
70,82,0.007430474116892988,no
71,131,0.007346796852814019,no
72,407,0.01550087900970681,no
73,158,0.010660676912035828,no
74,967,0.9713300665707748,no
75,43,0.0076147505433156615,no
76,206,0.010929778895753724,no
77,58,0.007533022747775299,no
78,121,0.0073477748153700975,no
79,167,0.007406013310975224,no
80,36,0.007645458974688955,no
81,84,0.007414890077429816,no
82,36,0.007645458974688955,no
83,214,0.007626153640761426,no
84,43,0.0076147505433156615,no
85,49,0.007585787406294905,no
86,73,0.0074476842348200605,no
87,75,0.0074476842348200605,no
88,192,0.007495209021072397,no
89,192,0.007495209021072397,no
90,142,0.1977683309700834,no
91,95,0.007388561291236013,no
92,160,0.007381680563744045,no
93,193,0.007495209021072397,no
94,109,0.007361047630381729,no
95,70,0.007466531487469782,no
96,235,0.007762374680404245,no
97,63,0.007509186985930492,no
98,46,0.007585787406294905,no
99,71,0.010782809793426596,no
100,85,0.1991309035667726,yes
101,62,0.007509186985930492,no
102,44,0.0076147505433156615,no
103,51,0.007558550705517,no
104,211,0.007596532974922611,no
105,78,0.007430474116892988,no
106,59,0.007509186985930492,no
107,56,0.007533022747775299,no
108,44,0.0076147505433156615,no
109,224,0.007690673662739115,no
110,125,0.007346499652331878,no
111,117,0.007350623154695885,no
112,211,0.007596532974922611,no
113,83,0.007414890077429816,no
114,213,0.007596532974922611,no
115,175,0.007420591121261935,no
116,47,0.007585787406294905,no
117,230,0.00772561522703446,no
