ID,Size,Predicted,Actual
1,56,1.9236669779469373E-7,no
2,45,1.9371026723937182E-7,no
3,45,1.9371026723937182E-7,no
4,97,1.8844805668400445E-7,no
5,43,1.9444883851634408E-7,no
6,76,1.9020200562584336E-7,no
7,76,1.9020200562584336E-7,no
8,72,1.9067881912836434E-7,no
9,196,1.9231659339402688E-7,no
10,170,1.8934557729871216E-7,no
11,120,1.8778849216818945E-7,no
12,88,1.8902461363695637E-7,no
13,72,1.9067881912836434E-7,no
14,242,1.9976497740111673E-7,no
15,312,2.213014287672306E-7,no
16,158,1.8842842165370892E-7,no
17,53,1.9301637387595972E-7,no
18,626,6.344985794115486E-7,no
19,929,4.309087835441572E-6,no
20,87,1.8937517397233597E-7,no
21,61,1.9176080869846174E-7,no
22,162,1.8869270199530478E-7,no
23,68,1.91198306149536E-7,no
24,39,1.9523257918216547E-7,no
25,911,3.7246142406273154E-6,no
26,56,1.9236669779469373E-7,no
27,213,1.9438806403408024E-7,no
28,484,8.582348067585179E-7,no
29,86,2.8752368739716274E-7,no
30,311,2.213014287672306E-7,no
31,359,2.434476680408129E-7,no
32,146,1.8802331263289705E-7,no
33,215,1.9516817033426318E-7,no
34,437,3.0091697874894195E-7,no
35,72,1.9067881912836434E-7,no
36,74,1.9020200562584336E-7,no
37,327,2.2720677277556192E-7,no
38,265,2.0558212064130366E-7,no
39,35,1.9606201210104056E-7,no
40,555,4.605422204880776E-7,no
41,297,2.159708760038004E-7,no
42,45,1.9371026723937182E-7,no
43,420,2.8466895920940486E-7,no
44,181,1.9016567460640372E-7,no
45,128,1.877037642551518E-7,no
46,61,1.9176080869846174E-7,no
47,65,1.91198306149536E-7,no
48,161,1.8869270199530478E-7,no
49,244,2.0082792368187903E-7,no
50,448,3.097885299286141E-7,no
51,54,1.9301637387595972E-7,no
52,41,1.9444883851634408E-7,no
53,107,1.8803637428355443E-7,no
54,1639,0.01847579697275543,yes
55,1069,1.3753848079380787E-5,no
56,46,1.9371026723937182E-7,no
57,465,3.241156371526783E-7,no
58,136,1.8778196983895228E-7,no
59,424,2.8855288478828307E-7,no
60,221,1.9599392586624653E-7,no
61,460,3.19198524825772E-7,no
62,209,1.9365308663491564E-7,yes
63,57,1.9236669779469373E-7,no
64,418,2.8466895920940486E-7,no
65,382,2.574244336472042E-7,no
66,53,1.9301637387595972E-7,no
67,163,1.8899835395473156E-7,no
68,47,1.9371026723937182E-7,no
69,307,3.3307459207587937E-7,no
70,82,1.8976755226789238E-7,no
71,131,1.877224975765499E-7,no
72,407,2.7368408528051306E-7,no
73,158,1.8842842165370892E-7,no
74,967,5.827953831560611E-6,no
75,43,1.9444883851634408E-7,no
76,206,1.9365308663491564E-7,no
77,58,1.9236669779469373E-7,no
78,121,1.877257576800186E-7,no
79,167,1.8899835395473156E-7,no
80,36,1.9523257918216547E-7,no
81,84,1.8937517397233597E-7,no
82,36,1.9523257918216547E-7,no
83,214,1.9438806403408024E-7,no
84,43,1.9444883851634408E-7,no
85,49,1.9371026723937182E-7,no
86,73,1.9067881912836434E-7,no
87,75,1.9020200562584336E-7,no
88,192,1.9171419147729806E-7,no
89,192,1.9171419147729806E-7,no
90,142,1.878822197621377E-7,no
91,95,1.8871564185881992E-7,no
