ID,Size,Predicted,Actual
1,56,6.344036968939058E-4,no
2,45,6.385318051357069E-4,no
3,45,6.385318051357069E-4,no
4,97,6.224024120849773E-4,no
5,43,6.408017843364532E-4,no
6,76,6.277607667934969E-4,no
7,76,6.277607667934969E-4,no
8,72,6.292225627785854E-4,no
9,196,6.347448494883485E-4,no
10,170,6.254312265626865E-4,no
11,120,6.202420291634588E-4,no
12,88,6.241585017370347E-4,no
13,72,6.292225627785854E-4,no
14,242,6.579652992456873E-4,no
15,312,7.246687360659448E-4,no
16,158,6.233727031728924E-4,no
17,53,6.363995515900755E-4,no
18,626,0.0019514178143413487,no
19,929,0.012126785569984413,no
20,87,6.252295148979715E-4,no
21,61,6.325430017433389E-4,no
22,162,6.233727031728924E-4,no
23,68,6.308163130553771E-4,no
24,39,6.432109048736449E-4,no
25,911,0.010580865709582166,no
26,56,6.344036968939058E-4,no
27,213,6.412153157299464E-4,no
28,484,0.0011186296353885964,no
29,86,6.252295148979715E-4,no
30,311,7.246687360659448E-4,no
31,359,7.927897414271362E-4,no
32,146,6.212465051949293E-4,no
33,215,6.436490580837522E-4,no
34,437,9.678102934707067E-4,no
35,72,6.292225627785854E-4,no
36,74,6.277607667934969E-4,no
37,327,7.493508686360445E-4,yes
38,265,6.760353836110786E-4,no
39,35,6.457606727736697E-4,no
40,555,0.0014440888130150358,no
41,297,7.082055709918635E-4,no
42,45,6.385318051357069E-4,no
43,378,0.001333802575590034,no
44,181,6.280083096192221E-4,no
45,128,6.201899405130985E-4,no
46,61,6.325430017433389E-4,no
47,65,6.308163130553771E-4,no
48,161,6.233727031728924E-4,no
49,244,6.612706906989772E-4,no
50,448,9.9463184038208E-4,no
51,54,6.363995515900755E-4,no
52,41,6.408017843364532E-4,no
53,107,6.211574470592743E-4,no
54,1647,0.9998091443259458,yes
55,1069,0.03548419777804936,no
56,46,6.385318051357069E-4,no
57,465,0.00105309445965778,no
58,136,6.20465032176873E-4,no
59,424,9.303473314015175E-4,no
60,221,6.462237220994107E-4,no
61,460,0.001037847412752885,no
62,209,6.389209729647584E-4,yes
63,57,6.344036968939058E-4,no
64,418,9.185586884740669E-4,no
65,382,8.355737805613997E-4,yes
66,53,6.363995515900755E-4,no
67,163,6.243374908424894E-4,no
68,47,6.385318051357069E-4,no
69,307,7.189924164166788E-4,no
70,82,6.264300239010799E-4,no
71,131,6.202642597113888E-4,no
72,407,8.959747483927926E-4,no
73,158,6.233727031728924E-4,no
74,967,0.016071867580352183,no
75,43,6.408017843364532E-4,no
76,206,6.389209729647584E-4,no
77,58,6.344036968939058E-4,no
78,121,6.202420291634588E-4,no
79,167,6.254312265626865E-4,no
80,36,6.432109048736449E-4,no
81,84,6.252295148979715E-4,no
82,36,6.432109048736449E-4,no
83,214,6.412153157299464E-4,no
84,43,6.408017843364532E-4,no
85,49,6.385318051357069E-4,no
86,73,6.277607667934969E-4,no
87,75,6.277607667934969E-4,no
88,192,6.328604718484544E-4,no
89,192,6.328604718484544E-4,no
90,142,6.207923806253796E-4,no
91,95,6.232163267719028E-4,no
92,160,6.233727031728924E-4,no
93,193,6.328604718484544E-4,no
94,109,6.211574470592743E-4,no
95,70,6.292225627785854E-4,no
96,235,6.548098580199582E-4,no
97,63,6.325430017433389E-4,no
98,46,6.385318051357069E-4,no
99,95,0.0010058705108093346,no
100,85,6.252295148979715E-4,no
101,62,6.325430017433389E-4,no
102,62,0.0010209179046239128,no
103,51,6.363995515900755E-4,no
104,211,6.412153157299464E-4,no
105,78,6.264300239010799E-4,no
106,59,6.325430017433389E-4,no
107,56,6.344036968939058E-4,no
108,44,6.408017843364532E-4,no
109,224,6.489409220476524E-4,no
110,125,6.201899405130985E-4,no
111,117,6.204205574949425E-4,no
112,211,6.412153157299464E-4,no
113,83,6.252295148979715E-4,no
114,213,6.412153157299464E-4,no
115,175,6.266545820676516E-4,no
116,47,6.385318051357069E-4,no
117,230,6.518023660809217E-4,no
118,47,6.385318051357069E-4,no
119,93,6.232163267719028E-4,no
120,47,6.385318051357069E-4,no
121,57,6.344036968939058E-4,no
122,155,6.225362716607448E-4,no
123,167,6.254312265626865E-4,no
124,65,6.308163130553771E-4,no
125,65,6.308163130553771E-4,no
126,45,6.385318051357069E-4,no
127,517,0.001253057108181785,yes
128,47,6.385318051357069E-4,no
129,32,6.457606727736697E-4,no
130,56,6.344036968939058E-4,no
131,61,6.325430017433389E-4,no
132,146,6.212465051949293E-4,no
133,166,6.243374908424894E-4,no
134,134,6.202642597113888E-4,no
135,162,6.233727031728924E-4,no
136,161,6.233727031728924E-4,no
137,43,6.408017843364532E-4,no
138,43,6.408017843364532E-4,no
139,99,6.224024120849773E-4,no
140,79,6.264300239010799E-4,no
141,81,6.264300239010799E-4,no
142,51,6.363995515900755E-4,no
143,177,6.280083096192221E-4,no
144,103,6.217162588971593E-4,no
145,1151,0.11345684912168767,yes
146,156,6.225362716607448E-4,no
147,36,6.432109048736449E-4,no
148,71,6.292225627785854E-4,no
149,41,6.408017843364532E-4,no
150,39,6.432109048736449E-4,no
151,418,0.0014822838141843428,no
152,245,6.612706906989772E-4,no
153,57,6.344036968939058E-4,no
154,47,6.385318051357069E-4,no
155,290,7.030878394766644E-4,no
156,118,6.204205574949425E-4,no
157,68,6.308163130553771E-4,no
158,250,6.647281349911832E-4,no
159,152,6.218276836492505E-4,no
160,54,6.363995515900755E-4,no
161,61,6.325430017433389E-4,no
162,61,6.325430017433389E-4,no
163,214,6.412153157299464E-4,no
164,97,6.224024120849773E-4,no
165,127,6.201899405130985E-4,no
166,165,0.001007679374354222,no
167,189,6.311102972520763E-4,no
168,184,6.294932427768908E-4,no
169,93,6.232163267719028E-4,no
170,89,6.241585017370347E-4,no
171,1104,0.048819678802692223,no
172,581,0.0016200068761791104,no
173,115,6.20725634623391E-4,no
174,129,6.201899405130985E-4,no
175,436,9.678102934707067E-4,no
176,166,6.243374908424894E-4,no
177,78,6.264300239010799E-4,no
178,85,6.252295148979715E-4,no
179,1357,0.40597211901327096,no
180,458,0.001023029290408375,no
181,257,6.721081143544604E-4,no
182,96,6.232163267719028E-4,no
183,50,6.363995515900755E-4,no
184,83,6.252295148979715E-4,no
185,74,6.277607667934969E-4,no
186,164,6.243374908424894E-4,no
187,91,6.241585017370347E-4,no
188,410,8.959747483927926E-4,no
189,886,0.008672805214729688,no
190,1908,0.9993035282300328,no
191,1571,0.9030049557027034,yes
192,74,6.277607667934969E-4,no
193,1146,0.07047737969378227,no
194,142,6.207923806253796E-4,no
195,221,6.462237220994107E-4,no
196,63,6.325430017433389E-4,no
197,230,6.518023660809217E-4,no
198,629,0.001994215079869535,no
199,138,6.20465032176873E-4,no
200,37,6.432109048736449E-4,no
201,163,6.243374908424894E-4,no
202,2218,0.9999972815314111,no
203,94,6.232163267719028E-4,yes
204,282,6.93386777751742E-4,no
205,136,6.20465032176873E-4,no
206,69,6.292225627785854E-4,no
207,104,6.217162588971593E-4,no
208,278,6.887970527032132E-4,no
209,568,0.0015281237661332982,no
210,390,8.545445132405593E-4,no
211,379,8.355737805613997E-4,yes
212,169,6.254312265626865E-4,no
213,86,6.252295148979715E-4,yes
214,82,6.264300239010799E-4,no
215,96,6.232163267719028E-4,no
216,184,6.294932427768908E-4,no
217,81,6.264300239010799E-4,no
218,61,6.325430017433389E-4,no
219,77,6.277607667934969E-4,no
220,63,6.325430017433389E-4,no
221,74,6.277607667934969E-4,no
222,95,6.232163267719028E-4,no
223,78,6.264300239010799E-4,no
224,130,6.202642597113888E-4,no
225,63,6.325430017433389E-4,no
226,359,7.927897414271362E-4,no
227,138,6.20465032176873E-4,no
228,191,6.328604718484544E-4,no
229,1651,0.9652829016440118,no
230,303,7.135059191602986E-4,no
231,99,6.224024120849773E-4,no
232,120,0.0010010718268396888,no
233,69,6.292225627785854E-4,no
234,141,6.207923806253796E-4,no
235,281,6.93386777751742E-4,no
236,418,9.185586884740669E-4,no
237,248,6.647281349911832E-4,no
238,450,0.0010086279920371586,no
239,277,6.887970527032132E-4,no
240,87,6.252295148979715E-4,no
241,110,6.211574470592743E-4,no
242,167,0.021663189557268373,yes
243,99,6.224024120849773E-4,no
244,152,6.218276836492505E-4,no
245,231,6.518023660809217E-4,no
246,422,9.303473314015175E-4,no
247,224,6.489409220476524E-4,no
248,333,7.560366260276865E-4,no
249,108,6.211574470592743E-4,no
250,97,6.224024120849773E-4,no
251,114,6.20725634623391E-4,no
252,84,6.252295148979715E-4,no
253,269,6.801241791269495E-4,no
254,110,6.211574470592743E-4,no
255,41,6.408017843364532E-4,no
256,89,6.241585017370347E-4,no
257,58,6.344036968939058E-4,no
258,54,6.363995515900755E-4,no
259,55,6.344036968939058E-4,no
260,76,6.277607667934969E-4,yes
261,49,6.385318051357069E-4,no
262,178,6.280083096192221E-4,no
263,410,8.959747483927926E-4,no
264,87,6.252295148979715E-4,no
265,97,6.224024120849773E-4,no
266,115,6.20725634623391E-4,no
267,1095,0.07076888635148074,no
268,290,7.030878394766644E-4,no
269,201,6.367645983284066E-4,no
270,200,6.367645983284066E-4,no
271,538,0.0013430007638363477,no
272,228,6.489409220476524E-4,yes
273,374,8.26499385573535E-4,yes
274,286,6.981493291445708E-4,no
275,333,7.560366260276865E-4,no
276,604,0.001756151529284267,yes
277,264,6.760353836110786E-4,no
278,169,6.254312265626865E-4,no
279,77,6.277607667934969E-4,no
280,57,6.344036968939058E-4,no
281,60,6.325430017433389E-4,no
282,136,6.20465032176873E-4,no
283,133,6.202642597113888E-4,no
284,155,6.225362716607448E-4,no
285,111,6.20725634623391E-4,no
286,887,0.008960764290718628,no
287,309,7.246687360659448E-4,no
288,243,6.612706906989772E-4,no
289,333,7.560366260276865E-4,no
290,110,6.211574470592743E-4,no
