ID,Size,Predicted,Actual
1,76,2.524643075188751E-7,no
2,72,2.535875041355241E-7,no
3,196,2.5223975061517735E-7,no
4,170,2.4904657307329337E-7,no
5,120,2.479269830512609E-7,no
6,65,2.5483342047974943E-7,no
7,103,2.491697232556674E-7,no
8,96,2.498161092392366E-7,no
9,242,0.9999981063142309,no
10,312,2.9271504930019544E-7,no
11,151,2.4787796139470193E-7,no
12,53,2.5770062414734405E-7,no
13,605,8.452880397508122E-7,no
14,858,8.559420055108161E-6,no
15,51,2.5770062414734405E-7,no
16,61,2.562038139796805E-7,no
17,162,2.4854155579089695E-7,no
18,68,2.535875041355241E-7,no
19,146,3.307329166131613E-7,no
20,219,2.573696021377213E-7,no
21,369,4.6005594076725837E-7,no
22,58,3.511298401207058E-7,no
23,48,3.412491441392332E-7,no
24,302,3.7387884467186095E-4,yes
25,268,3.5693076648826095E-7,no
26,35,2.6297178033306715E-7,no
27,546,6.360382572229208E-7,no
28,263,2.71384268012237E-7,yes
29,45,2.5932597715353547E-7,no
30,129,2.477429567477728E-7,no
31,61,2.562038139796805E-7,no
32,161,3.2880391011449955E-6,no
33,210,2.559000149720696E-7,yes
34,348,4.374358768212612E-7,yes
35,49,2.5770062414734405E-7,no
36,41,2.610821908610806E-7,no
37,97,2.498161092392366E-7,no
38,1422,0.02869031931126447,no
39,670,7.262336719059226E-5,yes
40,46,2.5932597715353547E-7,no
41,458,4.401968976176708E-7,no
42,377,4.41929126407625E-7,yes
43,221,2.573696021377213E-7,no
44,460,4.401968976176708E-7,no
45,213,3.4270607047765545E-7,no
46,47,2.5932597715353547E-7,no
47,150,3.1849882511740626E-7,no
48,80,2.524643075188751E-7,no
49,131,2.477429567477728E-7,no
50,385,1.4502503776823026E-4,yes
51,159,2.4854155579089695E-7,no
52,743,1.1305489926121172E-4,yes
53,43,2.5932597715353547E-7,no
54,209,3.316584303264184E-7,no
55,54,2.5770062414734405E-7,yes
56,84,2.5146225115375195E-7,yes
57,166,2.4904657307329337E-7,no
58,36,2.610821908610806E-7,yes
59,84,2.5146225115375195E-7,no
60,36,2.610821908610806E-7,yes
61,197,2.533368988096128E-7,yes
62,43,2.5932597715353547E-7,no
63,49,2.5770062414734405E-7,no
64,73,2.535875041355241E-7,no
65,75,2.524643075188751E-7,no
66,131,2.477429567477728E-7,no
67,94,2.498161092392366E-7,no
68,148,2.4787796139470193E-7,yes
69,193,2.5223975061517735E-7,no
70,109,2.4863987129657275E-7,no
71,70,2.535875041355241E-7,no
72,220,2.573696021377213E-7,no
73,63,2.5483342047974943E-7,no
74,46,2.5932597715353547E-7,no
75,54,2.5770062414734405E-7,no
76,70,2.535875041355241E-7,no
77,43,2.5932597715353547E-7,yes
78,51,2.5770062414734405E-7,no
79,207,2.545564139227934E-7,no
80,78,2.524643075188751E-7,no
81,59,2.562038139796805E-7,no
82,56,2.562038139796805E-7,no
83,44,2.5932597715353547E-7,no
84,224,2.5896726124187313E-7,no
85,119,2.4822581631029047E-7,no
86,113,2.4822581631029047E-7,no
87,83,2.5146225115375195E-7,no
88,210,2.559000149720696E-7,yes
89,175,2.496679529788591E-7,no
90,47,2.5932597715353547E-7,no
91,224,2.5896726124187313E-7,no
92,47,2.5932597715353547E-7,no
93,93,2.5057992981412775E-7,no
94,47,2.5932597715353547E-7,no
95,144,2.477184629020701E-7,yes
96,167,2.4904657307329337E-7,no
97,65,2.5483342047974943E-7,no
98,65,2.5483342047974943E-7,no
99,45,2.5932597715353547E-7,no
100,401,3.6447245509918554E-7,yes
101,47,2.5932597715353547E-7,no
102,32,2.6297178033306715E-7,no
103,56,2.562038139796805E-7,no
104,61,2.562038139796805E-7,no
105,104,2.491697232556674E-7,no
106,155,2.4815219883406105E-7,no
107,145,2.477184629020701E-7,yes
108,43,2.5932597715353547E-7,no
109,43,2.5932597715353547E-7,no
110,95,2.498161092392366E-7,no
111,79,2.524643075188751E-7,no
112,81,2.5146225115375195E-7,no
113,51,2.5770062414734405E-7,no
114,103,2.491697232556674E-7,no
115,826,4.773193592699958E-6,yes
116,131,3.407833718237007E-7,no
117,36,2.610821908610806E-7,no
118,71,2.535875041355241E-7,no
119,41,2.610821908610806E-7,no
120,39,2.610821908610806E-7,no
121,345,2.658133373003943E-5,no
122,57,2.562038139796805E-7,no
123,43,2.5932597715353547E-7,yes
124,282,2.795526754046214E-7,no
125,118,2.4822581631029047E-7,no
126,64,2.5483342047974943E-7,yes
127,207,2.545564139227934E-7,no
128,140,2.477184629020701E-7,yes
129,54,2.5770062414734405E-7,no
130,53,2.5770062414734405E-7,yes
131,53,2.5770062414734405E-7,yes
132,198,2.533368988096128E-7,yes
133,150,2.4787796139470193E-7,yes
134,147,2.4787796139470193E-7,yes
135,177,2.496679529788591E-7,no
136,989,1.3781655121927797E-5,yes
137,418,5.263862607790502E-7,yes
138,115,2.4822581631029047E-7,no
139,128,2.477429567477728E-7,no
140,436,4.1163614427221944E-7,no
141,170,2.4904657307329337E-7,no
142,78,2.524643075188751E-7,no
143,85,2.5146225115375195E-7,no
144,1028,2.003156332103688E-5,yes
145,333,3.0877150444834373E-7,yes
146,247,2.6455241996155943E-7,no
147,87,2.5146225115375195E-7,no
148,46,2.5932597715353547E-7,no
149,72,2.535875041355241E-7,no
150,67,2.5483342047974943E-7,no
151,164,2.4854155579089695E-7,no
152,91,2.5057992981412775E-7,no
153,307,2.9271504930019544E-7,no
154,775,3.267359128678071E-6,no
155,1780,0.8468736433689887,yes
156,1254,2.471875903847885E-4,no
157,71,2.535875041355241E-7,no
158,1146,1.321401003401491E-4,no
159,142,2.477184629020701E-7,no
160,167,2.4904657307329337E-7,no
161,63,2.5483342047974943E-7,no
162,230,2.606952686823355E-7,no
163,611,8.744453952573509E-7,no
164,138,2.476734821424858E-7,no
165,37,2.610821908610806E-7,no
166,163,2.4854155579089695E-7,no
167,2220,0.9998928621171418,no
168,96,2.498161092392366E-7,no
169,152,2.4815219883406105E-7,yes
170,136,2.476734821424858E-7,no
171,69,2.535875041355241E-7,no
172,104,2.491697232556674E-7,no
173,269,2.7395358646651644E-7,no
174,544,6.176777984762233E-7,no
175,321,3.0035840336850984E-7,no
176,379,3.451035279387727E-7,no
177,89,2.5057992981412775E-7,no
178,87,2.5146225115375195E-7,no
179,82,2.5146225115375195E-7,no
180,96,2.498161092392366E-7,no
181,176,2.496679529788591E-7,no
182,81,2.5146225115375195E-7,no
183,61,2.562038139796805E-7,no
184,76,2.524643075188751E-7,no
185,51,2.5770062414734405E-7,no
186,62,2.5483342047974943E-7,no
187,83,2.5146225115375195E-7,no
188,66,2.5483342047974943E-7,no
189,127,2.477429567477728E-7,no
190,51,2.5770062414734405E-7,no
191,266,2.71384268012237E-7,no
192,133,2.476734821424858E-7,no
193,183,2.5040656092265805E-7,no
194,1579,0.9196006812268966,yes
195,172,2.496679529788591E-7,no
196,95,2.498161092392366E-7,no
197,68,2.535875041355241E-7,no
198,137,3.40687805885704E-7,no
199,250,2.6668712058603345E-7,no
200,404,3.7151055928101825E-7,no
201,243,2.6455241996155943E-7,no
202,313,2.9271504930019544E-7,no
203,260,2.6896329645514006E-7,no
204,87,2.5146225115375195E-7,no
205,98,2.498161092392366E-7,no
206,163,2.4854155579089695E-7,no
207,99,2.498161092392366E-7,no
