ID,Size,Predicted,Actual
1,24,0.0,no
2,47,0.0,no
3,48,0.0,no
4,72,0.0,no
5,26,0.0,no
6,90,0.0,no
7,32,0.0,no
8,81,0.0,no
9,94,0.0,no
10,105,0.0,no
11,91,0.0,no
12,58,0.05680767765447736,no
13,41,0.0,no
14,74,0.0,no
15,257,0.0,no
16,204,0.0,no
17,141,0.0,no
18,83,0.0,no
19,236,0.0,no
20,60,0.04970826491516149,no
21,131,0.025580197580197583,no
22,73,0.0,no
23,125,0.0,no
24,68,0.0,no
25,27,0.0,no
26,18,0.0,no
27,281,0.0,no
28,151,0.0,no
29,180,0.0,no
30,232,0.0,no
31,36,0.0,no
32,29,0.0,no
33,76,0.0,no
34,101,0.0,no
35,76,0.0,no
36,128,0.2975358897638309,no
37,156,0.09624972086736794,no
38,144,0.10827328532320789,no
39,39,0.0,no
40,464,0.21,no
41,167,0.0,no
42,683,0.48214285714285715,no
43,48,0.0,no
44,105,0.0,no
45,67,0.0,no
46,130,0.0,no
47,137,0.0,no
48,79,0.0,no
49,159,0.0,no
50,88,0.0,no
51,131,0.13379589708537082,no
52,146,0.0,no
53,227,0.11,no
54,148,0.08473182308747325,no
55,140,0.0,no
56,45,0.058818516260332306,no
57,187,0.0,no
58,436,0.0,no
59,188,0.0,no
60,29,0.0,no
61,51,0.029468925154773323,no
62,55,0.0,no
63,359,0.0,no
64,239,0.01,no
65,308,0.016285714285714282,no
66,73,0.0,no
67,51,0.029468925154773323,no
68,136,0.09378476752006165,no
69,75,0.0,no
70,193,0.46069047619047615,no
71,103,0.06800079911525933,no
72,4766,0.73,no
73,20088,0.85,no
74,57,0.0,no
75,149,0.2018246475746476,no
76,104,0.06791112452219265,no
77,307,0.3070026085026084,no
78,114,0.0,no
79,97,0.0,no
80,138,0.061509203721974624,no
81,165,0.18043326118326117,no
82,158,0.0,no
83,42,0.0,no
84,311,0.43678571428571433,no
85,159,0.0,no
86,109,0.1942137767119189,no
87,316,0.40285714285714286,no
88,106,0.06787854660408167,no
89,71,0.038542211882288666,no
90,264,0.0,no
91,134,0.0,no
92,47,0.0,no
93,120,0.0,no
94,63,0.044902423901226264,no
95,38,0.03881021866898985,no
96,94,0.0,no
97,85,0.0,no
98,92,0.0,no
99,298,0.0,no
100,79,0.0,no
101,79,0.0,no
102,67,0.0,no
103,86,0.0,no
104,31,0.05153622067873536,no
105,124,0.0,no
106,228,0.0023376623376623377,no
107,140,0.0,no
108,87,0.0,no
109,72,0.0,no
110,147,0.004583333333333333,no
111,67,0.0,no
112,172,0.11149679487179487,no
113,241,0.4324523809523809,no
114,261,0.0,no
115,65,0.030512042452464763,no
116,175,0.0,no
117,216,0.0,no
118,38,0.03881021866898985,no
119,164,0.10883191808191806,no
120,56,0.040164600413480245,no
121,56,0.040164600413480245,no
122,45,0.058818516260332306,no
123,45,0.058818516260332306,no
124,97,0.0,no
125,43,0.0,no
126,76,0.0,no
127,76,0.0,no
128,72,0.0,no
129,64,0.049662843288844585,no
130,64,0.049662843288844585,no
131,196,0.016936729936729934,no
132,170,0.12855988455988457,no
133,120,0.0,no
134,251,0.0,no
135,312,0.0720168360322318,no
136,158,0.06074881357892195,no
137,53,0.05161480137373703,no
138,632,0.0,no
139,996,0.7,no
140,87,0.009292982840026914,no
141,61,0.02752821789087027,no
142,162,0.06638507711481358,no
143,68,0.0,no
144,39,0.037448556530601425,no
145,938,0.0,no
146,56,0.08194836462976623,no
147,213,0.1394222119699976,no
148,485,0.57,no
149,86,0.0,no
150,311,0.0013942307692307694,no
151,360,0.0,no
152,146,0.0,no
153,215,0.0,no
154,437,0.0,no
155,72,0.0,no
156,74,0.06073410574827655,no
157,358,0.18906014014851008,yes
158,265,0.09011161877338349,no
159,35,0.06497533604367693,no
160,555,0.0,no
161,297,0.0,no
162,45,0.022394525780066368,no
163,389,0.0,no
164,180,0.0,no
165,128,0.02595616899556185,no
166,61,0.02752821789087027,no
167,65,0.009940727972525654,no
168,166,0.045714285714285714,no
169,244,0.0,no
170,448,0.0,no
171,54,0.04884598255110305,no
172,41,0.006180654778986619,no
173,107,0.0,no
174,1869,0.5,yes
175,1116,0.63,no
176,46,0.0514239809100561,no
177,465,0.0,no
178,131,0.13379589708537082,no
179,423,0.16808549783549784,no
180,221,0.0,no
181,460,0.0,no
182,213,0.2589254634254634,no
183,57,0.04170973688261319,no
184,460,0.22,yes
185,448,0.14,yes
186,53,0.05161480137373703,no
187,166,0.40505336330336333,no
188,47,0.043880265013299766,no
189,307,0.0,no
190,82,0.0,no
191,130,0.12025870439681068,no
192,406,0.0,no
193,158,0.06074881357892195,no
194,967,0.25,no
195,43,0.02839322443385073,no
196,206,0.0,no
197,58,0.0,no
198,121,0.07573530278468378,no
199,167,0.08511546199991796,no
200,36,0.04230142882777466,no
201,84,0.019100304654591796,no
202,36,0.04230142882777466,no
203,214,0.0,yes
204,43,0.02839322443385073,no
205,49,0.0,no
206,73,0.0,no
207,75,0.04874187282280983,no
208,192,0.0,no
209,199,0.0,no
210,142,0.0,no
211,95,0.024976083539145075,no
212,160,0.0,no
213,193,0.09763443929328915,no
214,109,0.08957498919949941,no
215,70,0.015953947459660216,no
216,235,0.0,no
217,62,0.025129566113961617,no
218,46,0.0514239809100561,no
219,95,0.024976083539145075,no
220,84,0.0,no
221,62,0.025129566113961617,yes
222,62,0.025129566113961617,no
223,51,0.0344031173076188,no
224,211,0.15540585258659506,no
225,78,0.03655265807599947,no
226,141,0.51,no
227,59,0.021519592883505596,no
228,61,0.6171666666666666,no
229,44,0.02426094971457283,no
230,224,0.0,no
231,125,0.1479850534681496,no
232,117,0.0,no
233,211,0.15540585258659506,no
234,83,0.0,no
235,213,0.2589254634254634,no
236,174,0.0,no
237,47,0.043880265013299766,no
238,230,0.0,no
239,47,0.043880265013299766,no
240,93,0.03175247943828789,no
241,47,0.043880265013299766,no
242,57,0.04170973688261319,no
243,155,0.08435031786321706,no
244,167,0.08511546199991796,no
245,65,0.009940727972525654,no
246,65,0.009940727972525654,no
247,45,0.022394525780066368,no
248,587,0.01,no
249,47,0.043880265013299766,no
250,32,0.0,no
251,56,0.08194836462976623,no
252,61,0.02752821789087027,no
253,146,0.0,no
254,166,0.40505336330336333,no
255,134,0.0,no
256,165,0.18043326118326117,no
257,161,0.10008748493825122,no
258,43,0.02839322443385073,no
259,43,0.02839322443385073,no
260,99,0.06547870336625947,no
261,79,0.01171020524984303,no
262,151,0.46,no
263,81,0.0,no
264,51,0.0344031173076188,no
265,177,0.042271341723449915,no
266,103,0.028155174403696068,no
267,1159,0.12,no
268,163,0.6,yes
269,36,0.04230142882777466,no
270,71,0.04811840390197182,no
271,41,0.006180654778986619,no
272,39,0.037448556530601425,no
273,419,0.20600000000000002,yes
274,245,0.0,no
275,57,0.04170973688261319,no
276,47,0.043880265013299766,no
277,289,0.04763701407411178,no
278,118,0.0,no
279,68,0.0,no
280,250,0.2050316381271322,no
281,152,0.17482977507066605,no
282,54,0.04884598255110305,no
283,61,0.02752821789087027,no
284,61,0.02752821789087027,no
285,214,0.0,no
286,106,0.01241973712561948,no
287,127,0.0,no
288,165,0.438869418979713,yes
289,189,0.0,no
290,184,0.1560548991714747,no
291,93,0.03175247943828789,no
292,89,0.0,no
293,1112,0.68,no
294,581,0.0,no
295,115,0.05277228402125993,no
296,129,0.04830291989610145,no
297,436,0.0,no
298,166,0.0,no
299,78,0.03655265807599947,no
300,85,0.0,no
301,1357,0.16234632034632032,no
302,458,0.0,no
303,257,0.0,no
304,96,0.013186596384999982,no
305,50,0.07821377839817839,no
306,109,0.08957498919949941,no
307,74,0.06073410574827655,no
308,163,0.0,no
309,91,0.0,no
310,410,0.0,no
311,886,0.0,no
312,1907,0.01,no
313,1568,0.32,yes
314,74,0.06073410574827655,no
315,1155,0.25,yes
316,142,0.0,no
317,221,0.0,no
318,63,0.058711685836359315,no
319,230,0.0,no
320,629,0.0,no
321,138,0.03254359560104215,no
322,37,0.027551175109831474,no
323,163,0.0,no
324,2218,0.0,no
325,112,0.0,no
326,282,0.0,no
327,136,0.017798673617508084,no
328,69,0.01939645331880837,no
329,104,0.13205478727124478,no
330,278,0.0,no
331,568,0.0,no
332,390,0.0,no
333,379,0.04966304846684105,yes
334,172,0.11149679487179487,no
335,87,0.009292982840026914,yes
336,82,0.0,no
337,96,0.013186596384999982,no
338,184,0.1560548991714747,no
339,81,0.0,no
340,61,0.02752821789087027,no
341,77,0.0,no
342,63,0.058711685836359315,no
343,74,0.06073410574827655,no
344,95,0.024976083539145075,no
345,78,0.03655265807599947,no
346,130,0.12025870439681068,no
347,63,0.058711685836359315,no
348,359,0.0,no
349,138,0.03254359560104215,no
350,191,0.0,no
351,1651,0.0,no
352,307,0.3070026085026084,yes
353,99,0.06547870336625947,no
354,120,0.01602527157806731,no
355,69,0.01939645331880837,no
356,141,0.0,no
357,281,0.12823015873015875,no
358,418,0.07947997213933074,yes
359,248,0.23293343584520057,yes
360,450,0.0,no
361,277,0.0,no
362,86,0.0,no
363,110,0.0,no
364,178,0.0,no
365,99,0.06547870336625947,no
366,152,0.17482977507066605,no
367,231,0.0,no
368,422,0.0,no
369,224,0.0,no
370,333,0.25828980545418867,no
371,108,5.0E-4,yes
372,97,0.22,yes
373,114,0.0,yes
374,84,0.64,yes
375,269,0.0,yes
376,109,0.08957498919949941,no
377,41,0.006180654778986619,no
378,89,0.0,no
379,58,0.0,no
380,54,0.04884598255110305,no
381,55,0.038359759006945084,no
382,75,0.04874187282280983,yes
383,49,0.0,no
384,178,0.0,no
385,410,0.0,no
386,87,0.009292982840026914,no
387,97,0.03384956587138992,no
388,115,0.05277228402125993,no
389,1090,0.01,no
390,290,0.1544973614492363,no
391,201,0.15662065401142816,no
392,200,0.0,no
393,538,0.0,no
394,251,0.0,yes
395,375,0.1075,yes
396,286,0.0,no
397,333,0.25828980545418867,no
398,627,0.41,yes
399,264,0.0,no
400,169,0.0,no
401,77,0.0,no
402,57,0.04170973688261319,no
403,60,0.06893714421130201,no
404,136,0.017798673617508084,no
405,133,0.0,no
406,155,0.08435031786321706,no
407,111,0.1041548567498296,yes
408,954,0.69,yes
409,309,0.15055849058809753,no
410,243,0.4342722930664105,no
411,333,0.25828980545418867,no
412,110,0.0,no
413,227,0.0,no
414,106,0.09104407133891944,no
415,954,0.69,no
416,102,0.3549216208627972,no
417,215,0.0,no
418,197,0.1330812520812521,no
419,111,0.1041548567498296,no
420,93,0.03175247943828789,no
421,45,0.022394525780066368,no
422,340,0.0,no
423,42,0.042008814880410084,no
424,1079,0.58,no
425,582,0.0,no
426,65,0.009940727972525654,no
427,81,0.0,no
428,1541,0.25,yes
429,242,0.0,no
430,263,0.18342114305543536,no
431,228,0.0,yes
432,910,0.0,yes
433,508,0.14652886002886,no
434,76,0.0,no
435,618,0.0,no
436,446,0.0,no
437,122,0.0,no
438,908,0.21290873015873024,no
439,157,0.0,yes
440,84,0.019100304654591796,no
441,45,0.022394525780066368,no
442,38,0.033233175316226465,no
443,1094,0.13,yes
444,5440,0.56,yes
