ID,Size,Predicted,Actual
1,76,0.0,no
2,72,0.0,no
3,196,0.0,no
4,170,0.0,no
5,120,0.0,no
6,242,0.0,no
7,312,0.7950202852702853,no
8,158,0.13,no
9,53,0.0,no
10,605,0.15,no
11,888,0.17,no
12,59,0.0,no
13,61,0.0,no
14,162,0.7688258043804757,no
15,68,0.0,no
16,146,0.0,no
17,214,0.017072927072927072,no
18,433,0.18,no
19,72,0.0,no
20,74,0.0,no
21,327,0.99,no
22,265,0.0,no
23,35,0.0,no
24,554,0.08,no
25,297,0.041589743589743586,no
26,45,0.0,no
27,420,0.07,no
28,181,0.24,no
29,129,0.0,no
30,61,0.0,no
31,65,0.0,no
32,161,0.0,no
33,244,0.0,no
34,382,0.0,no
35,49,0.0,no
36,41,0.0,no
37,97,0.0,no
38,1562,0.21,yes
39,964,0.71,no
40,46,0.0,no
41,465,0.0,no
42,408,0.36,yes
43,221,0.0,no
44,460,0.0,no
45,198,0.04,no
46,346,0.13,no
47,332,0.12,no
48,53,0.0,no
49,147,0.03,no
50,47,0.0,no
51,260,0.08,no
52,82,0.0,no
53,131,0.0,no
54,409,0.17,no
55,159,0.0,no
56,902,0.1,no
57,43,0.0,no
58,206,0.0,no
59,58,0.0,no
60,112,0.0,no
61,167,0.0,no
62,36,0.0,no
63,84,0.0,no
64,36,0.0,no
65,201,0.0,no
66,43,0.0,no
67,49,0.0,no
68,73,0.0,no
69,75,0.0,no
70,174,0.0,no
71,190,0.05,no
72,131,0.0,no
73,95,0.0,no
74,160,0.0,no
75,193,0.0,no
76,109,0.0,no
77,70,0.0,no
78,220,0.0,no
79,63,0.0,no
80,46,0.0,no
81,54,0.0,no
82,70,0.0,no
83,44,0.0,no
84,51,0.0,no
85,207,0.0,no
86,78,0.0,no
87,59,0.0,no
88,56,0.0,no
89,44,0.0,no
90,224,0.0,no
91,119,0.7801329365079365,no
92,113,0.0,no
93,192,0.0,no
94,83,0.0,no
95,213,0.5785723724589824,no
96,175,0.0,no
97,47,0.0,no
98,230,0.02,no
99,47,0.0,no
100,93,0.0,no
101,47,0.0,no
102,57,0.0,no
103,155,0.0,no
104,167,0.0,no
105,65,0.0,no
106,65,0.0,no
107,45,0.0,no
108,513,0.06,no
109,47,0.0,no
110,32,0.0,no
111,56,0.0,no
112,61,0.0,no
113,104,0.0,no
114,164,0.04,no
115,119,0.02746031746031746,no
116,155,0.0,yes
117,161,0.0,no
118,43,0.0,no
119,43,0.0,no
120,95,0.0,no
121,79,0.0,no
122,81,0.0,no
123,51,0.0,no
124,158,0.0,no
125,103,0.0,no
126,1019,0.25,no
127,149,0.03,no
128,36,0.0,no
129,71,0.0,no
130,41,0.0,no
131,39,0.0,no
132,345,0.0,no
133,227,0.0,no
134,57,0.0,no
135,47,0.0,no
136,282,0.0,no
137,118,0.0228021978021978,no
138,68,0.0,no
139,207,0.0,no
140,152,0.0,no
141,54,0.0,no
142,57,0.0,yes
143,57,0.0,yes
144,214,0.017072927072927072,no
145,85,0.0,no
146,127,0.0,no
147,157,0.0,no
148,183,0.0,no
149,177,0.0,no
150,93,0.0,no
151,89,0.0,no
152,1102,0.34,yes
153,494,0.0,no
154,115,0.0,no
155,128,0.0,no
156,436,0.0,no
157,170,0.0,no
158,78,0.0,no
159,85,0.0,no
160,1245,0.19,no
161,425,0.0,no
162,257,0.0,no
163,87,0.0,no
164,46,0.0,no
165,72,0.0,no
166,67,0.0,no
167,164,0.0,no
168,91,0.0,no
169,307,0.0,no
170,775,0.0,no
171,1866,0.648,no
172,1357,0.28,yes
173,71,0.0,no
174,1143,0.02,no
175,142,0.0,no
176,167,0.0,no
177,63,0.0,no
178,230,0.0,no
179,629,0.0,no
180,138,0.0,no
181,37,0.0,no
182,163,0.0,no
183,2217,0.03888888888888889,no
184,96,0.4623263664122629,no
185,173,0.0,no
186,136,0.0,no
187,69,0.0,no
188,104,0.0,no
189,269,0.0,no
190,544,0.0,no
191,334,0.008888888888888889,no
192,379,0.01,yes
193,168,0.0,no
194,87,0.0,yes
195,82,0.0,no
196,96,0.4623263664122629,no
197,184,0.0,no
198,81,0.0,no
199,61,0.0,no
200,77,0.0,no
201,51,0.0,no
202,62,0.0,no
203,83,0.0,no
204,66,0.0,no
205,130,0.0,no
206,51,0.0,no
207,344,0.018571428571428572,no
208,138,0.0,no
209,183,0.0,no
210,1625,0.92,no
211,284,0.06,yes
212,95,0.0,no
213,103,0.0,no
214,68,0.0,no
215,137,0.0,no
216,250,0.0,no
217,418,0.02,no
218,251,0.0,no
219,360,0.05,no
220,275,0.0,no
221,87,0.0,no
222,98,0.0,no
223,163,0.0,no
224,99,0.014551282051282054,no
225,152,0.0,no
226,231,0.0,no
227,422,0.0,no
228,219,0.0,no
229,308,0.0,no
230,107,0.0,no
231,96,0.4623263664122629,no
232,113,0.0,no
233,83,0.0,no
234,266,0.0,no
235,110,0.0,no
236,41,0.0,no
237,89,0.0,no
238,58,0.0,no
239,54,0.0,no
240,55,0.0,no
241,76,0.0,yes
242,49,0.0,no
243,84,0.0,no
244,405,1.0,no
245,87,0.0,no
246,97,0.0,no
247,115,0.0,no
248,1033,0.18,yes
249,290,0.0,no
250,170,0.0,no
251,170,0.0,no
252,406,0.46,no
253,218,0.0,no
254,349,0.0,no
255,270,0.0,no
256,330,0.0,no
257,602,0.14,yes
258,259,0.05,no
259,169,0.0,no
260,77,0.0,no
261,57,0.0,no
262,60,0.0,no
263,124,0.0,no
264,133,0.0,no
265,154,0.0,no
266,97,0.0,no
267,829,1.0,no
268,308,0.0,no
269,188,0.0,no
270,315,0.07,no
271,110,0.0,no
272,165,0.05,no
273,106,0.0,no
274,741,0.0,no
275,85,0.0,no
276,194,0.0,no
277,187,0.0,no
278,80,0.0,no
279,85,0.0,no
280,45,0.0,no
281,281,0.43,no
282,42,0.0,no
283,947,0.0,no
284,468,0.0,no
285,65,0.0,no
286,81,0.0,no
287,1527,0.01,no
288,235,0.0,no
289,227,0.0,no
290,198,0.0,no
291,759,0.27,no
292,502,0.09,no
293,74,0.0,no
294,618,0.14,no
295,446,0.13,no
296,125,0.0,yes
297,888,0.09,yes
298,155,0.0,no
299,80,0.0,no
300,45,0.0,no
301,38,0.0,no
302,854,0.24,yes
303,4698,0.3,yes
304,647,0.09,yes
305,122,0.0,yes
306,174,0.0,no
307,61,0.0,yes
308,162,0.7688258043804757,no
309,211,0.0,yes
310,300,0.0,no
311,304,0.0,yes
312,118,0.0228021978021978,no
313,115,0.0,no
314,192,0.0,no
315,406,0.13,no
316,42,0.0,no
317,80,0.0,no
318,963,0.45,no
319,557,0.0,no
320,314,0.01,yes
321,1129,0.19,yes
322,127,0.0,no
323,556,0.29,yes
324,462,0.09,no
325,38,0.0,no
326,607,0.0,no
327,512,0.08,yes
328,523,0.0,no
329,972,0.06,no
330,74,0.0,no
331,294,0.6820305805305804,no
332,707,0.33,yes
333,155,0.0,no
334,139,0.05,no
335,46,0.0,no
336,63,0.0,no
337,241,0.0,yes
338,191,0.0,no
339,703,0.43,no
340,154,0.04,no
341,3104,0.55,yes
342,36,0.0,no
343,342,0.09357142857142856,yes
344,65,0.0,no
345,148,0.0,no
346,520,0.0,no
347,112,0.0,no
348,90,0.0,no
349,91,0.0,no
350,88,0.0,no
351,87,0.0,no
352,83,0.0,no
353,92,0.0,no
354,253,0.0,no
355,121,0.0,no
356,67,0.0,no
357,330,0.07,yes
358,160,0.0,no
359,202,0.0,no
360,74,0.0,no
361,48,0.0,no
362,1648,0.23,no
363,1567,0.19,no
364,43,0.0,no
365,142,0.0,no
366,66,0.0,no
367,95,0.0,no
368,140,0.0,no
369,49,0.0,no
370,147,0.01,no
371,117,0.0077777777777777776,no
372,464,0.0,yes
373,408,0.01,no
374,233,0.0,no
375,58,0.0,no
376,164,0.0,no
377,147,0.0,no
378,272,0.0,no
379,77,0.0,no
380,90,0.0,no
381,35,0.0,no
382,255,0.0,no
383,209,0.0,no
384,249,0.0,no
385,743,0.0,no
386,352,0.0,no
387,219,0.0,no
388,65,0.0,no
389,33,0.0,no
390,138,0.0,no
391,701,0.14,no
392,480,0.0,no
393,84,0.0,no
394,52,0.0,no
395,33,0.0,no
396,108,0.0,no
397,314,0.030138888888888885,no
398,94,0.0,no
399,79,0.0,no
400,91,0.0,no
401,206,0.0,no
402,61,0.0,no
403,398,0.8244430765313119,no
404,74,0.0,no
405,82,0.0,no
406,1483,0.0,no
407,31,0.0,no
408,152,0.0,no
409,620,0.03,no
410,28,0.0,no
411,141,0.0,no
412,536,0.0,no
413,75,0.0,no
414,27,0.0,no
415,75,0.0,no
416,123,0.0,no
417,310,0.08,no
418,28,0.0,no
419,228,0.0,no
420,1077,0.01,no
421,4544,1.0,yes
422,130,0.0,no
423,288,0.0,no
424,272,0.0,no
425,94,0.0,no
426,237,0.0,no
427,387,0.0,yes
428,924,0.07,no
429,31,0.0,no
430,31,0.0,no
431,286,0.0,no
432,108,0.0,no
433,70,0.0,no
434,73,0.0,no
435,37,0.0,no
436,100,0.4922130117044976,no
437,36,0.0,no
438,56,0.0,no
439,53,0.0,no
440,35,0.0,no
441,53,0.0,no
442,38,0.0,no
443,38,0.0,no
444,37,0.0,no
445,48,0.0,no
446,73,0.0,no
447,42,0.0,no
448,43,0.0,no
449,284,0.0,no
450,42,0.0,no
451,217,0.0,no
452,648,0.0,no
453,31,0.0,no
454,38,0.0,no
455,107,0.0,no
456,160,0.0,no
457,37,0.0,no
458,43,0.0,no
459,37,0.0,no
460,33,0.0,no
461,33,0.0,no
462,198,0.0,no
463,253,0.0,no
464,60,0.0,no
465,62,0.0,no
466,65,0.0,no
467,38,0.0,no
468,948,0.0,no
469,156,0.0,no
470,129,0.0,no
471,32,0.0,no
472,42,0.0,no
473,881,0.13,no
474,112,0.0,no
475,82,0.0,no
476,421,0.0,no
477,172,0.0,no
478,190,0.0,no
479,366,0.96,no
480,512,0.08,no
481,38,0.0,no
482,46,0.0,no
483,163,0.0,no
484,756,0.12,no
485,139,0.06,no
486,4921,0.33,no
487,78,0.0,no
488,45,0.0,no
489,1414,0.29,no
490,230,0.02,no
491,185,0.0,no
492,525,0.11,no
493,650,0.0,no
494,453,0.15,no
495,134,0.0,no
496,202,0.0,no
497,842,0.09,yes
498,50,0.561325750326438,no
499,197,0.0,no
500,952,0.0,yes
501,596,0.0,no
502,85,0.0,no
503,83,0.0,no
504,73,0.0,no
505,89,0.0,no
506,76,0.0,no
507,807,0.35,no
508,91,0.0,no
509,353,0.0,no
510,401,0.04,no
511,830,0.29,no
512,914,0.23,no
513,41,0.0,no
514,43,0.0,no
515,144,0.35,no
516,65,0.0,no
517,82,0.0,no
518,65,0.0,no
519,420,0.23,no
520,214,0.017072927072927072,no
521,43,0.0,no
522,118,0.00857142857142857,no
523,309,0.0,no
524,307,0.11,no
525,48,0.0,no
526,744,0.29,no
527,55,0.0,no
528,128,0.0,no
529,501,0.0,no
530,110,0.0,no
531,107,0.0,no
