ID,Size,Predicted,Actual
1,56,0.34200903767864316,no
2,45,0.4087327928224937,no
3,45,0.4087327928224937,no
4,97,0.0,no
5,43,0.0,no
6,76,0.0,no
7,76,0.2231544517732818,no
8,72,0.0,no
9,196,0.0,no
10,170,0.0,no
11,120,0.0,no
12,88,0.0,no
13,72,0.0,no
14,242,0.06807843137254901,no
15,312,0.5889439865689866,no
16,158,0.0,no
17,53,0.4987234629907076,no
18,605,0.0,no
19,890,0.45256168831168836,yes
20,69,0.389670931639366,no
21,61,0.20277381857200857,no
22,162,0.5549284930253727,no
23,68,0.0,no
24,146,0.011868131868131869,no
25,215,0.0,no
26,437,0.0,no
27,72,0.0,no
28,74,0.551255061433512,no
29,327,0.9225386002886004,no
30,265,0.6770580253080254,no
31,35,0.5494096839993228,no
32,555,0.0,no
33,297,0.0,no
34,45,0.2869616552922928,no
35,420,0.04839285714285715,no
36,181,0.4391841310976141,no
37,129,0.44786226598350937,no
38,61,0.20277381857200857,no
39,65,0.13116956118203696,no
40,161,0.05,no
41,244,0.0,no
42,425,0.0,no
43,49,0.0,no
44,41,0.09665127583925762,no
45,107,0.0,no
46,1636,0.95,no
47,1069,0.86,no
48,46,0.4825656026387069,no
49,465,0.0,no
50,98,0.6350826387664623,no
51,408,0.017777777777777778,yes
52,221,0.0,no
53,460,0.0,no
54,198,0.642115749865339,yes
55,57,0.0,no
56,418,0.8219779387279387,no
57,374,0.99,yes
58,53,0.4987234629907076,no
59,163,0.11592918192918193,no
60,47,0.3964453426278525,no
61,286,0.0,no
62,82,0.0,no
63,131,0.0,no
64,407,0.027777777777777776,no
65,159,0.0,no
66,931,1.0,no
67,43,0.3230759108787331,no
68,206,0.0,no
69,58,0.0,no
70,121,0.0,no
71,167,0.5162472806537451,no
72,36,0.44713134463033377,no
73,84,0.27365785405168547,no
74,36,0.44713134463033377,no
75,214,0.0183974358974359,no
76,43,0.3230759108787331,no
77,49,0.0,no
78,73,0.0,no
79,75,0.29968457113649105,no
80,192,0.44712095992243045,no
81,192,0.0,no
82,141,0.0,yes
83,95,0.2993449501793482,no
84,160,0.0,no
85,193,0.6416868323736973,no
86,109,0.0,no
87,70,0.0,no
88,235,0.02722222222222222,no
89,63,0.5264006637401477,no
90,46,0.4825656026387069,no
91,54,0.5041414283940879,no
92,70,0.0,yes
93,62,0.025892857142857148,no
94,44,0.0,no
95,51,0.4013295964686498,no
96,211,0.0,no
97,78,0.44058055804010626,no
98,59,0.28134791407749093,no
99,56,0.6445618973130325,no
100,44,0.0,no
101,224,0.0,no
102,125,0.0,no
103,117,0.0,no
104,211,0.0,no
105,83,0.0,no
106,213,0.4685433642930112,no
107,175,0.0,no
108,47,0.3964453426278525,no
109,230,0.0,no
110,47,0.3964453426278525,no
111,93,0.37427049969642534,no
112,47,0.3964453426278525,no
113,57,0.0,no
114,155,0.0,no
115,167,0.5162472806537451,no
116,65,0.13116956118203696,no
117,65,0.13116956118203696,no
118,45,0.2869616552922928,no
119,521,0.02,yes
120,47,0.3964453426278525,no
121,32,0.0,no
122,56,0.6445618973130325,no
123,61,0.20277381857200857,no
124,146,0.0,no
125,166,0.03158357771260997,no
126,134,0.0,no
127,162,0.07146520146520147,no
128,161,0.0,no
129,43,0.3230759108787331,no
130,43,0.3230759108787331,no
131,99,0.0,no
132,79,0.14994026368977945,no
133,81,0.0,no
134,51,0.4013295964686498,no
135,177,0.7738072483072482,no
136,103,0.325270857142637,no
137,1116,0.96,yes
138,156,0.0,no
139,36,0.44713134463033377,no
140,71,0.5041225053426025,no
141,41,0.09665127583925762,no
142,39,0.4327230519396332,no
143,379,0.4776282051282051,yes
144,245,0.008666666666666666,no
145,57,0.0,no
146,47,0.3964453426278525,no
147,290,0.07856687565308254,no
148,118,0.0,no
149,68,0.0,no
150,250,0.02,no
151,152,0.7876461965747834,no
152,54,0.5041414283940879,no
153,57,0.0,yes
154,57,0.0,yes
155,214,0.0,no
156,97,0.0,no
157,127,0.0,no
158,157,0.0,no
159,189,0.061190476190476184,no
160,184,0.0,no
161,93,0.37427049969642534,no
162,89,0.0,no
163,1101,1.0,yes
164,495,0.0,no
165,115,0.44877414146636324,no
166,128,0.35782108287832465,no
167,436,0.0,no
168,170,0.0,no
169,78,0.44058055804010626,no
170,85,0.0,no
171,1338,0.21,no
172,440,0.08723076923076924,yes
173,257,0.0,no
174,87,0.13608573389568018,no
175,46,0.4825656026387069,no
176,74,0.551255061433512,no
177,67,0.0,no
178,164,0.0,no
179,91,0.0,no
180,307,0.0,no
181,788,0.31693728160843054,no
182,1883,0.14,no
183,1532,0.66,yes
184,71,0.5041225053426025,no
185,1143,0.699787074037074,no
186,142,0.0,no
187,167,0.5162472806537451,no
188,63,0.5264006637401477,no
189,230,0.0,no
190,629,0.0,no
191,138,0.3569513471709107,no
192,37,0.3548371861697675,no
193,163,0.0,no
194,2218,0.1,no
195,94,0.0,no
196,207,0.7763033873236289,no
197,136,0.2801249969032924,no
198,69,0.25748030952222406,no
199,104,0.0,no
200,269,0.0,no
201,553,0.0,no
202,334,0.24155122655122657,yes
203,379,0.6093498818003463,yes
204,169,0.0,no
205,87,0.13608573389568018,yes
206,82,0.0,no
207,96,0.1813828557347437,no
208,184,0.2928845598845599,yes
209,81,0.0,no
210,61,0.20277381857200857,no
211,77,0.0,no
212,51,0.4013295964686498,no
213,62,0.0,no
214,83,0.0,no
215,66,0.538823882000782,no
216,130,0.6450950643784552,no
217,51,0.4013295964686498,no
218,347,0.3059813242313243,no
219,138,0.3569513471709107,no
220,179,0.4684454493734678,no
221,1651,0.92,no
222,290,0.01,no
223,99,0.705786468679577,no
224,103,0.325270857142637,no
225,68,0.0,no
226,137,0.0,no
227,281,1.0,no
228,418,0.8240328282828283,no
229,247,0.7662508466892759,no
230,449,0.41,yes
231,275,0.0,no
232,87,0.13608573389568018,no
233,98,0.0,no
234,163,0.0,no
235,99,0.705786468679577,no
236,152,0.7876461965747834,no
237,231,0.0,no
238,422,0.0,no
239,219,0.8947311577311577,no
240,332,0.21,yes
241,108,0.0,no
242,97,0.0,no
243,114,0.03918376068376068,no
244,84,0.0,no
245,266,0.7814168609168609,no
246,110,0.0,no
247,41,0.09665127583925762,no
248,89,0.0,no
249,58,0.0,no
250,54,0.5041414283940879,no
251,55,0.3958380693939772,no
252,76,0.2231544517732818,yes
253,49,0.0,no
254,84,0.27365785405168547,no
255,405,0.8453411865911866,no
256,87,0.13608573389568018,no
257,97,0.0,no
258,115,0.44877414146636324,no
259,1075,0.96,yes
260,290,0.6940117849324065,no
261,201,0.3122662150738439,no
262,200,0.003076923076923077,no
263,537,0.51,yes
264,218,0.8276640581640581,no
265,374,0.25,yes
266,286,0.06909090909090909,yes
267,330,0.0,no
268,602,0.0,yes
269,259,0.3788265792664433,no
270,169,0.0,no
271,77,0.0,no
272,57,0.0,no
273,60,0.6570430990883512,no
274,124,0.0,no
275,133,0.0,no
276,154,0.0,no
277,99,0.0,no
278,820,0.54,yes
279,308,0.5045895648469179,no
280,188,0.6648380469949828,no
281,333,0.9074595959595959,no
282,110,0.0,no
283,170,0.0,no
284,106,0.6728150386673141,no
285,794,0.2985714285714286,no
286,85,0.0,no
287,194,0.49591473069414255,no
288,187,0.7807331790536294,no
289,100,0.2576409076127435,no
290,85,0.0,no
291,45,0.2869616552922928,no
292,281,1.0,no
293,42,0.37572861550346587,no
294,955,0.51,no
295,468,0.8285530369053078,no
296,65,0.13116956118203696,no
297,81,0.0,no
298,1538,1.0,no
299,235,0.0,no
300,227,0.014750000000000001,no
301,227,0.0,no
302,830,0.52,no
303,502,0.0,no
304,74,0.551255061433512,no
305,618,0.5,no
306,446,0.0,no
307,125,0.6778333333333333,yes
308,908,0.82,no
309,155,0.0,no
310,80,0.1534620140895014,no
311,45,0.2869616552922928,no
312,38,0.3691775156009469,no
313,981,0.88,yes
314,5088,0.95,yes
315,649,0.2491428571428572,no
316,169,0.0,yes
317,174,0.0,no
318,477,0.8612300477300476,yes
319,162,0.5549284930253727,no
320,211,0.0,yes
321,300,0.04643617021276597,no
322,351,0.0,yes
323,317,0.046,no
324,118,0.0,no
325,115,0.44877414146636324,no
326,213,0.819419973931584,no
327,406,0.00857142857142857,no
328,42,0.37572861550346587,no
329,105,0.0,no
330,976,0.01,no
331,557,0.0,no
332,384,0.49467185592185586,yes
333,1196,1.0,yes
334,127,0.0,no
335,754,0.89,yes
336,462,0.0,yes
337,38,0.3691775156009469,no
338,607,0.0,no
339,519,0.84,no
340,523,0.0,no
341,972,0.0,no
342,74,0.551255061433512,no
343,294,0.29896231761127107,no
344,723,0.28,no
345,155,0.0,no
346,137,0.0,no
347,46,0.4825656026387069,no
348,63,0.5264006637401477,no
349,280,0.0,yes
350,191,0.0,no
351,722,0.52,no
352,154,0.0,no
353,3239,0.57,no
354,36,0.44713134463033377,no
355,355,0.018333333333333333,no
356,65,0.13116956118203696,no
357,148,0.4963679609863821,no
358,520,0.0,no
359,112,0.0,no
360,90,0.0,no
361,91,0.0,no
362,88,0.0,no
363,87,0.13608573389568018,no
364,83,0.0,no
365,93,0.37427049969642534,no
366,253,0.8657285147193662,no
367,121,0.5603234786264231,no
368,67,0.0,no
369,476,0.47,yes
370,160,0.0,no
371,202,0.7018262542237604,no
372,74,0.0,no
373,48,0.49346307489427155,no
374,1850,0.26,yes
375,1791,0.94,yes
376,43,0.3230759108787331,no
377,142,0.0,no
378,66,0.538823882000782,no
379,95,0.2993449501793482,no
380,140,0.3156333722305301,no
381,49,0.0,no
382,147,0.600179790362043,yes
383,117,0.0,no
384,504,1.0,no
385,410,0.02857142857142857,yes
386,233,0.07614682539682541,no
387,58,0.0,no
388,163,0.0155,yes
389,147,0.600179790362043,no
390,276,0.01,no
391,77,0.0,no
392,90,0.0,no
393,59,0.0,no
394,42,0.0,no
395,255,0.0,no
396,214,0.0183974358974359,no
397,249,0.40572639342044703,no
398,724,0.28,no
399,352,0.08317360580595874,no
400,219,0.4470048395876568,no
401,65,0.13116956118203696,no
402,33,0.5455717729385088,no
403,138,0.3569513471709107,no
404,716,0.12,no
405,480,0.02,no
406,85,0.0,no
407,52,0.4650400207410202,no
408,33,0.5455717729385088,no
409,108,0.4830560491261641,no
410,314,0.098,no
411,94,0.0,no
412,79,0.14994026368977945,no
413,91,0.0,no
414,206,0.0,no
415,61,0.20277381857200857,no
416,398,0.7304519369519369,no
417,74,0.551255061433512,no
418,82,0.0,no
419,1485,0.0,no
420,31,0.6368820719377066,no
421,132,0.0,no
422,620,0.0,no
423,28,0.8701616239712193,no
424,141,0.0,no
425,536,0.0,no
426,75,0.29968457113649105,no
427,27,0.0,no
428,75,0.29968457113649105,no
429,354,0.15098473748473748,yes
430,324,0.25746031746031744,no
431,28,0.8701616239712193,no
432,228,0.6546349761349762,no
433,1077,0.8874090909090908,no
434,4648,0.89,yes
435,194,0.010227272727272729,no
436,288,0.895778284481929,no
437,287,0.01775757575757576,no
438,94,0.0,no
439,237,0.9341918647995198,no
440,390,0.02,yes
441,989,0.63,no
442,31,0.6368820719377066,no
443,286,0.0,no
444,108,0.4830560491261641,no
445,70,0.0,no
446,73,0.0,no
447,37,0.3548371861697675,no
448,100,0.2576409076127435,no
449,36,0.44713134463033377,no
450,56,0.6445618973130325,no
451,53,0.4987234629907076,no
452,35,0.5494096839993228,no
453,53,0.4987234629907076,no
454,38,0.3691775156009469,no
455,38,0.3691775156009469,no
456,37,0.3548371861697675,no
457,48,0.49346307489427155,no
458,73,0.0,no
459,42,0.37572861550346587,no
460,43,0.3230759108787331,no
461,284,0.0,no
462,42,0.37572861550346587,no
463,217,0.005,no
464,639,0.04577777777777778,no
465,31,0.6368820719377066,no
466,38,0.3691775156009469,no
467,109,0.0,no
468,160,0.0,no
469,37,0.3548371861697675,no
470,43,0.3230759108787331,no
471,37,0.3548371861697675,no
472,33,0.5455717729385088,no
473,33,0.5455717729385088,no
474,198,0.642115749865339,no
475,253,0.8657285147193662,no
476,61,0.20277381857200857,no
477,62,0.0,no
478,65,0.13116956118203696,no
479,38,0.3691775156009469,no
480,948,0.8183638978784188,no
481,156,0.0,no
482,129,0.44786226598350937,no
483,32,0.0,no
484,42,0.37572861550346587,no
485,890,0.9763888888888889,no
486,112,0.0,no
487,124,0.0,no
488,82,0.0,no
489,421,0.21,no
490,172,0.0,no
491,200,0.0,no
492,366,0.9261385281385281,no
493,512,0.01,yes
494,38,0.3691775156009469,no
495,46,0.4825656026387069,no
496,163,0.0,no
497,756,0.01,no
498,130,0.0,no
499,4952,0.72,no
500,78,0.44058055804010626,no
501,45,0.2869616552922928,no
502,33,0.0,no
503,42,0.0,no
504,1445,0.19,no
505,222,0.47654328099436793,no
506,185,0.0,no
507,533,0.0,no
508,650,0.0,no
509,461,0.0,no
510,134,0.0,no
511,202,0.6906903374403374,no
512,872,0.36625,no
513,50,0.6246155235596161,no
514,197,0.7095803925038409,no
515,952,0.39,yes
516,596,0.0,no
517,85,0.0,no
518,83,0.0,no
519,73,0.0,no
520,89,0.0,no
521,76,0.2231544517732818,no
522,810,0.61,no
523,91,0.0,no
524,353,0.8104022479255687,no
525,410,0.15,no
526,68,0.0,no
527,890,0.05,yes
528,235,0.02722222222222222,no
529,976,0.01,yes
530,41,0.09665127583925762,no
531,43,0.3230759108787331,no
532,144,0.5959024400476695,no
533,65,0.13116956118203696,no
534,82,0.0,no
535,65,0.13116956118203696,no
536,420,0.0,no
537,214,0.0,no
538,43,0.3230759108787331,no
539,118,0.0,no
540,309,0.9170333445364405,no
541,307,0.0,no
542,56,0.6445618973130325,no
543,48,0.49346307489427155,no
544,33,0.0,no
545,743,0.6035736421301435,no
546,55,0.3958380693939772,no
547,128,0.35782108287832465,no
548,501,0.0,no
549,110,0.0,no
550,107,0.0,no
551,322,0.8815035955157301,no
552,42,0.37572861550346587,no
553,495,0.0,no
554,84,0.27365785405168547,no
555,39,0.4327230519396332,no
556,94,0.0,no
557,93,0.37427049969642534,no
558,91,0.0,no
559,38,0.3691775156009469,no
560,94,0.0,no
561,93,0.37427049969642534,no
562,93,0.37427049969642534,no
563,79,0.14994026368977945,no
564,68,0.0,no
565,62,0.0,no
566,121,0.5603234786264231,no
567,112,0.0,no
568,229,0.0,no
569,192,0.0,no
570,284,0.0,no
571,57,0.0,no
572,95,0.2993449501793482,no
573,2247,0.27,yes
574,71,0.5041225053426025,no
575,51,0.4013295964686498,no
576,252,0.28262770262073666,no
577,80,0.1534620140895014,no
578,43,0.3230759108787331,no
579,385,0.02,no
580,390,0.03875,no
581,51,0.24682011678201846,no
582,245,0.008666666666666666,no
583,246,0.8092581707934232,no
584,39,0.4327230519396332,no
585,73,0.0,no
586,878,0.45,yes
587,3386,0.64,no
588,516,0.11,no
589,426,0.0,no
590,350,0.7422116772116772,no
591,62,0.0,no
592,73,0.0,no
593,40,0.0,no
594,67,0.0,no
595,138,0.3569513471709107,no
596,39,0.4327230519396332,no
