ID,Size,Predicted,Actual
1,24,0.0,no
2,47,0.02,no
3,48,0.02,no
4,72,0.0,no
5,26,0.0,no
6,90,0.0,no
7,32,0.0,no
8,81,0.0,no
9,94,0.0,no
10,105,0.01,no
11,91,0.01,no
12,58,0.06,no
13,41,0.02,no
14,74,0.01,no
15,257,0.02,no
16,204,0.05,no
17,141,0.08,no
18,83,0.0,no
19,236,0.03,no
20,60,0.0,no
21,131,0.01,no
22,73,0.0,no
23,125,0.0,no
24,68,0.01,no
25,27,0.0,no
26,18,0.01,no
27,281,0.03,no
28,151,0.07,no
29,180,0.0,no
30,232,0.05,no
31,36,0.0,no
32,29,0.0,no
33,76,0.0,no
34,101,0.01,no
35,76,0.0,no
36,128,0.05,no
37,156,0.04,no
38,144,0.1,no
39,39,0.02,no
40,464,0.24,no
41,167,0.05,no
42,683,0.35,no
43,48,0.0,no
44,105,0.02,no
45,67,0.0,no
46,130,0.01,no
47,137,0.06,no
48,79,0.0,no
49,159,0.07,no
50,88,0.01,no
51,131,0.0,no
52,146,0.06,no
53,227,0.05,no
54,148,0.06,no
55,140,0.02,no
56,45,0.0,no
57,187,0.02,no
58,436,0.0,no
59,188,0.0,no
60,29,0.0,no
61,51,0.0,no
62,55,0.01,no
63,359,0.09,no
64,239,0.04,no
65,308,0.03,no
66,73,0.01,no
67,51,0.0,no
68,136,0.04,no
69,75,0.0,no
70,193,0.0,no
71,103,0.02,no
72,4766,0.41,no
73,20088,0.37,no
74,57,0.0,no
75,149,0.08,no
76,104,0.01,no
77,307,0.01,no
78,114,0.0,no
79,97,0.0,no
80,138,0.01,no
81,165,0.06,no
82,158,0.05,no
83,42,0.0,no
84,311,0.0,no
85,159,0.08,no
86,109,0.03,no
87,316,0.0,no
88,106,0.01,no
89,71,0.0,no
90,264,0.02,no
91,134,0.03,no
92,47,0.0,no
93,120,0.0,no
94,63,0.0,no
95,38,0.0,no
96,94,0.0,no
97,85,0.01,no
98,92,0.0,no
99,298,0.05,no
100,79,0.0,no
101,79,0.0,no
102,67,0.0,no
103,86,0.01,no
104,31,0.008912698412698412,no
105,124,0.0,no
106,228,0.06,no
107,140,0.0,no
108,87,0.0,no
109,72,0.0,no
110,147,0.07,no
111,67,0.0,no
112,172,0.02,no
113,241,0.2,no
114,261,0.02,no
115,65,0.0,no
116,175,0.01,no
117,216,0.01,no
118,38,0.0,no
119,164,0.06,no
120,56,0.0,no
121,56,0.0,no
122,45,0.0,no
123,45,0.0,no
124,97,0.0,no
125,43,0.0,no
126,76,0.0,no
127,76,0.0,no
128,72,0.0,no
129,64,0.0,no
130,64,0.0,no
131,196,0.0,no
132,170,0.04,no
133,120,0.0,no
134,251,0.14,no
135,312,0.0,no
136,158,0.07812371288841875,no
137,53,0.0,no
138,632,0.0,no
139,996,0.44,no
140,87,0.0,no
141,61,0.0,no
142,162,0.0,no
143,68,0.0,no
144,39,0.0,no
145,938,0.05,no
146,56,0.0,no
147,213,0.0,no
148,485,0.03,no
149,86,0.0,no
150,311,0.0,no
151,360,0.08663636363636362,no
152,146,0.0,no
153,215,0.0,no
154,437,0.0,no
155,72,0.0,no
156,74,0.0,no
157,358,0.0,yes
158,265,0.0,no
159,35,0.0,no
160,555,0.0,no
161,297,0.0,no
162,45,0.0,no
163,389,0.15,no
164,180,0.0,no
165,128,0.0,no
166,61,0.0,no
167,65,0.0,no
168,166,0.18,no
169,244,0.0,no
170,448,0.0,no
171,54,0.0,no
172,41,0.0,no
173,107,0.0,no
174,1869,0.39,yes
175,1116,0.2,no
176,46,0.0,no
177,465,0.0,no
178,131,0.0,no
179,423,0.154744227994228,no
180,221,0.0,no
181,460,0.0,no
182,213,0.05,no
183,57,0.025709134789916918,no
184,460,0.31,yes
185,448,0.43,yes
186,53,0.0,no
187,166,0.06,no
188,47,0.0,no
189,307,0.0,no
190,82,0.0,no
191,130,0.2310378759361796,no
192,406,0.0,no
193,158,0.07812371288841875,no
194,967,0.21,no
195,43,0.0,no
196,206,0.0,no
