ID,Size,Predicted,Actual
1,56,0.0,no
2,45,0.0,no
3,45,0.0,no
4,97,0.02,no
5,43,0.0,no
6,76,0.0,no
7,76,0.0,no
8,72,0.0,no
9,196,0.0,no
10,170,0.0,no
11,120,0.0,no
12,88,0.0,no
13,72,0.0,no
14,242,0.0,no
15,312,0.0,no
16,158,0.0,no
17,53,0.0,no
18,605,0.0,no
19,890,0.0,yes
20,69,0.0,no
21,61,0.0,no
22,162,0.0,no
23,68,0.0,no
24,146,0.0,no
25,215,0.0,no
26,437,0.0,no
27,72,0.0,no
28,74,0.1505765623265624,no
29,327,0.0,no
30,265,0.0,no
31,35,0.0,no
32,555,0.0,no
33,297,0.0,no
34,45,0.0,no
35,420,0.0,no
36,181,0.02,no
37,129,0.0,no
38,61,0.0,no
39,65,0.0,no
40,161,0.01,no
41,244,0.0,no
42,425,0.0,no
43,49,0.0,no
44,41,0.0,no
45,107,0.0,no
46,1636,0.67,no
47,1069,0.13,no
48,46,0.0,no
49,465,0.0,no
50,98,0.09,no
51,408,0.0,yes
52,221,0.0,no
53,460,0.0,no
54,198,0.0,yes
55,57,0.0,no
56,418,0.0,no
57,374,0.03,yes
58,53,0.0,no
59,163,0.07,no
60,47,0.0,no
61,286,0.0,no
62,82,0.0,no
63,131,0.0,no
64,407,0.0,no
65,159,0.0,no
66,931,0.4,no
67,43,0.0,no
68,206,0.0,no
69,58,0.0,no
70,121,0.004,no
71,167,0.0,no
72,36,0.0,no
73,84,0.0,no
74,36,0.0,no
75,214,0.0,no
76,43,0.0,no
77,49,0.0,no
78,73,0.0,no
79,75,0.0,no
80,192,0.020952380952380955,no
81,192,0.0,no
82,141,0.025,yes
83,95,0.0,no
84,160,0.0,no
85,193,0.00625,no
86,109,0.0,no
87,70,0.0,no
88,235,0.0,no
89,63,0.0,no
90,46,0.0,no
91,54,0.0,no
92,70,0.0,yes
93,62,0.0,no
94,44,0.0,no
95,51,0.0,no
96,211,0.0,no
97,78,0.0,no
98,59,0.0,no
99,56,0.0,no
100,44,0.0,no
101,224,0.0,no
102,125,0.18,no
103,117,0.0,no
104,211,0.0,no
105,83,0.0,no
106,213,7.692307692307692E-4,no
107,175,0.0,no
108,47,0.0,no
109,230,0.0,no
110,47,0.0,no
111,93,0.0,no
112,47,0.0,no
113,57,0.0,no
114,155,0.0,no
115,167,0.0,no
116,65,0.0,no
117,65,0.0,no
118,45,0.0,no
119,521,0.0,yes
120,47,0.0,no
121,32,0.0,no
122,56,0.0,no
123,61,0.0,no
124,146,0.0,no
125,166,0.19,no
126,134,0.0,no
127,162,0.015,no
128,161,0.0,no
129,43,0.0,no
130,43,0.0,no
131,99,0.14,no
132,79,0.0,no
133,81,0.0,no
134,51,0.0,no
135,177,0.01,no
136,103,0.0,no
137,1116,0.17,yes
138,156,0.0,no
139,36,0.0,no
140,71,0.0,no
141,41,0.0,no
142,39,0.0,no
143,379,0.0,yes
144,245,0.0,no
145,57,0.0,no
146,47,0.0,no
147,290,0.0,no
148,118,0.0,no
149,68,0.0,no
150,250,0.0,no
151,152,0.005,no
152,54,0.0,no
153,57,0.0,yes
154,57,0.0,yes
155,214,0.0,no
156,97,0.0,no
157,127,0.0,no
158,157,0.0,no
159,189,0.02,no
160,184,0.02,no
161,93,0.0,no
162,89,0.0,no
163,1101,0.02,yes
164,495,0.0,no
165,115,0.0,no
166,128,0.002857142857142857,no
167,436,0.0,no
168,170,0.0,no
169,78,0.0,no
170,85,0.0,no
171,1338,0.15,no
172,440,0.02,yes
173,257,0.0,no
174,87,0.0,no
175,46,0.0,no
176,74,0.1505765623265624,no
177,67,0.0,no
178,164,0.0,no
179,91,0.0,no
180,307,0.0,no
181,788,0.12,no
182,1883,0.0,no
183,1532,0.68,yes
184,71,0.0,no
185,1143,0.59,no
186,142,0.0,no
187,167,0.0,no
188,63,0.0,no
189,230,0.0,no
190,629,0.0,no
191,138,0.0,no
192,37,0.0,no
193,163,0.0,no
194,2218,0.09,no
195,94,0.0,no
196,207,0.0,no
197,136,0.0,no
198,69,0.0,no
199,104,0.0,no
200,269,0.0,no
201,553,0.0,no
202,334,0.0,yes
203,379,0.06,yes
204,169,0.0,no
205,87,0.0,yes
206,82,0.0,no
207,96,0.0,no
208,184,0.05999999999999999,yes
209,81,0.0,no
210,61,0.0,no
211,77,0.0,no
212,51,0.0,no
213,62,0.0,no
214,83,0.0,no
215,66,0.0,no
216,130,0.0,no
217,51,0.0,no
218,347,0.0,no
219,138,0.0,no
220,179,0.01,no
221,1651,0.35,no
222,290,0.0,no
223,99,0.0,no
224,103,0.0,no
225,68,0.0,no
226,137,0.0,no
227,281,0.72,no
228,418,0.0,no
229,247,0.008166666666666668,no
230,449,0.24,yes
231,275,0.0,no
232,87,0.0,no
233,98,0.0,no
234,163,0.0,no
235,99,0.0,no
236,152,0.005,no
237,231,0.0,no
238,422,0.0,no
239,219,0.07,no
240,332,0.33,yes
241,108,0.0,no
242,97,0.02,no
243,114,0.0,no
244,84,0.0,no
245,266,0.0,no
246,110,0.0,no
247,41,0.0,no
248,89,0.0,no
249,58,0.0,no
250,54,0.0,no
251,55,0.0,no
252,76,0.0,yes
253,49,0.0,no
254,84,0.0,no
255,405,0.0,no
256,87,0.0,no
257,97,0.0,no
258,115,0.0,no
259,1075,0.39,yes
260,290,0.0,no
261,201,0.0,no
262,200,0.0,no
263,537,0.15,yes
264,218,0.03,no
265,374,0.29,yes
266,286,0.13,yes
267,330,0.0,no
268,602,0.0,yes
269,259,0.0,no
270,169,0.0,no
271,77,0.0,no
272,57,0.0,no
273,60,0.0,no
274,124,0.17,no
275,133,0.0,no
276,154,0.0,no
277,99,0.14,no
278,820,0.04,yes
279,308,0.0,no
280,188,0.79,no
281,333,0.0,no
282,110,0.0,no
283,170,0.04,no
284,106,0.0,no
285,794,0.05,no
286,85,0.0,no
287,194,0.0,no
