ID,Size,Predicted,Actual
1,76,0.0,no
2,72,0.0,no
3,196,0.0,no
4,170,0.0,no
5,120,0.0,no
6,65,0.0,no
7,103,0.0,no
8,96,0.0,no
9,242,0.13,no
10,312,0.03,no
11,151,0.00857142857142857,no
12,53,0.0,no
13,605,0.0,no
14,858,0.27,no
15,51,0.0,no
16,61,0.0,no
17,162,0.6200583111419025,no
18,68,0.0,no
19,146,0.0,no
20,219,0.14439732489732493,no
21,369,0.06,no
22,58,0.0,no
23,48,0.0,no
24,302,0.0,yes
25,268,0.02,no
26,35,0.0,no
27,546,0.0,no
28,263,0.0,yes
29,45,0.0,no
30,129,0.0,no
31,61,0.0,no
32,161,0.08,no
33,210,0.0,yes
34,348,0.32,yes
35,49,0.0,no
36,41,0.0,no
37,97,0.0,no
38,1422,0.53,no
39,670,0.41,yes
40,46,0.0,no
41,458,0.0,no
42,377,0.2,yes
43,221,0.0,no
44,460,0.0,no
45,213,0.21,no
46,47,0.0,no
47,150,0.09,no
48,80,0.0,no
49,131,0.0,no
50,385,0.13,yes
51,159,0.0,no
52,743,0.29,yes
53,43,0.0,no
54,209,0.06,no
55,54,0.0,yes
56,84,0.0,yes
57,166,0.0,no
58,36,0.0,yes
59,84,0.0,no
60,36,0.0,yes
61,197,0.0,yes
62,43,0.0,no
63,49,0.0,no
64,73,0.0,no
65,75,0.0,no
66,131,0.0,no
67,94,0.0,no
68,148,0.0,yes
69,193,0.0,no
70,109,0.0,no
71,70,0.0,no
72,220,0.06382661782661782,no
73,63,0.0,no
74,46,0.0,no
75,54,0.0,no
76,70,0.0,no
77,43,0.0,yes
78,51,0.0,no
79,207,0.0,no
80,78,0.0,no
81,59,0.0,no
82,56,0.0,no
83,44,0.0,no
84,224,0.0,no
85,119,0.01,no
86,113,0.0,no
87,83,0.0,no
88,210,0.0,yes
89,175,0.0,no
90,47,0.0,no
91,224,0.0,no
92,47,0.0,no
93,93,0.0,no
94,47,0.0,no
95,144,0.0,yes
96,167,0.0,no
97,65,0.0,no
98,65,0.0,no
99,45,0.0,no
100,401,0.0,yes
101,47,0.0,no
102,32,0.0,no
103,56,0.0,no
104,61,0.0,no
105,104,0.0,no
106,155,0.0,no
107,145,0.0,yes
108,43,0.0,no
109,43,0.0,no
110,95,0.0,no
111,79,0.0,no
112,81,0.0,no
113,51,0.0,no
114,103,0.0,no
115,826,0.35,yes
116,131,0.0,no
117,36,0.0,no
118,71,0.0,no
119,41,0.0,no
120,39,0.0,no
121,345,0.05,no
122,57,0.0,no
123,43,0.0,yes
124,282,0.0,no
125,118,0.0,no
126,64,0.0,yes
127,207,0.0,no
128,140,0.0,yes
129,54,0.0,no
130,53,0.0,yes
131,53,0.0,yes
132,198,0.0,yes
133,150,0.8962336932073773,yes
134,147,0.0,yes
135,177,0.0,no
136,989,0.0,yes
137,418,0.13,yes
138,115,0.0,no
139,128,0.0,no
140,436,0.0,no
141,170,0.0,no
142,78,0.0,no
143,85,0.0,no
144,1028,0.0,yes
145,333,0.0,yes
146,247,0.0,no
147,87,0.0,no
148,46,0.0,no
149,72,0.0,no
150,67,0.0,no
151,164,0.019833333333333335,no
152,91,0.0,no
153,307,0.0,no
154,775,0.15,no
155,1780,0.43,yes
156,1254,0.01,no
157,71,0.0,no
158,1146,0.07,no
159,142,0.0,no
160,167,0.0,no
161,63,0.0,no
162,230,0.0,no
163,611,0.0,no
164,138,0.0,no
165,37,0.0,no
166,163,0.022560606060606066,no
167,2220,0.12,no
168,96,0.0,no
169,152,0.0,yes
170,136,0.01,no
171,69,0.0,no
172,104,0.0,no
173,269,0.0,no
174,544,0.0,no
175,321,0.01,no
176,379,0.0,yes
177,89,0.0,no
178,87,0.0,yes
179,82,0.0,no
180,96,0.0,no
181,176,0.0,no
182,81,0.0,no
183,61,0.0,no
184,76,0.0,no
185,51,0.0,no
186,62,0.0,no
187,83,0.0,no
188,66,0.0,no
189,127,0.0,no
190,51,0.0,no
191,266,0.0,no
192,133,0.0,no
193,183,0.037033730158730155,no
194,1579,0.69,yes
195,172,0.0,no
196,95,0.0,no
197,68,0.0,no
198,137,0.0,no
199,250,0.0,no
200,404,0.0,no
201,243,0.02,no
202,313,0.23,no
203,260,0.0,no
204,87,0.0,no
205,98,0.0,no
206,163,0.022560606060606066,no
207,99,0.0,no
208,152,0.0,no
209,231,0.0,no
210,422,0.0,no
211,194,0.0,no
212,176,0.0,no
213,107,0.0,yes
214,96,0.0,yes
215,113,0.0,no
216,83,0.0,yes
217,261,0.0,yes
218,89,0.0,no
219,58,0.0,no
220,54,0.0,no
221,55,0.0,no
222,75,0.0,yes
223,49,0.0,no
224,84,0.0,no
225,403,0.0,no
226,87,0.0,no
227,97,0.0,no
228,96,0.0,no
229,862,0.02,yes
230,290,0.0,no
231,170,0.0,no
232,170,0.0,no
233,375,0.0,no
234,218,0.8323222333222333,no
235,342,0.0,no
236,270,0.0,no
237,330,0.0,no
238,521,0.01,yes
239,259,0.0,no
240,169,0.0,no
241,77,0.0,no
242,57,0.0,no
243,59,0.0,no
244,124,0.0,no
245,133,0.0,no
246,154,0.0,no
247,749,0.08,no
248,308,0.0,no
249,188,0.03247008547008547,no
250,298,0.0,yes
251,110,0.0,no
252,151,0.00857142857142857,no
253,106,0.0,no
254,741,0.0,no
255,85,0.0,no
256,194,0.0,no
257,187,0.7937728521478521,no
258,80,0.0,no
259,85,0.0,no
260,45,0.0,no
261,263,0.0,no
262,42,0.0,yes
263,939,0.15,no
264,468,0.0,no
265,65,0.0,no
266,81,0.0,no
267,1524,0.17,yes
268,235,0.0,no
269,209,0.0,no
270,185,0.037033730158730155,no
271,705,0.14,yes
272,502,0.06,no
273,56,0.0,yes
274,605,0.0,no
275,446,0.0,no
276,125,0.02,no
277,853,0.0,yes
278,155,0.03,no
279,80,0.0,no
280,45,0.0,no
281,38,0.0,no
282,817,0.52,no
283,4379,0.96,yes
284,615,0.0,yes
285,125,0.07,no
286,174,0.0,no
287,61,0.0,no
288,162,0.6200583111419025,no
289,212,0.19,no
290,300,0.24,no
291,262,0.19,yes
292,118,0.0,no
293,115,0.0,no
294,192,0.0,no
295,406,0.0,no
296,42,0.0,no
297,80,0.0,no
298,939,0.15,no
299,536,0.0,no
300,202,0.34,no
301,1102,0.46,yes
302,127,0.0,no
303,397,0.18,yes
304,437,0.0,no
305,38,0.0,no
306,575,0.08,no
307,501,0.14,yes
308,523,0.0,no
309,960,0.08,no
310,74,0.0,no
311,257,0.0,no
312,652,0.11,yes
313,148,0.06,no
314,46,0.0,no
315,63,0.0,no
316,241,0.02,yes
317,191,0.0,no
318,697,0.01,no
319,138,0.0,no
320,2962,0.03,no
321,36,0.0,no
322,302,0.0,yes
323,65,0.0,no
324,152,0.0,no
325,123,0.0,no
326,302,0.75,no
327,216,0.44310764235764233,no
328,119,0.01,no
329,148,0.0,no
330,520,0.01,no
331,112,0.0,no
332,90,0.0,no
333,91,0.0,no
334,88,0.0,no
335,87,0.0,no
336,67,0.0,no
337,92,0.0,no
338,238,0.0,no
339,121,0.0,no
340,218,0.09,yes
341,160,0.0,no
342,197,0.17,no
343,74,0.0,no
344,48,0.0,no
345,1482,0.0,no
346,1424,0.2,no
347,43,0.0,no
348,143,0.0,no
349,66,0.0,no
350,95,0.0,no
351,140,0.0,no
352,49,0.0,no
353,455,0.0,no
354,322,0.01,no
355,58,0.0,no
356,153,0.0,no
357,140,0.0,no
358,267,0.0,no
359,77,0.0,no
360,90,0.0,no
361,35,0.0,no
362,255,0.0,no
363,148,0.0,no
364,248,0.0,no
365,725,0.0,no
366,348,0.07,no
367,219,0.14439732489732493,no
368,65,0.0,no
369,33,0.0,no
370,138,0.0,no
371,655,0.0,yes
372,469,0.0,no
373,67,0.0,no
374,52,0.0,no
375,33,0.0,no
376,41,0.0,no
377,259,0.0,yes
378,94,0.0,no
379,79,0.0,no
380,69,0.0,no
381,191,0.0,yes
382,61,0.0,no
383,402,0.0,yes
384,82,0.0,no
385,1486,0.16,no
386,31,0.0,no
387,620,0.0,no
388,28,0.0,no
389,141,0.0,no
390,536,0.0,no
391,75,0.0,no
392,27,0.0,no
393,75,0.0,no
394,28,0.0,no
395,1077,0.0,no
396,4482,0.09,no
397,288,0.04,no
398,272,0.0,no
399,94,0.0,no
400,237,0.16,no
401,387,0.07,yes
402,733,0.08,no
403,31,0.0,no
404,286,0.0,no
405,108,0.0,no
406,70,0.0,no
407,73,0.0,no
408,37,0.0,no
409,100,0.0,no
410,36,0.0,no
411,56,0.0,no
412,53,0.0,no
413,35,0.0,no
414,53,0.0,no
415,38,0.0,no
416,38,0.0,no
417,37,0.0,no
418,48,0.0,no
419,73,0.0,no
420,42,0.0,no
421,43,0.0,no
422,275,0.0,no
423,42,0.0,no
424,217,0.32,no
425,648,0.17,no
426,31,0.0,no
427,38,0.0,no
428,107,0.0,no
429,160,0.0,no
430,37,0.0,no
431,43,0.0,no
432,37,0.0,no
433,33,0.0,no
434,33,0.0,no
435,198,0.0,no
436,253,0.0,no
437,60,0.0,no
438,62,0.0,no
439,64,0.0,no
440,38,0.0,no
441,948,0.0,no
442,156,0.0,no
443,129,0.0,no
444,32,0.0,no
445,42,0.0,no
446,828,0.6,yes
447,112,0.0,no
448,82,0.0,no
449,414,0.0,yes
450,172,0.0,no
451,184,0.037033730158730155,yes
452,338,0.25,no
453,510,1.0,yes
454,38,0.0,no
455,46,0.0,no
456,163,0.24,no
457,718,0.2,no
458,121,0.0,no
459,4728,0.96,yes
460,78,0.0,no
461,45,0.0,no
462,1371,0.0,no
463,212,0.0,no
464,185,0.037033730158730155,no
465,481,0.0,no
466,650,0.0,no
467,437,0.0,no
468,134,0.0,no
469,202,0.0,no
470,822,0.01,no
471,50,0.0,no
472,197,0.03,no
473,947,0.76,yes
474,596,0.0,no
475,85,0.0,no
476,83,0.0,no
477,73,0.0,no
478,89,0.0,no
479,76,0.0,no
480,743,0.63,yes
481,91,0.0,no
482,353,0.19,no
483,363,0.0,yes
484,720,0.0,yes
485,903,0.4,no
486,41,0.0,no
487,43,0.0,no
488,82,0.0,no
489,65,0.0,no
490,409,0.0,no
491,214,0.06707925407925408,no
492,43,0.0,no
493,111,0.7038556696571403,no
494,309,0.0,no
495,262,0.0,no
496,41,0.0,no
497,739,0.04,no
498,55,0.0,no
499,128,0.0,no
500,501,0.08,no
501,110,0.0,no
502,107,0.0,no
503,313,0.23,no
504,42,0.0,no
505,495,0.0,no
506,84,0.0,no
507,39,0.0,no
508,94,0.0,no
509,93,0.0,no
510,91,0.0,no
511,38,0.0,no
512,94,0.0,no
513,93,0.0,no
514,93,0.0,no
515,79,0.0,no
516,68,0.0,no
517,62,0.0,no
518,121,0.0,no
519,192,0.0,no
520,284,0.0,no
521,57,0.0,no
522,31,0.0,no
523,2156,0.0,yes
524,70,0.0,no
525,51,0.0,no
526,80,0.0,no
527,43,0.0,no
528,357,0.0,no
529,245,0.39,no
530,246,0.14,no
