ID,Size,Predicted,Actual
1,56,0.09712520636334813,no
2,45,0.026730144850945423,no
3,45,0.026730144850945423,no
4,97,0.0,no
5,43,0.033102328688573386,no
6,76,0.021052007645156218,no
7,76,0.021052007645156218,no
8,72,0.0,no
9,196,0.0,no
10,170,0.018257725737465962,no
11,120,0.022418407591259168,no
12,242,0.0,no
13,312,0.08678872228375864,no
14,158,0.0,no
15,53,0.0615246490623546,no
16,632,0.0,no
17,937,0.0,no
18,87,0.011197430063247204,no
19,61,0.016797883419215332,no
20,162,0.08046649260393261,no
21,68,0.0,no
22,39,0.046154759296149574,no
23,911,0.0,no
24,56,0.09712520636334813,no
25,213,0.14967101949014205,no
26,484,0.496452380952381,no
27,86,0.0,no
28,311,0.005244652406417112,no
29,359,0.0,no
30,146,0.0,no
31,215,0.0,no
32,437,0.0,no
33,72,0.0,no
34,74,0.06574568528947117,no
35,358,0.3,no
36,265,0.10748190698190699,no
37,35,0.07322204027879073,no
38,555,0.0,no
39,297,0.0,no
40,45,0.026730144850945423,no
41,378,0.07889823974614996,no
42,180,0.0,no
43,128,0.025149407271532448,no
44,61,0.016797883419215332,no
45,65,0.010163241935646746,no
46,161,0.0,no
47,244,0.0,no
48,448,0.0,no
49,54,0.0630927835858622,no
50,41,0.007591971404274398,no
51,107,0.0,no
52,1721,0.05,no
53,1068,0.0175,no
54,46,0.05803685976737873,no
55,465,0.0,no
56,136,0.02234388422357708,no
57,423,0.0,no
58,221,0.0,no
59,460,0.0,no
60,215,0.15,no
61,57,0.04357656320081891,no
62,418,0.2319440836940837,no
63,440,0.57,no
64,53,0.0615246490623546,no
65,163,0.0,no
66,47,0.053874417103166296,no
67,307,0.0,no
68,82,0.0,no
69,130,0.0,no
70,406,0.0,no
71,158,0.0,no
72,966,0.0,no
73,43,0.033102328688573386,no
74,206,0.0,no
75,58,0.0,no
76,121,0.07790198243570032,no
77,167,0.0808782367493632,no
78,36,0.04848716067582582,no
79,84,0.027652530253985258,no
80,36,0.04848716067582582,no
81,214,0.0,no
82,43,0.033102328688573386,no
83,49,0.0,no
84,73,0.0,no
85,75,0.03811212727165061,no
86,192,0.0,no
87,192,0.0,no
88,142,0.0,no
89,95,0.025818802925435806,no
90,160,0.0,no
91,193,0.11538280741931974,no
92,109,0.0,no
93,70,0.019156412763633897,no
94,235,0.0,no
95,62,0.0,no
96,46,0.05803685976737873,no
97,95,0.025818802925435806,no
98,85,0.0,no
99,62,0.0,no
100,62,0.0,no
101,51,0.04444332579623346,no
102,211,0.21438400430222188,no
103,78,0.04868738173507017,no
104,59,0.02833577073533341,no
105,56,0.09712520636334813,no
106,44,0.03721102562520429,no
107,224,0.0,no
108,125,0.16742627496839219,no
109,117,0.0,no
110,211,0.21438400430222188,no
111,83,0.0,no
112,213,0.14967101949014205,no
113,174,0.0,no
114,47,0.053874417103166296,no
115,230,0.0,no
116,47,0.053874417103166296,no
117,93,0.03893805570356988,no
118,47,0.053874417103166296,no
119,57,0.04357656320081891,no
120,155,0.10098971078505833,no
121,167,0.0808782367493632,no
122,65,0.010163241935646746,no
123,65,0.010163241935646746,no
124,45,0.026730144850945423,no
125,518,0.12,no
126,47,0.053874417103166296,no
127,32,0.0,no
128,56,0.09712520636334813,no
129,61,0.016797883419215332,no
130,146,0.0,no
131,166,0.0,no
132,134,0.0,no
133,162,0.08046649260393261,no
134,161,0.0,no
135,43,0.033102328688573386,no
136,43,0.033102328688573386,no
137,99,0.07032588617142617,no
138,79,0.012157759234853302,no
139,81,0.0,no
140,51,0.04444332579623346,no
141,177,0.05255751205741053,no
142,103,0.03245508660396389,no
143,1157,0.72,no
144,156,0.0,no
145,36,0.04848716067582582,no
146,71,0.05995996390068347,no
147,41,0.007591971404274398,no
148,39,0.046154759296149574,no
149,418,0.1097146921705745,no
150,245,0.0,no
151,57,0.04357656320081891,no
152,47,0.053874417103166296,no
153,289,0.0,no
154,118,0.0,no
155,68,0.0,no
156,250,0.31089043146396084,no
157,152,0.19938579254298905,no
158,54,0.0630927835858622,no
159,61,0.016797883419215332,no
160,61,0.016797883419215332,no
161,214,0.0,no
162,97,0.0,no
163,127,0.0,no
164,165,0.6862285214785214,no
165,189,0.0,no
166,184,0.20374095130950037,no
167,93,0.03893805570356988,no
168,89,0.0,no
169,1104,0.02,no
170,581,0.01,no
171,115,0.043430178322817495,no
172,129,0.055324888285606943,no
173,436,0.0,no
174,166,0.0,no
175,78,0.04868738173507017,no
176,85,0.0,no
177,1357,0.374,no
178,458,0.0,no
179,257,0.0,no
180,96,0.017704193549361952,no
181,50,0.09411269244992647,no
182,83,0.0,yes
183,74,0.06574568528947117,no
184,163,0.0,no
185,91,0.0,no
186,410,0.0,no
187,886,0.003333333333333333,no
188,1908,0.01,no
189,1571,0.12,yes
190,74,0.06574568528947117,no
191,1146,0.023202380952380957,no
192,142,0.0,no
193,221,0.0,no
194,63,0.06688196883280384,no
195,230,0.0,no
196,629,0.0,no
197,138,0.038042720029016416,no
198,37,0.032763970599210115,no
