ID,Size,Predicted,Actual
1,56,0.1588271789043166,no
2,45,0.04530407625915333,no
3,45,0.04530407625915333,no
4,97,0.03206581765946935,no
5,43,0.06036500785711831,no
6,76,0.01718873723076457,no
7,76,0.01718873723076457,no
8,72,0.0,no
9,196,0.0,no
10,170,0.019596681054258092,no
11,120,0.016788492117343786,no
12,242,0.0,no
13,312,0.07795868438855386,no
14,158,0.07412905962286767,no
15,53,0.10555999992315926,no
16,632,0.0,no
17,937,0.02,yes
18,87,0.010721674001964755,no
19,61,0.0530908122543599,no
20,162,0.1000131416615714,no
21,68,0.0,no
22,39,0.08149651251789632,no
23,911,0.0,no
24,56,0.1588271789043166,no
25,213,0.28339466800368107,no
26,484,0.3134285714285714,no
27,86,0.0,no
28,311,0.0027272727272727275,no
29,359,0.0,no
30,146,0.0,no
31,215,0.0,no
32,437,0.0,no
33,72,0.0,no
34,74,0.12152676233125112,no
35,358,0.3203874472191035,no
36,265,0.11236848647568458,no
37,35,0.12624693646808094,no
38,555,0.0,no
39,297,0.0,no
40,45,0.04530407625915333,no
41,378,0.022413693719421274,no
42,180,0.0,no
43,128,0.027671984605030522,no
44,61,0.0530908122543599,no
45,65,0.009061270658033848,no
46,161,0.12712162326099688,yes
47,244,0.0,no
48,448,0.0,no
49,54,0.1019788627013044,no
50,41,0.006533010731010195,no
51,107,0.0,no
52,1746,0.9,yes
53,1068,0.0,yes
54,46,0.10056705492011772,no
55,465,0.0,no
56,136,0.022190071683767965,no
57,423,0.24943650793650793,no
58,221,0.0,no
59,460,0.0,no
60,215,0.0,no
61,57,0.08624674138309406,no
62,429,0.051678571428571435,no
63,440,0.0,yes
64,53,0.10555999992315926,no
65,163,0.0,no
66,47,0.0902312804984241,no
67,307,0.0,no
68,82,0.0,no
69,130,0.2951606961095779,no
70,406,0.0,no
71,158,0.07412905962286767,no
72,966,0.0,yes
73,43,0.06036500785711831,no
74,206,0.0,no
75,58,0.0,no
76,121,0.14713710601991073,no
77,167,0.13794523305511397,no
78,36,0.07705006523250288,no
79,84,0.03510210198984407,no
80,36,0.07705006523250288,no
81,214,0.0,no
82,43,0.06036500785711831,yes
83,49,0.0,no
84,73,0.0,no
85,75,0.06880197172231112,no
86,192,0.0,no
87,192,0.0,yes
88,142,0.0,no
89,95,0.03224266095172843,no
90,160,0.0,no
91,193,0.11710802735425836,no
92,109,0.18792154169336797,no
93,70,0.016356854339981956,no
94,235,0.0,no
95,62,0.04995078875629161,no
96,46,0.10056705492011772,no
97,95,0.03224266095172843,no
98,85,0.0,no
99,62,0.04995078875629161,no
100,62,0.04995078875629161,no
101,51,0.07627973234026485,no
102,211,0.24021705871187288,no
103,78,0.04158004783953017,no
104,59,0.024773751191509097,no
105,56,0.1588271789043166,yes
106,44,0.04024285401483067,no
107,224,0.0,no
108,125,0.2287167197095605,no
109,117,0.0,no
110,211,0.24021705871187288,no
111,83,0.0,no
112,213,0.28339466800368107,no
113,174,0.0,no
