ID,Size,Predicted,Actual
1,56,0.0,no
2,45,0.0,no
3,45,0.0,no
4,97,0.0,no
5,43,0.0,no
6,76,0.0,no
7,76,0.0,no
8,72,0.0,no
9,196,0.0,no
10,170,0.0,no
11,120,0.0,no
12,88,0.0,no
13,72,0.0,no
14,242,0.01,no
15,312,0.0,no
16,158,0.0,no
17,53,0.0,no
18,626,0.01,no
19,929,0.25,no
20,87,0.0,no
21,61,0.0,no
22,162,0.0,no
23,68,0.0,no
24,39,0.0,no
25,911,0.03,no
26,56,0.0,no
27,213,0.02,no
28,478,0.01,no
29,81,0.0,no
30,311,0.01,no
31,359,0.0,no
32,146,0.0,no
33,215,0.0,no
34,437,0.0,no
35,72,0.0,no
36,74,0.0,no
37,327,0.0,yes
38,265,0.0,no
39,35,0.0,no
40,555,0.0,no
41,297,0.0,no
42,45,0.0,no
43,420,0.0,no
44,181,0.0,no
45,128,0.03,no
46,61,0.0,no
47,65,0.0,no
48,161,0.0,no
49,244,0.03,no
50,448,0.02,no
51,54,0.0,no
52,41,0.0,no
53,107,0.0,no
54,1635,0.18,no
55,1069,0.0,no
56,46,0.0,no
57,465,0.0,no
58,136,0.04,no
59,424,0.03,no
60,221,0.0,no
61,460,0.0,no
62,209,0.03,no
63,57,0.0,no
64,418,0.0,no
65,382,0.21,yes
66,53,0.0,no
67,163,0.0,no
68,47,0.0,no
69,315,0.04,no
70,82,0.0,no
71,131,0.0,no
72,407,0.01,no
73,158,0.01,no
74,967,0.41,no
75,43,0.0,no
76,206,0.01,no
77,58,0.0,no
78,121,0.0,no
79,167,0.0,no
80,36,0.0,no
81,84,0.0,no
82,36,0.0,no
83,214,0.0,no
84,43,0.0,no
85,49,0.0,no
86,73,0.0,no
87,75,0.0,no
88,192,0.0,no
89,192,0.0,no
90,142,0.02,no
91,95,0.0,no
92,160,0.0,no
93,193,0.0,no
94,109,0.0,no
95,70,0.0,no
96,235,0.0,no
97,63,0.0,no
98,46,0.0,no
99,71,0.0,no
100,85,0.11,yes
101,62,0.0,no
102,44,0.0,no
103,51,0.0,no
104,211,0.0,no
105,78,0.0,no
106,59,0.0,no
107,56,0.0,no
108,44,0.0,no
109,224,0.0,no
110,125,0.002,no
111,117,0.0,no
112,211,0.0,no
113,83,0.0,no
114,213,0.0,no
115,175,0.0,no
116,47,0.0,no
117,230,0.0,no
118,47,0.0,no
119,93,0.0,no
120,47,0.0,no
121,57,0.0,no
122,155,0.0,no
123,167,0.0,no
124,65,0.0,no
125,65,0.0,no
126,45,0.0,no
127,517,0.18,yes
128,47,0.0,no
129,32,0.0,no
130,56,0.0,no
131,61,0.0,no
132,146,0.0,no
133,166,0.0,no
134,134,0.0,no
135,162,0.0,no
136,161,0.0,no
137,43,0.0,no
138,43,0.0,no
139,99,0.0,no
140,79,0.0,no
141,81,0.0,no
142,51,0.0,no
143,177,0.0,no
144,103,0.0,no
145,1137,0.28,no
146,156,0.0,no
147,36,0.0,no
148,71,0.0,no
149,41,0.0,no
150,39,0.0,no
151,382,0.21,yes
152,245,0.0,no
153,57,0.0,no
154,47,0.0,no
155,290,0.0,no
156,118,0.0,no
157,68,0.0,no
158,250,0.0,no
159,152,0.0,no
160,54,0.0,no
161,61,0.02,no
162,61,0.02,no
163,214,0.0,no
164,97,0.0,no
165,127,0.0,no
166,157,0.0,no
167,189,0.0,no
168,184,0.0,no
169,93,0.0,no
170,89,0.0,no
171,1104,0.24,no
172,581,0.0,no
173,115,0.005,no
174,129,0.04,no
175,436,0.06,no
176,166,0.01,no
177,78,0.0,no
178,85,0.0,no
179,1357,0.1,yes
180,458,0.02,no
181,257,0.0,no
182,96,0.037333333333333336,no
183,50,0.0,no
184,83,0.0,no
185,74,0.0,no
186,164,0.01,no
187,91,0.0,no
188,410,0.04,no
189,886,0.55,no
190,1908,0.09,no
191,1571,0.08,yes
192,74,0.0,no
193,1146,0.25,no
194,142,0.0,no
195,221,0.01,no
196,63,0.0,no
197,230,0.0,no
198,629,0.0,no
199,138,0.0,no
200,37,0.0,no
201,163,0.0,no
202,2218,0.18,no
203,94,0.0,no
204,282,0.02,no
205,136,0.0,no
206,69,0.0,no
207,104,0.0,no
208,278,0.0,no
209,568,0.01,no
210,390,0.01,no
211,379,0.0,yes
212,169,0.08,no
213,86,0.0,yes
214,82,0.0,no
215,96,0.0,no
216,184,0.0,no
217,81,0.0,no
218,61,0.0,no
219,77,0.0,no
220,63,0.017972222222222223,no
221,74,0.0,no
222,95,0.01,no
223,78,0.0,no
224,130,0.0,no
225,63,0.017972222222222223,no
226,359,0.03,yes
227,138,0.0,no
228,191,0.0,no
229,1651,0.09,no
230,303,0.04,no
231,99,0.0,no
232,115,0.01,no
233,69,0.0,no
234,141,0.0,no
235,281,0.0,no
236,418,0.0,no
237,248,0.02,no
238,450,0.02,no
239,277,0.01,no
240,87,0.0,no
241,110,0.04,no
242,167,0.0,no
243,99,0.0,no
244,152,0.0,no
245,231,0.0,no
246,422,0.0,no
247,224,0.04,no
248,333,0.01,no
249,108,0.0,no
250,97,0.0,no
251,114,0.0,no
252,84,0.0,no
253,269,0.0,no
254,110,0.0,no
255,41,0.0,no
256,89,0.0,no
257,58,0.0,no
258,54,0.0,no
259,55,0.0,no
260,76,0.0,yes
261,49,0.0,no
262,178,0.05,no
263,410,0.0,no
264,87,0.0,no
265,97,0.0,no
266,115,0.0,no
267,1093,0.24,no
268,290,0.0,no
269,201,0.0,no
270,200,0.0,no
271,538,0.02,no
272,228,0.04,yes
273,374,0.0,yes
274,286,0.01,no
275,333,0.14,no
276,604,0.12,yes
277,264,0.0,no
278,169,0.0,no
279,77,0.0,no
280,57,0.0,no
281,60,0.0,no
282,136,0.0,no
283,133,0.0,no
284,155,0.02,no
285,111,0.03,no
286,887,0.08,yes
287,309,0.02,no
288,243,0.31,no
289,333,0.0,no
290,110,0.0,no
291,227,0.03,no
